LEFT,RIGHT,DIFF
-290.7984375,-278.2171875,12.58125
-290.7984375,-277.93125,12.8671875
-293.6578125,-280.790625,12.8671875
-299.3765625,-286.2234375,13.153125
-306.525,-293.94375,12.58125
-314.8171875,-302.2359375,12.58125
-322.2515625,-310.528125,11.7234375
-328.5421875,-317.390625,11.1515625
-332.5453125,-322.5375,10.0078125
-333.6890625,-325.396875,8.29218750000001
-332.5453125,-325.396875,7.1484375
-328.828125,-323.3953125,5.43281250000001
-323.68125,-319.9640625,3.71718750000002
-317.6765625,-315.3890625,2.28749999999997
-311.9578125,-311.1,0.857812499999966
-307.096875,-307.3828125,-0.285937499999989
-303.9515625,-305.0953125,-1.14375000000001
-302.8078125,-304.5234375,-1.71562499999999
-303.665625,-305.6671875,-2.00156249999998
-305.953125,-308.240625,-2.28750000000002
-309.6703125,-311.671875,-2.00156249999998
-313.6734375,-315.9609375,-2.28749999999997
-317.6765625,-319.9640625,-2.28750000000002
-321.1078125,-323.3953125,-2.28749999999997
-323.109375,-325.6828125,-2.57343750000001
-323.68125,-326.8265625,-3.14531249999999
-323.109375,-326.8265625,-3.71718750000002
-321.39375,-325.96875,-4.57499999999999
-318.8203125,-324.5390625,-5.71875
-315.675,-322.8234375,-7.1484375
-312.5296875,-321.1078125,-8.578125
-309.95625,-319.9640625,-10.0078125
-307.9546875,-318.8203125,-10.865625
-306.2390625,-318.2484375,-12.009375
-305.0953125,-317.6765625,-12.58125
-304.5234375,-316.81875,-12.2953125
-303.665625,-315.3890625,-11.7234375
-302.8078125,-313.3875,-10.5796875
-301.95,-310.528125,-8.578125
-300.5203125,-307.096875,-6.57656250000002
-299.090625,-303.09375,-4.00312500000001
-297.6609375,-299.3765625,-1.71562500000005
-296.5171875,-296.23125,0.285937500000045
-295.9453125,-293.94375,2.00156249999998
-295.9453125,-293.0859375,2.859375
-297.0890625,-293.6578125,3.43124999999998
-298.51875,-295.659375,2.859375
-300.5203125,-298.8046875,1.71562499999999
-302.2359375,-302.521875,-0.285937499999989
-303.9515625,-306.525,-2.57343750000001
-304.5234375,-309.6703125,-5.14687500000002
-304.5234375,-311.9578125,-7.43437499999999
-303.09375,-312.5296875,-9.43593750000002
-301.0921875,-311.9578125,-10.865625
-298.2328125,-310.2421875,-12.009375
-295.659375,-307.66875,-12.009375
-293.371875,-304.809375,-11.4375
-292.228125,-302.8078125,-10.5796875
-292.5140625,-301.378125,-8.86406249999999
-294.2296875,-301.6640625,-7.43437499999999
-297.375,-303.09375,-5.71875
-301.378125,-305.6671875,-4.2890625
-305.38125,-308.8125,-3.43124999999998
-308.5265625,-311.671875,-3.14531249999999
-310.2421875,-313.3875,-3.14531249999999
-309.95625,-313.1015625,-3.14531249999999
-307.096875,-310.2421875,-3.14531249999999
-301.6640625,-305.0953125,-3.43125000000003
-294.2296875,-297.6609375,-3.43124999999998
-285.6515625,-288.796875,-3.14531249999999
-277.359375,-279.3609375,-2.00156250000003
-270.2109375,-270.496875,-0.285937499999989
-265.35,-263.634375,1.71562499999999
-263.9203125,-259.63125,4.2890625
-266.2078125,-259.059375,7.1484375
-272.2125,-262.490625,9.72187500000001
-281.3625,-269.0671875,12.2953125
-292.5140625,-278.2171875,14.296875
-304.2375,-288.796875,15.440625
-315.675,-299.6625,16.0125
-325.1109375,-309.384375,15.7265625
-331.9734375,-317.390625,14.5828125
-335.690625,-322.5375,13.153125
-335.9765625,-324.825,11.1515625
-333.975,-324.5390625,9.43593750000002
-330.2578125,-322.2515625,8.00624999999997
-326.2546875,-318.8203125,7.43437499999999
-322.5375,-315.675,6.86250000000001
-320.25,-313.3875,6.86250000000001
-319.9640625,-312.5296875,7.43437499999999
-321.965625,-313.3875,8.578125
-325.1109375,-315.9609375,9.15000000000003
-329.4,-319.678125,9.72187500000001
-333.1171875,-323.3953125,9.72187500000001
-335.690625,-326.540625,9.14999999999998
-335.690625,-327.9703125,7.72031249999998
-332.83125,-327.1125,5.71875
-327.1125,-323.9671875,3.14531249999999
-318.2484375,-318.2484375,0.0
-307.3828125,-310.528125,-3.14531249999999
-295.9453125,-301.378125,-5.43281250000001
-284.79375,-292.5140625,-7.72031250000003
-275.3578125,-284.5078125,-9.14999999999998
-268.4953125,-278.2171875,-9.72187500000001
-265.35,-274.7859375,-9.43593749999997
-265.921875,-273.928125,-8.00625000000002
-270.2109375,-276.215625,-6.00468749999999
-277.0734375,-281.0765625,-4.00312500000001
-285.9375,-287.9390625,-2.00156250000003
-295.659375,-295.659375,0.0
