LEFT,RIGHT,DIFF
-125.8125,-135.8203125,-10.0078125
-122.953125,-133.81875,-10.865625
-119.8078125,-130.959375,-11.1515625
-116.3765625,-127.8140625,-11.4375
-112.9453125,-124.3828125,-11.4375
-110.371875,-121.5234375,-11.1515625
-108.9421875,-119.521875,-10.5796875
-109.228125,-119.2359375,-10.0078125
-111.515625,-120.9515625,-9.43593750000001
-115.2328125,-124.3828125,-9.14999999999999
-120.3796875,-129.5296875,-9.14999999999999
-126.0984375,-135.8203125,-9.721875
-132.103125,-142.396875,-10.29375
-137.25,-148.4015625,-11.1515625
-140.68125,-152.9765625,-12.2953125
-142.396875,-155.55,-13.153125
-141.825,-155.8359375,-14.0109375
-139.2515625,-153.834375,-14.5828125
-134.9625,-149.83125,-14.86875
-129.24375,-144.3984375,-15.1546875
-123.525,-138.39375,-14.86875
-118.0921875,-132.9609375,-14.86875
-113.5171875,-128.3859375,-14.86875
-110.371875,-125.5265625,-15.1546875
-108.9421875,-124.9546875,-16.0125
-108.9421875,-125.8125,-16.8703125
-109.8,-128.3859375,-18.5859375
-111.2296875,-131.53125,-20.3015625
-112.0875,-134.6765625,-22.5890625
-112.3734375,-136.678125,-24.3046875
-111.515625,-137.25,-25.734375
-108.9421875,-135.534375,-26.5921875
-105.225,-131.8171875,-26.5921875
-100.65,-126.384375,-25.734375
-95.7890625,-119.8078125,-24.01875
-91.5,-112.9453125,-21.4453125
-88.3546875,-106.940625,-18.5859375
-87.496875,-102.9375,-15.440625
-88.9265625,-101.5078125,-12.58125
-92.64375,-103.2234375,-10.5796875
-98.6484375,-107.7984375,-9.15000000000001
-106.36875,-115.2328125,-8.8640625
-114.946875,-124.66875,-9.721875
-122.953125,-134.6765625,-11.7234375
-129.815625,-143.8265625,-14.0109375
-134.390625,-151.546875,-17.15625
-135.8203125,-156.121875,-20.3015625
-134.1046875,-157.265625,-23.1609375
-128.9578125,-154.40625,-25.4484375
-120.9515625,-147.8296875,-26.878125
-110.94375,-138.1078125,-27.1640625
-99.7921875,-126.0984375,-26.30625
-88.9265625,-113.5171875,-24.590625
-79.2046875,-101.5078125,-22.303125
-71.484375,-91.5,-20.015625
-66.909375,-84.065625,-17.15625
-65.19375,-80.3484375,-15.1546875
-67.1953125,-80.3484375,-13.153125
-71.7703125,-84.065625,-12.2953125
-78.91875,-90.6421875,-11.7234375
-87.496875,-99.7921875,-12.2953125
-97.21875,-110.371875,-13.153125
-106.6546875,-120.9515625,-14.296875
-114.946875,-130.6734375,-15.7265625
-122.0953125,-138.6796875,-16.584375
-127.2421875,-144.684375,-17.4421875
-130.3875,-147.8296875,-17.4421875
-131.2453125,-148.4015625,-17.15625
-130.1015625,-146.4,-16.2984375
-127.528125,-142.1109375,-14.5828125
-123.2390625,-136.678125,-13.4390625
-118.378125,-130.6734375,-12.2953125
-112.9453125,-124.3828125,-11.4375
-107.7984375,-118.6640625,-10.865625
-103.2234375,-114.375,-11.1515625
-99.50625,-111.8015625,-12.2953125
-97.21875,-110.94375,-13.725
-95.7890625,-111.8015625,-16.0125
-95.7890625,-114.375,-18.5859375
-96.9328125,-118.0921875,-21.159375
-98.934375,-122.38125,-23.446875
-101.221875,-126.6703125,-25.4484375
-103.2234375,-130.1015625,-26.878125
-104.9390625,-132.3890625,-27.45
-105.796875,-132.9609375,-27.1640625
-105.5109375,-131.8171875,-26.30625
-104.08125,-128.9578125,-24.8765625
-101.79375,-124.9546875,-23.1609375
-98.934375,-120.09375,-21.159375
-95.7890625,-115.2328125,-19.44375
-92.9296875,-110.94375,-18.0140625
-90.928125,-108.3703125,-17.4421875
-90.0703125,-107.5125,-17.4421875
-90.928125,-108.9421875,-18.0140625
-93.215625,-112.3734375,-19.1578125
-96.646875,-117.234375,-20.5875
-101.221875,-123.525,-22.303125
-106.0828125,-130.1015625,-24.01875
-110.6578125,-135.8203125,-25.1625
-114.6609375,-140.3953125,-25.734375
-117.5203125,-143.2546875,-25.734375
-118.6640625,-143.8265625,-25.1625
-118.0921875,-142.1109375,-24.01875
-116.090625,-138.6796875,-22.5890625
-112.9453125,-133.5328125,-20.5875
-109.228125,-127.8140625,-18.5859375
-104.9390625,-122.0953125,-17.15625
-100.9359375,-116.6625,-15.7265625
-97.5046875,-112.3734375,-14.86875
-95.2171875,-109.8,-14.5828125
-93.7875,-108.3703125,-14.5828125
-93.5015625,-108.65625,-15.1546875
-94.359375,-110.0859375,-15.7265625
-96.3609375,-112.3734375,-16.0125
-99.50625,-115.51875,-16.0125
-103.2234375,-119.2359375,-16.0125
-107.5125,-122.953125,-15.440625
-112.0875,-126.95625,-14.86875
-116.9484375,-130.6734375,-13.725
-121.5234375,-134.1046875,-12.58125
-125.5265625,-136.9640625,-11.4375
-128.3859375,-139.2515625,-10.865625
-129.5296875,-140.109375,-10.5796875
-128.9578125,-139.5375,-10.5796875
-126.0984375,-137.25,-11.1515625
-121.2375,-133.246875,-12.009375
-114.6609375,-127.8140625,-13.153125
-106.940625,-121.2375,-14.296875
-98.6484375,-113.803125,-15.1546875
-90.928125,-106.940625,-16.0125
-84.9234375,-101.221875,-16.2984375
-81.20625,-97.790625,-16.584375
-80.634375,-96.9328125,-16.2984375
-83.2078125,-98.934375,-15.7265625
-89.2125,-104.3671875,-15.1546875
-97.5046875,-112.0875,-14.5828125
-107.5125,-122.0953125,-14.5828125
-118.0921875,-132.675,-14.5828125
-127.528125,-142.6828125,-15.1546875
-135.2484375,-151.2609375,-16.0125
-140.109375,-157.5515625,-17.4421875
-141.825,-160.4109375,-18.5859375
-140.109375,-160.4109375,-20.3015625
-135.8203125,-157.5515625,-21.73125
-129.5296875,-152.4046875,-22.875
-122.38125,-145.828125,-23.446875
-115.2328125,-138.965625,-23.7328125
-108.9421875,-132.675,-23.7328125
-104.3671875,-127.8140625,-23.446875
-101.221875,-124.66875,-23.446875
-99.7921875,-122.953125,-23.1609375
-99.50625,-122.38125,-22.875
-99.7921875,-122.6671875,-22.875
-99.7921875,-122.953125,-23.1609375
-99.2203125,-122.6671875,-23.446875
-97.790625,-121.809375,-24.01875
-95.503125,-119.8078125,-24.3046875
-92.64375,-117.234375,-24.590625
-89.784375,-114.375,-24.590625
-87.496875,-111.515625,-24.01875
-86.0671875,-109.5140625,-23.446875
-86.0671875,-108.9421875,-22.875
-87.496875,-109.5140625,-22.0171875
-90.0703125,-111.515625,-21.4453125
-93.5015625,-114.0890625,-20.5875
-96.3609375,-117.234375,-20.8734375
-98.6484375,-119.521875,-20.8734375
-98.934375,-120.9515625,-22.0171875
-97.21875,-120.3796875,-23.1609375
-93.5015625,-118.378125,-24.8765625
-87.7828125,-114.375,-26.5921875
-81.20625,-109.5140625,-28.3078125
-74.34375,-104.08125,-29.7375
-68.625,-99.50625,-30.88125
-64.621875,-96.075,-31.453125
-63.478125,-94.93125,-31.453125
-64.9078125,-96.075,-31.1671875
-68.9109375,-99.50625,-30.5953125
-74.6296875,-104.3671875,-29.7375
-81.20625,-110.0859375,-28.8796875
-87.496875,-115.51875,-28.021875
-92.071875,-119.521875,-27.45
-94.359375,-121.5234375,-27.1640625
-93.7875,-120.9515625,-27.1640625
-90.6421875,-117.80625,-27.1640625
-85.209375,-112.9453125,-27.7359375
-78.6328125,-107.2265625,-28.59375
-72.3421875,-101.221875,-28.8796875
-67.1953125,-96.9328125,-29.7375
-64.3359375,-94.6453125,-30.309375
-64.3359375,-95.2171875,-30.88125
-67.7671875,-99.2203125,-31.453125
-73.771875,-105.796875,-32.025
-81.778125,-114.375,-32.596875
-90.6421875,-123.8109375,-33.16875
-99.2203125,-132.675,-33.4546875
-106.0828125,-140.109375,-34.0265625
-110.371875,-144.9703125,-34.5984375
-111.515625,-146.6859375,-35.1703125
-109.8,-145.25625,-35.45625
-105.796875,-141.253125,-35.45625
-100.078125,-135.2484375,-35.1703125
-93.7875,-128.671875,-34.884375
-87.7828125,-122.6671875,-34.884375
-83.49375,-117.80625,-34.3125
-80.9203125,-114.946875,-34.0265625
-80.634375,-114.375,-33.740625
-82.0640625,-115.51875,-33.4546875
-84.9234375,-118.378125,-33.4546875
-88.06875,-121.809375,-33.740625
-90.6421875,-124.66875,-34.0265625
-92.3578125,-126.384375,-34.0265625
-92.071875,-126.384375,-34.3125
-90.0703125,-124.096875,-34.0265625
-86.0671875,-119.8078125,-33.740625
-81.20625,-114.375,-33.16875
-76.3453125,-108.3703125,-32.025
-72.05625,-103.2234375,-31.1671875
-69.76875,-99.2203125,-29.4515625
-69.76875,-98.0765625,-28.3078125
-72.9140625,-99.7921875,-26.878125
-78.91875,-104.653125,-25.734375
-87.7828125,-112.659375,-24.8765625
-98.934375,-122.6671875,-23.7328125
-110.94375,-134.390625,-23.446875
-123.2390625,-146.4,-23.1609375
-134.6765625,-157.8375,-23.1609375
-144.1125,-167.2734375,-23.1609375
-150.975,-174.421875,-23.446875
-154.978125,-178.425,-23.446875
-156.121875,-179.56875,-23.446875
-154.1203125,-177.5671875,-23.446875
-149.5453125,-172.9921875,-23.446875
-143.2546875,-166.415625,-23.1609375
-135.534375,-158.409375,-22.875
-126.6703125,-149.5453125,-22.875
-117.80625,-140.109375,-22.303125
-108.65625,-130.959375,-22.303125
-99.7921875,-121.809375,-22.0171875
-91.5,-112.9453125,-21.4453125
-83.49375,-104.653125,-21.159375
-76.3453125,-97.21875,-20.8734375
-70.0546875,-90.35625,-20.3015625
-64.621875,-84.3515625,-19.7296875
-60.61875,-79.490625,-18.871875
-57.759375,-76.059375,-18.3
-56.615625,-74.0578125,-17.4421875
-57.1875,-73.771875,-16.584375
-59.475,-75.2015625,-15.7265625
-63.7640625,-78.346875,-14.5828125
-69.4828125,-82.6359375,-13.153125
-76.63125,-88.06875,-11.4375
-84.6375,-94.359375,-9.721875
-92.9296875,-100.65,-7.72031250000001
-100.65,-106.6546875,-6.0046875
-107.7984375,-112.0875,-4.2890625
-113.5171875,-116.3765625,-2.859375
-117.80625,-119.8078125,-2.00156250000001
-120.09375,-121.809375,-1.715625
-120.9515625,-122.953125,-2.00156249999999
-120.665625,-123.525,-2.859375
-119.2359375,-123.8109375,-4.575
-117.234375,-123.8109375,-6.57656250000001
