LEFT,RIGHT,DIFF
-72.628125,-65.765625,6.8625
-69.4828125,-64.621875,4.86093750000001
-67.7671875,-64.9078125,2.859375
-67.1953125,-66.3375,0.857812499999994
-68.3390625,-69.196875,-0.857812500000009
-70.9125,-72.3421875,-1.4296875
-73.771875,-76.059375,-2.28749999999999
-77.203125,-78.91875,-1.715625
-80.3484375,-80.9203125,-0.571875000000006
-82.6359375,-81.4921875,1.14375
-84.065625,-80.9203125,3.14531249999999
-84.065625,-78.6328125,5.4328125
-83.2078125,-75.7734375,7.434375
-81.4921875,-72.3421875,9.14999999999999
-79.2046875,-68.9109375,10.29375
-76.9171875,-66.3375,10.5796875
-74.915625,-64.9078125,10.0078125
-73.4859375,-64.621875,8.8640625
-72.628125,-65.765625,6.8625
-72.3421875,-67.48125,4.86093750000001
-72.628125,-69.76875,2.859375
-72.9140625,-72.05625,0.857812499999994
-72.9140625,-73.771875,-0.857812500000009
-72.628125,-74.34375,-1.715625
-71.7703125,-74.0578125,-2.28749999999999
-70.340625,-72.9140625,-2.5734375
-68.9109375,-70.9125,-2.00156250000001
-66.909375,-68.625,-1.715625
-65.4796875,-66.3375,-0.857812500000009
-64.621875,-64.9078125,-0.285937500000003
-64.621875,-64.621875,0.0
-65.765625,-65.765625,0.0
-68.053125,-67.7671875,0.285937500000003
-71.484375,-70.9125,0.571874999999991
-75.4875,-74.6296875,0.857812499999994
-79.7765625,-78.6328125,1.14375
-84.3515625,-82.35,2.00156249999999
-88.3546875,-85.209375,3.14531249999999
-91.5,-87.2109375,4.2890625
-94.0734375,-88.06875,6.00468749999999
-95.503125,-88.3546875,7.1484375
-96.3609375,-87.7828125,8.578125
-96.3609375,-87.2109375,9.15000000000001
-96.075,-86.6390625,9.43593749999999
-95.7890625,-86.6390625,9.14999999999999
-95.2171875,-86.925,8.29218750000001
-94.93125,-87.496875,7.434375
-94.359375,-88.3546875,6.0046875
-93.5015625,-88.640625,4.86093750000001
-92.3578125,-88.3546875,4.00312500000001
-90.35625,-86.6390625,3.71718749999999
-87.7828125,-83.7796875,4.003125
-84.065625,-79.490625,4.57499999999999
-79.7765625,-74.0578125,5.71875
-75.2015625,-68.053125,7.1484375
-70.6265625,-62.0484375,8.578125
-66.909375,-56.9015625,10.0078125
-64.621875,-53.4703125,11.1515625
-63.7640625,-52.3265625,11.4375
-65.19375,-53.75625,11.4375
-68.625,-57.759375,10.865625
-73.771875,-64.05,9.72187500000001
-80.0625,-71.7703125,8.2921875
-86.925,-80.0625,6.8625
-93.215625,-87.7828125,5.4328125
-98.0765625,-93.7875,4.2890625
-101.221875,-97.5046875,3.71718749999999
-101.79375,-98.6484375,3.1453125
-100.078125,-96.646875,3.43124999999999
-95.7890625,-92.071875,3.71718749999999
-90.0703125,-85.4953125,4.575
-83.49375,-78.0609375,5.4328125
-76.9171875,-70.6265625,6.29062499999999
-71.484375,-64.3359375,7.1484375
-67.48125,-60.046875,7.434375
-66.0515625,-58.0453125,8.00625
-66.6234375,-58.6171875,8.00625000000001
-69.196875,-61.4765625,7.72031250000001
-73.2,-65.765625,7.434375
-77.775,-70.9125,6.8625
-82.35,-76.059375,6.29062500000001
-85.4953125,-80.0625,5.4328125
-87.2109375,-82.6359375,4.575
-87.2109375,-83.49375,3.71718749999999
-85.209375,-82.35,2.859375
-81.778125,-79.7765625,2.00156250000001
-77.4890625,-76.3453125,1.14375
-73.4859375,-72.628125,0.857812500000009
-70.340625,-69.76875,0.571875000000006
-68.625,-67.7671875,0.857812499999994
-68.9109375,-67.48125,1.4296875
-70.9125,-68.9109375,2.00156250000001
-74.915625,-71.7703125,3.1453125
-79.7765625,-75.2015625,4.57499999999999
-85.209375,-79.2046875,6.0046875
-90.0703125,-82.6359375,7.434375
-93.5015625,-84.9234375,8.578125
-95.503125,-86.0671875,9.43593749999999
