LEFT,RIGHT,DIFF
-60.61875,-75.4875,-14.86875
-57.759375,-73.4859375,-15.7265625
-56.04375,-72.05625,-16.0125
-56.04375,-71.484375,-15.440625
-58.33125,-72.3421875,-14.0109375
-62.334375,-74.6296875,-12.2953125
-68.053125,-78.0609375,-10.0078125
-74.34375,-82.0640625,-7.72031250000001
-80.3484375,-85.78125,-5.4328125
-85.4953125,-88.9265625,-3.43125000000001
-88.9265625,-90.928125,-2.00156250000001
-90.0703125,-91.2140625,-1.14375
-88.640625,-89.784375,-1.14375
-85.209375,-86.925,-1.71562499999999
-80.0625,-82.6359375,-2.5734375
-74.34375,-78.0609375,-3.71718750000001
-68.9109375,-73.771875,-4.86093750000001
-64.3359375,-70.340625,-6.0046875
-61.7625,-68.3390625,-6.57656249999999
-61.190625,-68.625,-7.434375
-62.90625,-70.9125,-8.00625000000001
-66.3375,-74.6296875,-8.2921875
-71.1984375,-79.7765625,-8.578125
-76.63125,-85.4953125,-8.86406249999999
-81.778125,-91.2140625,-9.43593749999999
-86.0671875,-95.503125,-9.43593749999999
-88.9265625,-98.6484375,-9.721875
-90.35625,-99.7921875,-9.43593749999999
-89.784375,-98.934375,-9.15000000000001
-88.06875,-96.075,-8.00624999999999
-85.4953125,-91.7859375,-6.29062500000001
-82.35,-86.6390625,-4.2890625
-79.490625,-81.20625,-1.71562499999999
-76.9171875,-76.059375,0.857812499999994
-74.915625,-71.484375,3.43125000000001
-73.4859375,-68.053125,5.4328125
-72.3421875,-65.765625,6.57656250000001
-71.484375,-64.3359375,7.1484375
-70.9125,-64.05,6.86250000000001
-69.76875,-64.621875,5.14687499999999
-68.9109375,-65.4796875,3.43125000000001
-67.7671875,-66.909375,0.857812500000009
-66.909375,-68.9109375,-2.00156250000001
-66.909375,-70.9125,-4.00312500000001
-67.48125,-73.2,-5.71875
-69.4828125,-75.7734375,-6.29062499999999
-72.3421875,-78.6328125,-6.29062499999999
-76.63125,-81.778125,-5.14687499999999
-81.778125,-85.209375,-3.43125000000001
-86.925,-88.06875,-1.14375000000001
-91.7859375,-90.928125,0.857812499999994
-95.503125,-92.9296875,2.5734375
-97.790625,-94.0734375,3.71718750000001
-98.3625,-94.0734375,4.2890625
-96.646875,-92.9296875,3.71718750000001
-93.5015625,-90.928125,2.5734375
-88.640625,-88.3546875,0.285937500000003
-83.49375,-85.78125,-2.28749999999999
-78.346875,-83.2078125,-4.86093750000001
-74.34375,-81.4921875,-7.1484375
-71.7703125,-80.634375,-8.8640625
-71.1984375,-81.20625,-10.0078125
-72.628125,-83.2078125,-10.5796875
-76.059375,-86.6390625,-10.5796875
-80.9203125,-90.6421875,-9.721875
-86.6390625,-95.2171875,-8.578125
-92.3578125,-99.7921875,-7.43437499999999
-97.790625,-103.7953125,-6.0046875
-101.79375,-106.6546875,-4.86093750000001
-104.3671875,-108.084375,-3.71718750000001
-104.9390625,-107.7984375,-2.859375
-103.509375,-106.0828125,-2.5734375
-100.65,-102.6515625,-2.00156249999999
-96.075,-97.790625,-1.715625
-90.6421875,-92.3578125,-1.715625
-84.6375,-86.6390625,-2.00156250000001
-78.91875,-80.9203125,-2.00156250000001
-73.771875,-76.059375,-2.28749999999999
-69.4828125,-72.3421875,-2.859375
-66.6234375,-69.76875,-3.14531249999999
-65.19375,-69.196875,-4.003125
-65.765625,-70.0546875,-4.2890625
-68.053125,-72.628125,-4.57499999999999
-72.05625,-76.63125,-4.575
-77.4890625,-81.4921875,-4.003125
-83.7796875,-87.2109375,-3.43124999999999
-91.2140625,-92.9296875,-1.715625
-98.3625,-98.3625,0.0
-105.225,-103.2234375,2.00156250000001
-110.6578125,-106.36875,4.2890625
-114.375,-108.084375,6.29062499999999
-115.8046875,-107.7984375,8.00624999999999
-114.6609375,-105.5109375,9.15000000000001
-110.6578125,-101.221875,9.43593750000001
-104.3671875,-95.2171875,9.14999999999999
-95.7890625,-87.7828125,8.00624999999999
-85.78125,-79.7765625,6.0046875
-75.2015625,-71.484375,3.71718750000001
-64.9078125,-63.478125,1.4296875
-56.04375,-56.615625,-0.571874999999999
-49.4671875,-51.46875,-2.0015625
-45.4640625,-48.3234375,-2.859375
-44.60625,-47.465625,-2.859375
-46.6078125,-48.8953125,-2.2875
-51.7546875,-52.6125,-0.857812500000001
-59.1890625,-58.33125,0.857812500000001
-68.3390625,-65.765625,2.5734375
-78.0609375,-74.0578125,4.00312500000001
-87.7828125,-82.921875,4.86093750000001
-96.3609375,-91.5,4.86093750000001
-103.509375,-98.934375,4.575
-108.65625,-105.225,3.43124999999999
-111.515625,-109.8,1.71562499999999
-112.3734375,-112.659375,-0.285937500000003
-111.515625,-113.5171875,-2.00156250000001
-109.5140625,-112.659375,-3.1453125
-106.6546875,-110.371875,-3.71718749999999
-103.509375,-107.2265625,-3.71718749999999
-100.9359375,-103.7953125,-2.859375
-99.2203125,-100.3640625,-1.14375
-98.0765625,-97.5046875,0.571875000000006
-98.3625,-95.503125,2.859375
-98.934375,-94.359375,4.575
-100.078125,-93.7875,6.29062499999999
-101.221875,-93.7875,7.43437499999999
-101.79375,-94.0734375,7.72031250000001
-101.5078125,-94.0734375,7.434375
-99.7921875,-93.215625,6.57656249999999
-96.9328125,-91.5,5.4328125
-92.64375,-88.640625,4.003125
-87.7828125,-84.6375,3.1453125
-82.35,-80.0625,2.28750000000001
-77.4890625,-75.2015625,2.28749999999999
-73.2,-70.6265625,2.5734375
-70.6265625,-66.909375,3.71718750000001
-69.4828125,-64.3359375,5.14687500000001
-70.340625,-63.478125,6.8625
-72.628125,-64.05,8.578125
-76.3453125,-66.3375,10.0078125
-80.634375,-69.4828125,11.1515625
-84.6375,-73.4859375,11.1515625
-88.06875,-77.203125,10.865625
-90.35625,-80.3484375,10.0078125
-90.6421875,-82.35,8.2921875
-89.4984375,-82.921875,6.57656250000001
-86.6390625,-82.0640625,4.575
-82.6359375,-80.0625,2.5734375
-78.0609375,-77.4890625,0.571875000000006
-73.771875,-74.34375,-0.571874999999991
-70.340625,-71.7703125,-1.4296875
-68.3390625,-70.0546875,-1.715625
-68.053125,-69.4828125,-1.4296875
-69.196875,-70.0546875,-0.857812499999994
-71.7703125,-71.7703125,0.0
-75.7734375,-74.6296875,1.14375
-80.0625,-77.775,2.28749999999999
-84.6375,-81.20625,3.43125000000001
-88.640625,-84.3515625,4.2890625
-92.071875,-86.925,5.14687500000001
-94.93125,-89.2125,5.71875
-97.21875,-90.928125,6.29062499999999
-98.934375,-92.3578125,6.57656249999999
-100.3640625,-93.7875,6.57656249999999
-102.0796875,-95.503125,6.57656250000001
-104.08125,-97.5046875,6.57656249999999
-106.0828125,-100.078125,6.0046875
-107.7984375,-102.6515625,5.14687500000001
-109.228125,-105.225,4.003125
-110.0859375,-107.2265625,2.859375
-109.5140625,-108.084375,1.4296875
-107.2265625,-107.5125,-0.285937500000003
-103.7953125,-105.225,-1.4296875
-98.6484375,-101.5078125,-2.859375
-92.3578125,-96.3609375,-4.003125
-85.78125,-90.0703125,-4.2890625
-79.490625,-83.7796875,-4.2890625
-74.0578125,-78.0609375,-4.00312500000001
-70.340625,-73.4859375,-3.1453125
-68.625,-70.340625,-1.715625
-68.9109375,-69.4828125,-0.571875000000006
-71.1984375,-70.6265625,0.571874999999991
-75.2015625,-73.4859375,1.715625
-79.7765625,-77.4890625,2.28749999999999
-84.9234375,-82.35,2.5734375
-89.2125,-87.2109375,2.00156250000001
-92.64375,-91.7859375,0.857812499999994
-94.359375,-94.93125,-0.571875000000006
-94.0734375,-96.646875,-2.57343750000001
-92.3578125,-96.9328125,-4.57499999999999
-89.4984375,-95.503125,-6.00468749999999
-85.4953125,-93.215625,-7.72031250000001
-80.9203125,-90.0703125,-9.14999999999999
-76.63125,-86.0671875,-9.43593749999999
-72.628125,-82.35,-9.72187500000001
-69.196875,-78.346875,-9.14999999999999
-66.909375,-74.915625,-8.00625000000001
-65.19375,-72.05625,-6.8625
-64.621875,-69.76875,-5.14687499999999
-65.19375,-68.053125,-2.859375
-66.3375,-67.48125,-1.14375
-68.625,-67.48125,1.14375
-71.484375,-68.625,2.859375
-75.4875,-70.6265625,4.86093749999999
-80.0625,-73.771875,6.29062499999999
-85.209375,-77.4890625,7.72031250000001
-90.6421875,-82.0640625,8.578125
-96.075,-86.353125,9.721875
-100.3640625,-90.35625,10.0078125
-103.7953125,-93.215625,10.5796875
-105.225,-94.6453125,10.5796875
-104.3671875,-93.7875,10.5796875
-101.5078125,-91.2140625,10.29375
-96.646875,-86.6390625,10.0078125
-90.35625,-80.3484375,10.0078125
-83.2078125,-73.2,10.0078125
-76.3453125,-66.3375,10.0078125
-70.6265625,-60.61875,10.0078125
-66.909375,-56.615625,10.29375
-66.0515625,-55.471875,10.5796875
-67.7671875,-57.4734375,10.29375
-72.628125,-62.334375,10.29375
-79.490625,-69.76875,9.72187500000001
-88.06875,-78.91875,9.15000000000001
-96.3609375,-88.3546875,8.00625000000001
-104.08125,-97.5046875,6.57656249999999
-109.5140625,-104.3671875,5.14687500000001
-112.0875,-108.65625,3.43125000000001
-111.2296875,-109.5140625,1.715625
-107.2265625,-106.6546875,0.571874999999991
-100.3640625,-100.9359375,-0.571875000000006
-91.5,-92.64375,-1.14375
-81.778125,-82.921875,-1.14375
-72.628125,-73.2,-0.571875000000006
-64.621875,-64.3359375,0.285937500000003
-59.1890625,-57.759375,1.4296875
-56.04375,-54.0421875,2.0015625
-55.7578125,-52.8984375,2.859375
-58.0453125,-54.6140625,3.43125
-62.0484375,-58.6171875,3.43125000000001
-66.6234375,-63.7640625,2.85937500000001
-71.484375,-68.9109375,2.5734375
-75.4875,-73.4859375,2.00156249999999
-78.346875,-76.9171875,1.4296875
-79.490625,-78.346875,1.14375000000001
-79.490625,-78.0609375,1.4296875
-78.6328125,-76.3453125,2.28749999999999
-77.4890625,-74.0578125,3.43125000000001
-77.203125,-72.05625,5.14687499999999
-78.346875,-71.1984375,7.1484375
-80.9203125,-72.628125,8.29218750000001
-85.78125,-76.3453125,9.43593749999999
-92.64375,-82.6359375,10.0078125
-100.65,-91.2140625,9.43593750000001
-109.5140625,-101.79375,7.72031250000001
-118.378125,-112.659375,5.71875
-125.8125,-122.953125,2.859375
-131.2453125,-131.53125,-0.285937499999989
-134.1046875,-137.5359375,-3.43125000000001
-134.1046875,-140.3953125,-6.29062500000001
-130.959375,-139.2515625,-8.29218750000001
-125.5265625,-134.390625,-8.86406249999999
-117.80625,-126.6703125,-8.8640625
-108.9421875,-116.6625,-7.72031250000001
-99.7921875,-105.225,-5.43281250000001
-90.6421875,-93.5015625,-2.859375
-82.6359375,-82.35,0.285937499999989
-75.4875,-72.628125,2.859375
-69.4828125,-64.9078125,4.575
-64.9078125,-59.1890625,5.71875
-60.9046875,-55.1859375,5.71875
-57.759375,-52.8984375,4.86093750000001
-55.1859375,-52.040625,3.1453125
-52.6125,-51.7546875,0.857812500000001
-50.6109375,-52.040625,-1.4296875
-48.609375,-52.6125,-4.003125
-47.1796875,-52.8984375,-5.71875
-46.6078125,-53.184375,-6.5765625
-46.6078125,-53.4703125,-6.8625
-48.0375,-54.328125,-6.290625
-50.325,-55.471875,-5.146875
-53.4703125,-56.9015625,-3.43125000000001
-57.4734375,-59.1890625,-1.715625
-61.7625,-61.7625,0.0
-66.0515625,-64.9078125,1.14375
-69.76875,-67.7671875,2.00156249999999
-72.9140625,-70.9125,2.00156249999999
-75.2015625,-73.771875,1.4296875
-76.9171875,-76.3453125,0.571874999999991
-77.775,-78.346875,-0.571874999999991
-78.0609375,-79.7765625,-1.71562499999999
-78.6328125,-81.20625,-2.5734375
-79.2046875,-82.0640625,-2.859375
-80.3484375,-83.2078125,-2.859375
-81.778125,-84.3515625,-2.5734375
-84.3515625,-85.4953125,-1.14375
-87.2109375,-87.2109375,0.0
-90.6421875,-88.9265625,1.715625
-94.359375,-91.2140625,3.1453125
-98.0765625,-93.5015625,4.575
-101.5078125,-96.075,5.4328125
-104.3671875,-98.6484375,5.71875
-106.6546875,-100.9359375,5.71875
-108.3703125,-102.9375,5.4328125
-109.228125,-104.653125,4.575
-109.228125,-105.796875,3.43125000000001
-108.3703125,-106.0828125,2.28749999999999
-106.6546875,-105.225,1.4296875
-104.08125,-103.509375,0.571874999999991
-100.3640625,-100.3640625,0.0
-95.7890625,-96.3609375,-0.571875000000006
-90.6421875,-91.5,-0.857812499999994
-84.9234375,-86.0671875,-1.14375
-79.2046875,-80.3484375,-1.14375
-73.771875,-75.2015625,-1.4296875
-69.196875,-70.9125,-1.715625
-66.3375,-68.053125,-1.715625
-64.9078125,-66.909375,-2.00156249999999
-65.765625,-68.053125,-2.28750000000001
-68.625,-71.1984375,-2.5734375
-73.2,-76.059375,-2.859375
-79.2046875,-82.0640625,-2.859375
-86.0671875,-89.2125,-3.1453125
-92.9296875,-96.075,-3.1453125
-99.2203125,-102.365625,-3.1453125
-104.08125,-107.2265625,-3.1453125
-107.5125,-110.6578125,-3.1453125
-108.9421875,-112.0875,-3.1453125
-108.3703125,-111.8015625,-3.43125000000001
-106.36875,-110.0859375,-3.71718749999999
-103.509375,-107.2265625,-3.71718749999999
-100.078125,-103.7953125,-3.71718750000001
-96.3609375,-100.078125,-3.71718749999999
-93.5015625,-97.21875,-3.71718749999999
-91.2140625,-94.6453125,-3.43125000000001
-89.784375,-93.215625,-3.43125000000001
-89.2125,-92.64375,-3.43124999999999
-88.9265625,-92.64375,-3.71718749999999
-89.2125,-93.215625,-4.003125
-89.4984375,-94.0734375,-4.57499999999999
-89.4984375,-94.6453125,-5.14687499999999
-88.9265625,-95.2171875,-6.29062500000001
-88.3546875,-95.503125,-7.1484375
-87.2109375,-95.7890625,-8.578125
-86.0671875,-95.7890625,-9.721875
-85.209375,-95.7890625,-10.5796875
-84.9234375,-96.075,-11.1515625
-85.209375,-96.9328125,-11.7234375
-86.353125,-98.0765625,-11.7234375
-88.3546875,-99.7921875,-11.4375
-90.6421875,-101.79375,-11.1515625
-93.215625,-104.08125,-10.865625
-95.503125,-106.36875,-10.865625
-97.5046875,-108.3703125,-10.865625
-98.934375,-109.8,-10.865625
-99.50625,-111.2296875,-11.7234375
-99.2203125,-111.8015625,-12.58125
-98.0765625,-112.0875,-14.0109375
-96.9328125,-112.0875,-15.1546875
-95.503125,-111.8015625,-16.2984375
-94.359375,-111.2296875,-16.8703125
-93.7875,-110.6578125,-16.8703125
-93.7875,-110.0859375,-16.2984375
