LEFT,RIGHT,DIFF
-85.209375,-63.7640625,21.4453125
-86.6390625,-62.6203125,24.01875
-86.353125,-60.9046875,25.4484375
-84.6375,-58.903125,25.734375
-82.35,-57.759375,24.590625
-79.7765625,-57.4734375,22.303125
-77.4890625,-58.0453125,19.44375
-76.059375,-59.1890625,16.8703125
-75.4875,-60.9046875,14.5828125
-75.7734375,-61.7625,14.0109375
-76.3453125,-61.7625,14.5828125
-77.203125,-59.7609375,17.4421875
-77.203125,-55.471875,21.73125
-75.7734375,-48.8953125,26.878125
-72.628125,-40.03125,32.596875
-67.48125,-29.4515625,38.0296875
-60.61875,-18.0140625,42.6046875
-52.3265625,-6.8625,45.4640625
-43.4625,2.5734375,46.0359375
-34.884375,10.0078125,44.8921875
-27.45,14.296875,41.746875
-22.303125,14.86875,37.171875
-20.015625,12.009375,32.025
-20.8734375,5.4328125,26.30625
-25.1625,-3.1453125,22.0171875
-32.025,-13.4390625,18.5859375
-40.8890625,-24.3046875,16.584375
-50.325,-34.0265625,16.2984375
-59.475,-41.746875,17.728125
-66.909375,-46.321875,20.5875
-71.7703125,-47.7515625,24.01875
-73.2,-46.0359375,27.1640625
-71.1984375,-40.8890625,30.309375
-65.765625,-33.4546875,32.3109375
-58.0453125,-24.8765625,33.16875
-48.3234375,-15.440625,32.8828125
-38.0296875,-6.8625,31.1671875
-28.3078125,0.2859375,28.59375
-20.3015625,5.4328125,25.734375
-14.296875,8.2921875,22.5890625
-11.1515625,8.8640625,20.015625
-10.5796875,7.1484375,17.728125
-12.58125,3.7171875,16.2984375
-16.584375,-0.571875,16.0125
-22.0171875,-6.0046875,16.0125
-28.3078125,-11.7234375,16.584375
-34.884375,-17.15625,17.728125
-41.175,-22.303125,18.871875
-47.1796875,-26.878125,20.3015625
-52.6125,-30.88125,21.73125
-57.4734375,-34.5984375,22.875
-62.0484375,-37.74375,24.3046875
-66.0515625,-40.603125,25.4484375
-69.76875,-42.890625,26.878125
-72.9140625,-44.60625,28.3078125
-75.4875,-45.75,29.7375
-76.9171875,-46.0359375,30.88125
-77.203125,-45.4640625,31.7390625
-76.059375,-44.034375,32.025
-73.4859375,-42.0328125,31.453125
-70.0546875,-39.459375,30.5953125
-65.765625,-37.171875,28.59375
-61.190625,-35.1703125,26.0203125
-57.1875,-34.3125,22.875
-54.328125,-34.5984375,19.7296875
-53.184375,-36.028125,17.15625
-54.0421875,-38.8875,15.1546875
-56.615625,-42.6046875,14.0109375
-60.61875,-46.6078125,14.0109375
-65.4796875,-50.0390625,15.440625
-70.0546875,-52.3265625,17.728125
-74.0578125,-53.184375,20.8734375
-76.63125,-52.040625,24.590625
-76.9171875,-48.8953125,28.021875
-74.915625,-44.3203125,30.5953125
-71.1984375,-38.8875,32.3109375
-66.3375,-33.4546875,32.8828125
-60.9046875,-29.165625,31.7390625
-56.3296875,-26.5921875,29.7375
-53.184375,-26.30625,26.878125
-51.7546875,-28.8796875,22.875
-53.184375,-33.16875,20.015625
-56.3296875,-39.459375,16.8703125
-61.190625,-45.75,15.440625
-66.6234375,-51.1828125,15.440625
-71.1984375,-54.6140625,16.584375
-74.0578125,-55.1859375,18.871875
-74.6296875,-52.3265625,22.303125
-71.7703125,-46.0359375,25.734375
-66.0515625,-37.4578125,28.59375
-58.0453125,-27.1640625,30.88125
-48.3234375,-17.15625,31.1671875
-38.6015625,-8.578125,30.0234375
-30.309375,-3.1453125,27.1640625
-24.590625,-1.715625,22.875
-22.303125,-4.8609375,17.4421875
-24.01875,-11.7234375,12.2953125
-29.165625,-21.73125,7.434375
-37.4578125,-33.4546875,4.003125
-47.465625,-45.178125,2.2875
-57.759375,-55.1859375,2.5734375
-67.1953125,-62.334375,4.8609375
-74.0578125,-65.4796875,8.578125
-77.775,-64.3359375,13.4390625
-78.0609375,-59.475,18.5859375
-75.2015625,-52.040625,23.1609375
-70.0546875,-43.1765625,26.878125
-63.1921875,-34.5984375,28.59375
-56.3296875,-27.7359375,28.59375
-50.325,-23.7328125,26.5921875
-46.321875,-23.1609375,23.1609375
-44.8921875,-26.0203125,18.871875
-46.321875,-32.025,14.296875
-50.325,-40.03125,10.29375
-56.04375,-48.609375,7.434375
-62.6203125,-56.9015625,5.71875
-69.196875,-63.7640625,5.4328125
-74.915625,-68.053125,6.8625
-79.2046875,-69.4828125,9.721875
-81.4921875,-68.053125,13.4390625
-81.4921875,-64.3359375,17.15625
-79.7765625,-58.903125,20.8734375
-76.059375,-52.6125,23.446875
-71.484375,-46.321875,25.1625
-66.3375,-40.603125,25.734375
-61.190625,-36.028125,25.1625
-56.3296875,-32.8828125,23.446875
-52.3265625,-31.1671875,21.159375
-49.4671875,-31.1671875,18.3
-47.7515625,-32.3109375,15.440625
-46.89375,-34.0265625,12.8671875
-47.7515625,-36.8859375,10.865625
-49.4671875,-40.03125,9.4359375
-52.3265625,-43.7484375,8.578125
-56.04375,-47.465625,8.578125
-60.3328125,-51.46875,8.8640625
-65.19375,-55.1859375,10.0078125
-69.76875,-58.903125,10.865625
-73.771875,-62.0484375,11.7234375
-76.9171875,-64.05,12.8671875
-78.6328125,-65.19375,13.4390625
-78.91875,-64.9078125,14.0109375
-77.4890625,-62.90625,14.5828125
-74.6296875,-59.7609375,14.86875
-70.340625,-55.471875,14.86875
-65.4796875,-50.325,15.1546875
-60.61875,-44.8921875,15.7265625
-56.3296875,-39.7453125,16.584375
-53.184375,-35.45625,17.728125
-51.46875,-32.3109375,19.1578125
-51.46875,-30.88125,20.5875
-53.4703125,-30.88125,22.5890625
-56.9015625,-32.8828125,24.01875
-61.7625,-36.028125,25.734375
-67.1953125,-40.3171875,26.878125
-72.9140625,-45.4640625,27.45
-78.346875,-50.896875,27.45
-82.921875,-56.04375,26.878125
-86.6390625,-60.61875,26.0203125
-88.9265625,-64.3359375,24.590625
-90.0703125,-66.6234375,23.446875
-89.784375,-67.7671875,22.0171875
-88.3546875,-67.1953125,21.159375
-85.4953125,-64.9078125,20.5875
-81.4921875,-60.9046875,20.5875
-76.63125,-55.471875,21.159375
-70.9125,-49.18125,21.73125
-64.9078125,-42.0328125,22.875
-58.6171875,-34.884375,23.7328125
-52.8984375,-28.59375,24.3046875
-48.0375,-23.1609375,24.8765625
-44.3203125,-19.44375,24.8765625
-42.31875,-18.0140625,24.3046875
-42.6046875,-18.5859375,24.01875
-44.60625,-20.8734375,23.7328125
-48.3234375,-24.8765625,23.446875
-53.4703125,-29.7375,23.7328125
-59.1890625,-34.5984375,24.590625
-64.9078125,-38.8875,26.0203125
-69.4828125,-41.4609375,28.021875
-72.628125,-42.31875,30.309375
-73.4859375,-41.175,32.3109375
-72.05625,-38.315625,33.740625
-68.9109375,-34.0265625,34.884375
-64.05,-28.8796875,35.1703125
-58.33125,-24.01875,34.3125
-52.6125,-20.015625,32.596875
-48.0375,-17.4421875,30.5953125
-45.178125,-16.584375,28.59375
-44.3203125,-17.4421875,26.878125
-45.4640625,-19.7296875,25.734375
-48.609375,-22.5890625,26.0203125
-52.6125,-25.4484375,27.1640625
-56.9015625,-27.1640625,29.7375
-60.61875,-27.7359375,32.8828125
-62.90625,-26.30625,36.6
-63.1921875,-23.1609375,40.03125
-61.7625,-18.5859375,43.1765625
-58.0453125,-13.153125,44.8921875
-53.184375,-7.434375,45.75
-47.7515625,-2.5734375,45.178125
-42.31875,0.571875,42.890625
-38.315625,2.0015625,40.3171875
-36.028125,1.14375,37.171875
-35.7421875,-1.715625,34.0265625
-38.0296875,-6.5765625,31.453125
-42.31875,-12.58125,29.7375
-48.0375,-18.871875,29.165625
-54.328125,-24.590625,29.7375
-60.9046875,-29.4515625,31.453125
-66.6234375,-32.8828125,33.740625
-71.1984375,-34.5984375,36.6
-74.0578125,-34.5984375,39.459375
-75.4875,-33.16875,42.31875
-75.2015625,-31.1671875,44.034375
-73.771875,-28.3078125,45.4640625
-71.1984375,-25.734375,45.4640625
-68.3390625,-23.446875,44.8921875
-65.4796875,-21.73125,43.7484375
-62.6203125,-20.8734375,41.746875
-60.3328125,-20.5875,39.7453125
-58.6171875,-20.8734375,37.74375
-57.759375,-21.73125,36.028125
-57.4734375,-22.875,34.5984375
-58.33125,-24.8765625,33.4546875
-59.7609375,-26.878125,32.8828125
-61.7625,-29.165625,32.596875
-64.621875,-31.7390625,32.8828125
-67.7671875,-34.5984375,33.16875
-71.1984375,-37.4578125,33.740625
-74.34375,-40.03125,34.3125
-76.9171875,-41.746875,35.1703125
-78.346875,-42.890625,35.45625
-78.6328125,-42.6046875,36.028125
-77.4890625,-40.8890625,36.6
-74.6296875,-38.0296875,36.6
-70.340625,-34.0265625,36.3140625
-65.19375,-29.165625,36.028125
-59.7609375,-24.01875,35.7421875
-54.328125,-19.1578125,35.1703125
-49.4671875,-15.1546875,34.3125
-46.321875,-12.2953125,34.0265625
-44.8921875,-11.1515625,33.740625
-45.178125,-11.4375,33.740625
-47.465625,-13.153125,34.3125
-50.896875,-16.0125,34.884375
-54.9,-19.44375,35.45625
-58.903125,-22.5890625,36.3140625
-62.334375,-25.4484375,36.8859375
-64.3359375,-26.878125,37.4578125
-64.9078125,-27.1640625,37.74375
-63.7640625,-26.30625,37.4578125
-61.190625,-24.3046875,36.8859375
-57.759375,-21.4453125,36.3140625
-53.75625,-18.5859375,35.1703125
-50.0390625,-16.0125,34.0265625
-47.1796875,-14.296875,32.8828125
-45.4640625,-13.725,31.7390625
-45.4640625,-14.5828125,30.88125
-47.1796875,-16.8703125,30.309375
-50.0390625,-20.015625,30.0234375
-53.75625,-24.01875,29.7375
-58.33125,-28.3078125,30.0234375
-62.90625,-32.596875,30.309375
-67.1953125,-36.6,30.5953125
-71.1984375,-39.7453125,31.453125
