LEFT,RIGHT,DIFF
-90.0703125,-43.7484375,46.321875
-91.5,-45.75,45.75
-92.071875,-47.1796875,44.8921875
-91.5,-47.7515625,43.7484375
-90.0703125,-47.1796875,42.890625
-87.2109375,-45.4640625,41.746875
-83.7796875,-42.890625,40.8890625
-80.0625,-39.7453125,40.3171875
-76.63125,-36.8859375,39.7453125
-73.771875,-34.3125,39.459375
-71.7703125,-32.8828125,38.8875
-71.1984375,-32.8828125,38.315625
-72.05625,-34.5984375,37.4578125
-74.0578125,-37.74375,36.3140625
-77.4890625,-42.31875,35.1703125
-81.4921875,-47.1796875,34.3125
-85.4953125,-52.040625,33.4546875
-89.4984375,-56.3296875,33.16875
-92.64375,-59.1890625,33.4546875
-94.93125,-60.046875,34.884375
-95.7890625,-59.1890625,36.6
-94.93125,-56.04375,38.8875
-93.215625,-50.896875,42.31875
-90.0703125,-44.8921875,45.178125
-86.0671875,-38.0296875,48.0375
-81.4921875,-31.1671875,50.325
-76.9171875,-25.4484375,51.46875
-72.9140625,-21.159375,51.7546875
-69.4828125,-19.1578125,50.325
-67.1953125,-19.1578125,48.0375
-66.3375,-21.73125,44.60625
-67.1953125,-26.5921875,40.603125
-69.4828125,-33.16875,36.3140625
-73.2,-40.8890625,32.3109375
-78.0609375,-49.18125,28.8796875
-84.065625,-57.4734375,26.5921875
-90.35625,-64.621875,25.734375
-96.3609375,-70.340625,26.0203125
-101.79375,-74.34375,27.45
-106.0828125,-76.059375,30.0234375
-108.65625,-75.4875,33.16875
-109.228125,-73.2,36.028125
-107.7984375,-69.196875,38.6015625
-104.3671875,-63.7640625,40.603125
-99.50625,-58.0453125,41.4609375
-93.7875,-52.3265625,41.4609375
-87.496875,-47.1796875,40.3171875
-81.20625,-42.890625,38.315625
-75.7734375,-39.7453125,36.028125
-71.484375,-38.0296875,33.4546875
-68.625,-37.4578125,31.1671875
-67.1953125,-37.74375,29.4515625
-66.909375,-38.8875,28.021875
-67.7671875,-40.3171875,27.45
-68.9109375,-41.746875,27.1640625
-70.340625,-42.890625,27.45
-71.484375,-43.4625,28.021875
-72.3421875,-43.7484375,28.59375
-72.3421875,-43.7484375,28.59375
-72.05625,-43.4625,28.59375
-71.1984375,-43.1765625,28.021875
-70.340625,-43.1765625,27.1640625
-69.4828125,-43.4625,26.0203125
-68.9109375,-44.034375,24.8765625
-68.9109375,-45.178125,23.7328125
-69.4828125,-46.321875,23.1609375
-70.340625,-47.465625,22.875
-71.1984375,-48.609375,22.5890625
-72.05625,-49.18125,22.875
-72.628125,-49.4671875,23.1609375
-72.628125,-48.8953125,23.7328125
-72.3421875,-48.0375,24.3046875
-71.1984375,-46.89375,24.3046875
-69.76875,-46.0359375,23.7328125
-68.625,-45.178125,23.446875
-67.48125,-44.60625,22.875
-66.909375,-44.8921875,22.0171875
-66.909375,-45.75,21.159375
-67.48125,-46.89375,20.5875
-68.9109375,-48.609375,20.3015625
-70.340625,-50.0390625,20.3015625
-71.7703125,-51.46875,20.3015625
-72.9140625,-52.3265625,20.5875
-73.2,-52.3265625,20.8734375
-72.3421875,-51.7546875,20.5875
-70.9125,-50.325,20.5875
-68.3390625,-48.3234375,20.015625
-65.4796875,-46.0359375,19.44375
-62.6203125,-44.034375,18.5859375
-60.046875,-42.31875,17.728125
-58.6171875,-41.4609375,17.15625
-58.33125,-41.4609375,16.8703125
-59.7609375,-42.6046875,17.15625
-62.334375,-44.3203125,18.0140625
-66.0515625,-47.1796875,18.871875
-70.6265625,-50.325,20.3015625
-75.4875,-53.4703125,22.0171875
-79.7765625,-56.9015625,22.875
-83.2078125,-59.7609375,23.446875
-85.4953125,-62.334375,23.1609375
-86.353125,-64.05,22.303125
-85.78125,-65.19375,20.5875
-84.065625,-66.0515625,18.0140625
-81.4921875,-66.0515625,15.440625
-78.6328125,-65.765625,12.8671875
-76.059375,-65.19375,10.865625
-73.771875,-64.3359375,9.43593750000001
-72.05625,-63.478125,8.578125
-70.9125,-62.0484375,8.8640625
-70.6265625,-60.61875,10.0078125
-70.9125,-59.1890625,11.7234375
-71.484375,-57.759375,13.725
-71.7703125,-56.3296875,15.440625
-72.05625,-55.471875,16.584375
-72.05625,-54.6140625,17.4421875
-71.7703125,-54.328125,17.4421875
-71.1984375,-54.6140625,16.584375
-70.6265625,-55.471875,15.1546875
-70.0546875,-56.615625,13.4390625
-70.0546875,-57.759375,12.2953125
-70.0546875,-58.903125,11.1515625
-70.6265625,-59.475,11.1515625
-71.1984375,-59.7609375,11.4375
-71.484375,-58.903125,12.58125
-71.7703125,-57.1875,14.5828125
-71.484375,-54.328125,17.15625
-70.340625,-50.896875,19.44375
-68.9109375,-47.1796875,21.73125
-66.6234375,-43.1765625,23.446875
-64.3359375,-39.7453125,24.590625
-62.0484375,-37.171875,24.8765625
-60.046875,-35.45625,24.590625
-58.903125,-35.45625,23.446875
-58.6171875,-36.6,22.0171875
-59.7609375,-39.1734375,20.5875
-61.7625,-42.6046875,19.1578125
-64.9078125,-46.6078125,18.3
-68.3390625,-50.896875,17.4421875
-72.05625,-54.9,17.15625
-75.4875,-58.0453125,17.4421875
-78.0609375,-60.046875,18.0140625
