LEFT,RIGHT,DIFF
-72.05625,-115.8046875,-43.7484375
-72.3421875,-115.51875,-43.1765625
-72.9140625,-115.2328125,-42.31875
-73.771875,-115.2328125,-41.4609375
-75.2015625,-115.2328125,-40.03125
-76.9171875,-115.8046875,-38.8875
-78.91875,-116.3765625,-37.4578125
-81.20625,-116.9484375,-35.7421875
-83.49375,-117.5203125,-34.0265625
-85.4953125,-118.0921875,-32.596875
-87.496875,-118.378125,-30.88125
-88.9265625,-118.378125,-29.4515625
-90.35625,-118.6640625,-28.3078125
-91.5,-118.378125,-26.878125
-92.3578125,-118.378125,-26.0203125
-93.215625,-118.6640625,-25.4484375
-93.7875,-118.95,-25.1625
-94.359375,-119.2359375,-24.8765625
-94.6453125,-120.09375,-25.4484375
-94.93125,-120.665625,-25.734375
-94.6453125,-121.2375,-26.5921875
-94.0734375,-121.809375,-27.7359375
-92.9296875,-122.0953125,-29.165625
-91.7859375,-121.809375,-30.0234375
-90.0703125,-121.809375,-31.7390625
-88.640625,-121.2375,-32.596875
-87.496875,-120.9515625,-33.4546875
-86.925,-120.665625,-33.740625
-86.925,-120.9515625,-34.0265625
-87.7828125,-121.5234375,-33.740625
-89.4984375,-122.38125,-32.8828125
-91.5,-123.8109375,-32.3109375
-93.7875,-124.9546875,-31.1671875
-96.075,-126.384375,-30.309375
-97.5046875,-126.95625,-29.4515625
-98.0765625,-127.2421875,-29.165625
-97.5046875,-126.384375,-28.8796875
-95.7890625,-124.3828125,-28.59375
-92.64375,-121.5234375,-28.8796875
-88.640625,-118.0921875,-29.4515625
-84.065625,-114.6609375,-30.5953125
-79.7765625,-110.94375,-31.1671875
-75.7734375,-108.084375,-32.3109375
-73.2,-106.36875,-33.16875
-71.7703125,-105.796875,-34.0265625
-71.7703125,-106.36875,-34.5984375
-73.4859375,-108.3703125,-34.884375
-75.7734375,-111.2296875,-35.45625
-78.6328125,-114.375,-35.7421875
-81.20625,-117.234375,-36.028125
-82.921875,-119.2359375,-36.3140625
-83.49375,-119.8078125,-36.3140625
-82.35,-118.6640625,-36.3140625
-79.490625,-116.090625,-36.6
-75.2015625,-111.515625,-36.3140625
-70.0546875,-106.0828125,-36.028125
-64.621875,-100.3640625,-35.7421875
-59.7609375,-94.6453125,-34.884375
-55.7578125,-90.0703125,-34.3125
-53.4703125,-87.2109375,-33.740625
-53.4703125,-86.0671875,-32.596875
-55.471875,-87.496875,-32.025
-59.475,-90.6421875,-31.1671875
-64.621875,-95.503125,-30.88125
-70.9125,-101.5078125,-30.5953125
-76.9171875,-108.084375,-31.1671875
-82.35,-113.803125,-31.453125
-86.353125,-118.6640625,-32.3109375
-88.640625,-121.809375,-33.16875
-88.640625,-122.953125,-34.3125
-86.6390625,-122.0953125,-35.45625
-82.921875,-119.521875,-36.6
-78.0609375,-115.8046875,-37.74375
-72.628125,-111.515625,-38.8875
-67.48125,-107.2265625,-39.7453125
-63.1921875,-103.7953125,-40.603125
-60.3328125,-101.79375,-41.4609375
-59.7609375,-101.5078125,-41.746875
-61.190625,-103.509375,-42.31875
-64.621875,-107.7984375,-43.1765625
-70.340625,-113.803125,-43.4625
-77.4890625,-121.5234375,-44.034375
-85.4953125,-130.1015625,-44.60625
-94.0734375,-138.965625,-44.8921875
-102.365625,-146.971875,-44.60625
-110.0859375,-153.834375,-43.7484375
-116.090625,-158.98125,-42.890625
-120.3796875,-161.840625,-41.4609375
-122.6671875,-162.1265625,-39.459375
-122.953125,-159.8390625,-36.8859375
-121.2375,-155.55,-34.3125
-117.80625,-149.259375,-31.453125
-112.9453125,-141.825,-28.8796875
-107.2265625,-133.81875,-26.5921875
-101.221875,-125.8125,-24.590625
-94.93125,-118.6640625,-23.7328125
-89.4984375,-112.659375,-23.1609375
-84.6375,-108.084375,-23.446875
-80.9203125,-105.225,-24.3046875
-78.0609375,-104.08125,-26.0203125
-76.059375,-104.08125,-28.021875
-74.915625,-105.225,-30.309375
-74.34375,-106.6546875,-32.3109375
-74.0578125,-108.65625,-34.5984375
-73.771875,-110.0859375,-36.3140625
-73.4859375,-110.94375,-37.4578125
-72.9140625,-111.515625,-38.6015625
-72.05625,-111.2296875,-39.1734375
-70.9125,-110.371875,-39.459375
-69.76875,-109.228125,-39.459375
-68.625,-108.084375,-39.459375
-67.7671875,-106.940625,-39.1734375
-66.909375,-105.796875,-38.8875
-66.3375,-105.5109375,-39.1734375
-66.0515625,-105.225,-39.1734375
-66.0515625,-105.225,-39.1734375
-65.765625,-105.225,-39.459375
-65.4796875,-105.225,-39.7453125
-64.9078125,-105.225,-40.3171875
-64.05,-104.9390625,-40.8890625
-62.90625,-104.653125,-41.746875
-61.7625,-104.08125,-42.31875
-60.61875,-103.509375,-42.890625
-59.7609375,-102.9375,-43.1765625
-59.475,-102.9375,-43.4625
-59.475,-102.9375,-43.4625
-60.3328125,-103.2234375,-42.890625
-61.4765625,-103.7953125,-42.31875
-63.478125,-104.3671875,-40.8890625
-65.765625,-105.225,-39.459375
-68.053125,-105.796875,-37.74375
-70.340625,-106.0828125,-35.7421875
-72.3421875,-106.0828125,-33.740625
-73.771875,-105.796875,-32.025
-74.915625,-104.9390625,-30.0234375
-75.4875,-104.3671875,-28.8796875
-75.4875,-103.509375,-28.021875
