LEFT,RIGHT,DIFF
-39.1734375,-34.884375,4.2890625
-37.171875,-33.4546875,3.7171875
-34.5984375,-31.453125,3.1453125
-32.025,-29.4515625,2.5734375
-29.4515625,-27.45,2.0015625
-27.45,-26.0203125,1.4296875
-26.0203125,-25.1625,0.857812499999998
-25.4484375,-24.8765625,0.571874999999999
-25.734375,-25.1625,0.571874999999999
-26.878125,-26.0203125,0.857812500000001
-28.59375,-27.1640625,1.4296875
-30.5953125,-28.59375,2.0015625
-32.596875,-30.309375,2.2875
-34.3125,-31.453125,2.859375
-35.45625,-32.596875,2.859375
-35.7421875,-33.16875,2.5734375
-35.45625,-33.4546875,2.00156250000001
-34.5984375,-33.16875,1.4296875
-32.8828125,-32.3109375,0.571874999999999
-31.1671875,-31.453125,-0.285937499999999
-29.4515625,-30.0234375,-0.571874999999999
-28.021875,-28.3078125,-0.285937499999999
-26.878125,-26.878125,0.0
-26.5921875,-25.4484375,1.14375
-26.5921875,-24.01875,2.5734375
-27.45,-22.875,4.575
-28.59375,-22.0171875,6.5765625
-29.7375,-21.159375,8.578125
-31.1671875,-20.3015625,10.865625
-32.3109375,-19.7296875,12.58125
-33.16875,-19.1578125,14.0109375
-33.4546875,-18.5859375,14.86875
-33.740625,-18.0140625,15.7265625
-34.0265625,-17.728125,16.2984375
-34.0265625,-17.728125,16.2984375
-34.5984375,-18.3,16.2984375
-35.45625,-18.871875,16.584375
-36.6,-20.3015625,16.2984375
-38.315625,-21.73125,16.584375
-40.03125,-23.7328125,16.2984375
-42.0328125,-26.0203125,16.0125
-44.034375,-28.021875,16.0125
-45.75,-30.0234375,15.7265625
-47.1796875,-32.025,15.1546875
-48.0375,-33.16875,14.86875
-48.609375,-34.0265625,14.5828125
-49.18125,-34.5984375,14.5828125
-49.4671875,-34.884375,14.5828125
-50.0390625,-34.884375,15.1546875
-50.896875,-34.884375,16.0125
-52.040625,-34.884375,17.15625
-53.4703125,-34.884375,18.5859375
-55.471875,-35.1703125,20.3015625
-57.1875,-35.1703125,22.0171875
-58.903125,-35.1703125,23.7328125
-59.7609375,-34.884375,24.8765625
-60.3328125,-34.5984375,25.734375
-59.7609375,-33.4546875,26.30625
-58.33125,-32.3109375,26.0203125
-56.3296875,-30.88125,25.4484375
-53.75625,-29.165625,24.590625
-51.1828125,-28.021875,23.1609375
-48.8953125,-26.878125,22.0171875
-47.1796875,-26.5921875,20.5875
-46.321875,-27.1640625,19.1578125
-46.321875,-28.3078125,18.0140625
-47.1796875,-30.309375,16.8703125
-48.609375,-32.3109375,16.2984375
-50.325,-34.5984375,15.7265625
-52.040625,-36.6,15.440625
-53.4703125,-38.0296875,15.440625
-54.328125,-38.6015625,15.7265625
-54.0421875,-38.6015625,15.440625
-53.4703125,-37.4578125,16.0125
-52.040625,-36.3140625,15.7265625
-50.325,-34.884375,15.440625
-48.8953125,-33.4546875,15.440625
-47.7515625,-32.8828125,14.86875
-47.1796875,-33.16875,14.0109375
-47.7515625,-34.3125,13.4390625
-52.6125,-49.18125,3.43125000000001
-53.75625,-49.753125,4.003125
-53.4703125,-48.8953125,4.575
-52.8984375,-47.465625,5.4328125
-51.46875,-44.8921875,6.5765625
-49.4671875,-42.31875,7.1484375
-47.7515625,-39.459375,8.2921875
-46.0359375,-36.8859375,9.15
-44.8921875,-34.884375,10.0078125
-44.034375,-33.4546875,10.5796875
-44.034375,-32.596875,11.4375
-44.034375,-32.3109375,11.7234375
-44.60625,-32.3109375,12.2953125
-45.178125,-32.596875,12.58125
-45.75,-32.596875,13.153125
-46.321875,-32.596875,13.725
-46.6078125,-32.3109375,14.296875
-46.321875,-31.7390625,14.5828125
-45.75,-31.1671875,14.5828125
-44.8921875,-30.0234375,14.86875
-43.7484375,-29.165625,14.5828125
-42.0328125,-27.7359375,14.296875
-40.03125,-26.5921875,13.4390625
-38.0296875,-25.1625,12.8671875
-35.45625,-23.446875,12.009375
-32.596875,-21.73125,10.865625
-29.7375,-19.7296875,10.0078125
-27.1640625,-17.4421875,9.721875
-24.590625,-15.440625,9.15
-22.5890625,-13.4390625,9.15
-21.159375,-12.009375,9.15
-20.8734375,-11.1515625,9.721875
-21.4453125,-11.4375,10.0078125
-22.875,-12.58125,10.29375
-25.1625,-14.86875,10.29375
-28.021875,-18.0140625,10.0078125
-31.1671875,-21.73125,9.4359375
-34.0265625,-25.734375,8.2921875
-36.3140625,-29.4515625,6.8625
