LEFT,RIGHT,DIFF
-27.7359375,-51.46875,-23.7328125
-23.1609375,-45.4640625,-22.303125
-17.728125,-39.459375,-21.73125
-12.58125,-33.4546875,-20.8734375
-7.434375,-28.59375,-21.159375
-2.859375,-24.590625,-21.73125
0.2859375,-22.5890625,-22.875
2.2875,-22.303125,-24.590625
2.5734375,-23.7328125,-26.30625
1.4296875,-26.878125,-28.3078125
-0.571875,-31.1671875,-30.5953125
-4.2890625,-36.028125,-31.7390625
-8.2921875,-40.8890625,-32.596875
-12.58125,-45.4640625,-32.8828125
-16.0125,-48.8953125,-32.8828125
-18.871875,-51.1828125,-32.3109375
-20.015625,-51.46875,-31.453125
-20.015625,-50.6109375,-30.5953125
-18.5859375,-48.3234375,-29.7375
-15.7265625,-44.8921875,-29.165625
-10.0078125,-36.6,-26.5921875
-13.4390625,-40.3171875,-26.878125
-17.15625,-44.3203125,-27.1640625
-20.5875,-48.609375,-28.021875
-23.446875,-52.6125,-29.165625
-25.734375,-56.3296875,-30.5953125
-27.1640625,-59.475,-32.3109375
-27.45,-62.0484375,-34.5984375
-27.1640625,-63.478125,-36.3140625
-25.734375,-63.7640625,-38.0296875
-24.01875,-63.1921875,-39.1734375
-22.0171875,-61.7625,-39.7453125
-20.015625,-59.475,-39.459375
-18.0140625,-56.615625,-38.6015625
-16.2984375,-53.184375,-36.8859375
-14.86875,-49.753125,-34.884375
-13.725,-46.321875,-32.596875
-12.58125,-43.1765625,-30.5953125
-12.009375,-40.603125,-28.59375
-11.4375,-38.315625,-26.878125
-10.865625,-37.171875,-26.30625
-10.29375,-36.3140625,-26.0203125
-10.0078125,-36.3140625,-26.30625
-10.0078125,-37.171875,-27.1640625
-10.29375,-38.315625,-28.021875
-11.1515625,-40.03125,-28.8796875
-12.2953125,-41.746875,-29.4515625
-13.4390625,-43.4625,-30.0234375
-15.1546875,-44.8921875,-29.7375
-16.584375,-46.0359375,-29.4515625
-17.728125,-46.6078125,-28.8796875
-18.5859375,-46.6078125,-28.021875
-18.5859375,-46.0359375,-27.45
-17.728125,-44.8921875,-27.1640625
-16.2984375,-43.7484375,-27.45
-14.0109375,-42.0328125,-28.021875
-11.4375,-40.603125,-29.165625
-8.578125,-39.459375,-30.88125
-6.0046875,-38.6015625,-32.596875
-4.003125,-38.315625,-34.3125
-2.2875,-38.315625,-36.028125
-1.715625,-38.8875,-37.171875
-1.715625,-39.7453125,-38.0296875
-2.859375,-40.603125,-37.74375
-4.2890625,-41.746875,-37.4578125
-6.5765625,-42.6046875,-36.028125
-8.8640625,-43.1765625,-34.3125
-11.1515625,-43.7484375,-32.596875
-13.4390625,-44.034375,-30.5953125
-15.7265625,-44.3203125,-28.59375
-17.4421875,-44.60625,-27.1640625
-19.44375,-44.8921875,-25.4484375
-20.8734375,-45.178125,-24.3046875
-22.5890625,-46.0359375,-23.446875
-24.01875,-47.1796875,-23.1609375
-25.4484375,-48.609375,-23.1609375
-26.878125,-50.0390625,-23.1609375
-28.021875,-51.46875,-23.446875
-28.8796875,-52.8984375,-24.01875
-29.165625,-53.75625,-24.590625
-28.8796875,-54.328125,-25.4484375
-28.3078125,-54.6140625,-26.30625
-27.45,-54.328125,-26.878125
-26.0203125,-53.4703125,-27.45
-24.8765625,-52.3265625,-27.45
-23.7328125,-51.1828125,-27.45
-23.1609375,-50.325,-27.1640625
-23.1609375,-49.753125,-26.5921875
-24.01875,-49.4671875,-25.4484375
-25.4484375,-49.753125,-24.3046875
-27.7359375,-50.6109375,-22.875
-30.5953125,-52.040625,-21.4453125
-33.4546875,-54.0421875,-20.5875
-36.6,-56.04375,-19.44375
-39.1734375,-57.759375,-18.5859375
-41.175,-59.475,-18.3
-42.31875,-60.61875,-18.3
-42.31875,-61.190625,-18.871875
-41.4609375,-60.61875,-19.1578125
-39.7453125,-59.475,-19.7296875
-37.171875,-56.9015625,-19.7296875
-34.0265625,-53.75625,-19.7296875
-30.5953125,-49.753125,-19.1578125
-26.878125,-45.178125,-18.3
-23.446875,-40.603125,-17.15625
-20.3015625,-36.3140625,-16.0125
-17.728125,-32.8828125,-15.1546875
-16.0125,-30.309375,-14.296875
-15.440625,-28.8796875,-13.4390625
-15.7265625,-29.165625,-13.4390625
-16.584375,-30.5953125,-14.0109375
-18.5859375,-33.4546875,-14.86875
-20.8734375,-37.4578125,-16.584375
-23.446875,-41.746875,-18.3
-26.0203125,-46.321875,-20.3015625
-28.021875,-50.0390625,-22.0171875
-29.4515625,-52.8984375,-23.446875
-30.0234375,-54.0421875,-24.01875
-29.4515625,-53.4703125,-24.01875
-27.7359375,-51.1828125,-23.446875
-25.1625,-47.7515625,-22.5890625
-22.303125,-42.890625,-20.5875
-19.1578125,-37.74375,-18.5859375
-16.2984375,-32.8828125,-16.584375
-14.296875,-28.8796875,-14.5828125
-13.4390625,-26.30625,-12.8671875
-13.725,-25.4484375,-11.7234375
-15.7265625,-26.5921875,-10.865625
-19.1578125,-29.4515625,-10.29375
-23.446875,-33.740625,-10.29375
-28.3078125,-38.6015625,-10.29375
-33.16875,-43.4625,-10.29375
-37.171875,-47.465625,-10.29375
-40.3171875,-50.6109375,-10.29375
-42.0328125,-52.040625,-10.0078125
-42.31875,-51.7546875,-9.4359375
-40.8890625,-49.753125,-8.8640625
-38.0296875,-46.6078125,-8.578125
-34.3125,-42.890625,-8.578125
-30.0234375,-39.1734375,-9.15
-25.734375,-35.7421875,-10.0078125
-22.0171875,-33.16875,-11.1515625
-18.871875,-31.7390625,-12.8671875
-16.8703125,-31.453125,-14.5828125
-15.440625,-32.025,-16.584375
-14.86875,-33.16875,-18.3
-14.5828125,-34.5984375,-20.015625
-14.296875,-35.45625,-21.159375
-13.725,-36.028125,-22.303125
-12.8671875,-35.45625,-22.5890625
-11.1515625,-34.3125,-23.1609375
-9.15,-32.3109375,-23.1609375
-6.8625,-29.7375,-22.875
-4.575,-27.45,-22.875
-2.5734375,-25.734375,-23.1609375
-1.4296875,-24.8765625,-23.446875
-1.14375,-25.4484375,-24.3046875
-2.0015625,-27.1640625,-25.1625
-3.7171875,-30.0234375,-26.30625
-6.5765625,-34.0265625,-27.45
-10.0078125,-38.315625,-28.3078125
-13.4390625,-42.31875,-28.8796875
-16.584375,-45.75,-29.165625
-18.871875,-48.0375,-29.165625
-20.3015625,-48.8953125,-28.59375
-20.3015625,-48.0375,-27.7359375
-19.1578125,-45.75,-26.5921875
-16.8703125,-42.6046875,-25.734375
-14.0109375,-38.6015625,-24.590625
-10.5796875,-34.3125,-23.7328125
-7.1484375,-30.88125,-23.7328125
-4.575,-28.021875,-23.446875
-2.859375,-26.5921875,-23.7328125
-2.2875,-26.5921875,-24.3046875
-2.859375,-27.7359375,-24.8765625
-4.575,-30.0234375,-25.4484375
-7.1484375,-32.596875,-25.4484375
-9.721875,-35.45625,-25.734375
-12.2953125,-38.0296875,-25.734375
-14.296875,-39.7453125,-25.4484375
-15.1546875,-40.03125,-24.8765625
-14.86875,-39.1734375,-24.3046875
-13.4390625,-37.171875,-23.7328125
-10.5796875,-34.3125,-23.7328125
-6.8625,-30.5953125,-23.7328125
-2.5734375,-26.5921875,-24.01875
1.4296875,-22.875,-24.3046875
5.146875,-20.015625,-25.1625
8.2921875,-17.728125,-26.0203125
10.29375,-16.584375,-26.878125
11.1515625,-16.584375,-27.7359375
11.1515625,-17.4421875,-28.59375
9.721875,-18.871875,-28.59375
7.7203125,-20.5875,-28.3078125
5.4328125,-22.303125,-27.7359375
2.859375,-23.7328125,-26.5921875
0.2859375,-24.8765625,-25.1625
-1.715625,-26.0203125,-24.3046875
-3.7171875,-26.5921875,-22.875
-5.71875,-27.45,-21.73125
-7.434375,-28.3078125,-20.8734375
-9.15,-29.7375,-20.5875
-11.1515625,-31.7390625,-20.5875
-13.725,-34.3125,-20.5875
-16.0125,-37.171875,-21.159375
-18.871875,-40.03125,-21.159375
-21.159375,-42.6046875,-21.4453125
-23.446875,-44.60625,-21.159375
-24.8765625,-45.4640625,-20.5875
-25.4484375,-45.178125,-19.7296875
-25.1625,-43.4625,-18.3
-23.446875,-40.3171875,-16.8703125
-21.159375,-36.6,-15.440625
-18.3,-32.3109375,-14.0109375
-15.440625,-28.59375,-13.153125
-12.58125,-25.4484375,-12.8671875
-10.5796875,-23.7328125,-13.153125
-9.4359375,-23.446875,-14.0109375
-9.721875,-24.8765625,-15.1546875
-11.1515625,-28.021875,-16.8703125
-13.725,-32.025,-18.3
-17.15625,-36.6,-19.44375
-20.5875,-41.175,-20.5875
-24.01875,-44.8921875,-20.8734375
-26.5921875,-47.1796875,-20.5875
-28.3078125,-48.0375,-19.7296875
-28.8796875,-47.465625,-18.5859375
-27.7359375,-45.178125,-17.4421875
-25.734375,-42.0328125,-16.2984375
-22.5890625,-38.315625,-15.7265625
-18.871875,-34.5984375,-15.7265625
-15.1546875,-31.453125,-16.2984375
-11.7234375,-29.4515625,-17.728125
-8.8640625,-28.59375,-19.7296875
-7.1484375,-29.165625,-22.0171875
-6.290625,-30.5953125,-24.3046875
-6.5765625,-32.8828125,-26.30625
-7.7203125,-35.7421875,-28.021875
-9.721875,-38.315625,-28.59375
-12.2953125,-40.603125,-28.3078125
-14.86875,-42.0328125,-27.1640625
-17.4421875,-42.6046875,-25.1625
-20.015625,-42.31875,-22.303125
-21.73125,-41.4609375,-19.7296875
-22.875,-40.03125,-17.15625
-23.446875,-38.6015625,-15.1546875
-23.1609375,-36.8859375,-13.725
-22.5890625,-35.45625,-12.8671875
-21.4453125,-34.3125,-12.8671875
-20.015625,-33.4546875,-13.4390625
-18.3,-33.4546875,-15.1546875
-16.8703125,-33.4546875,-16.584375
-15.7265625,-33.740625,-18.0140625
-14.86875,-34.3125,-19.44375
-14.296875,-35.1703125,-20.8734375
-14.5828125,-36.028125,-21.4453125
-15.1546875,-36.6,-21.4453125
-16.0125,-37.171875,-21.159375
-17.4421875,-37.74375,-20.3015625
-18.5859375,-38.315625,-19.7296875
-20.015625,-38.6015625,-18.5859375
-20.8734375,-38.8875,-18.0140625
-21.73125,-39.1734375,-17.4421875
-22.303125,-39.459375,-17.15625
-22.5890625,-39.7453125,-17.15625
-22.5890625,-40.3171875,-17.728125
-22.5890625,-40.8890625,-18.3
-22.875,-41.746875,-18.871875
-23.1609375,-43.1765625,-20.015625
-23.7328125,-44.60625,-20.8734375
-24.590625,-46.321875,-21.73125
-25.734375,-48.0375,-22.303125
-26.878125,-49.753125,-22.875
-27.7359375,-51.1828125,-23.446875
-28.59375,-52.040625,-23.446875
-28.8796875,-52.3265625,-23.446875
-28.59375,-51.7546875,-23.1609375
-28.021875,-50.6109375,-22.5890625
-27.45,-49.18125,-21.73125
-26.5921875,-47.465625,-20.8734375
-25.734375,-45.4640625,-19.7296875
-25.4484375,-43.7484375,-18.3
-25.734375,-42.31875,-16.584375
-26.5921875,-41.4609375,-14.86875
-27.7359375,-41.175,-13.4390625
-29.4515625,-41.175,-11.7234375
-31.1671875,-41.4609375,-10.29375
-32.8828125,-42.0328125,-9.15
-34.0265625,-42.6046875,-8.578125
-34.5984375,-42.6046875,-8.00625
-34.3125,-42.0328125,-7.7203125
-33.4546875,-41.4609375,-8.00625
-32.025,-40.03125,-8.00625
-30.0234375,-38.8875,-8.8640625
-28.021875,-37.4578125,-9.4359375
-26.30625,-36.028125,-9.721875
-24.8765625,-34.884375,-10.0078125
-24.3046875,-34.3125,-10.0078125
-23.7328125,-33.740625,-10.0078125
-23.7328125,-33.4546875,-9.721875
-24.01875,-32.8828125,-8.8640625
-24.01875,-32.3109375,-8.2921875
-23.7328125,-31.1671875,-7.434375
-23.1609375,-29.4515625,-6.290625
-22.0171875,-27.1640625,-5.146875
-20.3015625,-24.8765625,-4.575
-18.5859375,-22.303125,-3.7171875
-16.8703125,-20.3015625,-3.43125
-16.0125,-18.5859375,-2.5734375
-15.440625,-18.0140625,-2.5734375
-16.0125,-18.3,-2.2875
-17.728125,-19.7296875,-2.0015625
-20.015625,-22.303125,-2.2875
-22.5890625,-25.1625,-2.5734375
-25.4484375,-28.021875,-2.5734375
-28.021875,-30.88125,-2.859375
-29.4515625,-32.8828125,-3.43125
-30.0234375,-34.0265625,-4.003125
-29.165625,-34.0265625,-4.8609375
-27.1640625,-32.8828125,-5.71875
-24.3046875,-30.88125,-6.5765625
-20.5875,-28.3078125,-7.7203125
-16.584375,-25.4484375,-8.8640625
-12.58125,-22.875,-10.29375
-9.4359375,-20.5875,-11.1515625
-6.5765625,-19.1578125,-12.58125
-4.575,-18.3,-13.725
-3.43125,-18.3,-14.86875
-2.859375,-18.5859375,-15.7265625
-2.859375,-19.44375,-16.584375
-3.43125,-20.3015625,-16.8703125
-4.003125,-21.73125,-17.728125
-5.4328125,-23.446875,-18.0140625
-7.434375,-26.0203125,-18.5859375
-10.29375,-29.165625,-18.871875
-14.5828125,-33.740625,-19.1578125
-20.3015625,-39.459375,-19.1578125
-27.7359375,-46.6078125,-18.871875
-36.3140625,-54.9,-18.5859375
-46.0359375,-63.7640625,-17.728125
-56.04375,-72.628125,-16.584375
-66.0515625,-80.9203125,-14.86875
-74.6296875,-87.496875,-12.8671875
-81.20625,-91.5,-10.29375
-85.209375,-92.9296875,-7.72031249999999
-86.0671875,-90.928125,-4.86093750000001
-83.7796875,-86.0671875,-2.28749999999999
-78.346875,-78.346875,0.0
-70.6265625,-68.625,2.00156250000001
-61.4765625,-58.0453125,3.43125
-51.1828125,-47.1796875,4.003125
-41.175,-37.171875,4.003125
-31.7390625,-28.8796875,2.859375
-24.01875,-22.875,1.14375
-17.728125,-19.1578125,-1.4296875
-13.4390625,-18.0140625,-4.575
-10.865625,-18.5859375,-7.7203125
-9.721875,-20.8734375,-11.1515625
-9.15,-24.01875,-14.86875
-9.4359375,-27.1640625,-17.728125
-9.721875,-30.309375,-20.5875
-9.721875,-32.596875,-22.875
-10.0078125,-34.3125,-24.3046875
-10.0078125,-35.45625,-25.4484375
-10.0078125,-36.3140625,-26.30625
-10.5796875,-36.8859375,-26.30625
-11.4375,-37.4578125,-26.0203125
-12.8671875,-38.6015625,-25.734375
-14.86875,-40.03125,-25.1625
-17.15625,-41.746875,-24.590625
-19.44375,-43.7484375,-24.3046875
-21.73125,-45.75,-24.01875
-23.446875,-47.465625,-24.01875
-24.3046875,-48.609375,-24.3046875
-24.3046875,-48.8953125,-24.590625
-23.446875,-48.0375,-24.590625
-21.4453125,-46.6078125,-25.1625
-19.1578125,-44.3203125,-25.1625
-16.0125,-41.4609375,-25.4484375
-13.153125,-38.315625,-25.1625
-10.29375,-35.1703125,-24.8765625
-7.7203125,-32.025,-24.3046875
-5.71875,-29.4515625,-23.7328125
-4.2890625,-27.45,-23.1609375
-3.1453125,-26.0203125,-22.875
-2.2875,-25.1625,-22.875
-1.715625,-24.8765625,-23.1609375
-1.14375,-25.1625,-24.01875
-0.571875,-25.734375,-25.1625
-0.2859375,-27.1640625,-26.878125
0.0,-28.8796875,-28.8796875
-0.2859375,-31.1671875,-30.88125
-1.14375,-33.740625,-32.596875
-2.5734375,-36.8859375,-34.3125
-4.575,-40.03125,-35.45625
-7.434375,-43.1765625,-35.7421875
-10.865625,-46.0359375,-35.1703125
-14.86875,-48.609375,-33.740625
-18.5859375,-50.896875,-32.3109375
-22.5890625,-52.3265625,-29.7375
-25.734375,-53.184375,-27.45
-28.3078125,-53.4703125,-25.1625
-30.309375,-52.8984375,-22.5890625
-31.1671875,-52.3265625,-21.159375
-31.1671875,-51.1828125,-20.015625
-30.5953125,-50.325,-19.7296875
-29.4515625,-49.18125,-19.7296875
-28.021875,-48.609375,-20.5875
-26.30625,-48.0375,-21.73125
-24.8765625,-47.7515625,-22.875
-23.1609375,-47.465625,-24.3046875
-22.0171875,-47.1796875,-25.1625
-20.5875,-46.89375,-26.30625
-19.44375,-46.321875,-26.878125
-18.5859375,-45.75,-27.1640625
-17.728125,-44.60625,-26.878125
-16.8703125,-43.7484375,-26.878125
-16.2984375,-42.31875,-26.0203125
-15.7265625,-41.175,-25.4484375
-15.440625,-40.03125,-24.590625
-15.440625,-39.1734375,-23.7328125
-15.440625,-38.315625,-22.875
