LEFT,RIGHT,DIFF
-14.5828125,-53.4703125,-38.8875
-13.153125,-52.8984375,-39.7453125
-11.4375,-52.040625,-40.603125
-10.0078125,-50.896875,-40.8890625
-8.8640625,-50.0390625,-41.175
-8.578125,-49.753125,-41.175
-8.8640625,-49.753125,-40.8890625
-10.0078125,-50.0390625,-40.03125
-11.7234375,-50.896875,-39.1734375
-13.725,-51.7546875,-38.0296875
-16.0125,-52.8984375,-36.8859375
-18.3,-53.4703125,-35.1703125
-20.015625,-53.75625,-33.740625
-21.4453125,-53.4703125,-32.025
-22.0171875,-52.6125,-30.5953125
-22.0171875,-51.46875,-29.4515625
-21.4453125,-50.0390625,-28.59375
-20.5875,-48.3234375,-27.7359375
-19.7296875,-46.89375,-27.1640625
-18.5859375,-45.4640625,-26.878125
-17.728125,-44.3203125,-26.5921875
-16.8703125,-43.7484375,-26.878125
-16.584375,-43.7484375,-27.1640625
-16.2984375,-44.034375,-27.7359375
-16.584375,-44.60625,-28.021875
-16.584375,-45.75,-29.165625
-16.8703125,-46.89375,-30.0234375
-17.15625,-48.3234375,-31.1671875
-17.4421875,-50.0390625,-32.596875
-17.4421875,-51.7546875,-34.3125
-17.4421875,-53.4703125,-36.028125
-17.4421875,-55.1859375,-37.74375
-17.728125,-56.615625,-38.8875
-17.728125,-58.0453125,-40.3171875
-17.728125,-59.1890625,-41.4609375
-17.728125,-59.7609375,-42.0328125
-17.4421875,-59.475,-42.0328125
-16.8703125,-58.903125,-42.0328125
-16.0125,-57.1875,-41.175
-14.5828125,-54.9,-40.3171875
-12.58125,-52.040625,-39.459375
-10.29375,-48.609375,-38.315625
-8.00625,-44.8921875,-36.8859375
-5.4328125,-41.4609375,-36.028125
-3.1453125,-38.315625,-35.1703125
-1.14375,-35.7421875,-34.5984375
0.0,-34.0265625,-34.0265625
0.2859375,-33.4546875,-33.740625
0.0,-33.740625,-33.740625
-0.571875,-34.884375,-34.3125
-1.715625,-36.6,-34.884375
-3.1453125,-38.315625,-35.1703125
-4.2890625,-40.03125,-35.7421875
-5.4328125,-41.4609375,-36.028125
-6.0046875,-42.0328125,-36.028125
-6.0046875,-42.0328125,-36.028125
-5.71875,-41.746875,-36.028125
-5.146875,-40.603125,-35.45625
-4.575,-39.7453125,-35.1703125
-4.575,-38.8875,-34.3125
-4.8609375,-38.6015625,-33.740625
-6.0046875,-39.1734375,-33.16875
-8.00625,-40.3171875,-32.3109375
-10.5796875,-42.0328125,-31.453125
-13.4390625,-44.3203125,-30.88125
-16.2984375,-46.6078125,-30.309375
-19.1578125,-48.8953125,-29.7375
-20.8734375,-50.6109375,-29.7375
-22.0171875,-51.46875,-29.4515625
-22.0171875,-51.1828125,-29.165625
-20.8734375,-50.0390625,-29.165625
-19.1578125,-48.3234375,-29.165625
-16.8703125,-45.75,-28.8796875
-14.5828125,-42.890625,-28.3078125
-12.58125,-40.03125,-27.45
-11.1515625,-37.74375,-26.5921875
-10.29375,-36.028125,-25.734375
-10.5796875,-34.884375,-24.3046875
-11.4375,-34.5984375,-23.1609375
-12.8671875,-34.884375,-22.0171875
-14.5828125,-35.7421875,-21.159375
-16.2984375,-36.6,-20.3015625
-17.728125,-37.74375,-20.015625
-18.871875,-38.8875,-20.015625
-19.44375,-39.7453125,-20.3015625
-19.7296875,-40.603125,-20.8734375
-19.44375,-41.175,-21.73125
-19.1578125,-42.0328125,-22.875
-18.871875,-42.890625,-24.01875
-18.5859375,-43.7484375,-25.1625
-18.5859375,-44.60625,-26.0203125
-18.871875,-45.178125,-26.30625
-19.44375,-46.0359375,-26.5921875
-20.015625,-46.321875,-26.30625
-20.5875,-46.321875,-25.734375
-21.159375,-46.0359375,-24.8765625
-21.4453125,-45.75,-24.3046875
-22.0171875,-45.178125,-23.1609375
-22.5890625,-44.8921875,-22.303125
-23.1609375,-45.178125,-22.0171875
-10.29375,-34.3125,-24.01875
-10.865625,-35.1703125,-24.3046875
-10.865625,-36.028125,-25.1625
-10.29375,-36.028125,-25.734375
-9.4359375,-35.45625,-26.0203125
-8.00625,-34.0265625,-26.0203125
-6.5765625,-32.596875,-26.0203125
-5.4328125,-31.1671875,-25.734375
-4.8609375,-29.7375,-24.8765625
-4.575,-28.59375,-24.01875
-5.146875,-28.021875,-22.875
-6.0046875,-28.021875,-22.0171875
-7.7203125,-28.59375,-20.8734375
-9.4359375,-29.4515625,-20.015625
-11.1515625,-30.309375,-19.1578125
-12.8671875,-30.88125,-18.0140625
-14.5828125,-31.453125,-16.8703125
-16.0125,-32.025,-16.0125
-17.728125,-32.025,-14.296875
-19.44375,-32.3109375,-12.8671875
-21.4453125,-32.596875,-11.1515625
-23.7328125,-33.16875,-9.4359375
-26.5921875,-33.740625,-7.1484375
-29.165625,-34.5984375,-5.4328125
-31.7390625,-35.1703125,-3.43125
-33.4546875,-35.45625,-2.00156250000001
-34.0265625,-34.5984375,-0.571874999999999
-33.16875,-33.16875,0.0
-30.5953125,-30.5953125,0.0
-26.5921875,-27.1640625,-0.571874999999999
-21.4453125,-22.875,-1.4296875
-15.7265625,-18.871875,-3.1453125
-10.29375,-15.1546875,-4.8609375
-6.290625,-13.153125,-6.8625
-4.2890625,-13.153125,-8.8640625
-4.8609375,-15.440625,-10.5796875
-8.578125,-20.8734375,-12.2953125
-15.440625,-28.59375,-13.153125
-24.8765625,-38.6015625,-13.725
-36.3140625,-50.0390625,-13.725
-48.3234375,-61.4765625,-13.153125
-59.7609375,-72.05625,-12.2953125
-69.4828125,-80.634375,-11.1515625
-76.63125,-86.353125,-9.721875
-80.3484375,-88.640625,-8.2921875
-80.634375,-87.496875,-6.8625
-77.203125,-82.921875,-5.71875
-71.1984375,-75.7734375,-4.575
-63.1921875,-66.909375,-3.71718749999999
-54.328125,-57.1875,-2.859375
-45.4640625,-48.0375,-2.5734375
-37.4578125,-40.03125,-2.5734375
-31.1671875,-33.740625,-2.5734375
-26.878125,-29.4515625,-2.5734375
-24.590625,-27.1640625,-2.5734375
-24.01875,-26.5921875,-2.5734375
-24.3046875,-27.1640625,-2.859375
-25.4484375,-28.59375,-3.1453125
-26.5921875,-30.309375,-3.7171875
-27.45,-32.025,-4.575
-8.578125,-18.3,-9.721875
-14.86875,-25.4484375,-10.5796875
-22.303125,-33.740625,-11.4375
-29.7375,-42.31875,-12.58125
-36.6,-50.325,-13.725
-41.746875,-56.3296875,-14.5828125
-44.8921875,-59.7609375,-14.86875
-44.8921875,-60.61875,-15.7265625
-42.31875,-58.33125,-16.0125
-37.171875,-53.75625,-16.584375
-30.309375,-47.465625,-17.15625
-22.5890625,-40.3171875,-17.728125
-15.1546875,-33.740625,-18.5859375
-8.8640625,-28.59375,-19.7296875
-4.2890625,-25.1625,-20.8734375
-2.2875,-24.3046875,-22.0171875
-2.2875,-26.0203125,-23.7328125
-4.8609375,-29.7375,-24.8765625
-8.8640625,-35.1703125,-26.30625
-13.725,-40.8890625,-27.1640625
-18.5859375,-46.6078125,-28.021875
-23.1609375,-51.46875,-28.3078125
-26.30625,-54.9,-28.59375
-28.021875,-56.615625,-28.59375
-28.021875,-56.3296875,-28.3078125
-26.5921875,-54.6140625,-28.021875
-24.590625,-51.7546875,-27.1640625
-21.73125,-48.3234375,-26.5921875
-18.871875,-45.178125,-26.30625
