LEFT,RIGHT,DIFF
-44.8921875,-41.746875,3.1453125
-45.178125,-42.31875,2.859375
-45.178125,-42.31875,2.859375
-44.60625,-41.746875,2.859375
-43.7484375,-40.3171875,3.43125
-42.31875,-38.315625,4.003125
-40.603125,-36.028125,4.575
-38.6015625,-33.4546875,5.146875
-36.6,-31.453125,5.146875
-35.1703125,-30.0234375,5.146875
-34.3125,-29.165625,5.146875
-34.0265625,-29.165625,4.8609375
-34.0265625,-29.7375,4.2890625
-34.3125,-30.309375,4.003125
-34.3125,-30.88125,3.43125
-33.740625,-30.88125,2.859375
-32.8828125,-30.309375,2.5734375
-30.88125,-28.8796875,2.0015625
-28.3078125,-26.878125,1.4296875
-25.1625,-24.3046875,0.857812500000001
-22.303125,-22.0171875,0.285937499999999
-19.44375,-20.015625,-0.571874999999999
-17.4421875,-19.1578125,-1.715625
-16.8703125,-19.1578125,-2.2875
-17.15625,-20.5875,-3.43125
-19.1578125,-22.5890625,-3.43125
-22.0171875,-25.4484375,-3.43125
-25.4484375,-28.59375,-3.1453125
-28.8796875,-30.88125,-2.0015625
-31.7390625,-32.3109375,-0.571874999999999
-33.740625,-32.596875,1.14375
-34.3125,-31.1671875,3.1453125
-33.4546875,-28.59375,4.8609375
-31.453125,-24.8765625,6.5765625
-28.59375,-21.159375,7.434375
-25.1625,-17.4421875,7.7203125
-22.0171875,-14.5828125,7.434375
-19.44375,-13.153125,6.290625
-18.3,-13.725,4.575
-18.3,-15.7265625,2.5734375
-19.7296875,-18.871875,0.857812500000001
-22.0171875,-23.446875,-1.4296875
-25.4484375,-28.021875,-2.5734375
-29.165625,-32.3109375,-3.1453125
-32.596875,-35.45625,-2.859375
-35.7421875,-37.4578125,-1.715625
-37.74375,-38.0296875,-0.285937500000003
-38.8875,-36.8859375,2.0015625
-38.8875,-34.884375,4.003125
-38.315625,-32.025,6.29062500000001
-36.8859375,-28.8796875,8.00625
-35.1703125,-26.30625,8.8640625
-33.740625,-24.590625,9.15
-32.596875,-24.01875,8.578125
-31.7390625,-24.590625,7.1484375
-31.453125,-26.0203125,5.4328125
-31.7390625,-28.59375,3.1453125
-32.3109375,-31.7390625,0.571874999999999
-33.4546875,-34.884375,-1.4296875
