LEFT,RIGHT,DIFF
-68.3390625,-61.190625,7.14843749999999
-71.484375,-62.0484375,9.43593749999999
-74.0578125,-61.7625,12.2953125
-75.7734375,-61.190625,14.5828125
-76.3453125,-59.7609375,16.584375
-76.059375,-58.33125,17.728125
-74.6296875,-56.615625,18.0140625
-72.9140625,-55.471875,17.4421875
-71.1984375,-54.9,16.2984375
-70.0546875,-55.7578125,14.296875
-70.0546875,-57.4734375,12.58125
-70.9125,-60.3328125,10.5796875
-73.2,-64.05,9.15000000000001
-76.3453125,-68.3390625,8.00625000000001
-80.3484375,-72.3421875,8.00624999999999
-84.3515625,-75.4875,8.8640625
-87.496875,-77.775,9.721875
-89.784375,-78.0609375,11.7234375
-90.35625,-76.9171875,13.4390625
-89.2125,-73.771875,15.440625
-86.0671875,-69.4828125,16.584375
-81.4921875,-64.621875,16.8703125
-76.059375,-59.1890625,16.8703125
-70.0546875,-54.328125,15.7265625
-64.05,-50.0390625,14.0109375
-59.1890625,-47.465625,11.7234375
-55.7578125,-46.0359375,9.721875
-54.0421875,-46.321875,7.72031250000001
-54.0421875,-48.0375,6.0046875
-55.7578125,-50.325,5.4328125
-58.6171875,-53.4703125,5.146875
-62.6203125,-56.9015625,5.71875
-67.1953125,-60.046875,7.1484375
-71.7703125,-62.90625,8.8640625
-76.3453125,-65.19375,11.1515625
-80.3484375,-67.48125,12.8671875
-83.7796875,-69.4828125,14.296875
-86.6390625,-71.484375,15.1546875
-88.9265625,-73.4859375,15.440625
-90.928125,-75.7734375,15.1546875
-92.64375,-78.0609375,14.5828125
-94.0734375,-80.634375,13.4390625
-94.93125,-82.6359375,12.2953125
-95.503125,-84.065625,11.4375
-95.7890625,-84.6375,11.1515625
-95.2171875,-84.3515625,10.865625
-93.7875,-82.921875,10.865625
-91.7859375,-80.634375,11.1515625
-88.9265625,-77.203125,11.7234375
-85.78125,-73.4859375,12.2953125
-82.0640625,-69.76875,12.2953125
-78.91875,-66.0515625,12.8671875
-75.7734375,-63.1921875,12.58125
-73.4859375,-61.190625,12.2953125
-72.05625,-60.046875,12.009375
-71.484375,-59.7609375,11.7234375
-72.05625,-60.61875,11.4375
-73.2,-61.7625,11.4375
-74.6296875,-63.1921875,11.4375
-76.3453125,-64.621875,11.7234375
-78.0609375,-65.765625,12.2953125
-79.490625,-66.0515625,13.4390625
-80.3484375,-66.0515625,14.296875
-80.3484375,-65.4796875,14.86875
-79.7765625,-64.3359375,15.440625
-78.91875,-63.1921875,15.7265625
-77.775,-61.7625,16.0125
-76.3453125,-60.61875,15.7265625
-75.2015625,-59.7609375,15.440625
-74.34375,-59.475,14.86875
-73.771875,-59.475,14.296875
-73.771875,-59.7609375,14.0109375
-74.0578125,-60.3328125,13.725
-74.6296875,-61.190625,13.4390625
-75.4875,-61.7625,13.725
-76.059375,-62.0484375,14.0109375
-76.63125,-62.0484375,14.5828125
-76.9171875,-61.7625,15.1546875
-76.63125,-61.190625,15.440625
-76.059375,-60.61875,15.440625
-75.2015625,-59.7609375,15.440625
-74.0578125,-58.903125,15.1546875
-72.628125,-58.0453125,14.5828125
-70.9125,-57.4734375,13.4390625
-69.196875,-56.9015625,12.2953125
-67.1953125,-56.3296875,10.865625
-65.19375,-56.04375,9.15000000000001
-63.1921875,-55.7578125,7.434375
-61.190625,-55.471875,5.71875
-59.1890625,-55.471875,3.7171875
-57.4734375,-55.7578125,1.715625
-56.04375,-56.615625,-0.571874999999999
-56.04375,-58.33125,-2.2875
-56.9015625,-61.4765625,-4.575
-59.7609375,-66.0515625,-6.290625
-64.621875,-72.3421875,-7.72031250000001
-71.7703125,-80.634375,-8.8640625
-81.20625,-90.35625,-9.15000000000001
-92.3578125,-101.79375,-9.43593749999999
-105.225,-113.803125,-8.578125
-118.6640625,-126.0984375,-7.434375
-131.8171875,-137.821875,-6.00468749999999
-144.1125,-147.54375,-3.43125000000001
-153.834375,-154.978125,-1.14375000000001
-160.696875,-158.98125,1.71562499999999
-163.8421875,-159.553125,4.2890625
-162.984375,-156.4078125,6.57656249999999
-158.409375,-149.5453125,8.86406250000002
-150.1171875,-139.5375,10.5796875
-139.2515625,-127.528125,11.7234375
-126.6703125,-114.6609375,12.009375
-113.803125,-101.5078125,12.2953125
-101.79375,-89.4984375,12.2953125
-91.2140625,-79.7765625,11.4375
-83.49375,-72.628125,10.865625
-78.346875,-68.3390625,10.0078125
-76.3453125,-67.1953125,9.15000000000001
-76.9171875,-68.625,8.2921875
-79.490625,-71.7703125,7.72031250000001
-83.49375,-76.63125,6.8625
-87.7828125,-81.4921875,6.29062500000001
-92.071875,-86.353125,5.71875
-95.2171875,-90.0703125,5.14687500000001
-97.5046875,-92.9296875,4.575
-98.6484375,-94.359375,4.2890625
-98.6484375,-94.93125,3.71718749999999
-98.3625,-94.6453125,3.71718749999999
-98.0765625,-94.359375,3.71718750000001
-98.0765625,-94.0734375,4.00312500000001
-98.934375,-94.359375,4.575
-100.65,-95.2171875,5.4328125
-103.509375,-96.646875,6.8625
-106.6546875,-98.3625,8.29218750000001
-109.8,-100.3640625,9.43593750000001
-112.3734375,-101.5078125,10.865625
-114.0890625,-102.0796875,12.009375
-114.375,-101.5078125,12.8671875
-112.9453125,-99.2203125,13.725
-109.8,-96.075,13.725
-105.225,-91.7859375,13.4390625
-99.7921875,-87.2109375,12.58125
-94.359375,-82.921875,11.4375
-89.4984375,-79.490625,10.0078125
-85.4953125,-77.203125,8.2921875
-83.49375,-77.203125,6.29062500000001
-83.2078125,-78.91875,4.2890625
-85.209375,-82.921875,2.28750000000001
-88.640625,-88.640625,0.0
-93.5015625,-95.2171875,-1.715625
-98.934375,-102.6515625,-3.71718749999999
-104.3671875,-109.8,-5.43281250000001
-109.228125,-115.8046875,-6.57656249999999
-112.659375,-120.665625,-8.00624999999999
-114.946875,-124.096875,-9.15000000000001
-115.51875,-125.5265625,-10.0078125
-114.946875,-125.5265625,-10.5796875
-113.23125,-124.3828125,-11.1515625
-110.94375,-122.38125,-11.4375
-108.3703125,-119.8078125,-11.4375
-106.36875,-117.80625,-11.4375
-104.653125,-116.3765625,-11.7234375
-103.7953125,-115.51875,-11.7234375
-103.7953125,-115.8046875,-12.009375
-104.653125,-116.6625,-12.009375
-105.796875,-118.378125,-12.58125
-107.5125,-120.3796875,-12.8671875
-109.228125,-122.38125,-13.153125
-110.6578125,-124.096875,-13.4390625
-111.8015625,-125.240625,-13.4390625
-112.659375,-125.5265625,-12.8671875
-112.9453125,-125.240625,-12.2953125
-113.23125,-124.096875,-10.865625
-112.9453125,-122.6671875,-9.72187500000001
-112.659375,-120.3796875,-7.72031249999999
-112.3734375,-118.0921875,-5.71875
-112.0875,-115.8046875,-3.71718749999999
-111.8015625,-113.803125,-2.00156250000001
-111.8015625,-112.3734375,-0.571875000000006
-111.8015625,-111.515625,0.285937500000003
-112.0875,-111.2296875,0.857812499999994
-112.659375,-111.8015625,0.857812500000009
-113.803125,-113.23125,0.571875000000006
-115.2328125,-114.946875,0.285937500000003
-116.9484375,-117.5203125,-0.571874999999991
-119.2359375,-120.3796875,-1.14375
-121.809375,-122.953125,-1.14375
-124.66875,-125.5265625,-0.857812500000009
-127.528125,-127.8140625,-0.285937500000003
-130.1015625,-128.9578125,1.14374999999998
-132.103125,-129.24375,2.859375
-133.5328125,-128.671875,4.86093750000001
-134.1046875,-126.6703125,7.434375
-133.5328125,-123.8109375,9.721875
-131.8171875,-120.3796875,11.4375
-129.24375,-116.3765625,12.8671875
-125.5265625,-112.3734375,13.153125
-121.809375,-108.65625,13.153125
-117.5203125,-105.5109375,12.009375
-113.803125,-103.2234375,10.5796875
-110.6578125,-102.0796875,8.578125
-108.3703125,-102.0796875,6.29062499999999
-107.2265625,-103.2234375,4.003125
-107.2265625,-105.225,2.00156249999999
-108.3703125,-107.7984375,0.571874999999991
-110.0859375,-110.6578125,-0.571875000000006
-112.659375,-113.803125,-1.14375
-115.51875,-116.6625,-1.14375
-118.0921875,-118.95,-0.857812499999994
-120.3796875,-120.9515625,-0.571875000000006
-122.38125,-122.0953125,0.285937500000003
-123.525,-122.953125,0.571875000000006
-123.8109375,-123.2390625,0.571875000000006
-123.8109375,-123.2390625,0.571875000000006
-122.953125,-122.953125,0.0
-122.0953125,-122.6671875,-0.571875000000006
-120.9515625,-122.38125,-1.4296875
-119.8078125,-121.809375,-2.00156249999999
-118.95,-121.809375,-2.859375
-118.6640625,-121.5234375,-2.859375
-118.95,-121.809375,-2.859375
-119.8078125,-122.0953125,-2.28749999999999
-121.2375,-122.6671875,-1.4296875
-123.525,-123.525,0.0
-125.8125,-124.66875,1.14375
-128.671875,-126.0984375,2.5734375
-131.2453125,-127.8140625,3.43125000000001
-134.1046875,-129.815625,4.2890625
-136.3921875,-131.53125,4.86093750000001
-138.1078125,-133.246875,4.86093749999998
-138.965625,-134.1046875,4.86093750000001
-138.965625,-134.6765625,4.2890625
-138.39375,-134.1046875,4.2890625
-136.9640625,-132.9609375,4.00312500000001
-134.6765625,-130.959375,3.71718750000002
-132.3890625,-128.671875,3.71718749999999
-130.1015625,-126.384375,3.71718749999999
-128.1,-124.3828125,3.71718749999999
-126.6703125,-123.2390625,3.43125000000001
-126.384375,-123.2390625,3.1453125
-126.95625,-124.096875,2.859375
-128.3859375,-126.384375,2.00156250000001
-130.6734375,-129.5296875,1.14375000000001
-133.246875,-132.9609375,0.285937500000017
-135.8203125,-136.3921875,-0.571875000000006
-137.821875,-139.2515625,-1.4296875
-138.965625,-140.68125,-1.71562499999999
-138.6796875,-140.3953125,-1.71562500000002
-136.678125,-138.1078125,-1.4296875
-133.5328125,-133.81875,-0.285937499999989
-128.9578125,-128.1,0.857812500000023
-123.8109375,-121.5234375,2.28750000000001
-118.378125,-114.375,4.00312500000001
-113.23125,-107.7984375,5.4328125
-109.228125,-102.0796875,7.1484375
-106.6546875,-98.3625,8.29218750000001
-105.5109375,-96.646875,8.86406249999999
-105.796875,-96.646875,9.14999999999999
-107.5125,-98.3625,9.15000000000001
-110.0859375,-101.221875,8.8640625
-112.9453125,-104.3671875,8.578125
-115.2328125,-107.2265625,8.00625000000001
-116.6625,-109.5140625,7.1484375
-116.9484375,-110.371875,6.57656250000001
-115.8046875,-109.8,6.00468749999999
-112.9453125,-107.7984375,5.14687499999999
-109.228125,-104.9390625,4.2890625
-104.9390625,-101.5078125,3.43125000000001
-100.65,-98.0765625,2.5734375
-96.9328125,-95.2171875,1.71562499999999
-94.0734375,-93.7875,0.285937499999989
-92.64375,-93.5015625,-0.857812500000009
-92.3578125,-94.359375,-2.00156249999999
-93.215625,-96.3609375,-3.1453125
-94.93125,-98.6484375,-3.71718749999999
-97.21875,-101.221875,-4.003125
-98.934375,-103.2234375,-4.2890625
-100.3640625,-104.08125,-3.71718749999999
-100.9359375,-104.08125,-3.14531249999999
-100.3640625,-102.6515625,-2.28749999999999
-99.2203125,-100.078125,-0.857812499999994
-97.21875,-97.21875,0.0
-95.2171875,-93.7875,1.4296875
-93.5015625,-90.928125,2.5734375
-92.3578125,-88.640625,3.71718750000001
-92.071875,-87.2109375,4.86093750000001
-92.64375,-86.6390625,6.00468749999999
-94.0734375,-87.2109375,6.8625
-96.075,-87.7828125,8.2921875
-98.3625,-88.640625,9.721875
-100.3640625,-89.2125,11.1515625
-101.5078125,-89.2125,12.2953125
-102.0796875,-88.3546875,13.725
-101.221875,-86.925,14.296875
-99.7921875,-84.6375,15.1546875
-97.5046875,-82.0640625,15.440625
-94.6453125,-79.7765625,14.86875
-92.071875,-78.0609375,14.0109375
-90.0703125,-76.9171875,13.153125
-88.640625,-76.9171875,11.7234375
-87.7828125,-78.0609375,9.721875
-88.06875,-79.490625,8.578125
-88.640625,-81.778125,6.8625
-89.784375,-83.7796875,6.00468749999999
-90.6421875,-85.209375,5.4328125
-90.928125,-85.78125,5.14687500000001
-90.6421875,-85.4953125,5.14687500000001
-89.784375,-83.7796875,6.00468749999999
-87.7828125,-81.20625,6.57656250000001
-85.209375,-77.775,7.434375
-82.6359375,-74.0578125,8.578125
-79.7765625,-70.9125,8.86406249999999
-77.4890625,-68.053125,9.43593749999999
-75.7734375,-66.3375,9.43593749999999
-74.915625,-66.0515625,8.8640625
-75.2015625,-66.909375,8.29218750000001
-76.3453125,-68.9109375,7.434375
-78.346875,-71.484375,6.8625
-80.634375,-74.6296875,6.0046875
-82.921875,-78.0609375,4.86093749999999
-84.9234375,-80.9203125,4.003125
-86.353125,-82.921875,3.43125000000001
-87.2109375,-84.3515625,2.859375
-86.925,-84.6375,2.28749999999999
-85.78125,-83.7796875,2.00156249999999
-84.065625,-82.35,1.71562499999999
-81.778125,-80.3484375,1.4296875
-79.2046875,-77.775,1.4296875
-76.63125,-75.4875,1.14375000000001
-74.34375,-73.2,1.14375
-72.628125,-71.484375,1.14375
-71.7703125,-70.6265625,1.14375
-71.7703125,-70.9125,0.857812499999994
-72.9140625,-71.7703125,1.14375
-75.2015625,-74.0578125,1.14375000000001
-78.346875,-76.9171875,1.4296875
-82.35,-80.9203125,1.4296875
-86.6390625,-84.9234375,1.715625
-91.2140625,-89.4984375,1.71562499999999
-95.7890625,-93.5015625,2.28749999999999
-99.7921875,-97.21875,2.5734375
-103.2234375,-99.7921875,3.43125000000001
-105.5109375,-101.5078125,4.003125
-106.940625,-101.5078125,5.4328125
-107.5125,-100.65,6.8625
-106.940625,-98.6484375,8.2921875
-106.0828125,-95.7890625,10.29375
-104.9390625,-92.9296875,12.009375
-103.7953125,-90.0703125,13.725
-102.9375,-87.7828125,15.1546875
-102.6515625,-86.353125,16.2984375
-102.9375,-86.353125,16.584375
-103.7953125,-87.496875,16.2984375
-105.225,-90.0703125,15.1546875
-106.940625,-93.215625,13.725
-108.65625,-96.9328125,11.7234375
-110.0859375,-100.65,9.43593749999999
-110.94375,-104.08125,6.86250000000001
-110.94375,-106.6546875,4.2890625
-110.371875,-108.3703125,2.00156250000001
-109.228125,-108.65625,0.571875000000006
-107.5125,-108.084375,-0.571875000000006
-105.5109375,-106.36875,-0.857812500000009
-103.509375,-104.3671875,-0.857812499999994
-101.79375,-101.79375,0.0
-100.3640625,-99.2203125,1.14375
-99.7921875,-97.21875,2.5734375
-99.50625,-95.7890625,3.71718750000001
-99.7921875,-94.93125,4.86093749999999
-100.3640625,-94.93125,5.4328125
-101.221875,-95.503125,5.71875
-102.0796875,-96.3609375,5.71875
-102.9375,-97.5046875,5.4328125
-103.509375,-98.6484375,4.86093750000001
-104.08125,-100.078125,4.003125
-104.653125,-100.9359375,3.71718749999999
-104.9390625,-101.5078125,3.43125000000001
-105.5109375,-101.79375,3.71718749999999
-105.796875,-101.79375,4.003125
-106.0828125,-101.5078125,4.575
-106.6546875,-101.221875,5.43281250000001
-106.940625,-100.65,6.29062499999999
-107.2265625,-100.3640625,6.8625
-107.7984375,-100.3640625,7.434375
-108.084375,-100.65,7.434375
-108.3703125,-101.221875,7.1484375
-108.9421875,-102.365625,6.57656249999999
-109.5140625,-104.08125,5.43281250000001
-110.371875,-106.0828125,4.2890625
-111.2296875,-108.084375,3.1453125
-112.3734375,-110.0859375,2.28750000000001
