LEFT,RIGHT,DIFF
-34.5984375,-42.6046875,-8.00625
-36.8859375,-45.75,-8.8640625
-40.603125,-49.753125,-9.15000000000001
-44.8921875,-53.75625,-8.8640625
-49.753125,-57.759375,-8.00625
-54.6140625,-61.190625,-6.5765625
-58.33125,-63.1921875,-4.8609375
-61.190625,-64.05,-2.85937499999999
-62.334375,-62.90625,-0.571874999999999
-61.4765625,-60.3328125,1.14375
-59.475,-56.3296875,3.1453125
-55.7578125,-51.1828125,4.575
-51.1828125,-45.75,5.4328125
-46.321875,-40.03125,6.290625
-41.4609375,-34.884375,6.5765625
-37.4578125,-30.5953125,6.8625
-34.5984375,-27.45,7.1484375
-33.16875,-25.734375,7.434375
-33.4546875,-25.4484375,8.00625
-34.5984375,-26.30625,8.2921875
-36.8859375,-27.7359375,9.15
-39.7453125,-29.7375,10.0078125
-42.6046875,-32.025,10.5796875
-45.178125,-33.740625,11.4375
-46.89375,-35.1703125,11.7234375
-47.7515625,-36.028125,11.7234375
-47.7515625,-36.3140625,11.4375
-47.1796875,-36.028125,11.1515625
-46.0359375,-35.45625,10.5796875
-45.178125,-34.884375,10.29375
-44.3203125,-34.5984375,9.721875
-44.60625,-34.884375,9.721875
-45.4640625,-35.45625,10.0078125
-47.1796875,-36.8859375,10.29375
-49.753125,-38.6015625,11.1515625
-52.6125,-40.603125,12.009375
-55.7578125,-42.890625,12.8671875
-58.33125,-44.8921875,13.4390625
-60.046875,-46.321875,13.725
-60.61875,-47.1796875,13.4390625
-59.7609375,-46.89375,12.8671875
-57.759375,-46.0359375,11.7234375
-54.6140625,-44.3203125,10.29375
-50.6109375,-41.746875,8.8640625
-46.321875,-39.1734375,7.1484375
-42.31875,-36.6,5.71875
-38.8875,-34.3125,4.575
-36.6,-32.8828125,3.7171875
-35.45625,-32.3109375,3.1453125
-35.7421875,-32.596875,3.1453125
-37.4578125,-33.740625,3.7171875
-40.3171875,-36.028125,4.2890625
-43.7484375,-38.6015625,5.146875
