LEFT,RIGHT,DIFF
1.715625,21.73125,20.015625
0.2859375,21.4453125,21.159375
-0.571875,21.159375,21.73125
-1.4296875,20.5875,22.0171875
-2.0015625,20.3015625,22.303125
-2.2875,20.015625,22.303125
-2.0015625,20.015625,22.0171875
-1.715625,19.7296875,21.4453125
-1.4296875,19.44375,20.8734375
-1.4296875,18.5859375,20.015625
-2.0015625,17.728125,19.7296875
-2.859375,16.2984375,19.1578125
-4.2890625,14.5828125,18.871875
-6.0046875,12.2953125,18.3
-8.00625,10.29375,18.3
-10.29375,8.00625,18.3
-12.58125,6.0046875,18.5859375
-14.5828125,4.2890625,18.871875
-16.0125,2.859375,18.871875
-16.8703125,2.0015625,18.871875
-17.4421875,1.14375,18.5859375
-17.4421875,0.571875,18.0140625
-17.4421875,0.2859375,17.728125
-16.8703125,0.0,16.8703125
-16.584375,-0.8578125,15.7265625
-16.2984375,-1.715625,14.5828125
-16.0125,-2.2875,13.725
-16.0125,-2.859375,13.153125
-15.440625,-2.859375,12.58125
-14.5828125,-2.2875,12.2953125
-13.153125,-0.8578125,12.2953125
-11.4375,1.4296875,12.8671875
-8.578125,4.575,13.153125
-5.4328125,8.2921875,13.725
-2.0015625,12.2953125,14.296875
1.4296875,15.7265625,14.296875
4.575,18.871875,14.296875
7.1484375,20.5875,13.4390625
8.578125,21.159375,12.58125
8.8640625,20.015625,11.1515625
7.7203125,17.728125,10.0078125
5.4328125,14.296875,8.8640625
2.5734375,10.29375,7.7203125
-0.571875,6.290625,6.8625
-4.003125,2.859375,6.8625
-6.8625,0.8578125,7.7203125
-8.8640625,0.0,8.8640625
-9.721875,0.8578125,10.5796875
-9.15,2.859375,12.009375
-8.00625,6.290625,14.296875
-6.0046875,10.0078125,16.0125
-4.003125,14.0109375,18.0140625
-2.0015625,17.4421875,19.44375
-0.8578125,19.44375,20.3015625
-0.8578125,20.3015625,21.159375
-2.2875,19.1578125,21.4453125
-4.8609375,16.584375,21.4453125
-8.578125,12.8671875,21.4453125
-13.153125,8.2921875,21.4453125
-18.0140625,3.1453125,21.159375
-22.875,-1.715625,21.159375
-27.1640625,-6.0046875,21.159375
-30.309375,-9.4359375,20.8734375
-32.3109375,-11.7234375,20.5875
-32.8828125,-12.58125,20.3015625
-32.3109375,-12.2953125,20.015625
-30.5953125,-11.1515625,19.44375
-28.021875,-9.15,18.871875
-24.590625,-6.5765625,18.0140625
-21.4453125,-4.003125,17.4421875
-18.3,-1.14375,17.15625
-15.440625,0.8578125,16.2984375
-13.4390625,2.859375,16.2984375
-11.7234375,4.575,16.2984375
-11.1515625,6.0046875,17.15625
-11.1515625,6.5765625,17.728125
-11.7234375,6.8625,18.5859375
-12.58125,6.8625,19.44375
-14.0109375,6.290625,20.3015625
-15.440625,5.4328125,20.8734375
-16.8703125,4.003125,20.8734375
-18.3,2.5734375,20.8734375
-19.44375,1.14375,20.5875
-20.3015625,0.0,20.3015625
-20.3015625,-1.14375,19.1578125
-20.015625,-1.4296875,18.5859375
-18.871875,-1.4296875,17.4421875
-17.15625,-0.2859375,16.8703125
