LEFT,RIGHT,DIFF
10.865625,-51.46875,-62.334375
12.2953125,-51.46875,-63.7640625
14.5828125,-50.6109375,-65.19375
17.4421875,-48.8953125,-66.3375
20.5875,-46.321875,-66.909375
23.7328125,-43.1765625,-66.909375
26.878125,-39.7453125,-66.6234375
29.7375,-36.3140625,-66.0515625
32.025,-33.740625,-65.765625
33.4546875,-31.7390625,-65.19375
34.0265625,-31.1671875,-65.19375
34.0265625,-31.453125,-65.4796875
33.16875,-33.16875,-66.3375
31.7390625,-35.45625,-67.1953125
30.0234375,-38.315625,-68.3390625
28.3078125,-40.8890625,-69.196875
26.878125,-43.1765625,-70.0546875
25.734375,-44.3203125,-70.0546875
25.4484375,-44.60625,-70.0546875
26.0203125,-43.4625,-69.4828125
27.1640625,-41.175,-68.3390625
28.59375,-38.315625,-66.909375
30.5953125,-35.1703125,-65.765625
32.3109375,-32.3109375,-64.621875
34.0265625,-30.309375,-64.3359375
34.884375,-29.4515625,-64.3359375
35.1703125,-29.7375,-64.9078125
34.3125,-31.453125,-65.765625
32.8828125,-34.3125,-67.1953125
30.88125,-38.315625,-69.196875
28.8796875,-42.31875,-71.1984375
26.5921875,-46.6078125,-73.2
24.590625,-50.0390625,-74.6296875
23.446875,-52.8984375,-76.3453125
22.875,-54.328125,-77.203125
23.446875,-54.9,-78.346875
24.590625,-54.328125,-78.91875
26.5921875,-52.8984375,-79.490625
29.165625,-50.6109375,-79.7765625
32.025,-48.0375,-80.0625
35.45625,-45.178125,-80.634375
38.6015625,-42.6046875,-81.20625
41.4609375,-40.03125,-81.4921875
44.034375,-37.74375,-81.778125
46.0359375,-36.028125,-82.0640625
47.1796875,-34.5984375,-81.778125
47.465625,-34.0265625,-81.4921875
46.6078125,-34.3125,-80.9203125
44.3203125,-36.028125,-80.3484375
40.3171875,-39.1734375,-79.490625
34.3125,-44.034375,-78.346875
26.878125,-51.1828125,-78.0609375
17.4421875,-60.046875,-77.4890625
6.5765625,-70.6265625,-77.203125
-5.146875,-82.6359375,-77.4890625
-18.0140625,-95.503125,-77.4890625
-30.5953125,-108.3703125,-77.775
-42.6046875,-120.665625,-78.0609375
-53.4703125,-131.2453125,-77.775
-62.0484375,-139.8234375,-77.775
-68.3390625,-145.25625,-76.9171875
-71.7703125,-147.54375,-75.7734375
-72.628125,-146.971875,-74.34375
-70.6265625,-143.2546875,-72.628125
-66.6234375,-137.25,-70.6265625
-60.9046875,-129.5296875,-68.625
-54.0421875,-120.9515625,-66.909375
-46.6078125,-112.0875,-65.4796875
-39.1734375,-103.509375,-64.3359375
-32.3109375,-96.075,-63.7640625
-26.5921875,-89.784375,-63.1921875
-21.73125,-84.9234375,-63.1921875
-18.3,-81.20625,-62.90625
-15.440625,-78.91875,-63.478125
-13.725,-77.203125,-63.478125
-12.58125,-76.3453125,-63.7640625
-11.4375,-75.4875,-64.05
-10.5796875,-74.915625,-64.3359375
-9.15,-74.0578125,-64.9078125
-7.434375,-73.2,-65.765625
-5.4328125,-72.05625,-66.6234375
-2.5734375,-70.6265625,-68.053125
0.2859375,-69.196875,-69.4828125
3.7171875,-67.7671875,-71.484375
7.1484375,-66.6234375,-73.771875
10.29375,-65.765625,-76.059375
13.4390625,-64.9078125,-78.346875
15.7265625,-64.3359375,-80.0625
17.4421875,-64.05,-81.4921875
18.5859375,-64.05,-82.6359375
18.871875,-64.3359375,-83.2078125
18.871875,-64.9078125,-83.7796875
18.3,-65.4796875,-83.7796875
17.728125,-66.0515625,-83.7796875
17.15625,-66.6234375,-83.7796875
17.15625,-66.909375,-84.065625
17.4421875,-66.6234375,-84.065625
18.5859375,-66.0515625,-84.6375
20.015625,-64.9078125,-84.9234375
22.0171875,-63.1921875,-85.209375
24.590625,-61.190625,-85.78125
26.878125,-58.6171875,-85.4953125
28.8796875,-56.3296875,-85.209375
30.309375,-54.328125,-84.6375
30.5953125,-52.6125,-83.2078125
30.309375,-52.040625,-82.35
28.59375,-52.040625,-80.634375
26.30625,-53.4703125,-79.7765625
23.1609375,-55.7578125,-78.91875
19.44375,-58.6171875,-78.0609375
16.0125,-61.7625,-77.775
12.58125,-65.19375,-77.775
9.721875,-68.053125,-77.775
8.00625,-69.76875,-77.775
6.8625,-70.6265625,-77.4890625
6.8625,-70.0546875,-76.9171875
7.434375,-68.3390625,-75.7734375
8.2921875,-65.765625,-74.0578125
9.721875,-62.6203125,-72.3421875
10.865625,-58.903125,-69.76875
11.4375,-55.7578125,-67.1953125
11.7234375,-53.4703125,-65.19375
11.1515625,-52.040625,-63.1921875
10.29375,-51.7546875,-62.0484375
8.578125,-52.6125,-61.190625
6.8625,-54.328125,-61.190625
4.8609375,-56.615625,-61.4765625
3.43125,-59.1890625,-62.6203125
2.2875,-61.4765625,-63.7640625
1.715625,-63.1921875,-64.9078125
2.0015625,-64.05,-66.0515625
2.5734375,-64.3359375,-66.909375
3.7171875,-63.7640625,-67.48125
5.146875,-62.90625,-68.053125
6.5765625,-61.7625,-68.3390625
7.7203125,-60.61875,-68.3390625
8.8640625,-60.046875,-68.9109375
9.4359375,-59.7609375,-69.196875
9.721875,-60.3328125,-70.0546875
9.721875,-61.190625,-70.9125
9.721875,-62.334375,-72.05625
10.0078125,-63.478125,-73.4859375
10.5796875,-64.3359375,-74.915625
11.4375,-64.621875,-76.059375
12.8671875,-64.05,-76.9171875
14.5828125,-62.90625,-77.4890625
16.2984375,-61.190625,-77.4890625
18.3,-59.475,-77.775
19.7296875,-57.759375,-77.4890625
20.5875,-56.615625,-77.203125
20.3015625,-56.3296875,-76.63125
19.44375,-57.4734375,-76.9171875
17.4421875,-59.7609375,-77.203125
14.5828125,-63.478125,-78.0609375
10.865625,-67.7671875,-78.6328125
7.434375,-72.628125,-80.0625
4.003125,-77.4890625,-81.4921875
1.14375,-81.778125,-82.921875
-0.2859375,-84.6375,-84.3515625
-0.571875,-85.78125,-85.209375
0.0,-85.4953125,-85.4953125
1.4296875,-83.2078125,-84.6375
4.2890625,-79.7765625,-84.065625
7.1484375,-75.2015625,-82.35
10.29375,-70.340625,-80.634375
12.58125,-65.4796875,-78.0609375
14.296875,-61.7625,-76.059375
14.5828125,-59.1890625,-73.771875
13.4390625,-58.0453125,-71.484375
11.1515625,-58.6171875,-69.76875
8.00625,-60.61875,-68.625
4.003125,-63.1921875,-67.1953125
0.0,-66.6234375,-66.6234375
-3.43125,-69.76875,-66.3375
