LEFT,RIGHT,DIFF
-34.5984375,-136.9640625,-102.365625
-35.7421875,-137.821875,-102.0796875
-36.8859375,-138.965625,-102.0796875
-38.0296875,-139.8234375,-101.79375
-38.8875,-140.3953125,-101.5078125
-38.6015625,-140.109375,-101.5078125
-38.0296875,-139.2515625,-101.221875
-36.6,-137.821875,-101.221875
-34.5984375,-136.10625,-101.5078125
-32.3109375,-134.390625,-102.0796875
-30.309375,-132.675,-102.365625
-28.59375,-131.2453125,-102.6515625
-27.45,-130.6734375,-103.2234375
-27.1640625,-130.3875,-103.2234375
-27.7359375,-130.3875,-102.6515625
-28.8796875,-130.959375,-102.0796875
-30.309375,-131.8171875,-101.5078125
-32.025,-132.675,-100.65
-33.740625,-132.9609375,-99.2203125
-35.1703125,-133.246875,-98.0765625
-36.028125,-133.246875,-97.21875
-36.6,-132.675,-96.075
-36.8859375,-132.103125,-95.2171875
-36.8859375,-131.2453125,-94.359375
-37.171875,-130.6734375,-93.5015625
-37.171875,-130.6734375,-93.5015625
-38.0296875,-130.959375,-92.9296875
-39.1734375,-131.8171875,-92.64375
-40.8890625,-133.5328125,-92.64375
-43.1765625,-135.8203125,-92.64375
-46.321875,-138.965625,-92.64375
-49.4671875,-142.396875,-92.9296875
-52.8984375,-145.828125,-92.9296875
-56.04375,-149.5453125,-93.5015625
-58.903125,-152.9765625,-94.0734375
-61.190625,-155.8359375,-94.6453125
-62.6203125,-158.1234375,-95.503125
-63.1921875,-159.2671875,-96.075
-62.90625,-159.553125,-96.646875
-61.4765625,-158.98125,-97.5046875
-59.1890625,-157.265625,-98.0765625
-56.3296875,-154.40625,-98.0765625
-52.8984375,-151.2609375,-98.3625
-49.18125,-147.54375,-98.3625
-46.0359375,-143.8265625,-97.790625
-43.1765625,-140.109375,-96.9328125
-40.8890625,-137.5359375,-96.646875
-39.7453125,-135.534375,-95.7890625
-39.1734375,-134.390625,-95.2171875
-39.459375,-134.6765625,-95.2171875
-40.603125,-135.2484375,-94.6453125
-41.746875,-136.678125,-94.93125
-42.890625,-138.39375,-95.503125
-43.4625,-139.8234375,-96.3609375
-43.4625,-140.68125,-97.21875
-42.31875,-140.68125,-98.3625
-40.3171875,-139.8234375,-99.50625
-37.171875,-138.1078125,-100.9359375
-33.4546875,-135.8203125,-102.365625
-29.4515625,-133.5328125,-104.08125
-25.734375,-131.2453125,-105.5109375
-22.875,-129.5296875,-106.6546875
-20.8734375,-128.9578125,-108.084375
-20.3015625,-129.5296875,-109.228125
-21.159375,-131.53125,-110.371875
-23.1609375,-134.1046875,-110.94375
-26.30625,-137.5359375,-111.2296875
-29.7375,-140.9671875,-111.2296875
-32.8828125,-143.8265625,-110.94375
-35.45625,-145.828125,-110.371875
-37.171875,-146.6859375,-109.5140625
-37.171875,-146.1140625,-108.9421875
-36.028125,-144.1125,-108.084375
-33.4546875,-140.9671875,-107.5125
-30.309375,-137.5359375,-107.2265625
-26.878125,-134.390625,-107.5125
-23.7328125,-131.53125,-107.7984375
-21.4453125,-130.1015625,-108.65625
-20.5875,-130.1015625,-109.5140625
-20.8734375,-131.8171875,-110.94375
-22.5890625,-134.9625,-112.3734375
-25.1625,-139.2515625,-114.0890625
-28.8796875,-144.1125,-115.2328125
-32.596875,-148.9734375,-116.3765625
-36.028125,-153.2625,-117.234375
-38.6015625,-156.69375,-118.0921875
-40.603125,-158.98125,-118.378125
-41.4609375,-159.8390625,-118.378125
-41.4609375,-159.553125,-118.0921875
-40.603125,-158.409375,-117.80625
-39.7453125,-156.9796875,-117.234375
-38.8875,-155.2640625,-116.3765625
-38.6015625,-154.1203125,-115.51875
-38.6015625,-153.5484375,-114.946875
-39.459375,-153.5484375,-114.0890625
-40.8890625,-154.1203125,-113.23125
-42.31875,-155.2640625,-112.9453125
-43.7484375,-156.121875,-112.3734375
-44.8921875,-156.69375,-111.8015625
-45.178125,-156.9796875,-111.8015625
-44.8921875,-156.4078125,-111.515625
-43.4625,-155.55,-112.0875
-41.4609375,-154.1203125,-112.659375
-38.8875,-152.4046875,-113.5171875
-36.6,-150.6890625,-114.0890625
-34.3125,-149.5453125,-115.2328125
-32.8828125,-149.259375,-116.3765625
-32.025,-149.5453125,-117.5203125
-31.7390625,-150.403125,-118.6640625
-32.025,-151.8328125,-119.8078125
-32.3109375,-152.9765625,-120.665625
-32.3109375,-153.834375,-121.5234375
-31.7390625,-154.1203125,-122.38125
-30.0234375,-152.9765625,-122.953125
-27.45,-150.6890625,-123.2390625
-24.01875,-147.2578125,-123.2390625
-20.015625,-143.2546875,-123.2390625
-16.0125,-138.6796875,-122.6671875
-12.2953125,-134.390625,-122.0953125
