LEFT,RIGHT,DIFF
-798.3375,-1032.80625,-234.46875
-795.1921875,-1029.946875,-234.7546875
-794.334375,-1028.803125,-234.46875
-795.1921875,-1029.0890625,-233.896875
-798.0515625,-1031.3765625,-233.325
-802.340625,-1034.8078125,-232.4671875
-807.2015625,-1039.3828125,-232.18125
-812.0625,-1043.9578125,-231.8953125
-816.065625,-1047.9609375,-231.8953125
-818.0671875,-1050.8203125,-232.753125
-818.0671875,-1051.9640625,-233.896875
-815.7796875,-1051.10625,-235.3265625
-811.490625,-1048.246875,-236.75625
-805.2,-1043.671875,-238.471875
-798.0515625,-1037.953125,-239.9015625
-790.33125,-1031.9484375,-241.6171875
-783.46875,-1025.94375,-242.475
-777.4640625,-1021.0828125,-243.61875
-773.175,-1017.365625,-244.190625
-770.6015625,-1015.3640625,-244.7625
-769.74375,-1014.7921875,-245.0484375
-770.315625,-1015.9359375,-245.6203125
-772.03125,-1017.9375,-245.90625
-773.746875,-1020.5109375,-246.7640625
-775.1765625,-1023.084375,-247.9078125
-776.034375,-1025.0859375,-249.0515625
-776.034375,-1026.515625,-250.48125
-774.6046875,-1027.0875,-252.4828125
-772.3171875,-1026.515625,-254.1984375
-769.4578125,-1025.371875,-255.9140625
-766.0265625,-1023.3703125,-257.34375
-762.5953125,-1021.36875,-258.7734375
-760.021875,-1019.653125,-259.63125
-758.0203125,-1018.2234375,-260.203125
-757.1625,-1017.365625,-260.203125
-757.1625,-1017.0796875,-259.9171875
-758.30625,-1017.365625,-259.059375
-759.7359375,-1017.9375,-258.2015625
-762.0234375,-1018.7953125,-256.771875
-764.025,-1019.9390625,-255.9140625
-765.740625,-1021.0828125,-255.3421875
-767.1703125,-1021.6546875,-254.484375
-768.028125,-1022.5125,-254.484375
-768.028125,-1022.7984375,-254.7703125
-767.7421875,-1023.084375,-255.3421875
-766.884375,-1023.3703125,-256.4859375
-765.4546875,-1023.3703125,-257.915625
-764.025,-1023.084375,-259.059375
-762.5953125,-1022.7984375,-260.203125
-760.8796875,-1022.2265625,-261.346875
-759.1640625,-1021.0828125,-261.91875
-757.1625,-1019.3671875,-262.2046875
-755.1609375,-1016.79375,-261.6328125
-752.5875,-1013.6484375,-261.0609375
-750.0140625,-1009.6453125,-259.63125
-747.1546875,-1005.35625,-258.2015625
-744.2953125,-1000.78125,-256.4859375
-741.721875,-996.20625,-254.484375
-739.1484375,-992.4890625,-253.340625
-737.4328125,-989.6296875,-252.196875
-736.575,-987.9140625,-251.3390625
-736.575,-987.628125,-251.053125
-737.71875,-989.0578125,-251.3390625
-740.00625,-991.63125,-251.625
-742.865625,-995.0625,-252.196875
-746.296875,-999.3515625,-253.0546875
-749.728125,-1003.640625,-253.9125
-752.8734375,-1007.3578125,-254.484375
-755.1609375,-1010.2171875,-255.05625
-756.590625,-1011.646875,-255.05625
-756.590625,-1011.646875,-255.05625
-755.1609375,-1010.2171875,-255.05625
-752.5875,-1007.64375,-255.05625
-749.15625,-1003.9265625,-254.7703125
-744.8671875,-999.6375,-254.7703125
-740.578125,-995.3484375,-254.7703125
-736.575,-991.63125,-255.05625
-733.4296875,-988.4859375,-255.05625
-731.1421875,-986.7703125,-255.628125
-729.9984375,-986.1984375,-256.2
-730.284375,-986.7703125,-256.4859375
-731.428125,-988.4859375,-257.0578125
-733.14375,-990.4875,-257.34375
-735.43125,-992.775,-257.34375
-737.4328125,-995.0625,-257.6296875
-739.1484375,-996.4921875,-257.34375
-739.7203125,-997.0640625,-257.34375
-739.434375,-996.4921875,-257.0578125
-738.0046875,-994.490625,-256.4859375
-735.7171875,-991.63125,-255.9140625
-732.571875,-987.9140625,-255.3421875
-728.8546875,-983.9109375,-255.05625
-725.4234375,-979.621875,-254.1984375
-722.5640625,-975.61875,-253.0546875
-720.2765625,-972.1875,-251.9109375
-719.1328125,-969.9,-250.7671875
-719.1328125,-968.4703125,-249.3375
-719.7046875,-968.184375,-248.4796875
-721.134375,-968.4703125,-247.3359375
-723.1359375,-969.328125,-246.1921875
-724.565625,-970.1859375,-245.6203125
-725.4234375,-970.471875,-245.0484375
-725.4234375,-969.9,-244.4765625
-723.99375,-968.184375,-244.190625
-721.134375,-965.0390625,-243.9046875
-717.13125,-960.4640625,-243.3328125
-711.984375,-955.03125,-243.046875
-706.265625,-948.4546875,-242.1890625
-700.8328125,-941.878125,-241.0453125
-695.6859375,-935.5875,-239.9015625
-691.6828125,-930.1546875,-238.471875
-688.8234375,-926.1515625,-237.328125
-687.39375,-923.8640625,-236.4703125
-687.39375,-923.2921875,-235.8984375
-688.2515625,-924.4359375,-236.184375
-689.9671875,-927.009375,-237.0421875
-691.6828125,-930.1546875,-238.471875
-693.1125,-933.5859375,-240.4734375
-693.3984375,-936.4453125,-243.046875
-692.540625,-938.1609375,-245.6203125
-689.9671875,-938.1609375,-248.19375
-686.25,-936.4453125,-250.1953125
-681.3890625,-932.728125,-251.3390625
-675.95625,-927.58125,-251.625
-670.2375,-921.5765625,-251.3390625
-664.8046875,-915.2859375,-250.48125
-660.515625,-909.28125,-248.765625
-657.3703125,-904.4203125,-247.05
-655.36875,-900.9890625,-245.6203125
-654.796875,-898.9875,-244.190625
-655.36875,-898.7015625,-243.3328125
-656.2265625,-900.13125,-243.9046875
-657.65625,-902.41875,-244.7625
-658.5140625,-904.9921875,-246.478125
-658.8,-907.565625,-248.765625
-658.228125,-909.28125,-251.053125
-656.7984375,-910.1390625,-253.340625
-654.225,-909.5671875,-255.3421875
-651.0796875,-907.8515625,-256.771875
