LEFT,RIGHT,DIFF
-85.78125,212.7375,298.51875
-74.6296875,223.603125,298.2328125
-64.621875,233.896875,298.51875
-57.1875,242.1890625,299.3765625
-53.4703125,247.9078125,301.378125
-53.4703125,250.1953125,303.665625
-56.615625,249.3375,305.953125
-62.334375,245.90625,308.240625
-69.4828125,240.759375,310.2421875
-76.059375,235.3265625,311.3859375
-81.20625,230.7515625,311.9578125
-83.7796875,227.8921875,311.671875
-83.2078125,227.60625,310.8140625
-79.7765625,229.6078125,309.384375
-74.0578125,233.896875,307.9546875
-66.6234375,239.9015625,306.525
-58.903125,246.1921875,305.0953125
-52.6125,252.4828125,305.0953125
-48.0375,257.34375,305.38125
-46.89375,259.9171875,306.8109375
-48.8953125,260.203125,309.0984375
-54.0421875,257.6296875,311.671875
-61.4765625,252.76875,314.2453125
-70.9125,246.478125,317.390625
-80.634375,239.3296875,319.9640625
-89.4984375,232.4671875,321.965625
-96.9328125,226.4625,323.3953125
-101.5078125,222.459375,323.9671875
-103.7953125,220.4578125,324.253125
-103.2234375,220.4578125,323.68125
-100.65,222.459375,323.109375
-96.646875,225.890625,322.5375
-92.3578125,229.89375,322.2515625
-88.9265625,234.1828125,323.109375
-86.925,237.6140625,324.5390625
-87.2109375,239.615625,326.8265625
-89.784375,240.1875,329.971875
-94.6453125,239.04375,333.6890625
-101.221875,236.184375,337.40625
-108.9421875,232.4671875,341.409375
-116.9484375,228.4640625,345.4125
-124.096875,224.746875,348.84375
-129.815625,221.8875,351.703125
-133.246875,220.4578125,353.7046875
-134.390625,221.315625,355.70625
-132.675,224.175,356.85
-128.671875,229.0359375,357.7078125
-123.2390625,235.6125,358.8515625
-116.6625,243.61875,360.28125
-110.0859375,251.625,361.7109375
-104.3671875,259.63125,363.9984375
-99.7921875,266.7796875,366.571875
-96.9328125,272.2125,369.1453125
-96.075,275.9296875,372.0046875
-97.21875,277.6453125,374.8640625
-99.7921875,277.6453125,377.4375
-103.7953125,276.215625,380.0109375
-108.3703125,273.928125,382.2984375
-113.23125,270.7828125,384.0140625
-118.0921875,267.9234375,386.015625
-122.38125,265.6359375,388.0171875
-126.0984375,263.9203125,390.01875
-129.24375,263.0625,392.30625
-131.8171875,263.0625,394.8796875
-133.81875,263.634375,397.453125
-135.8203125,264.778125,400.5984375
-137.25,265.6359375,402.8859375
-138.6796875,266.49375,405.1734375
-139.8234375,266.7796875,406.603125
-140.68125,266.49375,407.175
-140.9671875,265.921875,406.8890625
-140.68125,264.778125,405.459375
-139.8234375,263.0625,402.8859375
-138.6796875,261.6328125,400.3125
-137.25,260.203125,397.453125
-135.534375,259.3453125,394.8796875
-134.1046875,258.7734375,392.878125
-133.246875,258.7734375,392.0203125
-132.675,259.63125,392.30625
-132.9609375,261.0609375,394.021875
-133.81875,263.3484375,397.1671875
-134.6765625,266.2078125,400.884375
-135.2484375,269.925,405.1734375
-135.2484375,274.5,409.7484375
-134.390625,279.9328125,414.3234375
-132.3890625,285.9375,418.3265625
-129.24375,292.5140625,421.7578125
-124.66875,299.3765625,424.0453125
-119.521875,306.525,426.046875
-114.0890625,313.1015625,427.190625
-108.9421875,319.10625,428.0484375
-104.3671875,324.5390625,428.90625
-101.221875,328.5421875,429.7640625
-99.50625,331.6875,431.19375
-99.50625,333.403125,432.909375
