LEFT,RIGHT,DIFF
-402.3140625,-413.7515625,-11.4375
-399.740625,-410.60625,-10.865625
-398.025,-408.0328125,-10.0078125
-397.453125,-406.03125,-8.578125
-398.3109375,-405.1734375,-6.86250000000001
-400.884375,-405.7453125,-4.86093749999998
-404.6015625,-407.4609375,-2.859375
-409.1765625,-410.034375,-0.857812500000023
-414.0375,-413.1796875,0.857812500000023
-418.3265625,-416.0390625,2.28750000000002
-421.1859375,-418.6125,2.57343750000001
-422.9015625,-420.0421875,2.859375
-422.615625,-420.6140625,2.00156250000003
-421.1859375,-420.0421875,1.14375000000001
-418.3265625,-418.3265625,0.0
-414.8953125,-416.0390625,-1.14375000000001
-411.178125,-413.1796875,-2.00156249999998
-408.31875,-410.3203125,-2.00156249999998
-406.03125,-407.746875,-1.71562499999999
-404.6015625,-405.459375,-0.857812500000023
-404.0296875,-403.4578125,0.571875000000034
-403.74375,-401.45625,2.28750000000002
-403.171875,-399.16875,4.00312500000001
-402.028125,-396.309375,5.71875
-399.4546875,-392.878125,6.57656250000002
-395.4515625,-388.5890625,6.86250000000001
-390.3046875,-383.4421875,6.86250000000001
-384.0140625,-378.2953125,5.71875
-377.1515625,-373.1484375,4.00312500000001
-371.146875,-369.1453125,2.00156250000003
-366.2859375,-366.2859375,0.0
-363.7125,-365.428125,-1.71562499999999
-363.9984375,-366.8578125,-2.859375
-366.8578125,-370.575,-3.71718749999997
-372.5765625,-376.5796875,-4.00312500000001
-380.296875,-384.0140625,-3.71718750000002
-388.875,-392.0203125,-3.14531249999999
-397.7390625,-400.0265625,-2.28750000000002
-405.459375,-406.8890625,-1.4296875
-411.178125,-412.0359375,-0.857812499999966
-414.3234375,-414.609375,-0.285937499999989
-414.3234375,-414.3234375,0.0
-411.75,-411.75,0.0
-407.175,-407.175,0.0
-401.1703125,-401.1703125,0.0
-394.8796875,-394.8796875,0.0
-389.446875,-389.1609375,0.285937500000045
-385.44375,-384.871875,0.571875000000034
-384.0140625,-382.584375,1.4296875
-384.5859375,-382.8703125,1.71562499999999
-387.73125,-385.1578125,2.57343749999995
-392.30625,-389.446875,2.859375
-398.025,-394.8796875,3.14531250000005
-403.74375,-400.5984375,3.14531250000005
-408.6046875,-406.03125,2.57343750000001
-411.75,-410.3203125,1.4296875
-413.1796875,-413.1796875,0.0
-412.89375,-414.0375,-1.14375000000001
-410.60625,-413.465625,-2.859375
-406.8890625,-411.4640625,-4.57499999999999
-402.6,-409.1765625,-6.57656249999997
-398.596875,-406.603125,-8.00625000000002
-395.4515625,-405.1734375,-9.72187500000001
-393.7359375,-404.8875,-11.1515625
-394.021875,-406.603125,-12.58125
-395.7375,-409.7484375,-14.0109375
-398.8828125,-414.609375,-15.7265625
-403.4578125,-420.328125,-16.8703125
-408.0328125,-426.046875,-18.0140625
-412.6078125,-431.19375,-18.5859375
-416.325,-435.196875,-18.871875
-418.6125,-437.484375,-18.871875
-419.4703125,-437.1984375,-17.728125
-418.3265625,-435.196875,-16.8703125
-416.0390625,-431.4796875,-15.440625
-412.6078125,-426.3328125,-13.725
-408.890625,-421.1859375,-12.2953125
-405.459375,-416.6109375,-11.1515625
-402.8859375,-413.465625,-10.5796875
-401.45625,-412.321875,-10.865625
-402.028125,-413.465625,-11.4375
-404.315625,-417.1828125,-12.8671875
-408.0328125,-422.9015625,-14.86875
-412.6078125,-430.05,-17.4421875
-418.040625,-437.7703125,-19.7296875
-422.9015625,-444.91875,-22.0171875
-426.61875,-450.6375,-24.01875
-428.90625,-454.3546875,-25.4484375
-428.90625,-455.2125,-26.30625
-426.61875,-453.2109375,-26.5921875
