LEFT,RIGHT,DIFF
-75.4875,-94.359375,-18.871875
-75.7734375,-96.3609375,-20.5875
-74.34375,-96.9328125,-22.5890625
-70.340625,-94.93125,-24.590625
-64.05,-90.6421875,-26.5921875
-56.3296875,-83.7796875,-27.45
-47.7515625,-75.2015625,-27.45
-39.459375,-66.0515625,-26.5921875
-32.596875,-57.759375,-25.1625
-28.59375,-51.1828125,-22.5890625
-28.021875,-48.0375,-20.015625
-31.1671875,-48.609375,-17.4421875
-38.0296875,-53.75625,-15.7265625
-48.0375,-62.6203125,-14.5828125
-60.046875,-74.915625,-14.86875
-72.9140625,-88.640625,-15.7265625
-84.9234375,-102.365625,-17.4421875
-94.93125,-114.946875,-20.015625
-102.0796875,-124.3828125,-22.303125
-106.0828125,-130.3875,-24.3046875
-106.6546875,-132.103125,-25.4484375
-104.9390625,-130.3875,-25.4484375
-101.221875,-125.240625,-24.01875
-96.9328125,-118.6640625,-21.73125
-92.9296875,-111.515625,-18.5859375
-90.0703125,-105.225,-15.1546875
-89.4984375,-101.221875,-11.7234375
-90.6421875,-99.50625,-8.8640625
-93.7875,-100.9359375,-7.1484375
-98.3625,-104.9390625,-6.57656250000001
-103.509375,-110.6578125,-7.1484375
-108.3703125,-117.5203125,-9.15000000000001
-112.659375,-124.3828125,-11.7234375
-115.8046875,-130.3875,-14.5828125
-117.234375,-134.9625,-17.728125
-117.234375,-137.5359375,-20.3015625
-116.3765625,-138.6796875,-22.303125
-114.6609375,-138.1078125,-23.446875
-112.659375,-136.9640625,-24.3046875
-110.94375,-135.8203125,-24.8765625
-109.8,-134.9625,-25.1625
-109.5140625,-135.2484375,-25.734375
-110.0859375,-136.3921875,-26.30625
-111.2296875,-138.965625,-27.7359375
-112.659375,-142.1109375,-29.4515625
-114.0890625,-145.5421875,-31.453125
-115.2328125,-148.9734375,-33.740625
-116.090625,-151.8328125,-35.7421875
-116.6625,-154.1203125,-37.4578125
-116.6625,-154.978125,-38.315625
-116.6625,-154.978125,-38.315625
-116.3765625,-154.1203125,-37.74375
-116.3765625,-152.690625,-36.3140625
