LEFT,RIGHT,DIFF
-496.6734375,-388.5890625,108.084375
-493.2421875,-384.3,108.9421875
-490.096875,-379.725,110.371875
-487.2375,-375.15,112.0875
-484.378125,-370.575,113.803125
-481.8046875,-365.7140625,116.090625
-478.9453125,-360.853125,118.0921875
-475.8,-355.9921875,119.8078125
-472.0828125,-350.559375,121.5234375
-467.79375,-345.4125,122.38125
-463.5046875,-340.8375,122.6671875
-459.215625,-336.834375,122.38125
-455.4984375,-334.546875,120.9515625
-453.2109375,-334.2609375,118.95
-452.353125,-336.2625,116.090625
-454.06875,-340.5515625,113.5171875
-457.5,-347.128125,110.371875
-463.21875,-355.134375,108.084375
-470.08125,-363.7125,106.36875
-477.515625,-372.290625,105.225
-484.378125,-380.0109375,104.3671875
-490.096875,-385.7296875,104.3671875
-493.8140625,-389.1609375,104.653125
-495.24375,-390.01875,105.225
-494.671875,-388.875,105.796875
-492.0984375,-386.5875,105.5109375
-488.38125,-383.728125,104.653125
-484.95,-381.7265625,103.2234375
-482.3765625,-381.1546875,101.221875
-481.51875,-382.8703125,98.6484375
-483.234375,-387.4453125,95.7890625
-487.809375,-394.3078125,93.5015625
-494.671875,-403.4578125,91.2140625
-502.9640625,-413.465625,89.4984375
-511.828125,-423.1875,88.640625
-520.1203125,-431.4796875,88.6406250000001
-526.4109375,-437.1984375,89.2125
-530.128125,-439.4859375,90.6421875
-529.8421875,-438.05625,91.7859375
-526.4109375,-433.1953125,93.215625
-519.2625,-425.475,93.7875
-509.540625,-416.0390625,93.5015625
-498.675,-405.7453125,92.9296875
-487.5234375,-396.5953125,90.928125
-477.8015625,-389.1609375,88.6406250000001
-470.08125,-384.5859375,85.4953125
-465.50625,-383.4421875,82.0640625
-464.0765625,-385.7296875,78.346875
-465.7921875,-391.1625,74.6296875
-470.08125,-398.3109375,71.7703125
-476.0859375,-406.8890625,69.196875
-482.6625,-414.8953125,67.7671875
-488.6671875,-421.7578125,66.909375
-493.528125,-426.61875,66.909375
-496.3875,-428.334375,68.053125
-496.6734375,-427.190625,69.4828125
-494.671875,-423.1875,71.484375
-490.66875,-416.896875,73.771875
-484.6640625,-409.1765625,75.4875
-477.8015625,-400.3125,77.4890625
-470.653125,-391.4484375,79.2046875
-463.5046875,-383.4421875,80.0625000000001
-457.2140625,-376.29375,80.9203125
-451.78125,-370.8609375,80.9203125
-447.4921875,-366.8578125,80.634375
-444.346875,-364.5703125,79.7765625
-442.3453125,-363.7125,78.6328125
-441.4875,-363.9984375,77.4890625
-441.7734375,-365.1421875,76.63125
-443.4890625,-367.715625,75.7734375000001
-446.3484375,-371.146875,75.2015625
-450.6375,-375.721875,74.915625
-456.6421875,-381.440625,75.2015625
-463.5046875,-388.0171875,75.4875
-471.5109375,-395.165625,76.3453125
-480.0890625,-402.8859375,77.203125
-488.6671875,-410.034375,78.6328125
-496.1015625,-416.325,79.7765625
-502.10625,-421.1859375,80.9203125
-505.8234375,-423.759375,82.0640625
-506.68125,-424.0453125,82.6359375
-504.965625,-421.7578125,83.2078125
-500.6765625,-417.46875,83.2078125
-494.671875,-411.4640625,83.2078125
-487.809375,-405.1734375,82.6359375
-481.51875,-399.16875,82.35
-476.371875,-394.59375,81.778125
-473.7984375,-392.5921875,81.20625
-474.3703125,-393.45,80.9203125
-478.0875,-397.453125,80.634375
-484.378125,-403.74375,80.634375
-492.95625,-411.4640625,81.4921875
-501.8203125,-419.4703125,82.35
-509.8265625,-426.3328125,83.49375
-514.9734375,-430.3359375,84.6375
-516.6890625,-430.621875,86.0671875
-513.8296875,-426.61875,87.2109374999999
-506.109375,-418.3265625,87.7828125
-494.3859375,-406.603125,87.7828125
-479.23125,-392.30625,86.925
-463.21875,-377.1515625,86.0671875
-447.4921875,-363.140625,84.3515625
-434.053125,-352.275,81.778125
-424.903125,-345.4125,79.490625
-420.9,-343.4109375,77.4890625
-422.615625,-346.8421875,75.7734375
-429.478125,-354.8484375,74.6296875
-440.6296875,-366.0,74.6296875
-454.3546875,-379.4390625,74.915625
-469.2234375,-392.878125,76.3453125
-482.9484375,-404.6015625,78.346875
-494.1,-413.7515625,80.3484375
-501.534375,-418.8984375,82.6359375
-504.6796875,-420.0421875,84.6375
-503.5359375,-417.46875,86.0671875
-498.675,-412.0359375,86.6390625
-491.240625,-404.6015625,86.6390625
-482.6625,-396.309375,86.353125
-474.084375,-388.875,85.209375
-466.65,-382.584375,84.065625
-461.503125,-378.58125,82.921875
-458.9296875,-376.5796875,82.35
-458.9296875,-377.1515625,81.778125
-461.2171875,-379.153125,82.0640625
-465.2203125,-382.8703125,82.35
-470.08125,-386.8734375,83.2078125
-475.5140625,-391.1625,84.3515625
-480.375,-395.165625,85.209375
-484.378125,-398.596875,85.78125
-487.2375,-400.884375,86.353125
-488.953125,-402.6,86.353125
-489.2390625,-403.4578125,85.7812500000001
-488.6671875,-403.4578125,85.209375
-487.2375,-402.3140625,84.9234375
-484.6640625,-400.3125,84.3515625
-481.51875,-397.453125,84.065625
-477.8015625,-393.45,84.3515625000001
-473.7984375,-388.875,84.9234375
-469.509375,-383.728125,85.78125
-465.50625,-378.58125,86.925
-461.7890625,-374.00625,87.7828125
-459.5015625,-370.575,88.9265625
-458.64375,-369.1453125,89.4984375
-459.7875,-369.43125,90.35625
-462.646875,-372.290625,90.35625
-467.79375,-377.1515625,90.6421875
-474.3703125,-383.4421875,90.928125
-481.8046875,-390.3046875,91.5
-489.525,-397.1671875,92.3578125
-496.1015625,-402.6,93.5015625
-500.9625,-406.3171875,94.6453125
-503.25,-407.175,96.075
-502.3921875,-405.459375,96.9328125
-498.9609375,-401.45625,97.5046875
-493.2421875,-396.0234375,97.21875
-486.3796875,-389.7328125,96.646875
-479.23125,-384.5859375,94.6453125
-473.2265625,-381.1546875,92.071875
-469.509375,-380.296875,89.2125
-468.9375,-383.15625,85.78125
-471.5109375,-388.875,82.6359375
-477.2296875,-396.88125,80.3484375
-485.2359375,-406.603125,78.6328125
-494.3859375,-415.753125,78.6328125
-502.678125,-423.4734375,79.2046875
-509.2546875,-428.0484375,81.20625
-512.6859375,-428.90625,83.7796875
-511.828125,-425.475,86.353125
-506.9671875,-418.3265625,88.640625
-498.675,-408.6046875,90.0703125
-488.0953125,-398.025,90.0703125
-477.2296875,-388.303125,88.9265625
-467.79375,-382.0125,85.7812500000001
-462.075,-380.86875,81.20625
-461.7890625,-385.7296875,76.059375
-467.79375,-397.1671875,70.6265625
-480.0890625,-414.8953125,65.19375
-498.675,-438.05625,60.61875
-521.8359375,-463.790625,58.0453125
-547.284375,-490.3828125,56.9015625000001
-573.01875,-514.9734375,58.0453125
-595.89375,-535.275,60.6187500000001
-614.19375,-549.2859375,64.9078125
-625.9171875,-555.5765625,70.340625
-630.4921875,-554.146875,76.3453125
-627.346875,-545.2828125,82.0640625000001
-617.625,-530.4140625,87.2109375
-602.75625,-511.828125,90.928125
-584.7421875,-491.5265625,93.215625
-565.8703125,-471.5109375,94.3593750000001
-548.1421875,-454.3546875,93.7875
-533.2734375,-440.915625,92.3578125
-522.4078125,-432.3375,90.0703124999999
-516.1171875,-428.6203125,87.496875
-514.4015625,-429.1921875,85.2093750000001
-516.1171875,-432.909375,83.2078125
-520.6921875,-438.3421875,82.35
-526.125,-444.0609375,82.0640625
-531.271875,-448.921875,82.35
-535.5609375,-451.4953125,84.065625
-537.5625,-451.4953125,86.0671875
-537.2765625,-449.2078125,88.06875
-534.703125,-444.346875,90.35625
-530.7,-438.3421875,92.3578125
-525.553125,-431.765625,93.7875
-520.40625,-425.7609375,94.6453125
-515.5453125,-420.328125,95.2171875
-511.5421875,-416.6109375,94.93125
-508.96875,-414.3234375,94.6453125
-507.253125,-412.89375,94.359375
-506.109375,-412.6078125,93.5015625
-505.2515625,-412.0359375,93.215625
-504.39375,-411.178125,93.215625
-502.678125,-409.7484375,92.9296875
-500.390625,-407.175,93.215625
-497.2453125,-403.74375,93.5015625
-493.528125,-399.740625,93.7875
-489.8109375,-396.309375,93.5015625
-486.9515625,-393.45,93.5015625
-484.95,-391.734375,93.215625
-484.378125,-392.0203125,92.3578125
-485.2359375,-394.021875,91.2140625
-487.5234375,-397.453125,90.0703125
-490.3828125,-401.45625,88.9265625
-493.8140625,-405.7453125,88.06875
-496.3875,-409.4625,86.925
-497.8171875,-411.4640625,86.353125
-497.53125,-411.178125,86.353125
-495.5296875,-408.890625,86.6390625
-491.8125,-404.8875,86.925
-486.9515625,-399.4546875,87.496875
-482.090625,-393.45,88.6406250000001
-477.8015625,-388.303125,89.4984375
-474.9421875,-384.871875,90.0703125000001
-474.3703125,-383.4421875,90.928125
-476.6578125,-384.871875,91.7859375
-480.946875,-388.875,92.071875
-487.5234375,-394.8796875,92.64375
-494.9578125,-402.028125,92.9296875000001
-502.3921875,-408.890625,93.5015625
-508.396875,-414.3234375,94.0734375
-512.4,-417.7546875,94.6453125
-513.54375,-418.3265625,95.2171875
-511.5421875,-416.0390625,95.503125
-507.253125,-411.178125,96.075
-501.534375,-404.8875,96.646875
-495.24375,-398.025,97.21875
-489.8109375,-392.5921875,97.21875
-486.9515625,-389.1609375,97.790625
-486.9515625,-388.875,98.0765625
-490.9546875,-392.30625,98.6484375
-498.3890625,-398.8828125,99.50625
-508.96875,-408.6046875,100.3640625
-520.978125,-419.75625,101.221875
-533.2734375,-430.9078125,102.365625
-544.425,-440.6296875,103.7953125
-552.7171875,-447.778125,104.9390625
-557.578125,-451.4953125,106.0828125
-557.8640625,-450.9234375,106.940625
-554.146875,-446.3484375,107.7984375
-546.9984375,-438.9140625,108.084375
-537.2765625,-428.90625,108.3703125
-526.4109375,-418.3265625,108.084375
-515.5453125,-407.746875,107.7984375
-505.8234375,-398.8828125,106.940625
-498.3890625,-392.0203125,106.36875
-493.2421875,-387.4453125,105.796875
-490.3828125,-385.44375,104.9390625
-489.525,-385.44375,104.08125
-489.8109375,-386.5875,103.2234375
-490.66875,-388.303125,102.365625
-490.9546875,-390.3046875,100.65
-490.9546875,-391.4484375,99.50625
-490.096875,-392.0203125,98.0765625
-488.38125,-392.0203125,96.3609375
-486.3796875,-391.734375,94.6453125
-484.378125,-391.1625,93.215625
-482.9484375,-390.8765625,92.071875
-482.3765625,-390.590625,91.7859375
-482.6625,-390.8765625,91.7859375
-483.5203125,-391.1625,92.3578125
-484.6640625,-390.8765625,93.7875
-485.2359375,-390.01875,95.2171875
-484.95,-388.303125,96.646875
-483.234375,-384.871875,98.3625
-479.803125,-380.296875,99.50625
-474.65625,-374.578125,100.078125
-468.365625,-368.2875,100.078125
-461.7890625,-361.996875,99.7921875
-455.4984375,-356.5640625,98.934375
-450.3515625,-352.5609375,97.790625
-447.20625,-350.559375,96.646875
-446.634375,-350.8453125,95.7890625
-448.35,-353.1328125,95.2171875
-452.353125,-357.1359375,95.2171875
-458.071875,-361.7109375,96.3609375
-464.3625,-366.8578125,97.5046875
-470.653125,-371.146875,99.50625
-476.0859375,-374.578125,101.5078125
-480.0890625,-376.865625,103.2234375
-482.3765625,-377.7234375,104.653125
-482.9484375,-378.009375,104.9390625
-482.9484375,-377.7234375,105.225
-482.090625,-377.7234375,104.3671875
-481.51875,-378.8671875,102.6515625
-481.8046875,-380.86875,100.9359375
-483.234375,-384.3,98.934375
-485.8078125,-388.875,96.9328125
-489.2390625,-394.021875,95.2171875
-492.6703125,-398.8828125,93.7875
-495.815625,-402.6,93.215625
-498.103125,-405.1734375,92.9296875
-498.3890625,-405.459375,92.9296875
-496.959375,-403.74375,93.215625
-493.528125,-400.0265625,93.5015625
-488.6671875,-395.165625,93.5015625
-482.9484375,-389.7328125,93.215625
-477.2296875,-384.5859375,92.64375
-472.0828125,-380.296875,91.7859375
-468.0796875,-377.4375,90.6421875
-466.078125,-376.0078125,90.0703125
-465.2203125,-375.721875,89.4984375
-465.7921875,-376.5796875,89.2125
-467.221875,-377.4375,89.784375
-468.365625,-378.2953125,90.0703125
-469.2234375,-378.2953125,90.928125
-469.509375,-377.4375,92.071875
-468.365625,-375.721875,92.64375
-466.65,-373.434375,93.215625
-464.3625,-371.71875,92.64375
-462.3609375,-370.2890625,92.071875
-461.2171875,-370.575,90.6421875
-460.93125,-372.0046875,88.9265625
-462.3609375,-375.15,87.2109375
-464.6484375,-379.153125,85.4953125
-467.79375,-383.4421875,84.3515625000001
-470.653125,-386.8734375,83.7796875
-472.6546875,-388.875,83.7796875
-472.940625,-388.303125,84.6375
-470.9390625,-385.1578125,85.78125
-466.3640625,-379.153125,87.2109375000001
-459.5015625,-371.146875,88.3546875
-451.4953125,-361.996875,89.4984375
-442.9171875,-353.41875,89.4984375
-435.196875,-346.2703125,88.9265625
-429.7640625,-342.2671875,87.496875
-427.4765625,-341.6953125,85.78125
-428.90625,-345.4125,83.49375
-434.053125,-352.275,81.778125
-442.3453125,-361.7109375,80.634375
-452.353125,-372.290625,80.0625
-462.9328125,-382.2984375,80.634375
-472.36875,-390.3046875,82.0640625
-479.23125,-394.3078125,84.9234375
-482.6625,-394.3078125,88.3546875
-481.51875,-390.01875,91.5
-476.6578125,-382.0125,94.6453125
-468.0796875,-371.146875,96.9328125
-457.5,-359.4234375,98.0765625
-446.3484375,-348.271875,98.0765625
-436.340625,-339.4078125,96.9328125
-428.334375,-333.975,94.359375
-423.759375,-332.5453125,91.2140625
-422.9015625,-335.11875,87.7828125
-426.046875,-341.1234375,84.9234375
-432.0515625,-349.7015625,82.35
-440.34375,-359.4234375,80.9203125
-449.2078125,-368.859375,80.3484375
-458.071875,-376.865625,81.20625
-465.2203125,-382.2984375,82.921875
-470.3671875,-384.5859375,85.78125
-472.940625,-384.3,88.640625
-472.940625,-381.440625,91.5
-470.653125,-376.865625,93.7875
-466.9359375,-371.71875,95.2171875
-462.3609375,-366.2859375,96.075
-457.7859375,-361.7109375,96.075
-453.496875,-358.2796875,95.2171875
-450.065625,-356.278125,93.7875
-447.4921875,-355.4203125,92.071875
-445.490625,-355.134375,90.35625
-444.0609375,-355.134375,88.9265625
-442.63125,-354.5625,88.06875
-440.915625,-352.846875,88.06875
-438.3421875,-349.7015625,88.640625
-434.9109375,-345.1265625,89.784375
-430.3359375,-338.55,91.7859375
-424.6171875,-330.8296875,93.7875
-418.040625,-322.2515625,95.7890625
-410.8921875,-312.815625,98.0765625
-403.4578125,-303.665625,99.7921875
-396.309375,-295.0875,101.221875
-389.7328125,-287.653125,102.0796875
-384.3,-281.934375,102.365625
-380.296875,-277.6453125,102.6515625
-378.009375,-275.64375,102.365625
-377.7234375,-275.9296875,101.79375
-379.725,-278.2171875,101.5078125
-383.728125,-282.7921875,100.9359375
-390.01875,-289.36875,100.65
-398.025,-297.375,100.65
-407.4609375,-306.8109375,100.65
-417.7546875,-316.5328125,101.221875
-428.0484375,-325.96875,102.0796875
-437.7703125,-334.2609375,103.509375
-445.490625,-340.5515625,104.9390625
-450.9234375,-344.5546875,106.36875
-453.496875,-345.6984375,107.7984375
-452.925,-343.4109375,109.5140625
-448.6359375,-338.55,110.0859375
-442.059375,-331.115625,110.94375
-433.1953125,-322.2515625,110.94375
-423.1875,-312.815625,110.371875
-413.7515625,-304.2375,109.5140625
-405.7453125,-297.946875,107.7984375
-400.5984375,-294.515625,106.0828125
-398.596875,-294.8015625,103.7953125
-400.884375,-299.090625,101.79375
-406.603125,-307.096875,99.50625
-416.0390625,-317.6765625,98.3625
-427.190625,-329.971875,97.21875
-439.4859375,-342.553125,96.9328125
-451.209375,-353.990625,97.21875
-460.6453125,-362.8546875,97.790625
-466.9359375,-368.0015625,98.934375
-469.2234375,-369.1453125,100.078125
-467.221875,-365.7140625,101.5078125
-460.93125,-358.8515625,102.0796875
-451.78125,-348.84375,102.9375
-440.6296875,-337.6921875,102.9375
-428.90625,-326.2546875,102.6515625
-417.7546875,-316.5328125,101.221875
-409.1765625,-309.0984375,100.078125
-403.4578125,-305.38125,98.0765625
-401.1703125,-305.0953125,96.075
-402.6,-308.5265625,94.0734375
-406.8890625,-314.53125,92.3578125
-413.1796875,-322.2515625,90.928125
-420.6140625,-330.2578125,90.35625
-428.0484375,-337.978125,90.0703125
-434.053125,-343.9828125,90.0703125
-438.3421875,-347.7,90.6421875
-440.0578125,-348.5578125,91.5
-439.771875,-346.8421875,92.9296875
-437.484375,-343.125,94.359375
-433.48125,-337.978125,95.503125
-428.90625,-331.6875,97.21875
-424.33125,-325.6828125,98.6484375
-420.328125,-320.5359375,99.7921875
-417.46875,-316.246875,101.221875
-415.4671875,-313.6734375,101.79375
