LEFT,RIGHT,DIFF
-128.1,-26.30625,101.79375
-126.384375,-24.590625,101.79375
-123.8109375,-21.73125,102.0796875
-121.2375,-18.5859375,102.6515625
-118.95,-16.0125,102.9375
-118.0921875,-14.86875,103.2234375
-118.6640625,-15.440625,103.2234375
-120.9515625,-18.0140625,102.9375
-124.3828125,-22.0171875,102.365625
-128.9578125,-27.1640625,101.79375
-133.81875,-32.596875,101.221875
-138.39375,-37.74375,100.65
-141.825,-41.746875,100.078125
-144.1125,-44.3203125,99.7921875
-144.684375,-45.178125,99.50625
-144.1125,-44.034375,100.078125
-142.396875,-41.746875,100.65
-139.8234375,-38.315625,101.5078125
-136.9640625,-34.884375,102.0796875
-134.6765625,-31.453125,103.2234375
-132.675,-28.59375,104.08125
-131.2453125,-26.878125,104.3671875
-130.3875,-25.734375,104.653125
-129.815625,-25.1625,104.653125
-129.24375,-24.8765625,104.3671875
-128.1,-24.590625,103.509375
-126.384375,-23.7328125,102.6515625
-123.8109375,-22.0171875,101.79375
-120.3796875,-19.1578125,101.221875
-116.3765625,-15.7265625,100.65
-112.3734375,-12.009375,100.3640625
-108.3703125,-8.00625,100.3640625
-105.225,-4.2890625,100.9359375
-102.9375,-1.715625,101.221875
-101.79375,0.0,101.79375
-101.79375,0.2859375,102.0796875
-102.9375,-0.2859375,102.6515625
-104.9390625,-2.2875,102.6515625
-107.2265625,-5.146875,102.0796875
-109.8,-8.578125,101.221875
-112.0875,-12.2953125,99.7921875
-113.803125,-16.2984375,97.5046875
-115.51875,-20.015625,95.503125
-117.234375,-23.446875,93.7875
-118.6640625,-27.1640625,91.5
-120.9515625,-30.88125,90.0703125
-123.8109375,-34.5984375,89.2125
-127.528125,-38.8875,88.640625
-132.103125,-43.1765625,88.9265625
-137.25,-47.1796875,90.0703125
-142.1109375,-50.896875,91.2140625
-146.6859375,-53.75625,92.9296875
-149.5453125,-54.9,94.6453125
-150.6890625,-54.328125,96.3609375
-149.5453125,-51.46875,98.0765625
-145.5421875,-46.321875,99.2203125
-139.2515625,-39.1734375,100.078125
-130.6734375,-30.0234375,100.65
-120.3796875,-20.015625,100.3640625
-109.5140625,-9.721875,99.7921875
-99.2203125,0.0,99.2203125
-89.784375,8.00625,97.790625
-82.35,14.5828125,96.9328125
-77.4890625,18.871875,96.3609375
-75.2015625,20.5875,95.7890625
-75.7734375,20.015625,95.7890625
-78.346875,17.4421875,95.7890625
-82.921875,13.153125,96.075
-88.3546875,8.00625,96.3609375
-94.359375,2.859375,97.21875
-100.65,-2.0015625,98.6484375
-106.36875,-6.290625,100.078125
-111.515625,-10.29375,101.221875
-116.090625,-13.153125,102.9375
-120.3796875,-15.440625,104.9390625
-124.096875,-17.4421875,106.6546875
-127.2421875,-18.871875,108.3703125
-130.3875,-20.3015625,110.0859375
-132.9609375,-21.4453125,111.515625
-134.6765625,-22.303125,112.3734375
-135.2484375,-22.5890625,112.659375
-134.6765625,-22.303125,112.3734375
-132.675,-21.159375,111.515625
-128.671875,-18.871875,109.8
-123.525,-15.1546875,108.3703125
-116.9484375,-10.865625,106.0828125
-109.8,-5.71875,104.08125
-102.6515625,-0.2859375,102.365625
-96.075,4.8609375,100.9359375
-91.2140625,9.4359375,100.65
-88.06875,12.8671875,100.9359375
-86.925,15.1546875,102.0796875
-87.7828125,16.2984375,104.08125
-90.0703125,16.584375,106.6546875
-93.215625,16.2984375,109.5140625
-96.075,16.0125,112.0875
-98.3625,16.2984375,114.6609375
-99.2203125,17.728125,116.9484375
-98.3625,20.015625,118.378125
-95.503125,23.446875,118.95
-91.2140625,27.7359375,118.95
-86.353125,32.025,118.378125
-81.4921875,36.028125,117.5203125
-77.4890625,38.8875,116.3765625
-75.4875,40.03125,115.51875
-76.059375,38.6015625,114.6609375
-78.91875,34.884375,113.803125
-84.065625,29.165625,113.23125
-91.2140625,22.0171875,113.23125
-98.6484375,13.725,112.3734375
-106.0828125,6.0046875,112.0875
-111.8015625,-0.2859375,111.515625
-115.2328125,-4.575,110.6578125
-115.51875,-6.0046875,109.5140625
-112.9453125,-4.575,108.3703125
-107.5125,0.0,107.5125
-99.7921875,6.5765625,106.36875
-90.928125,15.1546875,106.0828125
-81.778125,24.590625,106.36875
-73.4859375,34.0265625,107.5125
-66.909375,42.31875,109.228125
-62.334375,49.18125,111.515625
-59.7609375,53.75625,113.5171875
-59.1890625,56.615625,115.8046875
-60.046875,57.759375,117.80625
-62.0484375,57.4734375,119.521875
-64.3359375,56.04375,120.3796875
-66.0515625,54.328125,120.3796875
-67.48125,52.3265625,119.8078125
-68.3390625,50.896875,119.2359375
-68.625,49.4671875,118.0921875
-68.9109375,48.3234375,117.234375
-69.196875,47.1796875,116.3765625
-70.340625,45.75,116.090625
-72.05625,44.034375,116.090625
-74.6296875,42.31875,116.9484375
-77.775,40.03125,117.80625
-80.9203125,37.74375,118.6640625
-83.49375,35.7421875,119.2359375
-84.9234375,34.3125,119.2359375
-84.6375,33.740625,118.378125
-82.6359375,34.3125,116.9484375
-78.346875,35.7421875,114.0890625
-72.3421875,38.6015625,110.94375
-65.19375,42.0328125,107.2265625
-57.759375,45.75,103.509375
-50.6109375,49.4671875,100.078125
-44.8921875,52.3265625,97.21875
-41.175,54.0421875,95.2171875
-40.03125,54.328125,94.359375
-41.175,53.184375,94.359375
-44.8921875,50.325,95.2171875
-50.325,46.6078125,96.9328125
-57.1875,42.0328125,99.2203125
-64.05,37.4578125,101.5078125
-70.9125,32.8828125,103.7953125
-76.63125,29.165625,105.796875
-80.634375,26.5921875,107.2265625
-83.2078125,25.1625,108.3703125
-84.065625,24.8765625,108.9421875
-83.7796875,25.734375,109.5140625
-82.35,27.1640625,109.5140625
-80.3484375,29.4515625,109.8
-78.6328125,32.025,110.6578125
-76.9171875,34.5984375,111.515625
-75.4875,37.4578125,112.9453125
-74.6296875,40.03125,114.6609375
-74.0578125,42.6046875,116.6625
-73.2,45.178125,118.378125
-72.05625,48.3234375,120.3796875
-69.76875,52.040625,121.809375
-66.6234375,56.3296875,122.953125
-62.0484375,61.4765625,123.525
-56.3296875,67.1953125,123.525
-49.753125,73.4859375,123.2390625
-42.890625,79.490625,122.38125
-35.7421875,85.209375,120.9515625
-29.165625,90.0703125,119.2359375
-24.01875,93.5015625,117.5203125
-20.3015625,95.503125,115.8046875
-18.871875,95.7890625,114.6609375
-19.1578125,94.0734375,113.23125
-21.4453125,90.6421875,112.0875
-25.1625,86.353125,111.515625
-30.0234375,81.20625,111.2296875
-35.1703125,76.059375,111.2296875
-40.3171875,71.1984375,111.515625
-44.3203125,67.48125,111.8015625
-47.465625,64.9078125,112.3734375
-48.8953125,63.478125,112.3734375
-48.8953125,63.478125,112.3734375
-48.0375,64.3359375,112.3734375
-46.0359375,65.4796875,111.515625
-44.3203125,66.3375,110.6578125
-42.890625,66.0515625,108.9421875
-42.31875,64.3359375,106.6546875
-43.4625,61.190625,104.653125
-46.321875,56.04375,102.365625
-50.6109375,49.753125,100.3640625
-56.04375,42.6046875,98.6484375
-62.0484375,35.45625,97.5046875
-68.053125,29.165625,97.21875
-72.9140625,24.3046875,97.21875
-76.059375,21.73125,97.790625
-77.4890625,21.73125,99.2203125
-76.63125,24.3046875,100.9359375
-73.4859375,29.165625,102.6515625
-68.9109375,35.45625,104.3671875
-63.478125,42.6046875,106.0828125
-58.0453125,49.18125,107.2265625
-53.184375,54.328125,107.5125
-50.325,57.4734375,107.7984375
-49.4671875,58.0453125,107.5125
-51.1828125,55.471875,106.6546875
-54.9,50.6109375,105.5109375
-60.9046875,43.7484375,104.653125
-67.7671875,35.7421875,103.509375
-74.915625,27.45,102.365625
-81.778125,20.5875,102.365625
-86.925,15.1546875,102.0796875
-90.0703125,12.2953125,102.365625
-91.2140625,12.2953125,103.509375
-90.0703125,14.296875,104.3671875
-87.496875,18.5859375,106.0828125
-83.2078125,24.3046875,107.5125
-78.91875,30.0234375,108.9421875
-74.915625,35.45625,110.371875
-71.484375,39.459375,110.94375
-69.76875,42.0328125,111.8015625
-69.4828125,42.31875,111.8015625
-70.6265625,41.175,111.8015625
-72.628125,38.6015625,111.2296875
-75.2015625,35.1703125,110.371875
-77.4890625,32.025,109.5140625
-78.91875,29.7375,108.65625
-78.91875,28.8796875,107.7984375
-77.203125,29.7375,106.940625
-74.34375,32.596875,106.940625
-70.0546875,36.6,106.6546875
-65.19375,41.746875,106.940625
-60.61875,46.89375,107.5125
-56.9015625,51.1828125,108.084375
-54.6140625,54.328125,108.9421875
-54.328125,55.1859375,109.5140625
-56.615625,53.4703125,110.0859375
-60.9046875,49.4671875,110.371875
-67.1953125,43.4625,110.6578125
-74.6296875,35.7421875,110.371875
-82.6359375,27.7359375,110.371875
-89.784375,20.3015625,110.0859375
-95.7890625,13.725,109.5140625
-99.7921875,9.721875,109.5140625
-101.5078125,8.00625,109.5140625
-100.65,8.8640625,109.5140625
-97.5046875,12.2953125,109.8
-92.64375,17.728125,110.371875
-86.6390625,24.01875,110.6578125
-80.634375,30.5953125,111.2296875
-75.2015625,36.6,111.8015625
-70.9125,40.8890625,111.8015625
-68.3390625,43.4625,111.8015625
-68.053125,43.4625,111.515625
-69.4828125,41.4609375,110.94375
-72.3421875,37.74375,110.0859375
-76.059375,32.8828125,108.9421875
-80.3484375,27.45,107.7984375
-84.3515625,22.303125,106.6546875
-87.496875,18.3,105.796875
-89.784375,15.7265625,105.5109375
-90.35625,14.5828125,104.9390625
-90.0703125,15.440625,105.5109375
-88.640625,17.4421875,106.0828125
-86.6390625,20.5875,107.2265625
-84.6375,24.3046875,108.9421875
-82.921875,28.021875,110.94375
-81.778125,31.1671875,112.9453125
-81.4921875,33.740625,115.2328125
-82.0640625,35.45625,117.5203125
-83.2078125,36.6,119.8078125
-84.6375,37.171875,121.809375
-85.78125,37.4578125,123.2390625
-86.353125,37.74375,124.096875
-86.353125,38.6015625,124.9546875
-84.9234375,40.03125,124.9546875
-82.6359375,42.31875,124.9546875
-79.2046875,44.8921875,124.096875
-75.2015625,47.465625,122.6671875
-70.9125,50.325,121.2375
-66.909375,52.8984375,119.8078125
-63.1921875,54.9,118.0921875
-60.61875,55.7578125,116.3765625
-58.903125,56.04375,114.946875
-58.0453125,55.471875,113.5171875
-58.0453125,54.328125,112.3734375
-58.0453125,53.184375,111.2296875
-58.33125,52.040625,110.371875
-58.0453125,51.46875,109.5140625
-56.9015625,51.46875,108.3703125
-55.1859375,52.040625,107.2265625
-52.8984375,53.184375,106.0828125
-50.325,54.6140625,104.9390625
-48.0375,56.04375,104.08125
-46.321875,56.615625,102.9375
-46.0359375,56.3296875,102.365625
-47.1796875,54.9,102.0796875
-50.0390625,51.7546875,101.79375
-54.328125,47.7515625,102.0796875
-59.7609375,42.890625,102.6515625
-66.0515625,37.74375,103.7953125
-71.7703125,33.16875,104.9390625
-76.63125,29.4515625,106.0828125
-79.490625,27.7359375,107.2265625
-80.3484375,27.7359375,108.084375
-78.346875,30.309375,108.65625
-74.34375,34.3125,108.65625
-68.3390625,40.03125,108.3703125
-61.190625,46.0359375,107.2265625
-54.0421875,51.7546875,105.796875
-47.7515625,56.3296875,104.08125
-43.1765625,58.903125,102.0796875
-40.8890625,59.1890625,100.078125
-41.175,56.9015625,98.0765625
-43.7484375,52.6125,96.3609375
-48.3234375,46.6078125,94.93125
-53.75625,40.3171875,94.0734375
-58.903125,34.5984375,93.5015625
-63.478125,30.309375,93.7875
-66.0515625,28.021875,94.0734375
-66.6234375,28.59375,95.2171875
-64.621875,31.7390625,96.3609375
-60.9046875,37.171875,98.0765625
-55.7578125,44.034375,99.7921875
-50.325,51.1828125,101.5078125
-45.4640625,57.759375,103.2234375
-42.0328125,62.6203125,104.653125
-40.603125,65.19375,105.796875
-41.746875,64.9078125,106.6546875
-44.8921875,62.334375,107.2265625
-50.0390625,57.759375,107.7984375
-56.04375,52.040625,108.084375
-62.0484375,46.0359375,108.084375
-67.48125,40.603125,108.084375
-71.1984375,36.8859375,108.084375
-72.9140625,35.1703125,108.084375
-72.9140625,35.1703125,108.084375
-71.484375,36.6,108.084375
-69.196875,38.6015625,107.7984375
-67.48125,40.603125,108.084375
-66.6234375,41.175,107.7984375
-67.7671875,40.03125,107.7984375
-71.484375,36.3140625,107.7984375
-77.4890625,30.0234375,107.5125
-85.4953125,22.0171875,107.5125
-94.6453125,12.8671875,107.5125
-104.08125,3.43125,107.5125
-112.3734375,-4.2890625,108.084375
-118.6640625,-10.0078125,108.65625
-122.0953125,-12.8671875,109.228125
-122.0953125,-12.2953125,109.8
-118.6640625,-8.578125,110.0859375
-112.659375,-2.2875,110.371875
-105.225,5.71875,110.94375
-96.9328125,14.0109375,110.94375
-89.4984375,21.73125,111.2296875
-84.065625,27.45,111.515625
-80.9203125,30.5953125,111.515625
-80.9203125,30.5953125,111.515625
-84.065625,28.021875,112.0875
-89.2125,23.1609375,112.3734375
-95.7890625,16.8703125,112.659375
-102.6515625,10.5796875,113.23125
-108.9421875,5.4328125,114.375
-113.23125,1.715625,114.946875
-115.2328125,0.571875,115.8046875
-114.6609375,1.715625,116.3765625
-111.515625,5.146875,116.6625
-106.0828125,10.29375,116.3765625
-99.7921875,16.584375,116.3765625
-92.9296875,22.5890625,115.51875
-86.6390625,27.7359375,114.375
-81.4921875,31.453125,112.9453125
-78.346875,33.16875,111.515625
-77.203125,32.8828125,110.0859375
-78.0609375,30.5953125,108.65625
-80.634375,26.878125,107.5125
-84.3515625,21.73125,106.0828125
-88.9265625,16.584375,105.5109375
-93.5015625,11.1515625,104.653125
-97.790625,6.5765625,104.3671875
-101.221875,2.5734375,103.7953125
-104.08125,0.0,104.08125
-105.5109375,-2.0015625,103.509375
-106.0828125,-2.859375,103.2234375
-105.796875,-2.859375,102.9375
-104.653125,-2.0015625,102.6515625
-102.6515625,-0.571875,102.0796875
-100.3640625,1.4296875,101.79375
-97.5046875,4.2890625,101.79375
-94.0734375,7.7203125,101.79375
-90.6421875,11.4375,102.0796875
-87.496875,15.1546875,102.6515625
-84.065625,19.1578125,103.2234375
-81.20625,22.5890625,103.7953125
-78.91875,25.1625,104.08125
-77.4890625,27.1640625,104.653125
-76.63125,28.021875,104.653125
-76.63125,27.7359375,104.3671875
-77.4890625,26.5921875,104.08125
-78.6328125,24.8765625,103.509375
-80.0625,22.5890625,102.6515625
-81.20625,20.5875,101.79375
-81.778125,19.44375,101.221875
-81.778125,18.871875,100.65
-80.9203125,19.7296875,100.65
-79.2046875,21.73125,100.9359375
-76.63125,24.8765625,101.5078125
-74.0578125,28.59375,102.6515625
-71.484375,32.596875,104.08125
-68.9109375,36.6,105.5109375
-67.1953125,39.7453125,106.940625
-66.3375,41.746875,108.084375
-66.3375,42.890625,109.228125
-66.909375,42.6046875,109.5140625
-67.7671875,41.175,108.9421875
-68.9109375,39.1734375,108.084375
-69.76875,36.8859375,106.6546875
-70.6265625,34.5984375,105.225
-70.6265625,32.3109375,102.9375
-70.6265625,30.309375,100.9359375
-70.9125,28.59375,99.50625
-71.1984375,26.878125,98.0765625
-72.628125,24.8765625,97.5046875
-75.4875,22.303125,97.790625
-79.7765625,18.3,98.0765625
-86.0671875,13.4390625,99.50625
-94.0734375,7.1484375,101.221875
-103.2234375,0.0,103.2234375
-113.23125,-8.00625,105.225
-122.953125,-16.2984375,106.6546875
-131.8171875,-24.3046875,107.5125
-139.2515625,-31.1671875,108.084375
-144.684375,-36.8859375,107.7984375
-148.115625,-40.8890625,107.2265625
-149.259375,-43.4625,105.796875
-148.9734375,-44.8921875,104.08125
-147.8296875,-45.75,102.0796875
-146.6859375,-46.321875,100.3640625
-146.1140625,-47.1796875,98.934375
-147.2578125,-49.4671875,97.790625
-149.83125,-53.4703125,96.3609375
-154.6921875,-58.903125,95.7890625
-161.5546875,-65.765625,95.7890625
-169.5609375,-73.771875,95.7890625
-178.1390625,-82.35,95.7890625
-186.7171875,-90.35625,96.3609375
-194.1515625,-97.21875,96.9328125
-199.8703125,-102.365625,97.5046875
-203.3015625,-105.225,98.0765625
-204.159375,-105.225,98.934375
-202.7296875,-102.6515625,100.078125
-199.0125,-98.0765625,100.9359375
-193.5796875,-91.2140625,102.365625
-187.003125,-83.2078125,103.7953125
-179.8546875,-74.6296875,105.225
-172.134375,-66.0515625,106.0828125
-164.7,-57.4734375,107.2265625
-157.265625,-49.18125,108.084375
-149.5453125,-41.4609375,108.084375
-141.825,-34.0265625,107.7984375
-133.246875,-26.5921875,106.6546875
-124.3828125,-18.871875,105.5109375
-114.375,-10.5796875,103.7953125
-104.08125,-1.715625,102.365625
-93.5015625,6.8625,100.3640625
-83.49375,16.0125,99.50625
-74.34375,24.01875,98.3625
-66.6234375,31.1671875,97.790625
-61.4765625,36.028125,97.5046875
-59.1890625,38.6015625,97.790625
-59.7609375,38.315625,98.0765625
-63.1921875,35.1703125,98.3625
-68.9109375,29.4515625,98.3625
-76.059375,22.0171875,98.0765625
-84.065625,13.4390625,97.5046875
-91.7859375,4.8609375,96.646875
-98.3625,-2.5734375,95.7890625
-102.6515625,-8.2921875,94.359375
-104.3671875,-11.4375,92.9296875
-103.2234375,-11.7234375,91.5
-99.2203125,-8.8640625,90.35625
-92.9296875,-3.7171875,89.2125
-84.9234375,3.1453125,88.06875
-76.059375,11.4375,87.496875
-67.1953125,19.7296875,86.925
-59.1890625,26.878125,86.0671875
-52.8984375,32.3109375,85.209375
-48.609375,35.7421875,84.3515625
-46.6078125,36.8859375,83.49375
-46.89375,35.45625,82.35
-48.8953125,32.596875,81.4921875
-52.040625,28.59375,80.634375
-55.7578125,24.3046875,80.0625
-59.7609375,20.8734375,80.634375
-62.6203125,18.3,80.9203125
-64.621875,17.15625,81.778125
-65.4796875,18.0140625,83.49375
-64.9078125,20.015625,84.9234375
-63.7640625,23.1609375,86.925
-61.7625,26.5921875,88.3546875
-60.046875,29.4515625,89.4984375
-59.1890625,31.1671875,90.35625
-59.475,31.1671875,90.6421875
-61.190625,29.165625,90.35625
-64.9078125,25.1625,90.0703125
-70.0546875,19.44375,89.4984375
-76.63125,12.58125,89.2125
-83.49375,5.4328125,88.9265625
-90.35625,-0.8578125,89.4984375
-95.7890625,-5.71875,90.0703125
-99.7921875,-8.578125,91.2140625
-101.5078125,-8.8640625,92.64375
-100.65,-6.5765625,94.0734375
-97.21875,-2.0015625,95.2171875
-91.7859375,4.2890625,96.075
-84.6375,12.009375,96.646875
-76.9171875,20.015625,96.9328125
-69.4828125,27.7359375,97.21875
-62.6203125,34.3125,96.9328125
-57.1875,39.459375,96.646875
-53.75625,43.1765625,96.9328125
-51.7546875,45.178125,96.9328125
-51.46875,46.0359375,97.5046875
-52.040625,46.321875,98.3625
-53.184375,46.321875,99.50625
-54.0421875,46.321875,100.3640625
-54.328125,46.6078125,100.9359375
-53.75625,47.1796875,100.9359375
-52.8984375,47.7515625,100.65
-51.1828125,48.0375,99.2203125
-49.753125,47.1796875,96.9328125
-49.18125,45.178125,94.359375
-49.753125,41.746875,91.5
-52.3265625,36.3140625,88.640625
-56.3296875,29.4515625,85.78125
-62.0484375,21.73125,83.7796875
-68.9109375,13.725,82.6359375
-76.059375,6.5765625,82.6359375
-82.6359375,0.8578125,83.49375
-87.7828125,-2.5734375,85.209375
-91.2140625,-3.43125,87.7828125
-92.071875,-2.2875,89.784375
-90.35625,0.8578125,91.2140625
-86.925,5.71875,92.64375
-82.0640625,10.865625,92.9296875
-77.203125,15.1546875,92.3578125
-73.2,18.0140625,91.2140625
-70.9125,18.5859375,89.4984375
-71.1984375,16.584375,87.7828125
-73.771875,12.009375,85.78125
-78.6328125,6.0046875,84.6375
-85.209375,-0.8578125,84.3515625
-92.64375,-7.7203125,84.9234375
-99.2203125,-13.153125,86.0671875
-104.653125,-16.584375,88.06875
-107.5125,-17.15625,90.35625
-107.5125,-14.86875,92.64375
-104.9390625,-10.29375,94.6453125
-99.7921875,-4.2890625,95.503125
-93.5015625,2.0015625,95.503125
-87.2109375,8.00625,95.2171875
-81.4921875,12.2953125,93.7875
-78.0609375,14.0109375,92.071875
-77.203125,12.8671875,90.0703125
-79.490625,9.15,88.640625
-84.6375,3.43125,88.06875
