LEFT,RIGHT,DIFF
-118.6640625,-64.05,54.6140625
-108.9421875,-54.9,54.0421875
-99.7921875,-45.4640625,54.328125
-92.3578125,-37.74375,54.6140625
-87.7828125,-32.3109375,55.471875
-86.6390625,-30.309375,56.3296875
-88.9265625,-32.025,56.9015625
-94.359375,-36.6,57.759375
-102.0796875,-43.7484375,58.33125
-110.0859375,-51.7546875,58.33125
-117.80625,-59.1890625,58.6171875
-123.525,-64.9078125,58.6171875
-126.6703125,-67.7671875,58.903125
-126.6703125,-67.1953125,59.475
-123.525,-63.478125,60.046875
-118.0921875,-57.1875,60.9046875
-111.515625,-49.4671875,62.0484375
-104.3671875,-41.4609375,62.90625
-98.6484375,-34.5984375,64.05
-94.6453125,-30.0234375,64.621875
-93.215625,-28.59375,64.621875
-94.6453125,-30.5953125,64.05
-98.6484375,-35.7421875,62.90625
-104.08125,-43.1765625,60.9046875
-110.371875,-51.46875,58.903125
-115.8046875,-59.475,56.3296875
-119.8078125,-66.0515625,53.75625
-121.2375,-69.76875,51.46875
-119.8078125,-70.0546875,49.753125
-115.8046875,-66.909375,48.8953125
-108.9421875,-60.3328125,48.609375
-100.9359375,-51.7546875,49.18125
-92.071875,-42.31875,49.753125
-84.3515625,-32.8828125,51.46875
-78.346875,-25.1625,53.184375
-74.915625,-19.7296875,55.1859375
-74.6296875,-18.0140625,56.615625
-77.775,-19.44375,58.33125
-83.7796875,-24.3046875,59.475
-92.071875,-31.7390625,60.3328125
-101.79375,-40.8890625,60.9046875
-112.0875,-50.6109375,61.4765625
-121.809375,-60.3328125,61.4765625
-130.1015625,-68.625,61.4765625
-136.3921875,-74.6296875,61.7625
-140.3953125,-78.6328125,61.7625
-141.825,-79.7765625,62.0484375
-140.68125,-78.346875,62.334375
-137.25,-74.6296875,62.6203125
-132.103125,-69.196875,62.90625
-125.8125,-62.6203125,63.1921875
-118.6640625,-55.1859375,63.478125
-111.8015625,-47.7515625,64.05
-105.225,-41.175,64.05
-99.7921875,-35.7421875,64.05
-95.7890625,-32.025,63.7640625
-93.7875,-30.309375,63.478125
-94.0734375,-30.88125,63.1921875
-96.075,-33.740625,62.334375
-100.078125,-38.8875,61.190625
-105.5109375,-45.4640625,60.046875
-111.8015625,-52.6125,59.1890625
-117.80625,-60.046875,57.759375
-123.2390625,-66.3375,56.9015625
-126.95625,-70.6265625,56.3296875
-128.3859375,-72.3421875,56.04375
-127.2421875,-71.1984375,56.04375
-123.525,-66.909375,56.615625
-117.80625,-60.3328125,57.4734375
-110.371875,-51.7546875,58.6171875
-102.6515625,-42.31875,60.3328125
-95.7890625,-33.740625,62.0484375
-90.35625,-26.878125,63.478125
-87.496875,-22.875,64.621875
-87.7828125,-22.5890625,65.19375
-91.2140625,-25.734375,65.4796875
-97.5046875,-32.025,65.4796875
-105.796875,-41.175,64.621875
-114.946875,-51.46875,63.478125
-123.8109375,-61.4765625,62.334375
-131.53125,-70.6265625,60.9046875
-136.3921875,-76.9171875,59.475
-138.6796875,-80.3484375,58.33125
-137.5359375,-80.0625,57.4734375
-133.5328125,-76.63125,56.9015625
-127.528125,-70.9125,56.615625
-120.09375,-63.478125,56.615625
-112.659375,-55.471875,57.1875
-105.796875,-48.0375,57.759375
-100.078125,-41.746875,58.33125
-96.3609375,-37.4578125,58.903125
-94.359375,-34.884375,59.475
-93.7875,-34.0265625,59.7609375
-94.0734375,-33.740625,60.3328125
-94.359375,-34.0265625,60.3328125
-94.359375,-34.0265625,60.3328125
-93.215625,-32.8828125,60.3328125
-90.928125,-30.5953125,60.3328125
-87.496875,-26.878125,60.61875
-83.2078125,-22.5890625,60.61875
-78.346875,-18.0140625,60.3328125
-74.34375,-14.0109375,60.3328125
-71.1984375,-11.1515625,60.046875
-69.4828125,-10.0078125,59.475
-70.0546875,-10.865625,59.1890625
-72.3421875,-13.725,58.6171875
-76.63125,-18.3,58.33125
-82.0640625,-24.01875,58.0453125
-88.3546875,-30.5953125,57.759375
-94.6453125,-36.8859375,57.759375
-100.078125,-42.31875,57.759375
-104.653125,-46.0359375,58.6171875
-107.5125,-48.0375,59.475
-108.65625,-48.3234375,60.3328125
-108.084375,-46.6078125,61.4765625
-106.36875,-43.1765625,63.1921875
-103.2234375,-38.8875,64.3359375
-99.2203125,-33.740625,65.4796875
-94.93125,-28.021875,66.909375
-90.35625,-22.5890625,67.7671875
-85.78125,-17.4421875,68.3390625
-81.4921875,-13.153125,68.3390625
-77.775,-9.4359375,68.3390625
-74.6296875,-6.5765625,68.053125
-72.3421875,-4.575,67.7671875
-70.9125,-4.003125,66.909375
-70.340625,-4.2890625,66.0515625
-71.1984375,-5.71875,65.4796875
-72.9140625,-8.2921875,64.621875
-75.7734375,-11.7234375,64.05
-79.490625,-16.2984375,63.1921875
-83.7796875,-21.159375,62.6203125
-88.3546875,-26.5921875,61.7625
-92.9296875,-31.7390625,61.190625
-96.9328125,-36.6,60.3328125
-100.65,-40.603125,60.046875
-103.2234375,-43.7484375,59.475
-104.9390625,-45.75,59.1890625
-106.0828125,-46.89375,59.1890625
-106.36875,-46.89375,59.475
-106.36875,-46.6078125,59.7609375
-106.6546875,-46.0359375,60.61875
-107.2265625,-45.4640625,61.7625
-108.084375,-45.4640625,62.6203125
-110.0859375,-46.321875,63.7640625
-112.659375,-48.0375,64.621875
-116.3765625,-50.6109375,65.765625
-120.3796875,-54.328125,66.0515625
-124.66875,-58.33125,66.3375
-129.24375,-62.90625,66.3375
-133.5328125,-67.48125,66.0515625
-137.25,-71.484375,65.765625
-140.3953125,-75.2015625,65.19375
