LEFT,RIGHT,DIFF
-1335.328125,-721.134375,614.19375
-1334.184375,-719.990625,614.19375
-1333.040625,-718.5609375,614.4796875
-1331.6109375,-717.13125,614.4796875
-1330.18125,-715.9875,614.19375
-1328.7515625,-714.84375,613.9078125
-1327.321875,-714.271875,613.05
-1325.8921875,-713.7,612.1921875
-1325.034375,-713.7,611.334375
-1324.4625,-713.9859375,610.4765625
-1323.890625,-714.271875,609.61875
-1323.890625,-714.84375,609.046875
-1324.1765625,-715.415625,608.7609375
-1325.034375,-715.9875,609.046875
-1325.8921875,-716.559375,609.3328125
-1327.6078125,-717.4171875,610.190625
-1329.3234375,-718.275,611.0484375
-1331.6109375,-719.41875,612.1921875
-1334.184375,-720.5625,613.621875
-1336.471875,-721.70625,614.765625
-1338.4734375,-722.5640625,615.909375
-1339.6171875,-722.85,616.7671875
-1339.903125,-722.85,617.053125
-1339.0453125,-721.70625,617.3390625
-1336.471875,-719.41875,617.053125
-1332.7546875,-716.2734375,616.48125
-1327.89375,-712.55625,615.3375
-1322.175,-708.2671875,613.9078125
-1316.45625,-703.978125,612.478125
-1311.0234375,-699.975,611.0484375
-1307.0203125,-697.4015625,609.61875
-1304.1609375,-695.971875,608.1890625
-1303.303125,-696.2578125,607.0453125
-1304.446875,-698.259375,606.1875
-1307.30625,-701.690625,605.615625
-1311.88125,-706.5515625,605.3296875
-1317.3140625,-711.984375,605.3296875
-1323.0328125,-717.703125,605.3296875
-1328.465625,-723.1359375,605.3296875
-1333.3265625,-727.7109375,605.615625
-1337.3296875,-731.7140625,605.615625
-1340.1890625,-734.859375,605.3296875
-1342.4765625,-737.4328125,605.04375
-1343.90625,-739.1484375,604.7578125
-1345.3359375,-740.8640625,604.471875
-1346.4796875,-742.5796875,603.9
-1348.1953125,-744.2953125,603.9
-1350.4828125,-746.0109375,604.471875
-1352.7703125,-748.0125,604.7578125
-1355.6296875,-750.0140625,605.615625
-1358.203125,-751.1578125,607.0453125
-1360.2046875,-752.015625,608.1890625
-1361.3484375,-751.7296875,609.61875
-1361.634375,-750.3,611.334375
-1360.7765625,-748.2984375,612.478125
-1359.346875,-745.725,613.621875
-1357.059375,-742.865625,614.19375
-1354.771875,-740.2921875,614.4796875
-1352.484375,-738.290625,614.19375
-1350.76875,-736.8609375,613.9078125
-1349.9109375,-736.575,613.3359375
-1349.625,-737.4328125,612.1921875
-1350.4828125,-738.5765625,611.90625
-1351.340625,-740.2921875,611.0484375
-1352.484375,-742.0078125,610.4765625
-1353.3421875,-743.4375,609.9046875
-1353.628125,-744.2953125,609.3328125
-1353.3421875,-744.2953125,609.046875
-1352.1984375,-743.7234375,608.475
-1350.76875,-742.5796875,608.1890625
-1349.3390625,-741.4359375,607.903125
-1347.909375,-740.578125,607.33125
-1347.3375,-740.578125,606.759375
-1347.3375,-741.15,606.1875
-1348.7671875,-742.5796875,606.1875
-1350.76875,-744.58125,606.1875
-1353.628125,-747.1546875,606.4734375
-1356.7734375,-750.0140625,606.759375
-1359.6328125,-752.3015625,607.33125
-1361.9203125,-754.0171875,607.903125
-1363.0640625,-754.5890625,608.475
-1362.778125,-753.73125,609.046875
-1361.3484375,-752.015625,609.3328125
-1358.4890625,-749.4421875,609.046875
-1354.771875,-746.296875,608.475
-1350.4828125,-742.5796875,607.903125
-1346.19375,-739.1484375,607.0453125
-1342.190625,-736.2890625,605.9015625
-1339.0453125,-733.715625,605.3296875
-1336.7578125,-732.0,604.7578125
-1335.328125,-731.1421875,604.1859375
-1334.75625,-730.85625,603.9
-1335.0421875,-731.1421875,603.9
-1335.9,-732.0,603.9
-1337.3296875,-733.14375,604.1859375
-1339.0453125,-734.2875,604.7578125
-1341.3328125,-736.003125,605.3296875
-1343.90625,-738.0046875,605.9015625
-1347.0515625,-740.2921875,606.759375
-1350.4828125,-743.1515625,607.33125
-1354.4859375,-746.0109375,608.475
-1358.4890625,-748.8703125,609.61875
-1362.4921875,-751.7296875,610.7625
-1365.9234375,-754.0171875,611.90625
-1368.7828125,-755.7328125,613.05
-1370.784375,-756.590625,614.19375
-1371.6421875,-756.590625,615.0515625
-1371.35625,-755.446875,615.909375
-1369.9265625,-753.73125,616.1953125
-1367.6390625,-751.7296875,615.909375
-1365.065625,-749.728125,615.3375
-1362.778125,-748.0125,614.765625
-1361.0625,-747.440625,613.621875
-1360.490625,-748.0125,612.478125
-1361.0625,-749.728125,611.334375
-1363.35,-752.8734375,610.4765625
-1366.78125,-756.8765625,609.9046875
-1371.35625,-761.4515625,609.9046875
-1376.2171875,-766.3125,609.9046875
-1381.078125,-770.6015625,610.4765625
-1385.653125,-774.6046875,611.0484375
-1388.7984375,-777.178125,611.6203125
-1390.8,-778.89375,611.90625
-1391.0859375,-778.89375,612.1921875
-1389.9421875,-777.75,612.1921875
-1387.6546875,-775.4625,612.1921875
-1383.9375,-772.603125,611.334375
-1379.6484375,-768.8859375,610.7625
-1375.0734375,-764.8828125,610.190625
-1370.4984375,-761.165625,609.3328125
-1366.4953125,-757.4484375,609.046875
-1363.0640625,-754.5890625,608.475
-1360.490625,-752.5875,607.903125
-1359.346875,-751.7296875,607.6171875
-1359.346875,-752.5875,606.759375
-1361.0625,-755.1609375,605.9015625
-1364.2078125,-759.45,604.7578125
-1369.06875,-766.0265625,603.0421875
-1375.93125,-774.31875,601.6125
-1384.2234375,-784.6125,599.6109375
-1394.23125,-796.3359375,597.8953125
-1405.096875,-808.63125,596.465625
-1416.534375,-821.2125,595.321875
-1427.971875,-832.65,595.321875
-1438.5515625,-842.6578125,595.89375
-1447.7015625,-850.378125,597.3234375
-1454.85,-854.953125,599.896875
-1459.425,-856.3828125,603.0421875
-1461.4265625,-854.38125,607.0453125
