LEFT,RIGHT,DIFF
-1363.0640625,-697.115625,665.9484375
-1358.4890625,-692.540625,665.9484375
-1354.2,-688.5375,665.6625
-1350.196875,-685.678125,664.51875
-1347.0515625,-684.2484375,662.803125
-1345.05,-684.2484375,660.8015625
-1344.7640625,-686.25,658.5140625
-1345.621875,-689.68125,655.940625
-1348.1953125,-695.1140625,653.08125
-1352.484375,-701.9765625,650.5078125
-1357.9171875,-710.26875,647.6484375
-1365.065625,-719.7046875,645.3609375
-1373.3578125,-730.284375,643.0734375
-1382.79375,-741.721875,641.071875
-1393.0875,-753.4453125,639.6421875
-1403.953125,-765.4546875,638.4984375
-1415.390625,-777.178125,638.2125
-1426.5421875,-788.04375,638.4984375
-1437.121875,-797.4796875,639.6421875
-1446.5578125,-805.2,641.3578125
-1454.278125,-810.0609375,644.2171875
-1459.996875,-812.3484375,647.6484375
-1462.85625,-811.2046875,651.6515625
-1462.5703125,-806.915625,655.6546875
-1459.425,-799.48125,659.94375
-1453.4203125,-789.1875,664.2328125
-1444.8421875,-777.178125,667.6640625
-1434.2625,-763.453125,670.809375
-1422.5390625,-749.728125,672.8109375
-1410.5296875,-736.575,673.9546875
-1398.80625,-724.565625,674.240625
-1388.2265625,-714.84375,673.3828125
-1379.3625,-707.409375,671.953125
-1372.7859375,-702.5484375,670.2375
-1367.925,-699.975,667.95
-1365.3515625,-699.6890625,665.6625
-1363.921875,-700.546875,663.375
-1363.921875,-701.9765625,661.9453125
-1364.2078125,-703.6921875,660.515625
-1364.7796875,-704.8359375,659.94375
-1364.49375,-704.8359375,659.6578125
-1363.6359375,-703.978125,659.6578125
-1362.20625,-702.2625,659.94375
-1359.91875,-699.403125,660.515625
-1357.3453125,-696.54375,660.8015625
-1354.771875,-693.9703125,660.8015625
-1352.7703125,-691.96875,660.8015625
-1351.6265625,-691.396875,660.2296875
-1351.9125,-692.2546875,659.6578125
-1353.628125,-694.828125,658.8
-1356.7734375,-699.1171875,657.65625
-1361.0625,-704.2640625,656.7984375
-1366.209375,-710.5546875,655.6546875
-1371.928125,-716.8453125,655.0828125
-1377.3609375,-723.1359375,654.225
-1381.9359375,-728.2828125,653.653125
-1385.653125,-732.0,653.653125
-1388.2265625,-734.0015625,654.225
-1389.084375,-734.2875,654.796875
-1388.7984375,-733.14375,655.6546875
-1387.0828125,-730.284375,656.7984375
-1384.509375,-725.9953125,658.5140625
-1381.65,-721.4203125,660.2296875
-1378.21875,-716.2734375,661.9453125
-1375.359375,-711.6984375,663.6609375
-1372.7859375,-707.6953125,665.090625
-1371.0703125,-704.55,666.5203125
-1369.9265625,-702.5484375,667.378125
-1369.640625,-701.9765625,667.6640625
-1370.2125,-702.834375,667.378125
-1371.35625,-704.55,666.80625
-1373.071875,-707.1234375,665.9484375
-1375.0734375,-710.5546875,664.51875
-1377.075,-713.9859375,663.0890625
-1379.0765625,-717.13125,661.9453125
-1381.078125,-720.2765625,660.8015625
-1382.79375,-722.5640625,660.2296875
-1384.2234375,-723.99375,660.2296875
-1385.3671875,-724.8515625,660.515625
-1386.225,-725.1375,661.0875
-1386.796875,-724.8515625,661.9453125
-1387.36875,-724.2796875,663.0890625
-1387.6546875,-723.7078125,663.946875
-1387.940625,-723.421875,664.51875
-1388.2265625,-723.421875,664.8046875
-1388.2265625,-723.421875,664.8046875
-1388.5125,-723.99375,664.51875
-1388.2265625,-724.565625,663.6609375
-1387.940625,-725.1375,662.803125
-1387.6546875,-725.709375,661.9453125
-1386.796875,-725.709375,661.0875
-1385.9390625,-725.4234375,660.515625
-1385.08125,-724.565625,660.515625
-1384.2234375,-723.99375,660.2296875
-1383.365625,-723.1359375,660.2296875
-1383.0796875,-722.5640625,660.515625
-1383.0796875,-722.5640625,660.515625
-1383.6515625,-723.421875,660.2296875
-1384.7953125,-724.565625,660.2296875
-1385.9390625,-726.5671875,659.371875
-1387.0828125,-728.56875,658.5140625
-1388.2265625,-730.5703125,657.65625
-1388.5125,-731.7140625,656.7984375
-1387.940625,-732.0,655.940625
-1385.9390625,-731.1421875,654.796875
-1383.365625,-728.56875,654.796875
-1379.3625,-725.1375,654.225
-1375.0734375,-720.8484375,654.225
-1370.4984375,-715.9875,654.5109375
-1366.4953125,-711.6984375,654.796875
-1363.35,-708.2671875,655.0828125
-1361.634375,-706.265625,655.36875
-1361.0625,-705.9796875,655.0828125
-1362.20625,-707.1234375,655.0828125
-1364.49375,-709.4109375,655.0828125
-1367.0671875,-712.55625,654.5109375
-1369.640625,-715.415625,654.225
-1371.6421875,-717.4171875,654.225
-1371.928125,-717.9890625,653.9390625
-1370.784375,-716.8453125,653.9390625
-1367.925,-713.7,654.225
-1363.35,-709.125,654.225
-1357.9171875,-703.40625,654.5109375
-1352.484375,-697.6875,654.796875
-1347.6234375,-692.8265625,654.796875
-1344.1921875,-689.3953125,654.796875
-1343.0484375,-687.965625,655.0828125
-1344.1921875,-689.109375,655.0828125
-1347.6234375,-692.540625,655.0828125
-1353.05625,-697.6875,655.36875
-1359.6328125,-704.2640625,655.36875
-1366.209375,-710.5546875,655.6546875
-1372.5,-716.559375,655.940625
-1377.646875,-721.4203125,656.2265625
-1380.7921875,-724.565625,656.2265625
-1382.221875,-725.9953125,656.2265625
-1382.221875,-725.9953125,656.2265625
-1381.078125,-725.4234375,655.6546875
-1379.934375,-724.8515625,655.0828125
-1379.0765625,-724.8515625,654.225
-1379.6484375,-725.9953125,653.653125
-1381.65,-728.56875,653.08125
-1385.08125,-732.2859375,652.7953125
-1389.9421875,-737.146875,652.7953125
-1395.375,-742.29375,653.08125
-1400.521875,-746.5828125,653.9390625
-1404.2390625,-750.0140625,654.225
-1406.240625,-751.44375,654.796875
-1405.9546875,-750.871875,655.0828125
-1403.0953125,-748.2984375,654.796875
-1398.234375,-744.009375,654.225
-1391.6578125,-738.5765625,653.08125
-1384.509375,-733.14375,651.365625
-1377.646875,-728.56875,649.078125
-1372.2140625,-725.1375,647.0765625
-1368.7828125,-723.7078125,645.075
-1367.6390625,-723.99375,643.6453125
-1369.06875,-725.9953125,643.0734375
-1372.5,-729.4265625,643.0734375
-1377.646875,-733.4296875,644.2171875
-1383.0796875,-737.146875,645.9328125
-1388.2265625,-740.578125,647.6484375
-1392.2296875,-742.5796875,649.65
-1395.0890625,-743.4375,651.6515625
-1395.946875,-743.1515625,652.7953125
-1395.0890625,-741.721875,653.3671875
-1393.3734375,-739.7203125,653.653125
-1390.5140625,-738.0046875,652.509375
-1387.940625,-736.575,651.365625
-1385.653125,-736.003125,649.65
-1384.2234375,-736.2890625,647.934375
-1384.2234375,-737.71875,646.5046875
-1385.08125,-739.7203125,645.3609375
-1387.36875,-742.29375,645.075
-1390.228125,-744.8671875,645.3609375
-1393.3734375,-747.440625,645.9328125
-1396.8046875,-749.4421875,647.3625
-1399.6640625,-751.1578125,648.50625
-1402.2375,-752.015625,650.221875
-1403.6671875,-752.3015625,651.365625
-1404.8109375,-752.3015625,652.509375
-1405.096875,-752.015625,653.08125
-1404.8109375,-751.44375,653.3671875
-1403.953125,-750.5859375,653.3671875
-1402.809375,-749.728125,653.08125
-1401.09375,-748.8703125,652.2234375
-1399.6640625,-747.7265625,651.9375
-1397.9484375,-746.296875,651.6515625
-1396.2328125,-744.8671875,651.365625
-1394.5171875,-743.4375,651.0796875
-1393.3734375,-742.0078125,651.365625
-1392.515625,-740.8640625,651.6515625
-1392.2296875,-740.00625,652.2234375
-1392.8015625,-739.7203125,653.08125
-1393.659375,-739.7203125,653.9390625
-1394.803125,-740.2921875,654.5109375
-1395.946875,-740.578125,655.36875
-1396.8046875,-740.578125,656.2265625
-1396.8046875,-740.00625,656.7984375
-1395.946875,-738.0046875,657.9421875
-1393.9453125,-735.1453125,658.8
-1390.5140625,-730.85625,659.6578125
-1385.9390625,-725.709375,660.2296875
-1380.7921875,-719.990625,660.8015625
-1375.359375,-713.9859375,661.3734375
-1370.4984375,-708.8390625,661.659375
-1366.4953125,-705.121875,661.3734375
-1364.49375,-703.1203125,661.3734375
-1364.7796875,-703.1203125,661.659375
-1366.78125,-705.69375,661.0875
-1371.35625,-709.9828125,661.3734375
-1377.075,-715.9875,661.0875
-1383.9375,-722.85,661.0875
-1390.8,-729.7125,661.0875
-1396.51875,-735.43125,661.0875
-1401.09375,-739.434375,661.659375
-1403.0953125,-741.15,661.9453125
-1402.5234375,-740.00625,662.5171875
-1399.378125,-736.575,662.803125
-1393.9453125,-730.5703125,663.375
-1386.5109375,-723.1359375,663.375
-1378.21875,-714.5578125,663.6609375
-1369.3546875,-705.9796875,663.375
-1361.0625,-697.9734375,663.0890625
-1353.9140625,-691.396875,662.5171875
-1348.48125,-686.5359375,661.9453125
-1345.3359375,-683.9625,661.3734375
-1344.1921875,-683.6765625,660.515625
-1345.05,-685.10625,659.94375
-1347.6234375,-688.2515625,659.371875
-1351.340625,-692.2546875,659.0859375
-1355.915625,-696.54375,659.371875
-1360.7765625,-700.8328125,659.94375
-1365.065625,-704.55,660.515625
-1368.7828125,-706.8375,661.9453125
-1371.35625,-708.2671875,663.0890625
-1372.5,-707.98125,664.51875
-1372.7859375,-706.8375,665.9484375
-1371.6421875,-704.2640625,667.378125
-1369.9265625,-701.4046875,668.521875
-1367.353125,-697.9734375,669.3796875
-1364.7796875,-694.828125,669.9515625
-1361.9203125,-691.96875,669.9515625
-1359.346875,-689.68125,669.665625
-1357.3453125,-688.2515625,669.09375
-1355.915625,-687.6796875,668.2359375
-1355.34375,-687.965625,667.378125
-1355.0578125,-688.8234375,666.234375
-1355.6296875,-690.5390625,665.090625
-1356.2015625,-692.8265625,663.375
-1357.3453125,-695.4,661.9453125
-1359.0609375,-698.259375,660.8015625
-1360.7765625,-701.11875,659.6578125
-1363.0640625,-704.55,658.5140625
-1365.6375,-708.553125,657.084375
-1369.06875,-712.55625,656.5125
-1373.071875,-716.8453125,656.2265625
-1377.646875,-721.4203125,656.2265625
-1382.79375,-725.9953125,656.7984375
-1388.2265625,-730.5703125,657.65625
-1393.659375,-734.2875,659.371875
-1397.9484375,-736.8609375,661.0875
-1401.09375,-738.0046875,663.0890625
-1402.5234375,-737.146875,665.3765625
