LEFT,RIGHT,DIFF
-1061.1140625,-549.571875,511.5421875
-1059.9703125,-549.8578125,510.1125
-1059.9703125,-551.0015625,508.96875
-1060.5421875,-552.43125,508.1109375
-1061.971875,-554.4328125,507.5390625
-1064.259375,-556.7203125,507.5390625
-1066.546875,-558.4359375,508.1109375
-1068.834375,-559.865625,508.96875
-1070.2640625,-560.1515625,510.1125
-1071.121875,-559.5796875,511.5421875
-1070.8359375,-557.8640625,512.971875
-1069.1203125,-555.290625,513.8296875
-1066.8328125,-552.43125,514.4015625
-1063.9734375,-549.571875,514.4015625
-1060.828125,-547.284375,513.54375
-1057.96875,-545.8546875,512.1140625
-1056.253125,-545.56875,510.684375
-1055.68125,-546.4265625,509.2546875
-1056.5390625,-548.428125,508.1109375
-1058.2546875,-551.0015625,507.253125
-1060.5421875,-553.8609375,506.68125
-1063.115625,-555.8625,507.253125
-1065.1171875,-557.00625,508.1109375
-1065.975,-556.1484375,509.8265625
-1065.1171875,-553.8609375,511.25625
-1062.2578125,-549.571875,512.6859375
-1057.6828125,-543.853125,513.8296875
-1051.9640625,-537.2765625,514.6875
-1045.3875,-530.7,514.6875
-1038.8109375,-524.98125,513.8296875
-1033.0921875,-520.6921875,512.4
-1029.0890625,-518.4046875,510.684375
-1026.8015625,-518.4046875,508.396875
-1026.8015625,-520.40625,506.3953125
-1028.5171875,-523.8375,504.6796875
-1031.9484375,-527.840625,504.1078125
-1035.665625,-532.1296875,503.5359375
-1039.66875,-535.5609375,504.1078125
-1042.8140625,-537.8484375,504.965625
-1044.815625,-538.134375,506.68125
-1045.1015625,-536.7046875,508.396875
-1044.24375,-534.13125,510.1125
-1042.2421875,-530.4140625,511.828125
-1039.66875,-526.9828125,512.6859375
-1037.6671875,-524.1234375,513.54375
-1036.2375,-522.9796875,513.2578125
-1036.809375,-523.5515625,513.2578125
-1038.8109375,-526.125,512.6859375
-1042.528125,-530.7,511.828125
-1047.675,-536.41875,511.25625
-1053.6796875,-542.4234375,511.25625
-1059.3984375,-548.1421875,511.25625
-1064.5453125,-553.003125,511.5421875
-1067.9765625,-555.8625,512.1140625
-1069.6921875,-556.434375,513.2578125
-1069.1203125,-555.290625,513.8296875
-1066.8328125,-551.859375,514.9734375
-1063.115625,-547.5703125,515.5453125
-1058.2546875,-542.4234375,515.83125
-1053.39375,-537.2765625,516.1171875
-1048.81875,-532.7015625,516.1171875
-1044.815625,-529.2703125,515.5453125
-1042.2421875,-527.26875,514.9734375
-1041.0984375,-526.4109375,514.6875
-1040.5265625,-526.4109375,514.115625
-1041.0984375,-526.9828125,514.115625
-1041.6703125,-527.840625,513.8296875
-1042.2421875,-528.4125,513.8296875
-1042.2421875,-528.6984375,513.54375
-1041.95625,-528.1265625,513.8296875
-1041.0984375,-527.26875,513.8296875
-1039.9546875,-526.4109375,513.54375
-1038.8109375,-525.553125,513.2578125
-1037.953125,-524.98125,512.971875
-1037.6671875,-525.553125,512.1140625
-1038.2390625,-527.26875,510.9703125
-1039.66875,-530.4140625,509.2546875
-1041.95625,-534.703125,507.253125
-1045.3875,-540.421875,504.965625
-1049.390625,-546.9984375,502.3921875
-1053.6796875,-554.146875,499.5328125
-1058.540625,-562.153125,496.3875
-1063.4015625,-570.4453125,492.95625
-1068.834375,-579.0234375,489.8109375
-1074.2671875,-587.6015625,486.665625
-1080.271875,-596.465625,483.80625
-1086.8484375,-605.04375,481.8046875
-1093.996875,-613.3359375,480.6609375
-1101.7171875,-621.3421875,480.375
-1109.7234375,-628.2046875,481.51875
-1117.44375,-633.9234375,483.5203125
-1124.5921875,-637.9265625,486.665625
-1130.3109375,-639.928125,490.3828125
-1134.3140625,-639.35625,494.9578125
-1136.0296875,-636.2109375,499.81875
-1135.4578125,-630.4921875,504.965625
-1132.0265625,-622.771875,509.2546875
-1126.59375,-613.3359375,513.2578125
-1119.4453125,-602.75625,516.6890625
