LEFT,RIGHT,DIFF
-954.1734375,-488.6671875,465.50625
-949.0265625,-483.80625,465.2203125
-944.165625,-479.5171875,464.6484375
-940.4484375,-476.6578125,463.790625
-938.446875,-476.0859375,462.3609375
-938.446875,-477.8015625,460.6453125
-941.0203125,-481.2328125,459.7875
-945.309375,-486.3796875,458.9296875
-951.028125,-491.8125,459.215625
-956.4609375,-496.959375,459.5015625
-961.321875,-500.390625,460.93125
-964.4671875,-501.534375,462.9328125
-965.325,-500.1046875,465.2203125
-963.8953125,-496.3875,467.5078125
-959.8921875,-490.3828125,469.509375
-954.1734375,-483.80625,470.3671875
-948.16875,-476.94375,471.225
-942.1640625,-471.5109375,470.653125
-937.5890625,-468.0796875,469.509375
-935.015625,-467.221875,467.79375
-935.015625,-469.509375,465.50625
-937.303125,-474.084375,463.21875
-941.5921875,-480.375,461.2171875
-947.3109375,-487.2375,460.0734375
-953.0296875,-493.528125,459.5015625
-958.1765625,-498.3890625,459.7875
-961.321875,-500.390625,460.93125
-961.89375,-499.246875,462.646875
-960.178125,-494.9578125,465.2203125
-955.603125,-488.0953125,467.5078125
-949.0265625,-478.9453125,470.08125
-941.30625,-468.9375,472.36875
-933.5859375,-459.215625,474.3703125
-926.4375,-450.6375,475.8
-921.0046875,-444.346875,476.6578125
-917.5734375,-440.6296875,476.94375
-916.4296875,-439.4859375,476.94375
-917.5734375,-440.915625,476.6578125
-920.4328125,-444.0609375,476.371875
-924.15,-448.35,475.8
-928.153125,-452.6390625,475.5140625
-931.584375,-456.0703125,475.5140625
-933.871875,-458.3578125,475.5140625
-934.7296875,-458.9296875,475.8
-933.871875,-457.7859375,476.0859375
-931.8703125,-455.4984375,476.371875
-929.0109375,-452.0671875,476.94375
-926.1515625,-448.6359375,477.515625
-923.2921875,-445.490625,477.8015625
-921.290625,-443.4890625,477.8015625
-920.71875,-442.9171875,477.8015625
-921.5765625,-443.775,477.8015625
-923.8640625,-446.3484375,477.515625
-927.009375,-450.065625,476.94375
-931.0125,-454.640625,476.371875
-935.3015625,-459.5015625,475.8
-939.3046875,-463.790625,475.5140625
-942.45,-467.5078125,474.9421875
-945.0234375,-470.08125,474.9421875
-946.1671875,-471.5109375,474.65625
-946.453125,-471.225,475.228125
-945.88125,-470.08125,475.8
-944.4515625,-468.0796875,476.371875
-942.45,-465.50625,476.94375
-940.4484375,-462.9328125,477.515625
-938.1609375,-460.0734375,478.0875
-936.159375,-457.2140625,478.9453125
-933.871875,-454.9265625,478.9453125
-931.8703125,-452.925,478.9453125
-929.86875,-450.9234375,478.9453125
-927.58125,-448.921875,478.659375
-925.0078125,-446.9203125,478.0875
-922.1484375,-444.91875,477.2296875
-919.2890625,-442.63125,476.6578125
-916.14375,-440.0578125,476.0859375
-913.284375,-438.05625,475.228125
-910.996875,-436.0546875,474.9421875
-909.28125,-434.9109375,474.3703125
-908.4234375,-434.625,473.7984375
-908.709375,-435.4828125,473.2265625
-910.425,-437.7703125,472.6546875
-913.5703125,-441.4875,472.0828125
-917.859375,-446.634375,471.225
-923.2921875,-452.6390625,470.653125
-929.5828125,-459.5015625,470.08125
-936.159375,-466.65,469.509375
-943.021875,-473.2265625,469.7953125
-949.0265625,-479.23125,469.7953125
-954.1734375,-483.80625,470.3671875
-958.1765625,-486.665625,471.5109375
-960.178125,-487.5234375,472.6546875
-960.4640625,-486.3796875,474.084375
-959.034375,-483.5203125,475.5140625
-955.603125,-478.659375,476.94375
-950.45625,-472.6546875,477.8015625
-944.165625,-466.078125,478.0875
-937.303125,-459.215625,478.0875
