LEFT,RIGHT,DIFF
-610.4765625,-256.2,354.2765625
-610.4765625,-255.3421875,355.134375
-610.4765625,-254.7703125,355.70625
-609.9046875,-254.1984375,355.70625
-609.046875,-253.6265625,355.4203125
-607.903125,-253.6265625,354.2765625
-607.0453125,-254.1984375,352.846875
-606.4734375,-255.3421875,351.13125
-606.759375,-256.771875,349.9875
-607.6171875,-259.059375,348.5578125
-609.61875,-261.6328125,347.9859375
-612.1921875,-264.20625,347.9859375
-615.0515625,-266.7796875,348.271875
-617.9109375,-268.78125,349.1296875
-620.1984375,-269.925,350.2734375
-621.628125,-269.925,351.703125
-621.628125,-269.0671875,352.5609375
-620.484375,-267.3515625,353.1328125
-618.196875,-265.0640625,353.1328125
-615.0515625,-262.7765625,352.275
-611.90625,-260.775,351.13125
-609.3328125,-259.3453125,349.9875
-607.33125,-259.059375,348.271875
-606.759375,-259.9171875,346.8421875
-607.6171875,-261.6328125,345.984375
-609.9046875,-264.20625,345.6984375
-613.05,-267.065625,345.984375
-616.7671875,-269.6390625,347.128125
-620.484375,-271.9265625,348.5578125
-623.34375,-273.35625,349.9875
-625.059375,-273.6421875,351.4171875
-625.3453125,-273.0703125,352.275
-624.4875,-271.9265625,352.5609375
-622.771875,-270.7828125,351.9890625
-620.484375,-269.353125,351.13125
-618.196875,-269.0671875,349.1296875
-616.48125,-269.353125,347.128125
-615.6234375,-270.496875,345.1265625
-615.909375,-272.784375,343.125
-616.7671875,-275.071875,341.6953125
-618.196875,-277.359375,340.8375
-619.340625,-279.075,340.265625
-619.9125,-279.3609375,340.5515625
-618.76875,-277.93125,340.8375
-616.1953125,-274.7859375,341.409375
-611.6203125,-269.925,341.6953125
-605.615625,-264.20625,341.409375
-598.4671875,-258.2015625,340.265625
-591.6046875,-252.76875,338.8359375
-585.3140625,-249.0515625,336.2625
-580.7390625,-247.3359375,333.403125
-578.7375,-248.19375,330.54375
-579.309375,-251.625,327.684375
-583.0265625,-257.34375,325.6828125
-588.7453125,-264.778125,323.9671875
-596.465625,-272.784375,323.68125
-604.471875,-280.5046875,323.9671875
-612.1921875,-287.08125,325.1109375
-618.76875,-291.9421875,326.8265625
-623.34375,-294.515625,328.828125
-625.3453125,-295.0875,330.2578125
-625.3453125,-293.94375,331.4015625
-623.34375,-291.3703125,331.9734375
-620.1984375,-288.5109375,331.6875
-616.7671875,-285.9375,330.8296875
-613.3359375,-284.221875,329.1140625
-611.334375,-283.9359375,327.3984375
-610.190625,-284.5078125,325.6828125
-610.4765625,-286.2234375,324.253125
-611.6203125,-288.225,323.3953125
-613.05,-289.940625,323.109375
-614.19375,-290.5125,323.68125
-614.4796875,-289.6546875,324.825
-613.3359375,-286.7953125,326.540625
-610.4765625,-282.50625,327.9703125
-606.4734375,-277.0734375,329.4
-601.3265625,-270.7828125,330.54375
-595.89375,-264.778125,331.115625
-590.746875,-259.9171875,330.8296875
-587.0296875,-256.771875,330.2578125
-585.3140625,-255.9140625,329.4
-585.6,-257.6296875,327.9703125
-588.1734375,-261.346875,326.8265625
-592.4625,-267.065625,325.396875
-598.18125,-273.6421875,324.5390625
-604.471875,-280.21875,324.253125
-610.190625,-285.9375,324.253125
-615.0515625,-290.5125,324.5390625
-617.9109375,-292.8,325.1109375
-618.76875,-292.8,325.96875
-617.3390625,-290.5125,326.8265625
-614.19375,-286.7953125,327.3984375
-609.9046875,-281.6484375,328.25625
-604.471875,-275.9296875,328.5421875
-599.325,-270.2109375,329.1140625
-594.4640625,-265.35,329.1140625
-590.4609375,-261.346875,329.1140625
-587.8875,-258.4875,329.4
-586.74375,-257.0578125,329.6859375
-586.4578125,-257.0578125,329.4
-587.315625,-257.6296875,329.6859375
-588.459375,-258.7734375,329.6859375
-589.603125,-260.203125,329.4
-590.746875,-261.346875,329.4
-591.0328125,-262.2046875,328.828125
-590.746875,-262.2046875,328.5421875
-589.603125,-261.6328125,327.9703125
-587.8875,-260.203125,327.684375
-585.6,-258.4875,327.1125
-583.3125,-256.2,327.1125
-580.7390625,-254.1984375,326.540625
-578.7375,-251.9109375,326.8265625
-577.021875,-250.48125,326.540625
-576.45,-249.6234375,326.8265625
-576.45,-250.1953125,326.2546875
-577.59375,-251.625,325.96875
-579.5953125,-254.1984375,325.396875
-582.4546875,-257.915625,324.5390625
-585.8859375,-262.490625,323.3953125
-589.8890625,-267.3515625,322.5375
-593.60625,-272.2125,321.39375
-597.0375,-276.7875,320.25
-599.6109375,-279.9328125,319.678125
-600.7546875,-281.934375,318.8203125
-600.7546875,-282.2203125,318.534375
-599.0390625,-280.790625,318.2484375
-596.1796875,-278.503125,317.6765625
-592.1765625,-275.071875,317.1046875
-587.6015625,-271.640625,315.9609375
-583.3125,-269.353125,313.959375
-580.1671875,-268.4953125,311.671875
-579.0234375,-269.925,309.0984375
-580.1671875,-274.5,305.6671875
-584.45625,-282.2203125,302.2359375
-591.890625,-293.0859375,298.8046875
-602.4703125,-306.2390625,296.23125
-615.3375,-321.39375,293.94375
-629.9203125,-336.834375,293.0859375
-645.3609375,-351.4171875,293.94375
-659.94375,-364.284375,295.659375
-672.8109375,-374.00625,298.8046875
-682.81875,-379.725,303.09375
-689.109375,-381.440625,307.66875
-691.1109375,-378.2953125,312.815625
-688.8234375,-371.146875,317.6765625
-682.81875,-360.853125,321.965625
-673.66875,-347.9859375,325.6828125
-661.9453125,-333.6890625,328.25625
-649.3640625,-319.10625,330.2578125
-636.496875,-305.6671875,330.8296875
-624.7734375,-293.94375,330.8296875
-614.4796875,-284.5078125,329.971875
-606.4734375,-277.6453125,328.828125
-601.040625,-273.35625,327.684375
-597.8953125,-271.3546875,326.540625
-596.465625,-270.7828125,325.6828125
-596.1796875,-271.640625,324.5390625
-597.0375,-272.784375,324.253125
-597.609375,-273.928125,323.68125
-598.18125,-274.5,323.68125
-597.609375,-274.2140625,323.3953125
-596.465625,-273.35625,323.109375
-594.4640625,-271.9265625,322.5375
-591.890625,-269.925,321.965625
-589.03125,-267.9234375,321.1078125
-586.4578125,-266.49375,319.9640625
-584.45625,-265.35,319.10625
-583.0265625,-265.0640625,317.9625
-582.740625,-265.6359375,317.1046875
-583.5984375,-267.3515625,316.246875
-585.028125,-269.925,315.103125
-587.315625,-272.784375,314.53125
-590.175,-276.215625,313.959375
-593.034375,-279.646875,313.3875
-596.1796875,-282.7921875,313.3875
-599.0390625,-285.6515625,313.3875
-601.6125,-288.225,313.3875
-604.1859375,-290.5125,313.6734375
-606.4734375,-292.5140625,313.959375
-608.7609375,-294.2296875,314.53125
-611.0484375,-295.659375,315.3890625
-613.05,-297.0890625,315.9609375
-614.765625,-298.2328125,316.5328125
-616.1953125,-299.090625,317.1046875
-617.3390625,-299.6625,317.6765625
-617.3390625,-299.9484375,317.390625
-616.7671875,-299.3765625,317.390625
-615.3375,-298.51875,316.81875
-613.05,-296.803125,316.246875
-610.190625,-295.0875,315.103125
-607.0453125,-293.371875,313.6734375
-604.1859375,-291.65625,312.5296875
-602.184375,-290.7984375,311.3859375
-601.040625,-290.5125,310.528125
-601.040625,-291.65625,309.384375
-602.75625,-293.6578125,309.0984375
-605.3296875,-296.5171875,308.8125
-609.046875,-299.9484375,309.0984375
-613.05,-303.3796875,309.6703125
-616.7671875,-306.525,310.2421875
-619.6265625,-308.5265625,311.1
-621.05625,-308.8125,312.24375
-620.484375,-307.3828125,313.1015625
-617.9109375,-304.2375,313.6734375
-613.621875,-299.090625,314.53125
-607.33125,-292.5140625,314.8171875
-600.46875,-285.6515625,314.8171875
-593.034375,-278.503125,314.53125
-586.4578125,-272.4984375,313.959375
-581.025,-267.9234375,313.1015625
-577.3078125,-265.35,311.9578125
-575.878125,-265.0640625,310.8140625
-576.7359375,-267.065625,309.6703125
-579.309375,-271.06875,308.240625
-583.3125,-276.215625,307.096875
-588.1734375,-281.934375,306.2390625
-593.034375,-287.3671875,305.6671875
-597.609375,-292.228125,305.38125
-600.7546875,-295.659375,305.0953125
-603.0421875,-297.6609375,305.38125
