LEFT,RIGHT,DIFF
65.19375,158.98125,93.7875
71.1984375,156.9796875,85.78125
74.6296875,154.40625,79.7765625
75.7734375,152.11875,76.3453125
74.915625,150.1171875,75.2015625
73.2,148.9734375,75.7734375
71.1984375,148.6875,77.4890625
69.76875,148.9734375,79.2046875
68.9109375,149.83125,80.9203125
69.4828125,150.403125,80.9203125
71.1984375,150.6890625,79.490625
74.0578125,149.5453125,75.4875
77.4890625,146.971875,69.4828125
80.9203125,142.6828125,61.7625
83.7796875,136.9640625,53.184375
86.0671875,129.815625,43.7484375
87.2109375,122.38125,35.1703125
87.496875,114.946875,27.45
87.2109375,108.9421875,21.73125
86.6390625,104.9390625,18.3
86.925,103.7953125,16.8703125
88.3546875,105.225,16.8703125
91.7859375,109.8,18.0140625
96.9328125,116.9484375,20.015625
104.3671875,125.8125,21.4453125
113.5171875,135.534375,22.0171875
124.096875,145.25625,21.159375
134.6765625,153.2625,18.5859375
144.9703125,158.98125,14.0109375
153.5484375,161.840625,8.29218750000001
159.8390625,161.840625,2.00156250000001
162.984375,158.409375,-4.57499999999999
163.55625,152.9765625,-10.5796875
160.9828125,145.828125,-15.1546875
156.4078125,138.1078125,-18.3
150.403125,130.959375,-19.44375
144.3984375,125.5265625,-18.871875
138.965625,122.38125,-16.584375
135.2484375,122.0953125,-13.153125
134.1046875,124.66875,-9.43593750000001
135.534375,129.5296875,-6.00468750000002
139.5375,136.3921875,-3.14531249999999
146.1140625,144.1125,-2.00156250000001
153.834375,152.11875,-1.71562499999999
162.1265625,158.98125,-3.14531249999999
169.846875,164.4140625,-5.43281250000001
176.1375,167.559375,-8.578125
180.7125,168.13125,-12.58125
183.0,166.7015625,-16.2984375
182.7140625,163.2703125,-19.44375
180.9984375,158.6953125,-22.303125
177.853125,153.2625,-24.590625
174.421875,148.115625,-26.30625
171.8484375,144.1125,-27.7359375
170.7046875,141.5390625,-29.165625
171.2765625,140.9671875,-30.309375
174.7078125,142.6828125,-32.025
180.140625,146.6859375,-33.4546875
187.575,152.9765625,-34.5984375
196.4390625,160.9828125,-35.45625
205.875,170.7046875,-35.1703125
215.3109375,181.5703125,-33.740625
223.8890625,192.4359375,-31.453125
231.0375,203.015625,-28.021875
236.184375,212.7375,-23.446875
239.615625,220.4578125,-19.1578125
241.33125,225.890625,-15.440625
241.903125,228.75,-13.153125
241.0453125,228.178125,-12.8671875
240.1875,224.4609375,-15.7265625
239.04375,218.1703125,-20.8734375
238.471875,209.30625,-29.165625
238.471875,199.0125,-39.459375
238.7578125,187.8609375,-50.896875
239.9015625,177.28125,-62.6203125
241.0453125,168.13125,-72.9140625
242.475,161.5546875,-80.9203125
243.61875,157.5515625,-86.0671875
244.4765625,156.69375,-87.7828125
245.0484375,158.98125,-86.0671875
245.334375,163.55625,-81.778125
245.6203125,169.846875,-75.7734375
245.6203125,177.28125,-68.3390625
245.90625,184.14375,-61.7625
246.1921875,190.434375,-55.7578125
247.05,194.7234375,-52.3265625
248.19375,197.0109375,-51.1828125
249.909375,197.296875,-52.6125
251.625,195.8671875,-55.7578125
253.6265625,193.29375,-60.3328125
255.628125,190.1484375,-65.4796875
257.915625,187.2890625,-70.6265625
259.63125,185.5734375,-74.0578125
261.6328125,185.2875,-76.3453125
263.9203125,187.003125,-76.9171875
266.2078125,190.7203125,-75.4875
269.0671875,196.153125,-72.9140625
272.784375,203.015625,-69.76875
277.359375,211.021875,-66.3375
282.7921875,220.171875,-62.6203125
289.36875,229.321875,-60.046875
296.23125,238.7578125,-57.4734375
303.9515625,248.4796875,-55.471875
311.9578125,257.6296875,-54.328125
319.3921875,267.065625,-52.3265625
326.8265625,276.215625,-50.6109375
333.1171875,285.365625,-47.7515625
338.8359375,294.2296875,-44.60625
343.696875,303.09375,-40.603125
347.4140625,311.671875,-35.7421875
350.8453125,319.9640625,-30.88125
353.990625,328.25625,-25.734375
357.1359375,336.2625,-20.8734375
360.853125,343.9828125,-16.8703125
365.428125,351.9890625,-13.4390625
371.146875,359.709375,-11.4375
378.009375,368.0015625,-10.0078125
385.7296875,376.29375,-9.43593750000002
394.59375,384.871875,-9.72187500000001
404.0296875,393.45,-10.5796875
413.465625,401.45625,-12.009375
422.9015625,408.6046875,-14.296875
431.4796875,414.8953125,-16.584375
439.2,419.75625,-19.44375
446.0625,423.1875,-22.875
451.4953125,425.475,-26.0203125
456.0703125,426.9046875,-29.165625
459.7875,427.7625,-32.025
463.21875,428.90625,-34.3125
466.3640625,430.9078125,-35.45625
469.7953125,434.625,-35.1703125
473.7984375,440.0578125,-33.740625
478.3734375,448.0640625,-30.309375
484.0921875,457.7859375,-26.30625
490.3828125,469.509375,-20.8734375
497.2453125,481.8046875,-15.440625
504.965625,494.671875,-10.29375
512.6859375,506.68125,-6.00468749999999
520.1203125,517.2609375,-2.859375
527.5546875,525.8390625,-1.71562499999993
534.4171875,532.1296875,-2.28750000000002
540.7078125,536.41875,-4.2890625
546.4265625,538.70625,-7.72031249999998
551.859375,540.1359375,-11.7234374999999
557.2921875,540.99375,-16.2984375000001
562.725,542.1375,-20.5875
568.7296875,544.7109375,-24.0187500000001
575.5921875,549.2859375,-26.30625
583.5984375,556.434375,-27.1640625
593.034375,565.8703125,-27.1640625
603.9,578.165625,-25.734375
616.48125,592.7484375,-23.7328125
630.4921875,609.3328125,-21.159375
645.9328125,627.346875,-18.5859375
662.23125,646.5046875,-15.7265625
678.815625,666.234375,-12.5812500000001
695.6859375,685.9640625,-9.72187499999995
711.984375,705.4078125,-6.57656250000002
727.1390625,723.99375,-3.14531250000005
740.578125,741.15,0.571874999999977
752.015625,756.3046875,4.2890625
761.165625,768.8859375,7.72031250000009
767.7421875,778.89375,11.1515625000001
771.7453125,785.184375,13.4390625
773.4609375,788.3296875,14.86875
772.603125,787.471875,14.8687500000001
770.0296875,783.46875,13.4390625
766.0265625,776.3203125,10.2937499999999
761.165625,766.884375,5.71875
755.7328125,756.01875,0.285937500000045
750.3,744.8671875,-5.43281250000007
745.153125,734.5734375,-10.5796875
740.8640625,725.709375,-15.1546875
737.146875,719.41875,-17.728125
734.0015625,715.7015625,-18.3
731.7140625,714.84375,-16.8703125000001
729.9984375,715.9875,-14.0109375
728.56875,718.846875,-9.72187499999995
727.425,722.278125,-5.14687500000002
725.9953125,725.4234375,-0.571875000000091
724.2796875,726.853125,2.57343749999995
722.5640625,725.9953125,3.43125000000009
719.990625,722.278125,2.28750000000002
716.8453125,715.7015625,-1.14374999999995
713.4140625,706.265625,-7.1484375
709.4109375,695.1140625,-14.296875
705.121875,682.81875,-22.303125
700.546875,671.0953125,-29.4515625
696.2578125,660.515625,-35.7421875
691.96875,652.7953125,-39.1734375
687.965625,647.934375,-40.03125
684.534375,646.790625,-37.7437500000001
681.675,648.7921875,-32.8828125
679.1015625,653.3671875,-25.734375
677.3859375,659.6578125,-17.7281250000001
675.95625,666.5203125,-9.43593750000002
674.8125,672.525,-2.28750000000002
674.240625,676.528125,2.28750000000002
673.3828125,677.671875,4.2890625
672.525,675.384375,2.859375
671.0953125,669.3796875,-1.71562499999993
669.3796875,659.94375,-9.43593750000002
667.0921875,648.2203125,-18.871875
663.946875,635.0671875,-28.8796874999999
660.2296875,621.3421875,-38.8875
655.6546875,608.475,-47.1796875
649.9359375,597.0375,-52.8984375
643.6453125,587.8875,-55.7578125
636.496875,581.596875,-54.9
628.7765625,577.59375,-51.1828125000001
620.7703125,575.878125,-44.8921875
612.7640625,575.878125,-36.8859375
605.04375,576.45,-28.59375
597.8953125,577.59375,-20.3015625
591.890625,577.8796875,-14.0109375
587.0296875,577.59375,-9.43593750000002
583.5984375,575.878125,-7.72031249999998
581.596875,573.01875,-8.578125
581.025,569.015625,-12.009375
581.3109375,564.1546875,-17.15625
582.16875,558.721875,-23.446875
582.740625,553.003125,-29.7375
582.740625,547.284375,-35.45625
581.3109375,541.565625,-39.7453125
577.8796875,536.41875,-41.4609375
572.7328125,531.84375,-40.8890625
565.584375,527.840625,-37.74375
556.7203125,524.6953125,-32.025
547.284375,522.69375,-24.590625
537.5625,521.8359375,-15.7265625
528.6984375,522.4078125,-6.29062500000009
521.2640625,524.409375,3.14531250000005
515.83125,527.840625,12.009375
513.2578125,532.415625,19.1578125
512.971875,537.8484375,24.8765625
514.9734375,543.853125,28.8796874999999
518.690625,549.8578125,31.1671875
523.265625,555.290625,32.025
528.1265625,559.5796875,31.453125
532.415625,562.4390625,30.0234375
535.846875,564.1546875,28.3078125
537.5625,564.440625,26.8781250000001
538.4203125,564.1546875,25.734375
538.134375,563.296875,25.1625
537.5625,562.4390625,24.8765625
536.990625,562.4390625,25.4484375
536.990625,563.5828125,26.5921875
538.4203125,565.8703125,27.45
540.7078125,569.015625,28.3078125
544.1390625,572.446875,28.3078125
548.1421875,575.5921875,27.45
551.859375,577.59375,25.734375
555.0046875,577.59375,22.5890625
556.434375,575.0203125,18.5859375
556.1484375,569.5875,13.4390625
553.2890625,561.58125,8.29218750000007
548.7140625,551.2875,2.57343749999995
542.4234375,539.85,-2.57343749999995
534.9890625,528.4125,-6.57656250000002
528.1265625,518.690625,-9.43593749999991
521.8359375,511.5421875,-10.29375
517.546875,508.1109375,-9.43593749999997
515.5453125,509.2546875,-6.29062499999998
516.403125,514.6875,-1.71562500000005
519.2625,524.409375,5.14687500000002
524.409375,536.990625,12.58125
530.7,551.2875,20.5875
537.2765625,565.584375,28.3078125
542.9953125,578.7375,35.7421875
547.85625,588.7453125,40.8890625
550.715625,594.75,44.034375
551.5734375,596.1796875,44.6062499999999
551.0015625,593.034375,42.0328125000001
548.7140625,585.3140625,36.5999999999999
545.8546875,573.8765625,28.0218749999999
542.709375,559.865625,17.15625
539.85,544.425,4.57500000000005
538.134375,529.2703125,-8.86406249999993
537.5625,515.259375,-22.303125
538.4203125,503.5359375,-34.884375
540.1359375,495.24375,-44.8921875
542.9953125,490.3828125,-52.6125000000001
546.4265625,489.525,-56.9015625
549.8578125,492.384375,-57.4734375
553.575,498.3890625,-55.1859375
