LEFT,RIGHT,DIFF
-243.3328125,-1112.5828125,-869.25
-245.6203125,-1113.440625,-867.8203125
-248.19375,-1115.15625,-866.9625
-251.053125,-1116.5859375,-865.5328125
-253.0546875,-1117.44375,-864.3890625
-253.9125,-1116.871875,-862.959375
-253.340625,-1115.15625,-861.815625
-250.7671875,-1111.725,-860.9578125
-246.7640625,-1106.8640625,-860.1
-241.0453125,-1101.43125,-860.3859375
-234.7546875,-1095.7125,-860.9578125
-228.4640625,-1090.2796875,-861.815625
-222.459375,-1085.41875,-862.959375
-217.884375,-1081.9875,-864.103125
-215.025,-1079.4140625,-864.3890625
-214.453125,-1077.984375,-863.53125
-215.596875,-1077.4125,-861.815625
-218.7421875,-1076.840625,-858.0984375
-223.3171875,-1075.696875,-852.3796875
-228.178125,-1073.98125,-845.803125
-233.325,-1070.8359375,-837.5109375
-238.1859375,-1065.975,-827.7890625
-241.6171875,-1060.25625,-818.6390625
-243.9046875,-1053.1078125,-809.203125
-244.7625,-1045.3875,-800.625
-244.190625,-1037.953125,-793.7625
-242.7609375,-1030.51875,-787.7578125
-241.0453125,-1024.228125,-783.1828125
-238.7578125,-1018.7953125,-780.0375
-237.328125,-1014.50625,-777.178125
-236.184375,-1011.3609375,-775.1765625
-236.184375,-1008.7875,-772.603125
-237.0421875,-1006.2140625,-769.171875
-239.04375,-1003.9265625,-764.8828125
-241.6171875,-1000.78125,-759.1640625
-244.7625,-997.35,-752.5875
-248.19375,-993.346875,-745.153125
-251.9109375,-989.0578125,-737.146875
-255.3421875,-984.76875,-729.4265625
-258.4875,-981.3375,-722.85
-261.0609375,-978.478125,-717.4171875
-263.3484375,-977.0484375,-713.7
-264.778125,-977.0484375,-712.2703125
-265.6359375,-978.478125,-712.8421875
-265.921875,-980.765625,-714.84375
-265.6359375,-983.625,-717.9890625
-264.4921875,-986.484375,-721.9921875
-262.490625,-989.0578125,-726.5671875
-259.9171875,-990.7734375,-730.85625
-257.0578125,-991.059375,-734.0015625
-254.1984375,-989.915625,-735.7171875
-251.053125,-987.3421875,-736.2890625
-248.4796875,-983.9109375,-735.43125
-246.478125,-979.3359375,-732.8578125
-245.0484375,-974.1890625,-729.140625
-244.7625,-969.0421875,-724.2796875
-245.334375,-964.18125,-718.846875
-246.478125,-959.60625,-713.128125
-248.19375,-955.3171875,-707.1234375
-250.1953125,-951.8859375,-701.690625
-251.9109375,-948.740625,-696.8296875
-253.340625,-946.453125,-693.1125
-254.1984375,-944.4515625,-690.253125
-254.7703125,-943.3078125,-688.5375
-254.7703125,-943.021875,-688.2515625
-254.7703125,-943.021875,-688.2515625
-254.7703125,-944.165625,-689.3953125
-255.05625,-945.5953125,-690.5390625
-255.628125,-947.3109375,-691.6828125
-257.0578125,-948.740625,-691.6828125
-258.4875,-949.5984375,-691.1109375
-260.203125,-949.3125,-689.109375
-261.6328125,-947.3109375,-685.678125
-261.91875,-943.59375,-681.675
-261.346875,-938.1609375,-676.8140625
-259.059375,-930.7265625,-671.6671875
-255.3421875,-922.434375,-667.0921875
-250.1953125,-913.85625,-663.6609375
-244.190625,-906.1359375,-661.9453125
-237.6140625,-900.13125,-662.5171875
-231.609375,-896.7,-665.090625
-226.7484375,-896.7,-669.9515625
-223.603125,-900.4171875,-676.8140625
-223.03125,-907.8515625,-684.8203125
-224.746875,-918.1453125,-693.3984375
-229.0359375,-930.440625,-701.4046875
-235.3265625,-944.165625,-708.8390625
-242.7609375,-957.31875,-714.5578125
-250.7671875,-969.6140625,-718.846875
-258.2015625,-979.621875,-721.4203125
-264.778125,-987.05625,-722.278125
-269.925,-991.9171875,-721.9921875
-272.784375,-993.6328125,-720.8484375
-273.928125,-993.346875,-719.41875
-273.6421875,-991.3453125,-717.703125
-272.2125,-988.2,-715.9875
-270.2109375,-984.76875,-714.5578125
-268.209375,-980.765625,-712.55625
-266.49375,-977.0484375,-710.5546875
-265.6359375,-973.0453125,-707.409375
