LEFT,RIGHT,DIFF
-247.9078125,-132.675,115.2328125
-247.621875,-134.390625,113.23125
-248.19375,-138.1078125,110.0859375
-249.6234375,-142.96875,106.6546875
-251.9109375,-148.9734375,102.9375
-255.05625,-155.55,99.50625
-258.7734375,-162.4125,96.3609375
-262.7765625,-168.703125,94.0734375
-266.7796875,-174.7078125,92.071875
-270.2109375,-180.140625,90.0703125
-273.0703125,-184.4296875,88.640625
-275.071875,-187.8609375,87.2109375
-275.9296875,-190.434375,85.4953125
-275.9296875,-191.8640625,84.065625
-274.7859375,-191.8640625,82.921875
-272.784375,-191.00625,81.778125
-270.496875,-189.290625,81.20625
-267.9234375,-186.43125,81.4921875
-265.6359375,-182.7140625,82.921875
-263.9203125,-178.7109375,85.209375
-262.490625,-174.7078125,87.7828125
-261.91875,-170.990625,90.928125
-261.91875,-167.8453125,94.0734375
-262.7765625,-165.5578125,97.21875
-263.9203125,-164.7,99.2203125
-265.35,-164.9859375,100.3640625
-267.065625,-166.7015625,100.3640625
-268.4953125,-169.5609375,98.934375
-269.6390625,-172.9921875,96.646875
-270.496875,-177.28125,93.215625
-270.7828125,-181.284375,89.4984375
-270.7828125,-185.2875,85.4953125
-270.496875,-188.4328125,82.0640625
-269.6390625,-190.434375,79.2046875
-268.4953125,-191.2921875,77.203125
-267.3515625,-191.2921875,76.059375
-265.6359375,-189.8625,75.7734375
-263.9203125,-187.8609375,76.059375
-261.6328125,-185.0015625,76.63125
-259.3453125,-181.5703125,77.775
-256.771875,-178.1390625,78.6328125
-254.1984375,-174.99375,79.2046875
-251.625,-172.134375,79.490625
-249.0515625,-169.5609375,79.490625
-247.05,-168.13125,78.91875
-245.6203125,-167.2734375,78.346875
-245.0484375,-167.559375,77.4890625
-245.0484375,-168.4171875,76.63125
-246.1921875,-170.7046875,75.4875
-248.19375,-173.278125,74.915625
-250.7671875,-176.9953125,73.771875
-253.9125,-180.7125,73.2
-256.771875,-184.715625,72.05625
-259.63125,-188.71875,70.9125
-261.6328125,-191.8640625,69.76875
-263.0625,-194.4375,68.625
-263.3484375,-195.8671875,67.48125
-262.490625,-195.8671875,66.6234375
-260.775,-194.7234375,66.0515625
-258.2015625,-192.15,66.0515625
-255.05625,-188.4328125,66.6234375
-251.9109375,-184.14375,67.7671875
-249.0515625,-179.56875,69.4828125
-246.7640625,-174.7078125,72.05625
-245.0484375,-170.7046875,74.34375
-244.190625,-167.2734375,76.9171875
-244.190625,-165.271875,78.91875
-245.0484375,-164.7,80.3484375
-246.478125,-165.5578125,80.9203125
-247.9078125,-167.8453125,80.0625
-249.6234375,-171.2765625,78.346875
-251.053125,-175.565625,75.4875
-251.9109375,-180.4265625,71.484375
-252.196875,-185.2875,66.909375
-251.9109375,-189.5765625,62.334375
-251.053125,-193.0078125,58.0453125
-249.6234375,-195.2953125,54.328125
-247.9078125,-196.4390625,51.46875
-245.90625,-195.8671875,50.0390625
-244.190625,-194.1515625,50.0390625
-242.7609375,-191.00625,51.7546875
-241.903125,-187.003125,54.9
-241.6171875,-182.7140625,58.903125
-241.903125,-178.1390625,63.7640625
-242.7609375,-174.1359375,68.625
-244.4765625,-170.7046875,73.771875
-246.1921875,-168.703125,77.4890625
-248.4796875,-167.8453125,80.634375
-250.7671875,-168.13125,82.6359375
-253.0546875,-169.846875,83.2078125
-255.05625,-172.4203125,82.6359375
-257.0578125,-176.1375,80.9203125
-258.7734375,-179.8546875,78.91875
-260.4890625,-183.8578125,76.63125
-262.2046875,-187.575,74.6296875
-263.634375,-190.7203125,72.9140625
-265.35,-193.5796875,71.7703125
-267.065625,-195.58125,71.484375
-269.0671875,-197.296875,71.7703125
-270.7828125,-198.7265625,72.05625
-272.784375,-200.15625,72.628125
-274.7859375,-201.3,73.4859375
-276.215625,-202.7296875,73.4859375
-277.0734375,-203.8734375,73.2
-277.359375,-204.73125,72.628125
-276.7875,-205.5890625,71.1984375
-275.3578125,-205.303125,70.0546875
-273.0703125,-204.4453125,68.625
-269.925,-202.1578125,67.7671875
-265.921875,-199.0125,66.909375
-261.91875,-194.4375,67.48125
-257.6296875,-189.290625,68.3390625
-253.6265625,-183.571875,70.0546875
-249.909375,-177.853125,72.05625
-246.7640625,-172.4203125,74.34375
-244.4765625,-168.4171875,76.059375
-243.3328125,-165.5578125,77.775
-242.7609375,-164.4140625,78.346875
-243.046875,-164.7,78.346875
-243.9046875,-166.415625,77.4890625
-245.334375,-169.275,76.059375
-247.05,-172.4203125,74.6296875
-248.4796875,-175.8515625,72.628125
-249.909375,-178.425,71.484375
-251.053125,-180.140625,70.9125
-251.625,-180.7125,70.9125
-251.9109375,-180.4265625,71.484375
-251.625,-178.7109375,72.9140625
-250.7671875,-176.709375,74.0578125
-249.909375,-174.421875,75.4875
-249.0515625,-172.134375,76.9171875
-247.9078125,-170.41875,77.4890625
-247.05,-169.5609375,77.4890625
-246.1921875,-169.5609375,76.63125
-245.90625,-170.41875,75.4875
-245.6203125,-171.5625,74.0578125
-245.6203125,-172.9921875,72.628125
-245.6203125,-174.1359375,71.484375
-245.90625,-174.7078125,71.1984375
-245.90625,-174.7078125,71.1984375
-246.1921875,-173.85,72.3421875
-246.1921875,-172.4203125,73.771875
-245.90625,-170.7046875,75.2015625
-245.90625,-168.9890625,76.9171875
-245.90625,-167.559375,78.346875
-245.90625,-166.7015625,79.2046875
-246.478125,-166.415625,80.0625
-247.621875,-166.9875,80.634375
-249.3375,-168.4171875,80.9203125
-251.625,-170.1328125,81.4921875
-254.484375,-171.8484375,82.6359375
-257.6296875,-173.5640625,84.065625
-261.0609375,-174.421875,86.6390625
-264.20625,-174.7078125,89.4984375
-267.065625,-174.1359375,92.9296875
-269.353125,-172.9921875,96.3609375
-270.496875,-171.2765625,99.2203125
-270.496875,-169.5609375,100.9359375
-269.353125,-168.13125,101.221875
-267.065625,-167.8453125,99.2203125
-263.634375,-168.703125,94.93125
-259.3453125,-170.990625,88.3546875
-254.7703125,-174.7078125,80.0625
