LEFT,RIGHT,DIFF
-281.3625,-235.3265625,46.0359375
-277.6453125,-228.75,48.8953125
-274.2140625,-221.8875,52.3265625
-271.640625,-215.8828125,55.7578125
-270.2109375,-211.59375,58.6171875
-270.496875,-210.1640625,60.3328125
-272.2125,-211.3078125,60.9046875
-275.071875,-215.025,60.046875
-278.7890625,-221.0296875,57.759375
-282.50625,-228.178125,54.328125
-285.6515625,-235.8984375,49.753125
-287.9390625,-243.046875,44.8921875
-288.796875,-248.765625,40.03125
-288.5109375,-252.4828125,36.028125
-286.7953125,-254.484375,32.3109375
-284.5078125,-254.1984375,30.309375
-281.6484375,-252.4828125,29.165625
-279.075,-249.6234375,29.4515625
-277.0734375,-246.478125,30.5953125
-275.9296875,-243.046875,32.8828125
-275.9296875,-240.4734375,35.45625
-277.0734375,-238.7578125,38.315625
-279.075,-237.6140625,41.4609375
-281.6484375,-237.328125,44.3203125
-283.9359375,-237.6140625,46.321875
-286.2234375,-238.1859375,48.0375
-287.9390625,-238.7578125,49.18125
-288.796875,-239.3296875,49.4671875
-288.796875,-239.615625,49.18125
-287.9390625,-239.9015625,48.0375
-287.08125,-240.1875,46.89375
-285.9375,-241.0453125,44.8921875
-285.0796875,-242.475,42.6046875
-284.79375,-244.4765625,40.3171875
-285.0796875,-247.05,38.0296875
-286.2234375,-249.909375,36.3140625
-287.653125,-253.0546875,34.5984375
-289.36875,-255.628125,33.740625
-290.7984375,-257.915625,32.8828125
-292.228125,-259.059375,33.16875
-292.8,-259.059375,33.740625
-292.5140625,-258.2015625,34.3125
-291.3703125,-256.2,35.1703125
-289.36875,-253.9125,35.45625
-286.7953125,-251.625,35.1703125
-284.221875,-249.3375,34.884375
-281.3625,-247.621875,33.740625
-278.7890625,-246.7640625,32.025
-277.0734375,-246.7640625,30.309375
-275.64375,-247.3359375,28.3078125
-274.7859375,-248.19375,26.5921875
-274.7859375,-249.0515625,25.734375
-275.3578125,-249.6234375,25.734375
-276.215625,-249.3375,26.878125
-277.359375,-248.765625,28.59375
-278.503125,-247.05,31.453125
-279.9328125,-245.0484375,34.884375
-281.3625,-242.7609375,38.6015625
-282.7921875,-240.4734375,42.31875
-284.221875,-238.7578125,45.4640625
-285.9375,-237.9,48.0375
-287.3671875,-237.328125,50.0390625
-288.796875,-237.6140625,51.1828125
-289.6546875,-238.1859375,51.46875
-290.5125,-239.04375,51.46875
-290.5125,-239.3296875,51.1828125
-289.940625,-239.04375,50.896875
-288.796875,-237.9,50.896875
-287.08125,-236.4703125,50.6109375
-285.0796875,-234.7546875,50.325
-283.3640625,-233.0390625,50.325
-281.934375,-232.18125,49.753125
-281.0765625,-232.4671875,48.609375
-281.3625,-234.1828125,47.1796875
-282.50625,-237.328125,45.178125
-284.5078125,-241.903125,42.6046875
-287.08125,-247.3359375,39.7453125
-289.6546875,-253.0546875,36.6
-291.9421875,-257.915625,34.0265625
-293.371875,-261.346875,32.025
-293.6578125,-262.2046875,31.453125
