LEFT,RIGHT,DIFF
-321.1078125,-283.9359375,37.171875
-318.8203125,-283.078125,35.7421875
-315.3890625,-280.790625,34.5984375
-311.3859375,-277.359375,34.0265625
-306.8109375,-272.784375,34.0265625
-302.521875,-267.6375,34.884375
-299.090625,-262.7765625,36.3140625
-296.5171875,-258.2015625,38.315625
-294.8015625,-254.7703125,40.03125
-294.2296875,-252.76875,41.4609375
-294.8015625,-252.196875,42.6046875
-295.9453125,-253.0546875,42.890625
-297.6609375,-255.05625,42.6046875
-299.3765625,-258.2015625,41.175
-301.0921875,-261.6328125,39.459375
-302.521875,-265.6359375,36.8859375
-303.9515625,-269.353125,34.5984375
-304.809375,-272.784375,32.025
-305.38125,-275.64375,29.7375
-305.953125,-277.93125,28.021875
-306.2390625,-279.3609375,26.878125
-306.525,-280.5046875,26.0203125
-306.525,-280.790625,25.734375
-306.8109375,-280.790625,26.0203125
-306.525,-280.5046875,26.0203125
-305.953125,-279.9328125,26.0203125
-305.0953125,-278.7890625,26.30625
-303.9515625,-277.93125,26.0203125
-302.2359375,-276.7875,25.4484375
-300.80625,-275.64375,25.1625
-299.090625,-274.2140625,24.8765625
-297.946875,-273.0703125,24.8765625
-296.803125,-271.9265625,24.8765625
-296.5171875,-270.7828125,25.734375
-296.5171875,-269.6390625,26.878125
-296.803125,-268.78125,28.021875
-297.6609375,-267.9234375,29.7375
-298.2328125,-267.065625,31.1671875
-299.090625,-266.49375,32.596875
-299.3765625,-265.921875,33.4546875
-299.090625,-265.6359375,33.4546875
-298.51875,-265.35,33.16875
-297.6609375,-265.35,32.3109375
-296.5171875,-265.6359375,30.88125
-295.659375,-266.2078125,29.4515625
-294.8015625,-267.065625,27.7359375
-294.515625,-268.78125,25.734375
-295.0875,-270.496875,24.590625
-296.23125,-273.0703125,23.1609375
-297.946875,-275.64375,22.303125
-300.234375,-278.7890625,21.4453125
-302.8078125,-281.934375,20.8734375
-305.0953125,-285.365625,19.7296875
-307.096875,-288.5109375,18.5859375
-308.240625,-291.65625,16.584375
-308.8125,-294.8015625,14.0109375
-308.8125,-297.6609375,11.1515625
-307.9546875,-299.9484375,8.00625000000002
-306.8109375,-302.2359375,4.57499999999999
-305.0953125,-303.9515625,1.14375000000001
-303.665625,-305.38125,-1.71562499999999
-302.8078125,-305.953125,-3.14531249999999
-302.2359375,-305.953125,-3.71718749999997
-302.2359375,-305.38125,-3.14531249999999
-303.09375,-303.665625,-0.571875000000034
-304.2375,-301.0921875,3.14531249999999
-305.953125,-297.6609375,8.29218750000001
-307.9546875,-293.6578125,14.296875
-309.95625,-289.6546875,20.3015625
-311.9578125,-285.365625,26.5921875
-313.3875,-281.3625,32.025
-314.2453125,-277.93125,36.3140625
-314.53125,-275.64375,38.8875
-314.2453125,-274.5,39.7453125
-313.6734375,-274.2140625,39.459375
-312.24375,-274.7859375,37.4578125
-310.8140625,-276.5015625,34.3125
-309.0984375,-278.503125,30.5953125
-307.096875,-280.790625,26.30625
-305.0953125,-282.7921875,22.303125
-303.3796875,-284.5078125,18.871875
-301.95,-285.9375,16.0125
-300.80625,-286.509375,14.296875
-300.234375,-286.509375,13.725
-299.9484375,-286.2234375,13.725
-299.9484375,-285.6515625,14.296875
-300.5203125,-285.0796875,15.440625
-301.0921875,-284.79375,16.2984375
-301.6640625,-284.79375,16.8703125
-302.2359375,-285.0796875,17.15625
-302.521875,-285.6515625,16.8703125
-302.521875,-286.2234375,16.2984375
-302.521875,-287.08125,15.440625
-301.95,-287.9390625,14.0109375
-301.0921875,-288.225,12.8671875
-300.234375,-288.225,12.009375
-299.090625,-287.9390625,11.1515625
-298.2328125,-286.7953125,11.4375
-297.6609375,-285.6515625,12.009375
-297.0890625,-283.9359375,13.153125
-297.0890625,-281.934375,15.1546875
-297.0890625,-279.9328125,17.15625
-297.375,-277.93125,19.44375
-297.6609375,-275.9296875,21.73125
-297.946875,-274.2140625,23.7328125
-297.946875,-272.784375,25.1625
-297.946875,-271.640625,26.30625
-297.6609375,-271.06875,26.5921875
-297.375,-270.7828125,26.5921875
-297.0890625,-271.3546875,25.734375
-297.0890625,-272.2125,24.8765625
-297.375,-273.6421875,23.7328125
-297.946875,-275.64375,22.303125
-299.3765625,-278.2171875,21.159375
-301.378125,-281.3625,20.015625
-303.9515625,-284.79375,19.1578125
-307.3828125,-288.796875,18.5859375
-311.1,-293.0859375,18.0140625
-315.3890625,-297.6609375,17.728125
-320.25,-302.521875,17.728125
-325.396875,-307.9546875,17.4421875
-331.115625,-313.6734375,17.4421875
-337.1203125,-320.25,16.8703125
-343.125,-327.3984375,15.7265625
-349.7015625,-335.11875,14.5828125
-356.278125,-343.125,13.153125
-362.56875,-351.4171875,11.1515625
-368.2875,-359.4234375,8.86406249999999
-372.8625,-366.571875,6.29062499999998
-376.29375,-372.290625,4.00312499999995
-378.009375,-376.0078125,2.00156250000003
-377.4375,-377.4375,0.0
-374.578125,-375.721875,-1.14375000000001
-369.43125,-371.146875,-1.71562499999999
-362.2828125,-363.7125,-1.4296875
-353.41875,-353.7046875,-0.285937500000045
-343.125,-341.98125,1.14375000000001
-332.5453125,-328.828125,3.71718750000002
-322.2515625,-315.675,6.57656250000002
-312.815625,-303.3796875,9.43593750000002
-305.0953125,-292.5140625,12.58125
-299.090625,-284.5078125,14.5828125
-295.3734375,-279.075,16.2984375
-293.6578125,-276.7875,16.8703125
-293.6578125,-277.6453125,16.0125
-295.3734375,-280.790625,14.5828125
-298.2328125,-285.6515625,12.58125
-301.0921875,-291.65625,9.43593750000002
-303.9515625,-297.946875,6.00468749999999
-306.2390625,-303.3796875,2.859375
-307.66875,-307.9546875,-0.285937500000045
-308.240625,-310.8140625,-2.57343750000001
-307.66875,-312.24375,-4.57500000000005
-306.2390625,-311.671875,-5.43281250000001
-304.2375,-309.95625,-5.71875
-301.95,-307.096875,-5.14687500000002
-299.9484375,-303.9515625,-4.00312500000001
-298.51875,-301.0921875,-2.57343750000001
-297.375,-298.2328125,-0.857812500000023
-297.375,-296.5171875,0.857812499999966
