LEFT,RIGHT,DIFF
-241.33125,-239.04375,2.28749999999999
-238.7578125,-237.328125,1.4296875
-236.75625,-235.8984375,0.857812500000023
-235.8984375,-235.3265625,0.571874999999977
-235.8984375,-235.8984375,0.0
-237.328125,-237.0421875,0.285937499999989
-239.615625,-239.04375,0.571875000000006
-242.1890625,-241.6171875,0.571875000000006
-244.7625,-244.190625,0.571875000000006
-246.7640625,-246.478125,0.285937500000017
-248.19375,-248.4796875,-0.285937499999989
-248.19375,-249.909375,-1.71562499999999
-247.05,-250.48125,-3.43125000000001
-244.7625,-250.1953125,-5.43281249999998
-241.6171875,-249.0515625,-7.43437500000002
-237.9,-247.3359375,-9.43593749999999
-233.896875,-245.0484375,-11.1515625
-230.465625,-242.7609375,-12.2953125
-227.60625,-240.1875,-12.58125
-225.6046875,-237.9,-12.2953125
-225.0328125,-236.184375,-11.1515625
-225.6046875,-234.7546875,-9.15000000000001
-227.3203125,-233.896875,-6.57656250000002
-229.89375,-233.6109375,-3.71718749999999
-233.325,-233.896875,-0.571875000000006
-236.75625,-235.040625,1.71562500000002
-240.1875,-236.4703125,3.71718749999999
-243.61875,-238.471875,5.14687499999999
-246.478125,-240.759375,5.71875
-248.765625,-243.046875,5.71875
-250.7671875,-245.0484375,5.71875
-252.196875,-247.05,5.14687499999999
-253.6265625,-248.19375,5.43281249999998
-254.7703125,-249.0515625,5.71875
-255.9140625,-249.0515625,6.86249999999998
-256.771875,-248.4796875,8.29218750000001
-257.6296875,-247.3359375,10.29375
-258.4875,-245.90625,12.58125
-258.7734375,-244.4765625,14.296875
-259.059375,-243.3328125,15.7265625
-258.7734375,-242.1890625,16.584375
-258.4875,-241.903125,16.584375
-257.6296875,-241.903125,15.7265625
-256.4859375,-242.475,14.0109375
-255.3421875,-243.9046875,11.4375
-254.7703125,-245.6203125,9.15000000000001
-254.1984375,-247.3359375,6.86250000000001
-254.1984375,-249.3375,4.86093750000001
-254.7703125,-251.053125,3.71718749999999
-255.628125,-252.4828125,3.14531249999999
-257.0578125,-253.6265625,3.43125000000001
-258.4875,-254.1984375,4.2890625
-259.9171875,-254.484375,5.43281250000001
-260.4890625,-254.484375,6.00468749999999
-260.775,-254.1984375,6.57656250000002
-259.9171875,-253.6265625,6.29062500000001
-258.2015625,-253.340625,4.86093750000001
-255.628125,-252.76875,2.859375
-252.4828125,-252.4828125,0.0
-249.0515625,-252.196875,-3.14531249999999
-245.90625,-251.9109375,-6.00468750000002
-243.3328125,-251.625,-8.29218749999998
-241.903125,-251.625,-9.72187499999998
-241.33125,-251.625,-10.29375
-242.1890625,-251.3390625,-9.15000000000001
-243.9046875,-251.3390625,-7.43437499999999
-246.7640625,-251.053125,-4.2890625
-249.909375,-250.7671875,-0.857812499999994
-253.0546875,-250.1953125,2.859375
-255.628125,-249.6234375,6.00468749999999
-257.6296875,-249.0515625,8.57812499999997
-258.4875,-248.19375,10.29375
-258.2015625,-247.05,11.1515625
-256.771875,-245.6203125,11.1515625
-254.484375,-244.190625,10.29375
-251.625,-243.046875,8.578125
-248.765625,-241.6171875,7.1484375
-245.90625,-240.759375,5.14687499999999
-243.9046875,-240.1875,3.71718750000002
-242.475,-240.1875,2.28750000000002
-242.1890625,-240.759375,1.4296875
-243.046875,-242.1890625,0.857812499999994
-244.4765625,-243.9046875,0.571874999999977
-246.7640625,-246.478125,0.285937500000017
