LEFT,RIGHT,DIFF
-839.7984375,-1658.4375,-818.6390625
-840.3703125,-1657.29375,-816.9234375
-841.228125,-1656.15,-814.921875
-841.8,-1655.8640625,-814.0640625
-842.6578125,-1655.8640625,-813.20625
-843.2296875,-1656.4359375,-813.20625
-843.8015625,-1657.29375,-813.4921875
-843.8015625,-1658.7234375,-814.921875
-843.2296875,-1660.4390625,-817.209375
-842.371875,-1661.86875,-819.496875
-840.9421875,-1663.2984375,-822.35625
-839.2265625,-1664.15625,-824.9296875
-836.653125,-1664.4421875,-827.7890625
-834.0796875,-1663.8703125,-829.790625
-830.934375,-1663.0125,-832.078125
-827.503125,-1661.86875,-834.365625
-824.3578125,-1660.4390625,-836.08125
-821.4984375,-1659.009375,-837.5109375
-818.925,-1657.865625,-838.940625
-817.4953125,-1657.0078125,-839.5125
-816.6375,-1657.29375,-840.65625
-816.9234375,-1658.4375,-841.5140625
-818.353125,-1660.153125,-841.8
-820.9265625,-1663.0125,-842.0859375
-824.3578125,-1666.7296875,-842.371875
-828.3609375,-1670.7328125,-842.371875
-832.65,-1674.7359375,-842.0859375
-836.9390625,-1678.453125,-841.5140625
-840.65625,-1681.5984375,-840.9421875
-844.0875,-1683.8859375,-839.7984375
-846.6609375,-1685.315625,-838.6546875
-848.6625,-1685.8875,-837.225
-849.80625,-1685.8875,-836.08125
-850.95,-1685.315625,-834.365625
-852.09375,-1685.0296875,-832.9359375
-853.5234375,-1685.0296875,-831.50625
-855.525,-1685.8875,-830.3625
-858.6703125,-1687.8890625,-829.21875
-862.3875,-1690.7484375,-828.3609375
-866.9625,-1694.465625,-827.503125
-871.8234375,-1698.7546875,-826.93125
-876.684375,-1703.3296875,-826.6453125
-880.4015625,-1707.3328125,-826.93125
-882.975,-1710.7640625,-827.7890625
-883.8328125,-1713.0515625,-829.21875
-882.6890625,-1713.909375,-831.2203125
-879.54375,-1713.6234375,-834.0796875
-874.6828125,-1712.19375,-837.5109375
-868.678125,-1710.1921875,-841.5140625
-862.1015625,-1708.4765625,-846.375
-856.096875,-1707.046875,-850.95
-851.2359375,-1706.7609375,-855.525
-848.090625,-1707.9046875,-859.8140625
-847.2328125,-1711.05,-863.8171875
-848.9484375,-1715.625,-866.6765625
-852.665625,-1721.34375,-868.678125
-858.6703125,-1727.634375,-868.9640625
-865.5328125,-1734.2109375,-868.678125
-872.9671875,-1739.9296875,-866.9625
-879.8296875,-1744.5046875,-864.675
-885.5484375,-1747.3640625,-861.815625
-889.8375,-1748.221875,-858.384375
-891.8390625,-1747.3640625,-855.525
-891.8390625,-1745.0765625,-853.2375
-890.1234375,-1741.359375,-851.2359375
-886.978125,-1737.0703125,-850.0921875
-882.6890625,-1732.4953125,-849.80625
-878.6859375,-1728.4921875,-849.80625
-874.6828125,-1724.775,-850.0921875
-871.5375,-1721.915625,-850.378125
-869.25,-1719.9140625,-850.6640625
-868.10625,-1718.1984375,-850.0921875
-867.8203125,-1717.0546875,-849.234375
-868.3921875,-1715.625,-847.2328125
-869.5359375,-1714.1953125,-844.659375
-870.6796875,-1712.4796875,-841.8
-871.5375,-1710.478125,-838.940625
-872.3953125,-1708.4765625,-836.08125
-872.9671875,-1706.475,-833.5078125
-873.253125,-1705.0453125,-831.7921875
-873.253125,-1704.1875,-830.934375
-873.5390625,-1703.9015625,-830.3625
-874.1109375,-1704.4734375,-830.3625
-874.96875,-1706.1890625,-831.2203125
-876.1125,-1708.190625,-832.078125
-877.828125,-1710.478125,-832.65
-879.8296875,-1713.0515625,-833.221875
-882.1171875,-1715.053125,-832.9359375
-884.11875,-1716.76875,-832.65
-885.834375,-1717.6265625,-831.7921875
-887.2640625,-1717.6265625,-830.3625
-888.121875,-1717.340625,-829.21875
-888.69375,-1716.4828125,-827.7890625
-888.69375,-1715.9109375,-827.2171875
-888.121875,-1715.053125,-826.93125
-887.55,-1715.053125,-827.503125
-886.978125,-1715.053125,-828.075
-886.40625,-1715.9109375,-829.5046875
-885.834375,-1717.0546875,-831.2203125
-885.5484375,-1718.1984375,-832.65
-885.2625,-1719.3421875,-834.0796875
-884.9765625,-1720.2,-835.2234375
-884.690625,-1720.4859375,-835.7953125
-883.8328125,-1720.2,-836.3671875
-882.975,-1719.3421875,-836.3671875
-881.83125,-1717.6265625,-835.7953125
-880.4015625,-1715.625,-835.2234375
-878.6859375,-1713.6234375,-834.9375
-877.25625,-1711.621875,-834.365625
-875.540625,-1710.1921875,-834.6515625
-874.1109375,-1709.334375,-835.2234375
-873.253125,-1709.0484375,-835.7953125
-872.3953125,-1709.334375,-836.9390625
-872.109375,-1710.7640625,-838.6546875
-872.3953125,-1712.4796875,-840.084375
-873.253125,-1715.053125,-841.8
-874.396875,-1717.9125,-843.515625
-876.1125,-1721.0578125,-844.9453125
-878.4,-1724.4890625,-846.0890625
-881.5453125,-1728.20625,-846.6609375
-884.9765625,-1731.9234375,-846.946875
-888.69375,-1735.3546875,-846.6609375
-892.9828125,-1738.7859375,-845.803125
-896.9859375,-1741.359375,-844.3734375
-900.9890625,-1743.3609375,-842.371875
-904.70625,-1744.21875,-839.5125
