LEFT,RIGHT,DIFF
-824.071875,-1739.3578125,-915.2859375
-824.071875,-1739.071875,-915.0
-824.3578125,-1739.3578125,-915.0
-824.9296875,-1740.5015625,-915.571875
-825.5015625,-1742.2171875,-916.715625
-826.0734375,-1744.21875,-918.1453125
-826.359375,-1745.6484375,-919.2890625
-826.0734375,-1746.7921875,-920.71875
-825.215625,-1747.3640625,-922.1484375
-823.5,-1746.7921875,-923.2921875
-821.4984375,-1745.3625,-923.8640625
-818.925,-1743.075,-924.15
-816.065625,-1740.5015625,-924.4359375
-813.20625,-1737.928125,-924.721875
-810.6328125,-1735.3546875,-924.721875
-808.3453125,-1733.353125,-925.0078125
-806.6296875,-1731.9234375,-925.29375
-805.4859375,-1731.3515625,-925.865625
-804.9140625,-1731.3515625,-926.4375
-804.628125,-1731.6375,-927.009375
-804.628125,-1732.4953125,-927.8671875
-804.9140625,-1733.6390625,-928.725
-804.9140625,-1734.496875,-929.5828125
-804.9140625,-1735.06875,-930.1546875
-804.628125,-1735.3546875,-930.7265625
-804.05625,-1735.3546875,-931.2984375
-803.484375,-1735.06875,-931.584375
-802.6265625,-1734.7828125,-932.15625
-801.4828125,-1734.496875,-933.0140625
-800.625,-1733.925,-933.3
-799.48125,-1733.925,-934.44375
-798.6234375,-1733.925,-935.3015625
-797.765625,-1733.925,-936.159375
-797.4796875,-1734.2109375,-936.73125
-797.19375,-1734.7828125,-937.5890625
-797.4796875,-1735.3546875,-937.875
-798.3375,-1736.2125,-937.875
-799.48125,-1736.784375,-937.303125
-800.9109375,-1737.6421875,-936.73125
-802.6265625,-1738.2140625,-935.5875
-804.3421875,-1738.7859375,-934.44375
-806.0578125,-1738.7859375,-932.728125
-807.2015625,-1738.5,-931.2984375
-807.4875,-1737.35625,-929.86875
-806.6296875,-1735.3546875,-928.725
-804.628125,-1732.4953125,-927.8671875
-801.4828125,-1728.778125,-927.2953125
-797.19375,-1724.203125,-927.009375
-792.61875,-1719.3421875,-926.7234375
-787.7578125,-1714.48125,-926.7234375
-783.7546875,-1710.478125,-926.7234375
-781.18125,-1707.9046875,-926.7234375
-780.609375,-1707.046875,-926.4375
-782.6109375,-1708.4765625,-925.865625
-787.1859375,-1712.4796875,-925.29375
-794.334375,-1718.7703125,-924.4359375
-803.7703125,-1727.0625,-923.2921875
-814.6359375,-1736.784375,-922.1484375
-826.0734375,-1746.7921875,-920.71875
-836.9390625,-1756.5140625,-919.575
-846.6609375,-1764.80625,-918.1453125
-853.809375,-1771.096875,-917.2875
-858.384375,-1775.1,-916.715625
-859.8140625,-1776.24375,-916.4296875
-858.6703125,-1775.3859375,-916.715625
