LEFT,RIGHT,DIFF
-382.584375,-799.48125,-416.896875
-372.5765625,-788.3296875,-415.753125
-361.1390625,-776.3203125,-415.18125
-349.1296875,-763.7390625,-414.609375
-337.40625,-751.7296875,-414.3234375
-326.540625,-741.15,-414.609375
-316.81875,-732.2859375,-415.4671875
-308.8125,-725.1375,-416.325
-302.521875,-720.2765625,-417.7546875
-298.2328125,-717.13125,-418.8984375
-295.659375,-715.7015625,-420.0421875
-294.8015625,-715.415625,-420.6140625
-295.0875,-715.9875,-420.9
-296.803125,-717.13125,-420.328125
-299.090625,-718.275,-419.184375
-301.6640625,-719.1328125,-417.46875
-304.5234375,-719.7046875,-415.18125
-307.096875,-719.7046875,-412.6078125
-309.0984375,-719.41875,-410.3203125
-310.528125,-718.846875,-408.31875
-311.3859375,-717.9890625,-406.603125
-311.3859375,-717.4171875,-406.03125
-311.1,-717.13125,-406.03125
-310.528125,-717.4171875,-406.8890625
-309.6703125,-717.9890625,-408.31875
-309.0984375,-719.1328125,-410.034375
-309.0984375,-721.134375,-412.0359375
-309.6703125,-723.421875,-413.7515625
-310.528125,-725.9953125,-415.4671875
-312.5296875,-728.8546875,-416.325
-314.8171875,-731.7140625,-416.896875
-317.390625,-734.5734375,-417.1828125
-320.5359375,-737.4328125,-416.896875
-323.3953125,-739.7203125,-416.325
-326.2546875,-741.4359375,-415.18125
-328.5421875,-742.865625,-414.3234375
-330.2578125,-743.4375,-413.1796875
-331.115625,-743.7234375,-412.6078125
-331.4015625,-743.1515625,-411.75
-331.115625,-741.721875,-410.60625
-329.971875,-740.00625,-410.034375
-328.5421875,-737.71875,-409.1765625
-326.540625,-734.859375,-408.31875
-324.5390625,-732.0,-407.4609375
-322.5375,-728.8546875,-406.3171875
-320.821875,-726.28125,-405.459375
-319.3921875,-723.99375,-404.6015625
-318.8203125,-722.5640625,-403.74375
-318.534375,-721.9921875,-403.4578125
-319.3921875,-722.85,-403.4578125
-320.821875,-724.565625,-403.74375
-323.3953125,-727.425,-404.0296875
-326.8265625,-731.428125,-404.6015625
-330.8296875,-736.2890625,-405.459375
-335.4046875,-741.4359375,-406.03125
-340.265625,-746.5828125,-406.3171875
-345.1265625,-751.44375,-406.3171875
-349.9875,-755.7328125,-405.7453125
-353.990625,-759.1640625,-405.1734375
-357.421875,-761.4515625,-404.0296875
-360.28125,-762.88125,-402.6
-361.996875,-763.453125,-401.45625
-362.8546875,-762.88125,-400.0265625
-362.8546875,-762.0234375,-399.16875
-362.2828125,-760.8796875,-398.596875
-360.853125,-759.1640625,-398.3109375
-359.1375,-757.734375,-398.596875
-357.1359375,-756.01875,-398.8828125
-354.5625,-754.303125,-399.740625
-351.703125,-752.5875,-400.884375
-348.5578125,-750.871875,-402.3140625
-345.4125,-749.15625,-403.74375
-341.6953125,-747.1546875,-405.459375
-338.2640625,-745.4390625,-407.175
-335.11875,-744.009375,-408.890625
-332.259375,-742.5796875,-410.3203125
-330.2578125,-742.0078125,-411.75
-329.1140625,-742.29375,-413.1796875
-328.828125,-743.4375,-414.609375
-329.6859375,-745.153125,-415.4671875
-331.4015625,-747.7265625,-416.325
-333.6890625,-750.871875,-417.1828125
-336.5484375,-753.73125,-417.1828125
-339.121875,-756.590625,-417.46875
-341.1234375,-758.5921875,-417.46875
-341.98125,-759.7359375,-417.7546875
-341.98125,-759.7359375,-417.7546875
-340.5515625,-758.5921875,-418.040625
-337.6921875,-756.3046875,-418.6125
-334.2609375,-753.159375,-418.8984375
-329.971875,-750.0140625,-420.0421875
-325.96875,-746.5828125,-420.6140625
-322.2515625,-743.7234375,-421.471875
-319.3921875,-741.4359375,-422.04375
-317.6765625,-740.2921875,-422.615625
-317.390625,-740.00625,-422.615625
-318.534375,-740.8640625,-422.3296875
-320.821875,-742.29375,-421.471875
-323.9671875,-744.2953125,-420.328125
-327.684375,-746.5828125,-418.8984375
-331.4015625,-748.584375,-417.1828125
-335.11875,-750.3,-415.18125
-337.978125,-751.1578125,-413.1796875
-340.5515625,-751.44375,-410.8921875
-341.98125,-751.1578125,-409.1765625
-342.553125,-750.0140625,-407.4609375
-342.553125,-748.0125,-405.459375
-341.6953125,-745.4390625,-403.74375
-340.265625,-742.5796875,-402.3140625
-338.55,-739.1484375,-400.5984375
-336.2625,-735.7171875,-399.4546875
-333.6890625,-732.0,-398.3109375
-331.4015625,-728.56875,-397.1671875
-329.4,-725.4234375,-396.0234375
-327.684375,-723.421875,-395.7375
-326.8265625,-722.278125,-395.4515625
-327.1125,-722.5640625,-395.4515625
-328.25625,-724.565625,-396.309375
-331.115625,-728.2828125,-397.1671875
-334.8328125,-733.4296875,-398.596875
-339.9796875,-740.00625,-400.0265625
-345.6984375,-747.1546875,-401.45625
-351.4171875,-754.5890625,-403.171875
-357.1359375,-761.4515625,-404.315625
-361.7109375,-767.1703125,-405.459375
-365.428125,-771.459375,-406.03125
-367.14375,-773.746875,-406.603125
-367.4296875,-774.0328125,-406.603125
-366.0,-772.603125,-406.603125
-363.4265625,-769.74375,-406.3171875
-360.28125,-766.3125,-406.03125
-356.85,-762.309375,-405.459375
-353.990625,-758.878125,-404.8875
-351.9890625,-756.3046875,-404.315625
-350.8453125,-755.1609375,-404.315625
-351.13125,-754.875,-403.74375
-352.5609375,-756.01875,-403.4578125
-354.2765625,-757.734375,-403.4578125
-356.5640625,-759.45,-402.8859375
-358.2796875,-761.165625,-402.8859375
-359.4234375,-762.0234375,-402.6
-359.709375,-762.309375,-402.6
-359.1375,-761.4515625,-402.3140625
-357.421875,-760.021875,-402.6
-355.70625,-758.0203125,-402.3140625
-353.7046875,-756.01875,-402.3140625
-352.275,-754.875,-402.6
-351.703125,-754.303125,-402.6
-352.5609375,-754.5890625,-402.028125
-354.5625,-756.3046875,-401.7421875
-357.421875,-758.5921875,-401.1703125
-361.1390625,-761.4515625,-400.3125
-365.1421875,-764.025,-398.8828125
-368.859375,-766.3125,-397.453125
-371.71875,-767.45625,-395.7375
-373.434375,-767.45625,-394.021875
-373.7203125,-766.0265625,-392.30625
-372.5765625,-763.453125,-390.8765625
-370.575,-760.021875,-389.446875
-367.715625,-756.3046875,-388.5890625
-364.5703125,-752.5875,-388.0171875
-361.425,-749.728125,-388.303125
-358.565625,-747.440625,-388.875
-356.5640625,-746.0109375,-389.446875
-354.8484375,-745.4390625,-390.590625
-353.41875,-745.4390625,-392.0203125
-352.5609375,-745.725,-393.1640625
-351.4171875,-746.0109375,-394.59375
-349.9875,-745.725,-395.7375
-348.271875,-744.8671875,-396.5953125
-346.2703125,-743.4375,-397.1671875
-344.26875,-741.721875,-397.453125
-342.8390625,-740.2921875,-397.453125
-341.6953125,-739.1484375,-397.453125
-341.98125,-738.8625,-396.88125
-343.125,-739.7203125,-396.5953125
-345.6984375,-741.721875,-396.0234375
-348.84375,-744.58125,-395.7375
-352.846875,-748.2984375,-395.4515625
-356.5640625,-752.015625,-395.4515625
-359.709375,-755.1609375,-395.4515625
-361.425,-756.8765625,-395.4515625
-361.1390625,-756.8765625,-395.7375
-359.1375,-754.5890625,-395.4515625
-355.134375,-750.5859375,-395.4515625
-349.9875,-744.8671875,-394.8796875
-343.9828125,-738.5765625,-394.59375
-338.55,-732.0,-393.45
-334.546875,-726.5671875,-392.0203125
-332.5453125,-723.1359375,-390.590625
-333.1171875,-721.9921875,-388.875
-336.5484375,-723.99375,-387.4453125
-342.553125,-728.2828125,-385.7296875
-350.8453125,-735.1453125,-384.3
-360.28125,-743.4375,-383.15625
-370.003125,-752.3015625,-382.2984375
-378.58125,-760.59375,-382.0125
-385.7296875,-767.7421875,-382.0125
-390.3046875,-772.603125,-382.2984375
-392.0203125,-774.890625,-382.8703125
-391.1625,-774.890625,-383.728125
-388.0171875,-772.8890625,-384.871875
-383.15625,-769.4578125,-386.3015625
-377.7234375,-765.16875,-387.4453125
-372.5765625,-761.165625,-388.5890625
-368.0015625,-758.0203125,-390.01875
-364.5703125,-756.01875,-391.4484375
-362.8546875,-755.446875,-392.5921875
-362.56875,-756.3046875,-393.7359375
-363.7125,-758.30625,-394.59375
-365.428125,-760.8796875,-395.4515625
-367.4296875,-763.7390625,-396.309375
-369.43125,-766.0265625,-396.5953125
-370.575,-767.7421875,-397.1671875
-371.146875,-768.3140625,-397.1671875
-370.8609375,-768.028125,-397.1671875
-370.003125,-766.5984375,-396.5953125
-368.859375,-764.596875,-395.7375
-367.4296875,-762.309375,-394.8796875
-366.0,-760.021875,-394.021875
-365.1421875,-758.0203125,-392.878125
-364.85625,-756.590625,-391.734375
-364.5703125,-755.7328125,-391.1625
-364.85625,-755.446875,-390.590625
-365.1421875,-755.446875,-390.3046875
-365.428125,-755.7328125,-390.3046875
-365.428125,-756.01875,-390.590625
-364.85625,-756.3046875,-391.4484375
-363.9984375,-756.590625,-392.5921875
-362.8546875,-756.590625,-393.7359375
-361.425,-756.590625,-395.165625
-359.9953125,-756.8765625,-396.88125
-359.1375,-757.4484375,-398.3109375
-358.565625,-758.30625,-399.740625
-358.565625,-759.45,-400.884375
-359.1375,-761.4515625,-402.3140625
-360.28125,-763.453125,-403.171875
-361.7109375,-765.740625,-404.0296875
-363.7125,-768.028125,-404.315625
-365.428125,-770.6015625,-405.1734375
-367.4296875,-772.603125,-405.1734375
-368.859375,-774.0328125,-405.1734375
-369.7171875,-775.1765625,-405.459375
-370.2890625,-775.7484375,-405.459375
-370.2890625,-775.7484375,-405.459375
-369.43125,-775.1765625,-405.7453125
-368.2875,-774.0328125,-405.7453125
-366.571875,-772.3171875,-405.7453125
-364.284375,-770.315625,-406.03125
-361.996875,-768.028125,-406.03125
-359.709375,-765.4546875,-405.7453125
-357.421875,-762.88125,-405.459375
-355.4203125,-760.021875,-404.6015625
-353.990625,-757.734375,-403.74375
-352.846875,-755.7328125,-402.8859375
-352.846875,-754.0171875,-401.1703125
-353.1328125,-753.159375,-400.0265625
-354.5625,-753.159375,-398.596875
-356.278125,-753.73125,-397.453125
-358.2796875,-754.875,-396.5953125
-360.28125,-756.590625,-396.309375
-362.2828125,-758.5921875,-396.309375
-363.9984375,-760.59375,-396.5953125
-364.85625,-762.5953125,-397.7390625
-365.1421875,-764.3109375,-399.16875
-364.85625,-765.740625,-400.884375
-363.7125,-766.5984375,-402.8859375
-362.56875,-767.1703125,-404.6015625
-361.1390625,-767.45625,-406.3171875
-359.709375,-767.7421875,-408.0328125
-358.565625,-767.7421875,-409.1765625
-357.99375,-768.028125,-410.034375
-357.7078125,-768.3140625,-410.60625
-357.7078125,-768.6,-410.8921875
-357.7078125,-768.6,-410.8921875
-357.7078125,-768.6,-410.8921875
-357.421875,-768.028125,-410.60625
-356.5640625,-766.884375,-410.3203125
-354.8484375,-765.16875,-410.3203125
-352.5609375,-762.88125,-410.3203125
-349.9875,-760.59375,-410.60625
-347.128125,-758.30625,-411.178125
-344.5546875,-756.590625,-412.0359375
-342.553125,-755.7328125,-413.1796875
-341.409375,-756.01875,-414.609375
-341.1234375,-757.4484375,-416.325
-342.2671875,-760.021875,-417.7546875
-344.26875,-763.453125,-419.184375
-347.128125,-767.45625,-420.328125
-349.7015625,-771.459375,-421.7578125
-352.275,-774.890625,-422.615625
-353.990625,-777.4640625,-423.4734375
-354.5625,-778.6078125,-424.0453125
-353.7046875,-778.0359375,-424.33125
-351.703125,-775.7484375,-424.0453125
-348.5578125,-772.03125,-423.4734375
-344.5546875,-767.45625,-422.9015625
-340.265625,-762.5953125,-422.3296875
-336.2625,-758.0203125,-421.7578125
-332.83125,-754.0171875,-421.1859375
-330.54375,-751.1578125,-420.6140625
-329.6859375,-749.4421875,-419.75625
-329.6859375,-749.4421875,-419.75625
-330.8296875,-750.3,-419.4703125
-332.259375,-751.7296875,-419.4703125
-333.975,-753.73125,-419.75625
-335.4046875,-754.875,-419.4703125
-335.9765625,-755.446875,-419.4703125
-335.690625,-754.875,-419.184375
-334.546875,-753.159375,-418.6125
-332.259375,-750.3,-418.040625
-329.6859375,-746.5828125,-416.896875
-326.8265625,-742.865625,-416.0390625
-324.253125,-739.1484375,-414.8953125
-322.5375,-736.003125,-413.465625
-321.39375,-734.0015625,-412.6078125
-321.39375,-733.14375,-411.75
-322.2515625,-733.715625,-411.4640625
-323.9671875,-735.1453125,-411.178125
-325.96875,-737.71875,-411.75
-328.25625,-740.578125,-412.321875
-330.2578125,-743.4375,-413.1796875
-331.9734375,-745.725,-413.7515625
-332.5453125,-747.1546875,-414.609375
-332.5453125,-748.0125,-415.4671875
-331.9734375,-748.0125,-416.0390625
-330.8296875,-747.1546875,-416.325
-329.6859375,-746.0109375,-416.325
-328.828125,-744.8671875,-416.0390625
-328.25625,-744.2953125,-416.0390625
-328.25625,-744.2953125,-416.0390625
-329.1140625,-745.153125,-416.0390625
-330.8296875,-746.86875,-416.0390625
-333.1171875,-749.15625,-416.0390625
-335.690625,-751.7296875,-416.0390625
-338.2640625,-754.5890625,-416.325
-340.265625,-756.8765625,-416.6109375
-341.98125,-758.5921875,-416.6109375
-342.553125,-758.878125,-416.325
-342.2671875,-758.30625,-416.0390625
-367.14375,-800.625,-433.48125
-363.7125,-797.19375,-433.48125
-360.28125,-794.334375,-434.053125
-356.5640625,-792.046875,-435.4828125
-353.1328125,-790.0453125,-436.9125
-349.415625,-788.3296875,-438.9140625
-345.1265625,-786.6140625,-441.4875
-340.5515625,-784.3265625,-443.775
-335.9765625,-782.0390625,-446.0625
-331.115625,-779.1796875,-448.0640625
-326.540625,-776.3203125,-449.7796875
-322.8234375,-773.4609375,-450.6375
-319.678125,-770.8875,-451.209375
-317.9625,-768.8859375,-450.9234375
-317.390625,-767.7421875,-450.3515625
-317.9625,-767.45625,-449.49375
-319.9640625,-768.028125,-448.0640625
-322.5375,-769.171875,-446.634375
-325.6828125,-770.6015625,-444.91875
-328.828125,-772.3171875,-443.4890625
-331.4015625,-773.4609375,-442.059375
-333.6890625,-774.31875,-440.6296875
-334.8328125,-774.6046875,-439.771875
-335.4046875,-774.6046875,-439.2
-335.11875,-774.31875,-439.2
-334.546875,-773.746875,-439.2
-333.6890625,-773.4609375,-439.771875
-333.403125,-773.746875,-440.34375
-333.1171875,-774.6046875,-441.4875
-333.6890625,-776.034375,-442.3453125
-334.546875,-778.0359375,-443.4890625
-335.9765625,-780.3234375,-444.346875
-337.40625,-782.6109375,-445.2046875
-338.8359375,-784.6125,-445.7765625
-339.9796875,-786.0421875,-446.0625
-340.265625,-786.328125,-446.0625
-340.265625,-786.0421875,-445.7765625
-339.4078125,-784.8984375,-445.490625
-338.2640625,-782.896875,-444.6328125
-336.834375,-780.8953125,-444.0609375
-335.9765625,-779.1796875,-443.203125
-335.4046875,-778.0359375,-442.63125
-335.9765625,-777.75,-441.7734375
-337.40625,-778.321875,-440.915625
-339.9796875,-780.3234375,-440.34375
-343.4109375,-782.896875,-439.4859375
-347.4140625,-786.328125,-438.9140625
-351.4171875,-789.759375,-438.3421875
-355.4203125,-792.9046875,-437.484375
-358.565625,-795.1921875,-436.6265625
-360.5671875,-796.3359375,-435.76875
-361.1390625,-796.05,-434.9109375
-360.28125,-794.334375,-434.053125
-358.2796875,-791.475,-433.1953125
-355.134375,-787.471875,-432.3375
-351.4171875,-782.6109375,-431.19375
-347.7,-777.75,-430.05
-343.9828125,-773.4609375,-429.478125
