LEFT,RIGHT,DIFF
-269.925,-586.171875,-316.246875
-268.209375,-584.7421875,-316.5328125
-267.065625,-583.0265625,-315.9609375
-265.921875,-581.596875,-315.675
-265.0640625,-579.88125,-314.8171875
-265.0640625,-578.4515625,-313.3875
-265.0640625,-577.59375,-312.5296875
-265.35,-576.45,-311.1
-265.35,-575.5921875,-310.2421875
-264.778125,-574.1625,-309.384375
-263.9203125,-572.7328125,-308.8125
-261.91875,-570.73125,-308.8125
-259.63125,-568.1578125,-308.5265625
-256.771875,-565.0125,-308.240625
-253.9125,-561.58125,-307.66875
-250.7671875,-558.4359375,-307.66875
-248.4796875,-555.290625,-306.8109375
-247.05,-553.003125,-305.953125
-246.478125,-551.5734375,-305.0953125
-247.05,-551.2875,-304.2375
-249.0515625,-552.1453125,-303.09375
-251.625,-553.8609375,-302.2359375
-255.05625,-556.7203125,-301.6640625
-259.059375,-560.4375,-301.378125
-262.7765625,-564.1546875,-301.378125
-266.49375,-567.871875,-301.378125
-269.6390625,-571.0171875,-301.378125
-271.9265625,-573.590625,-301.6640625
-273.35625,-575.30625,-301.95
-274.2140625,-575.5921875,-301.378125
-273.928125,-575.30625,-301.378125
-273.0703125,-573.590625,-300.5203125
-271.640625,-571.303125,-299.6625
-269.6390625,-568.44375,-298.8046875
-267.3515625,-565.2984375,-297.946875
-265.0640625,-561.58125,-296.5171875
-262.7765625,-558.15,-295.3734375
-260.4890625,-554.71875,-294.2296875
-258.7734375,-551.859375,-293.0859375
-257.34375,-549.2859375,-291.9421875
-256.4859375,-547.284375,-290.7984375
-256.4859375,-545.8546875,-289.36875
-257.34375,-544.996875,-287.653125
-258.4875,-545.2828125,-286.7953125
-260.775,-545.8546875,-285.0796875
-263.3484375,-547.5703125,-284.221875
-266.2078125,-549.8578125,-283.65
-269.0671875,-553.003125,-283.9359375
-272.2125,-556.7203125,-284.5078125
-274.7859375,-560.4375,-285.6515625
-277.359375,-564.440625,-287.08125
-279.075,-568.44375,-289.36875
-279.9328125,-571.5890625,-291.65625
-280.5046875,-574.1625,-293.6578125
-280.21875,-575.878125,-295.659375
-279.075,-576.45,-297.375
-277.359375,-575.878125,-298.51875
-275.3578125,-574.1625,-298.8046875
-273.0703125,-571.5890625,-298.51875
-270.496875,-568.7296875,-298.2328125
-267.9234375,-565.584375,-297.6609375
-265.6359375,-562.4390625,-296.803125
-263.634375,-560.1515625,-296.5171875
-262.2046875,-558.4359375,-296.23125
-261.6328125,-557.578125,-295.9453125
-261.6328125,-558.15,-296.5171875
-262.490625,-559.29375,-296.803125
-263.9203125,-561.2953125,-297.375
-265.921875,-563.296875,-297.375
-268.209375,-565.584375,-297.375
-270.496875,-567.5859375,-297.0890625
-272.784375,-568.44375,-295.659375
-274.7859375,-568.7296875,-293.94375
-276.215625,-567.871875,-291.65625
-276.7875,-565.8703125,-289.0828125
-277.0734375,-563.5828125,-286.509375
-277.0734375,-560.7234375,-283.65
-277.0734375,-558.15,-281.0765625
-277.0734375,-555.8625,-278.7890625
-277.359375,-554.71875,-277.359375
-278.503125,-554.4328125,-275.9296875
-280.21875,-555.5765625,-275.3578125
-282.2203125,-557.8640625,-275.64375
-284.79375,-560.7234375,-275.9296875
-287.653125,-563.86875,-276.215625
-289.940625,-566.728125,-276.7875
-291.3703125,-569.015625,-277.6453125
-291.65625,-570.159375,-278.503125
-290.5125,-569.8734375,-279.3609375
-287.653125,-567.5859375,-279.9328125
-283.65,-563.86875,-280.21875
-278.2171875,-558.721875,-280.5046875
-272.2125,-552.7171875,-280.5046875
-265.6359375,-546.4265625,-280.790625
-259.9171875,-540.421875,-280.5046875
-254.7703125,-535.275,-280.5046875
-251.053125,-531.84375,-280.790625
-249.0515625,-529.8421875,-280.790625
-248.4796875,-529.55625,-281.0765625
-249.3375,-531.271875,-281.934375
-251.625,-534.13125,-282.50625
-254.7703125,-537.8484375,-283.078125
-257.915625,-542.1375,-284.221875
-261.0609375,-546.140625,-285.0796875
-263.9203125,-549.571875,-285.6515625
-265.921875,-552.1453125,-286.2234375
-267.065625,-553.8609375,-286.7953125
-267.6375,-554.4328125,-286.7953125
-267.6375,-554.4328125,-286.7953125
-267.3515625,-553.8609375,-286.509375
-267.065625,-553.2890625,-286.2234375
-267.065625,-552.7171875,-285.6515625
-267.065625,-552.43125,-285.365625
-267.065625,-552.43125,-285.365625
-267.3515625,-552.7171875,-285.365625
-267.065625,-553.003125,-285.9375
-266.2078125,-553.003125,-286.7953125
-264.20625,-552.43125,-288.225
-261.6328125,-551.0015625,-289.36875
-257.6296875,-548.7140625,-291.084375
-252.76875,-545.2828125,-292.5140625
-247.621875,-540.99375,-293.371875
-242.1890625,-536.41875,-294.2296875
-237.0421875,-532.1296875,-295.0875
-232.753125,-528.4125,-295.659375
-229.6078125,-525.8390625,-296.23125
-228.178125,-524.98125,-296.803125
-228.178125,-525.553125,-297.375
-229.6078125,-527.840625,-298.2328125
-232.4671875,-531.271875,-298.8046875
-236.184375,-535.846875,-299.6625
-240.1875,-540.421875,-300.234375
-244.190625,-544.7109375,-300.5203125
-247.621875,-547.85625,-300.234375
-250.1953125,-549.8578125,-299.6625
