LEFT,RIGHT,DIFF
-248.19375,-474.3703125,-226.1765625
-248.765625,-472.6546875,-223.8890625
-247.9078125,-470.08125,-222.1734375
-246.1921875,-466.65,-220.4578125
-244.190625,-462.646875,-218.45625
-241.903125,-458.9296875,-217.0265625
-240.4734375,-455.4984375,-215.025
-239.615625,-453.2109375,-213.5953125
-239.9015625,-451.78125,-211.8796875
-241.0453125,-451.209375,-210.1640625
-243.3328125,-451.4953125,-208.1625
-245.6203125,-452.0671875,-206.446875
-247.9078125,-452.353125,-204.4453125
-249.6234375,-452.0671875,-202.44375
-249.909375,-450.6375,-200.728125
-249.0515625,-448.35,-199.2984375
-246.478125,-444.91875,-198.440625
-242.475,-440.34375,-197.86875
-237.9,-435.76875,-197.86875
-233.0390625,-430.9078125,-197.86875
-238.471875,-452.0671875,-213.5953125
-238.7578125,-454.06875,-215.3109375
-240.1875,-457.2140625,-217.0265625
-242.1890625,-460.93125,-218.7421875
-244.190625,-464.0765625,-219.8859375
-244.7625,-466.3640625,-221.6015625
-244.190625,-466.9359375,-222.7453125
-241.6171875,-465.50625,-223.8890625
-237.0421875,-462.3609375,-225.31875
-231.3234375,-457.5,-226.1765625
-224.746875,-452.0671875,-227.3203125
-218.1703125,-446.0625,-227.8921875
-211.8796875,-440.6296875,-228.75
-207.3046875,-436.0546875,-228.75
-204.159375,-433.1953125,-229.0359375
-202.7296875,-431.765625,-229.0359375
-203.3015625,-431.4796875,-228.178125
-205.0171875,-432.6234375,-227.60625
-207.3046875,-434.053125,-226.7484375
-209.878125,-435.76875,-225.890625
-188.146875,-410.034375,-221.8875
-189.5765625,-412.321875,-222.7453125
-192.721875,-415.4671875,-222.7453125
-197.0109375,-419.184375,-222.1734375
-202.1578125,-422.9015625,-220.74375
-207.590625,-426.61875,-219.028125
-212.165625,-429.7640625,-217.5984375
-215.596875,-431.765625,-216.16875
-217.0265625,-432.6234375,-215.596875
-216.4546875,-431.765625,-215.3109375
-213.5953125,-429.478125,-215.8828125
-208.734375,-425.7609375,-217.0265625
-202.1578125,-420.9,-218.7421875
-195.009375,-415.18125,-220.171875
-187.8609375,-409.1765625,-221.315625
-181.5703125,-403.4578125,-221.8875
-176.709375,-398.596875,-221.8875
-173.85,-394.59375,-220.74375
-173.278125,-392.30625,-219.028125
-174.7078125,-391.4484375,-216.740625
-197.0109375,-409.4625,-212.4515625
-194.1515625,-406.3171875,-212.165625
-189.8625,-402.3140625,-212.4515625
-185.0015625,-397.7390625,-212.7375
-179.56875,-392.878125,-213.309375
-174.7078125,-387.73125,-213.0234375
-170.990625,-383.4421875,-212.4515625
-168.4171875,-379.4390625,-211.021875
-166.9875,-376.5796875,-209.5921875
-166.9875,-374.2921875,-207.3046875
-167.559375,-372.8625,-205.303125
-168.9890625,-372.0046875,-203.015625
-170.41875,-371.71875,-201.3
-171.2765625,-371.4328125,-200.15625
-171.8484375,-371.4328125,-199.584375
-171.8484375,-371.4328125,-199.584375
-171.2765625,-371.146875,-199.8703125
-170.41875,-371.146875,-200.728125
-169.5609375,-371.4328125,-201.871875
-168.703125,-371.4328125,-202.7296875
-168.703125,-380.5828125,-211.8796875
-171.2765625,-383.728125,-212.4515625
-172.9921875,-386.3015625,-213.309375
-174.7078125,-388.5890625,-213.88125
-176.1375,-390.8765625,-214.7390625
-177.28125,-392.878125,-215.596875
-178.996875,-394.59375,-215.596875
-180.4265625,-395.7375,-215.3109375
-182.1421875,-396.309375,-214.1671875
-183.2859375,-395.4515625,-212.165625
-184.14375,-393.7359375,-209.5921875
-183.8578125,-390.3046875,-206.446875
-182.7140625,-385.7296875,-203.015625
-180.140625,-380.0109375,-199.8703125
-176.4234375,-373.7203125,-197.296875
-171.8484375,-367.4296875,-195.58125
-167.2734375,-361.425,-194.1515625
-162.6984375,-357.1359375,-194.4375
-159.2671875,-354.2765625,-195.009375
-157.265625,-353.41875,-196.153125
-152.690625,-345.4125,-192.721875
-156.121875,-347.7,-191.578125
-158.98125,-349.7015625,-190.7203125
-160.9828125,-351.13125,-190.1484375
-162.4125,-352.5609375,-190.1484375
-162.984375,-353.7046875,-190.7203125
-163.55625,-355.4203125,-191.8640625
-164.128125,-357.7078125,-193.5796875
-164.9859375,-361.1390625,-196.153125
-166.7015625,-365.1421875,-198.440625
-169.275,-370.003125,-200.728125
-172.70625,-375.4359375,-202.7296875
-176.4234375,-380.5828125,-204.159375
-180.4265625,-385.44375,-205.0171875
-184.14375,-389.446875,-205.303125
-187.003125,-392.5921875,-205.5890625
-189.0046875,-394.3078125,-205.303125
-189.8625,-394.8796875,-205.0171875
-189.5765625,-394.3078125,-204.73125
-187.8609375,-392.878125,-205.0171875
-185.2875,-390.590625,-205.303125
-182.1421875,-388.303125,-206.1609375
-178.1390625,-385.44375,-207.3046875
-173.85,-382.584375,-208.734375
-169.275,-379.153125,-209.878125
-164.4140625,-375.721875,-211.3078125
-159.2671875,-371.71875,-212.4515625
-153.834375,-367.14375,-213.309375
-148.115625,-362.2828125,-214.1671875
-142.396875,-357.1359375,-214.7390625
-136.9640625,-351.9890625,-215.025
-131.8171875,-347.7,-215.8828125
-127.528125,-344.5546875,-217.0265625
-124.9546875,-343.125,-218.1703125
-123.8109375,-343.696875,-219.8859375
-125.240625,-346.55625,-221.315625
