LEFT,RIGHT,DIFF
-257.6296875,-357.1359375,-99.50625
-259.059375,-356.278125,-97.21875
-259.3453125,-354.5625,-95.2171875
-258.4875,-351.9890625,-93.5015625
-256.771875,-348.84375,-92.071875
-254.484375,-345.984375,-91.5
-251.625,-343.4109375,-91.7859375
-249.0515625,-341.409375,-92.3578125
-246.478125,-340.5515625,-94.0734375
-244.4765625,-340.265625,-95.7890625
-243.3328125,-340.8375,-97.5046875
-242.475,-341.98125,-99.50625
-242.475,-343.125,-100.65
-243.046875,-344.26875,-101.221875
-243.9046875,-345.1265625,-101.221875
-244.7625,-345.4125,-100.65
-245.6203125,-344.840625,-99.2203125
-246.478125,-343.9828125,-97.5046875
-246.7640625,-342.8390625,-96.075
-247.05,-341.409375,-94.359375
-247.05,-340.5515625,-93.5015625
-246.7640625,-339.9796875,-93.215625
-246.7640625,-340.265625,-93.5015625
-247.05,-341.6953125,-94.6453125
-247.621875,-344.26875,-96.646875
-248.4796875,-347.7,-99.2203125
-250.48125,-351.9890625,-101.5078125
-252.76875,-356.85,-104.08125
-255.628125,-361.7109375,-106.0828125
-258.7734375,-366.571875,-107.7984375
-262.2046875,-370.8609375,-108.65625
-265.0640625,-374.00625,-108.9421875
-267.6375,-375.721875,-108.084375
-269.0671875,-376.0078125,-106.940625
-269.353125,-374.8640625,-105.5109375
-268.209375,-371.71875,-103.509375
-265.6359375,-367.14375,-101.5078125
-261.6328125,-361.425,-99.7921875
-256.4859375,-355.134375,-98.6484375
-250.48125,-347.9859375,-97.5046875
-243.9046875,-341.1234375,-97.21875
-237.6140625,-334.546875,-96.9328125
-231.3234375,-328.828125,-97.5046875
-226.1765625,-323.9671875,-97.790625
-221.6015625,-320.25,-98.6484375
-218.45625,-317.390625,-98.934375
-215.8828125,-315.3890625,-99.50625
-214.453125,-314.2453125,-99.7921875
-213.309375,-313.3875,-100.078125
-212.7375,-312.5296875,-99.7921875
-211.8796875,-312.24375,-100.3640625
-211.021875,-311.671875,-100.65
-210.1640625,-311.3859375,-101.221875
-209.0203125,-311.3859375,-102.365625
-208.1625,-311.9578125,-103.7953125
-207.8765625,-313.3875,-105.5109375
-208.734375,-316.246875,-107.5125
-211.021875,-320.25,-109.228125
-214.453125,-325.6828125,-111.2296875
-219.8859375,-332.5453125,-112.659375
-226.4625,-340.265625,-113.803125
-234.1828125,-348.5578125,-114.375
-242.7609375,-356.85,-114.0890625
-251.053125,-364.284375,-113.23125
-258.4875,-370.8609375,-112.3734375
-264.778125,-375.721875,-110.94375
-269.353125,-378.58125,-109.228125
-272.2125,-379.725,-107.5125
-272.4984375,-378.58125,-106.0828125
-271.3546875,-376.0078125,-104.653125
-268.4953125,-372.0046875,-103.509375
-264.778125,-367.14375,-102.365625
-260.4890625,-361.996875,-101.5078125
-256.2,-356.85,-100.65
-252.76875,-352.275,-99.50625
-249.909375,-348.5578125,-98.6484375
-247.9078125,-345.6984375,-97.790625
-247.05,-343.696875,-96.646875
-247.3359375,-342.8390625,-95.503125
-248.19375,-342.8390625,-94.6453125
-249.6234375,-343.9828125,-94.359375
-251.625,-345.4125,-93.7875
-253.9125,-347.7,-93.7875
-255.9140625,-350.2734375,-94.359375
-257.6296875,-352.846875,-95.2171875
-259.059375,-355.4203125,-96.3609375
-259.9171875,-357.7078125,-97.790625
-260.203125,-359.1375,-98.934375
-259.3453125,-359.709375,-100.3640625
-257.6296875,-359.1375,-101.5078125
-255.3421875,-357.421875,-102.0796875
-251.9109375,-354.8484375,-102.9375
-248.19375,-351.13125,-102.9375
-244.4765625,-347.128125,-102.6515625
-240.759375,-343.4109375,-102.6515625
-237.9,-340.265625,-102.365625
-236.184375,-337.978125,-101.79375
-235.8984375,-337.40625,-101.5078125
-237.328125,-338.55,-101.221875
-240.4734375,-341.409375,-100.9359375
-245.0484375,-345.6984375,-100.65
-250.7671875,-350.8453125,-100.078125
-257.0578125,-356.5640625,-99.50625
-263.3484375,-361.996875,-98.6484375
-268.4953125,-366.8578125,-98.3625
-272.784375,-370.575,-97.790625
-275.071875,-372.8625,-97.790625
-275.9296875,-373.434375,-97.5046875
-274.7859375,-373.1484375,-98.3625
-272.4984375,-371.71875,-99.2203125
-269.0671875,-370.003125,-100.9359375
-265.6359375,-368.2875,-102.6515625
-262.2046875,-367.4296875,-105.225
-259.63125,-366.8578125,-107.2265625
-258.2015625,-367.4296875,-109.228125
-257.915625,-368.5734375,-110.6578125
-258.4875,-370.2890625,-111.8015625
-259.9171875,-371.71875,-111.8015625
-261.91875,-372.8625,-110.94375
-263.634375,-372.8625,-109.228125
-264.778125,-372.0046875,-107.2265625
-265.35,-369.7171875,-104.3671875
-265.0640625,-366.571875,-101.5078125
-263.634375,-362.56875,-98.934375
-261.91875,-358.2796875,-96.3609375
-259.63125,-354.2765625,-94.6453125
-257.6296875,-350.8453125,-93.215625
-255.9140625,-348.5578125,-92.64375
-255.05625,-347.7,-92.64375
-255.05625,-348.271875,-93.215625
-255.9140625,-349.7015625,-93.7875
-257.6296875,-352.275,-94.6453125
-259.9171875,-355.4203125,-95.503125
-262.490625,-358.565625,-96.075
-265.0640625,-361.1390625,-96.075
-267.3515625,-363.4265625,-96.075
-269.0671875,-364.5703125,-95.503125
-269.925,-365.1421875,-95.2171875
-270.2109375,-364.85625,-94.6453125
-269.6390625,-364.284375,-94.6453125
-269.0671875,-363.4265625,-94.359375
-267.9234375,-362.8546875,-94.93125
-266.7796875,-362.2828125,-95.503125
