LEFT,RIGHT,DIFF
-1106.00625,-983.3390625,122.6671875
-1105.7203125,-984.196875,121.5234375
-1106.8640625,-987.05625,119.8078125
-1109.7234375,-992.203125,117.5203125
-1113.7265625,-999.065625,114.6609375
-1118.8734375,-1006.7859375,112.0875
-1124.5921875,-1014.50625,110.0859375
-1130.025,-1021.36875,108.65625
-1134.6,-1026.8015625,107.7984375
-1137.7453125,-1029.375,108.3703125
-1139.175,-1029.6609375,109.5140625
-1138.603125,-1027.0875,111.515625
-1136.315625,-1022.5125,113.803125
-1132.5984375,-1016.221875,116.3765625
-1128.309375,-1009.6453125,118.6640625
-1123.734375,-1003.3546875,120.3796875
-1119.73125,-998.49375,121.2375
-1117.1578125,-995.634375,121.5234375
-1116.0140625,-995.0625,120.9515625
-1116.5859375,-996.4921875,120.09375
-1118.5875,-1000.209375,118.378125
-1121.446875,-1004.784375,116.6625
-1125.1640625,-1009.93125,115.2328125
-1128.5953125,-1014.7921875,113.803125
-1131.4546875,-1018.2234375,113.23125
-1133.45625,-1020.225,113.23125
-1134.028125,-1019.9390625,114.0890625
-1133.45625,-1018.2234375,115.2328125
-1131.740625,-1015.078125,116.6625
-1129.1671875,-1011.075,118.0921875
-1126.8796875,-1007.071875,119.8078125
-1124.5921875,-1003.9265625,120.665625
-1123.1625,-1001.925,121.2375
-1122.8765625,-1001.6390625,121.2375
-1123.734375,-1002.7828125,120.9515625
-1125.7359375,-1005.6421875,120.09375
-1128.5953125,-1009.6453125,118.95
-1132.0265625,-1013.934375,118.0921875
-1135.4578125,-1017.9375,117.5203125
-1138.8890625,-1021.36875,117.5203125
-1141.7484375,-1023.3703125,118.378125
-1143.75,-1023.9421875,119.8078125
-1144.89375,-1023.3703125,121.5234375
-1145.465625,-1021.36875,124.096875
-1144.89375,-1018.7953125,126.0984375
-1144.0359375,-1015.9359375,128.1
-1142.8921875,-1013.3625,129.5296875
-1141.4625,-1011.646875,129.815625
-1140.6046875,-1011.075,129.5296875
-1140.0328125,-1011.9328125,128.1
-1140.31875,-1013.934375,126.384375
-1141.1765625,-1017.365625,123.8109375
-1143.4640625,-1021.940625,121.5234375
-1146.609375,-1026.8015625,119.8078125
-1150.6125,-1031.6625,118.95
-1155.4734375,-1036.5234375,118.95
-1160.90625,-1040.5265625,120.3796875
-1166.053125,-1043.3859375,122.6671875
-1170.9140625,-1045.1015625,125.8125
-1174.63125,-1045.1015625,129.5296875
-1176.6328125,-1043.671875,132.9609375
-1176.91875,-1040.5265625,136.3921875
-1174.9171875,-1035.665625,139.2515625
-1170.9140625,-1029.946875,140.9671875
-1164.909375,-1023.084375,141.825
-1157.7609375,-1015.9359375,141.825
-1150.040625,-1008.7875,141.253125
-1142.60625,-1002.2109375,140.3953125
-1136.315625,-996.778125,139.5375
-1131.740625,-992.775,138.965625
-1129.453125,-990.7734375,138.6796875
-1129.453125,-990.7734375,138.6796875
-1131.4546875,-992.775,138.6796875
-1135.171875,-996.4921875,138.6796875
-1139.746875,-1001.353125,138.39375
-1144.321875,-1007.071875,137.25
-1148.0390625,-1013.0765625,134.9625
-1150.8984375,-1019.08125,131.8171875
-1152.0421875,-1023.9421875,128.1
-1151.4703125,-1028.23125,123.2390625
-1149.7546875,-1031.3765625,118.378125
-1147.4671875,-1033.378125,114.0890625
-1144.89375,-1034.521875,110.371875
-1142.8921875,-1035.3796875,107.5125
-1141.7484375,-1035.665625,106.0828125
-1142.034375,-1035.9515625,106.0828125
-1143.4640625,-1035.9515625,107.5125
-1145.7515625,-1035.9515625,109.8
-1148.6109375,-1035.3796875,113.23125
-1151.184375,-1034.521875,116.6625
-1153.1859375,-1032.5203125,120.665625
-1153.471875,-1029.946875,123.525
-1152.328125,-1026.515625,125.8125
-1149.7546875,-1022.5125,127.2421875
-1145.7515625,-1018.2234375,127.528125
-1141.4625,-1014.2203125,127.2421875
-1136.8875,-1011.075,125.8125
-1133.45625,-1008.7875,124.66875
-1130.8828125,-1007.9296875,122.953125
-1130.025,-1008.5015625,121.5234375
-1130.8828125,-1010.7890625,120.09375
-1133.1703125,-1013.934375,119.2359375
-1136.0296875,-1017.365625,118.6640625
-1139.175,-1020.796875,118.378125
-1142.034375,-1023.65625,118.378125
-1143.75,-1025.371875,118.378125
-1144.0359375,-1025.371875,118.6640625
-1142.8921875,-1023.9421875,118.95
-1140.31875,-1021.0828125,119.2359375
-1136.6015625,-1017.0796875,119.521875
-1132.5984375,-1012.790625,119.8078125
-1128.88125,-1008.215625,120.665625
-1125.45,-1004.4984375,120.9515625
-1122.8765625,-1001.6390625,121.2375
-1121.1609375,-999.6375,121.5234375
-1120.5890625,-998.7796875,121.809375
-1120.303125,-998.7796875,121.5234375
-1120.303125,-999.6375,120.665625
-1120.303125,-1000.78125,119.521875
-1120.303125,-1001.925,118.378125
-1120.0171875,-1003.06875,116.9484375
-1119.73125,-1004.4984375,115.2328125
-1119.73125,-1005.928125,113.803125
-1120.5890625,-1007.9296875,112.659375
-1122.590625,-1010.2171875,112.3734375
-1125.7359375,-1013.0765625,112.659375
-1129.7390625,-1015.9359375,113.803125
