LEFT,RIGHT,DIFF
-1035.665625,-1048.81875,-13.153125
-1042.8140625,-1051.10625,-8.29218749999995
-1049.390625,-1053.39375,-4.00312499999995
-1055.109375,-1055.68125,-0.571875000000091
-1059.684375,-1057.96875,1.71562500000005
-1062.8296875,-1059.3984375,3.43125000000009
-1064.259375,-1060.5421875,3.71718750000014
-1064.259375,-1060.25625,4.00312499999995
-1062.8296875,-1059.1125,3.71718750000014
-1059.9703125,-1057.1109375,2.859375
-1056.253125,-1054.2515625,2.00156249999986
-1051.9640625,-1050.8203125,1.14374999999995
-1047.9609375,-1047.675,0.285937500000045
-1044.815625,-1045.3875,-0.571875000000091
-1042.8140625,-1043.9578125,-1.14374999999995
-1042.2421875,-1044.24375,-2.00156250000009
-1043.671875,-1046.2453125,-2.57343749999995
-1046.8171875,-1049.6765625,-2.859375
-1051.10625,-1054.5375,-3.43125000000009
-1056.5390625,-1059.684375,-3.14531250000005
-1061.6859375,-1064.83125,-3.14531249999982
-1066.546875,-1069.1203125,-2.57343749999995
-1069.6921875,-1071.69375,-2.00156250000009
-1071.4078125,-1072.5515625,-1.14374999999995
-1071.121875,-1071.4078125,-0.285937500000045
-1068.834375,-1068.2625,0.571875000000091
-1064.83125,-1063.9734375,0.857812499999909
-1060.25625,-1059.1125,1.14375000000018
-1055.109375,-1054.2515625,0.857812499999909
-1050.534375,-1050.534375,0.0
-1047.3890625,-1048.246875,-0.857812499999909
-1045.6734375,-1047.9609375,-2.28749999999991
-1045.959375,-1049.1046875,-3.14531249999982
-1047.675,-1051.9640625,-4.2890625
-1050.534375,-1055.3953125,-4.86093750000009
-1053.965625,-1058.540625,-4.57500000000005
-1057.1109375,-1061.1140625,-4.00312499999995
-1059.684375,-1062.54375,-2.859375
-1060.5421875,-1061.971875,-1.4296875
-1059.9703125,-1059.684375,0.285937500000045
-1057.96875,-1056.253125,1.71562500000005
-1055.109375,-1051.9640625,3.14531250000005
-1051.678125,-1047.9609375,3.71718750000014
-1048.81875,-1045.1015625,3.71718750000014
-1047.103125,-1044.24375,2.859375
-1047.3890625,-1045.6734375,1.71562500000005
-1049.6765625,-1049.6765625,0.0
-1053.965625,-1055.9671875,-2.00156250000009
-1059.9703125,-1063.6875,-3.71718749999991
-1067.11875,-1072.265625,-5.14687499999991
-1073.98125,-1080.271875,-6.29062500000009
-1079.7,-1086.5625,-6.86249999999995
-1083.4171875,-1090.565625,-7.1484375
-1084.846875,-1091.4234375,-6.57656250000014
-1083.4171875,-1089.1359375,-5.71875
-1079.128125,-1084.275,-5.14687500000014
-1073.1234375,-1077.6984375,-4.57499999999982
-1065.6890625,-1069.978125,-4.2890625
-1058.540625,-1062.54375,-4.00312499999995
-1052.5359375,-1056.5390625,-4.00312499999995
-1048.246875,-1052.821875,-4.57500000000005
-1047.103125,-1051.678125,-4.57500000000005
-1048.5328125,-1053.1078125,-4.57500000000005
-1053.1078125,-1057.1109375,-4.00312499999995
-1059.684375,-1062.8296875,-3.14531250000005
-1067.11875,-1069.1203125,-2.00156249999986
-1075.125,-1075.4109375,-0.285937500000045
-1081.7015625,-1080.271875,1.4296875
-1086.5625,-1083.4171875,3.14531250000005
-1088.85,-1083.9890625,4.86093750000009
-1088.5640625,-1082.559375,6.00468750000005
-1085.1328125,-1078.8421875,6.29062499999986
-1079.7,-1073.6953125,6.00468750000005
-1072.8375,-1067.690625,5.14687500000014
-1065.403125,-1061.6859375,3.71718749999991
-1058.2546875,-1056.253125,2.00156250000009
-1052.25,-1052.25,0.0
-1047.9609375,-1049.390625,-1.4296875
-1045.3875,-1047.9609375,-2.57343749999995
-1044.5296875,-1047.675,-3.14531249999982
-1045.3875,-1048.5328125,-3.14531250000005
-1047.3890625,-1049.6765625,-2.28749999999991
-1049.9625,-1051.10625,-1.14374999999995
-1052.821875,-1052.5359375,0.285937500000045
-1055.68125,-1053.39375,2.28750000000014
-1057.96875,-1054.5375,3.43124999999986
-1060.25625,-1055.3953125,4.86093750000009
-1062.2578125,-1056.5390625,5.71875
-1064.259375,-1058.2546875,6.00468750000005
-1066.546875,-1060.5421875,6.00468750000005
-1069.1203125,-1063.4015625,5.71875
-1071.9796875,-1067.11875,4.86093749999986
-1075.125,-1070.8359375,4.2890625
-1078.55625,-1074.553125,4.00312499999995
