LEFT,RIGHT,DIFF
-260.775,-315.9609375,-55.1859375
-257.915625,-312.5296875,-54.6140625
-253.9125,-308.240625,-54.328125
-249.3375,-303.9515625,-54.6140625
-244.190625,-300.234375,-56.04375
-239.04375,-296.803125,-57.759375
-234.46875,-294.515625,-60.046875
-230.7515625,-293.371875,-62.6203125
-228.4640625,-293.6578125,-65.19375
-227.3203125,-295.0875,-67.7671875
-227.60625,-297.946875,-70.340625
-229.0359375,-301.6640625,-72.628125
-231.8953125,-305.6671875,-73.771875
-235.3265625,-309.95625,-74.6296875
-238.7578125,-313.959375,-75.2015625
-241.903125,-317.1046875,-75.2015625
-243.9046875,-318.8203125,-74.915625
-244.4765625,-319.3921875,-74.915625
-243.3328125,-318.2484375,-74.915625
-240.1875,-315.3890625,-75.2015625
-235.6125,-311.3859375,-75.7734375
-229.6078125,-306.525,-76.9171875
-222.7453125,-301.0921875,-78.346875
-215.8828125,-295.9453125,-80.0625
-209.878125,-291.65625,-81.778125
-205.0171875,-288.5109375,-83.49375
-201.871875,-286.7953125,-84.9234375
-200.728125,-287.08125,-86.353125
-202.1578125,-288.796875,-86.6390625
-205.0171875,-292.228125,-87.2109375
-209.878125,-296.5171875,-86.6390625
-215.3109375,-301.378125,-86.0671875
-221.0296875,-306.525,-85.4953125
-226.4625,-311.1,-84.6375
-231.3234375,-314.8171875,-83.49375
-234.7546875,-317.6765625,-82.921875
-237.0421875,-319.10625,-82.0640625
-238.471875,-319.9640625,-81.4921875
-239.04375,-319.9640625,-80.9203125
-239.04375,-319.678125,-80.634375
-239.3296875,-319.3921875,-80.0625
-239.9015625,-319.10625,-79.2046875
-240.759375,-318.8203125,-78.0609375
-241.903125,-319.10625,-77.203125
-243.046875,-319.10625,-76.059375
-244.190625,-318.534375,-74.34375
-244.4765625,-317.390625,-72.9140625
-243.3328125,-315.103125,-71.7703125
-241.0453125,-311.671875,-70.6265625
-237.0421875,-306.8109375,-69.76875
-231.609375,-301.0921875,-69.4828125
-225.31875,-294.8015625,-69.4828125
-218.7421875,-288.225,-69.4828125
-213.0234375,-282.7921875,-69.76875
-208.4484375,-278.503125,-70.0546875
-205.875,-276.5015625,-70.6265625
-205.5890625,-276.7875,-71.1984375
-208.1625,-279.646875,-71.484375
-212.7375,-284.79375,-72.05625
-219.028125,-291.3703125,-72.3421875
-225.890625,-298.51875,-72.628125
-232.4671875,-305.38125,-72.9140625
-237.6140625,-310.8140625,-73.2
-240.759375,-313.959375,-73.2
-240.759375,-314.53125,-73.771875
-238.1859375,-312.24375,-74.0578125
-232.753125,-307.096875,-74.34375
-225.6046875,-299.9484375,-74.34375
-217.3125,-291.65625,-74.34375
-209.5921875,-283.65,-74.0578125
-202.7296875,-276.5015625,-73.771875
-198.440625,-271.640625,-73.2
-196.725,-269.353125,-72.628125
-198.1546875,-270.2109375,-72.05625
-201.871875,-273.928125,-72.05625
-207.590625,-279.9328125,-72.3421875
-214.1671875,-287.3671875,-73.2
-220.4578125,-295.0875,-74.6296875
-225.6046875,-301.95,-76.3453125
-228.75,-307.096875,-78.346875
-229.321875,-310.2421875,-80.9203125
-227.60625,-310.8140625,-83.2078125
-223.8890625,-309.0984375,-85.209375
-219.028125,-305.953125,-86.925
-214.1671875,-301.95,-87.7828125
-210.1640625,-297.946875,-87.7828125
-208.1625,-295.3734375,-87.2109375
-208.4484375,-294.2296875,-85.78125
-211.59375,-295.3734375,-83.7796875
-216.740625,-298.8046875,-82.0640625
-223.8890625,-303.665625,-79.7765625
-231.3234375,-309.384375,-78.0609375
-238.1859375,-314.8171875,-76.63125
-243.3328125,-319.10625,-75.7734375
-245.6203125,-321.39375,-75.7734375
-244.4765625,-320.821875,-76.3453125
-240.1875,-317.390625,-77.203125
-233.0390625,-311.3859375,-78.346875
-223.8890625,-303.665625,-79.7765625
-213.88125,-295.0875,-81.20625
-231.8953125,-314.2453125,-82.35
-232.18125,-314.2453125,-82.0640625
-231.8953125,-313.959375,-82.0640625
-231.0375,-312.815625,-81.778125
-229.0359375,-310.8140625,-81.778125
-226.1765625,-307.9546875,-81.778125
-222.459375,-304.5234375,-82.0640625
-218.45625,-300.80625,-82.35
-214.7390625,-297.375,-82.6359375
-211.8796875,-295.0875,-83.2078125
-210.45,-293.94375,-83.49375
-210.45,-294.2296875,-83.7796875
-212.165625,-296.23125,-84.065625
-214.7390625,-299.090625,-84.3515625
-218.1703125,-302.2359375,-84.065625
-221.6015625,-305.38125,-83.7796875
-224.175,-307.66875,-83.49375
-225.6046875,-308.8125,-83.2078125
-225.31875,-307.9546875,-82.6359375
-223.8890625,-305.6671875,-81.778125
-221.315625,-302.2359375,-80.9203125
-217.884375,-297.946875,-80.0625
-214.7390625,-293.94375,-79.2046875
-212.165625,-290.7984375,-78.6328125
-211.3078125,-288.796875,-77.4890625
-211.59375,-288.796875,-77.203125
-213.5953125,-289.940625,-76.3453125
-216.740625,-292.8,-76.059375
-220.4578125,-295.9453125,-75.4875
-224.175,-299.3765625,-75.2015625
-227.034375,-301.6640625,-74.6296875
-228.4640625,-302.8078125,-74.34375
-227.8921875,-301.95,-74.0578125
-225.890625,-299.6625,-73.771875
-222.459375,-296.23125,-73.771875
-218.45625,-291.9421875,-73.4859375
-214.453125,-287.9390625,-73.4859375
-211.021875,-284.79375,-73.771875
-209.5921875,-283.65,-74.0578125
-210.1640625,-284.5078125,-74.34375
-212.7375,-287.3671875,-74.6296875
-217.0265625,-292.228125,-75.2015625
-222.7453125,-298.51875,-75.7734375
-229.0359375,-304.809375,-75.7734375
-234.7546875,-310.8140625,-76.059375
-239.3296875,-315.3890625,-76.059375
-242.1890625,-317.9625,-75.7734375
-242.7609375,-318.534375,-75.7734375
-241.0453125,-316.81875,-75.7734375
-237.6140625,-313.1015625,-75.4875
-232.753125,-308.5265625,-75.7734375
-227.3203125,-303.665625,-76.3453125
-221.6015625,-299.090625,-77.4890625
-217.0265625,-295.3734375,-78.346875
-213.0234375,-293.371875,-80.3484375
-210.7359375,-292.5140625,-81.778125
-209.30625,-292.8,-83.49375
-208.734375,-293.6578125,-84.9234375
-208.734375,-295.0875,-86.353125
-209.0203125,-295.9453125,-86.925
-209.0203125,-296.5171875,-87.496875
-209.0203125,-295.9453125,-86.925
-209.0203125,-295.0875,-86.0671875
-209.0203125,-293.6578125,-84.6375
-209.30625,-292.5140625,-83.2078125
-210.7359375,-292.228125,-81.4921875
-213.5953125,-293.371875,-79.7765625
-217.5984375,-296.23125,-78.6328125
-223.3171875,-301.0921875,-77.775
-229.89375,-307.9546875,-78.0609375
-237.6140625,-316.246875,-78.6328125
-245.334375,-325.396875,-80.0625
-252.76875,-334.546875,-81.778125
-259.059375,-342.8390625,-83.7796875
-263.3484375,-349.415625,-86.0671875
-265.6359375,-353.7046875,-88.06875
-265.921875,-355.4203125,-89.4984375
-264.20625,-354.5625,-90.35625
-260.775,-351.13125,-90.35625
-255.9140625,-345.984375,-90.0703125
-251.053125,-339.4078125,-88.3546875
-245.90625,-331.9734375,-86.0671875
-241.6171875,-324.825,-83.2078125
-238.1859375,-317.9625,-79.7765625
-235.8984375,-312.24375,-76.3453125
-234.7546875,-307.66875,-72.9140625
-234.46875,-304.5234375,-70.0546875
-235.040625,-302.2359375,-67.1953125
-235.8984375,-301.0921875,-65.19375
-236.75625,-300.5203125,-63.7640625
-237.328125,-300.234375,-62.90625
-237.328125,-300.5203125,-63.1921875
-236.75625,-301.0921875,-64.3359375
-235.6125,-301.6640625,-66.0515625
-234.1828125,-302.2359375,-68.053125
-232.4671875,-303.09375,-70.6265625
-230.7515625,-304.2375,-73.4859375
-228.75,-305.6671875,-76.9171875
-227.3203125,-307.096875,-79.7765625
-225.890625,-308.8125,-82.921875
-224.4609375,-310.528125,-86.0671875
-223.3171875,-311.9578125,-88.640625
-222.1734375,-312.815625,-90.6421875
-220.74375,-313.3875,-92.64375
-219.6,-313.1015625,-93.5015625
-217.884375,-312.24375,-94.359375
-216.16875,-310.8140625,-94.6453125
-214.453125,-308.8125,-94.359375
-212.7375,-306.525,-93.7875
-211.3078125,-303.9515625,-92.64375
-210.1640625,-301.378125,-91.2140625
-209.30625,-299.090625,-89.784375
-209.0203125,-297.0890625,-88.06875
-209.5921875,-295.9453125,-86.353125
-210.45,-295.0875,-84.6375
-211.8796875,-295.0875,-83.2078125
-213.88125,-295.3734375,-81.4921875
-216.16875,-296.23125,-80.0625
-218.7421875,-296.803125,-78.0609375
-221.0296875,-297.6609375,-76.63125
-223.03125,-297.946875,-74.915625
-224.4609375,-297.946875,-73.4859375
-225.6046875,-297.375,-71.7703125
-225.890625,-296.23125,-70.340625
-225.890625,-294.515625,-68.625
-225.31875,-292.228125,-66.909375
-224.175,-289.940625,-65.765625
-223.03125,-287.3671875,-64.3359375
-221.8875,-285.365625,-63.478125
-221.0296875,-283.65,-62.6203125
-220.4578125,-282.7921875,-62.334375
-220.74375,-283.078125,-62.334375
-221.6015625,-284.5078125,-62.90625
-223.3171875,-287.08125,-63.7640625
-225.890625,-290.7984375,-64.9078125
-229.321875,-295.3734375,-66.0515625
-233.0390625,-300.5203125,-67.48125
-237.328125,-306.2390625,-68.9109375
-241.33125,-311.9578125,-70.6265625
