LEFT,RIGHT,DIFF
-145.828125,-182.428125,-36.6
-148.4015625,-185.0015625,-36.6
-151.8328125,-187.8609375,-36.028125
-155.2640625,-191.2921875,-36.028125
-158.6953125,-194.4375,-35.7421875
-161.5546875,-197.5828125,-36.028125
-163.8421875,-199.8703125,-36.028125
-165.271875,-201.5859375,-36.3140625
-165.84375,-202.44375,-36.6
-165.5578125,-202.7296875,-37.171875
-164.4140625,-202.1578125,-37.74375
-162.6984375,-201.0140625,-38.315625
-160.4109375,-199.584375,-39.1734375
-157.8375,-197.5828125,-39.7453125
-155.2640625,-195.58125,-40.3171875
-152.690625,-193.29375,-40.603125
-150.403125,-191.2921875,-40.8890625
-148.4015625,-189.290625,-40.8890625
-146.971875,-187.8609375,-40.8890625
-146.4,-187.003125,-40.603125
-146.4,-186.7171875,-40.3171875
-147.2578125,-187.575,-40.3171875
-148.9734375,-189.290625,-40.3171875
-151.546875,-191.8640625,-40.3171875
-154.40625,-195.009375,-40.603125
-157.5515625,-198.7265625,-41.175
-160.125,-202.7296875,-42.6046875
-162.4125,-205.875,-43.4625
-163.8421875,-208.1625,-44.3203125
-163.8421875,-209.30625,-45.4640625
-162.4125,-209.0203125,-46.6078125
-159.8390625,-207.01875,-47.1796875
-156.121875,-203.3015625,-47.1796875
-151.8328125,-198.7265625,-46.89375
-146.971875,-193.29375,-46.321875
-142.1109375,-187.8609375,-45.75
-138.1078125,-183.0,-44.8921875
-135.2484375,-179.2828125,-44.034375
-133.5328125,-176.709375,-43.1765625
-133.246875,-175.565625,-42.31875
-134.390625,-175.8515625,-41.4609375
-136.10625,-177.28125,-41.175
-138.6796875,-179.56875,-40.8890625
-141.5390625,-182.428125,-40.8890625
-144.1125,-184.715625,-40.603125
-146.4,-187.003125,-40.603125
-148.115625,-188.4328125,-40.3171875
-149.259375,-189.290625,-40.03125
-150.1171875,-189.8625,-39.7453125
-150.6890625,-189.8625,-39.1734375
-151.546875,-189.8625,-38.315625
-152.4046875,-189.8625,-37.4578125
-153.5484375,-190.434375,-36.8859375
-154.978125,-191.2921875,-36.3140625
-156.4078125,-192.4359375,-36.028125
-157.5515625,-193.5796875,-36.028125
-158.409375,-194.4375,-36.028125
-158.409375,-194.7234375,-36.3140625
-156.9796875,-193.865625,-36.8859375
-154.6921875,-191.8640625,-37.171875
-151.2609375,-189.0046875,-37.74375
-146.971875,-184.715625,-37.74375
-142.396875,-180.140625,-37.74375
-137.5359375,-175.565625,-38.0296875
-133.5328125,-171.2765625,-37.74375
-130.3875,-167.8453125,-37.4578125
-128.671875,-165.84375,-37.171875
-128.671875,-165.5578125,-36.8859375
-129.815625,-166.7015625,-36.8859375
-132.3890625,-169.5609375,-37.171875
-135.534375,-173.5640625,-38.0296875
-138.965625,-177.853125,-38.8875
-141.825,-182.428125,-40.603125
-143.8265625,-186.43125,-42.6046875
-144.684375,-189.290625,-44.60625
-144.1125,-190.7203125,-46.6078125
-142.396875,-190.7203125,-48.3234375
-139.5375,-189.290625,-49.753125
-135.8203125,-186.7171875,-50.896875
-132.103125,-183.571875,-51.46875
-128.671875,-180.140625,-51.46875
-126.384375,-177.28125,-50.896875
-124.9546875,-175.2796875,-50.325
-124.9546875,-174.421875,-49.4671875
-126.384375,-174.99375,-48.609375
-128.9578125,-176.709375,-47.7515625
-132.103125,-179.56875,-47.465625
-135.8203125,-183.2859375,-47.465625
-138.965625,-187.2890625,-48.3234375
-141.825,-191.00625,-49.18125
-143.8265625,-194.1515625,-50.325
-144.3984375,-196.725,-52.3265625
-143.8265625,-197.86875,-54.0421875
-142.1109375,-197.86875,-55.7578125
-139.8234375,-196.725,-56.9015625
-136.678125,-194.4375,-57.759375
-133.5328125,-191.8640625,-58.33125
-130.6734375,-189.0046875,-58.33125
-128.671875,-186.43125,-57.759375
-127.2421875,-184.14375,-56.9015625
-127.2421875,-183.0,-55.7578125
-128.3859375,-183.0,-54.6140625
-130.6734375,-184.14375,-53.4703125
-133.81875,-186.1453125,-52.3265625
-137.5359375,-189.290625,-51.7546875
-141.825,-193.0078125,-51.1828125
-146.4,-197.0109375,-50.6109375
-150.403125,-200.728125,-50.325
-153.834375,-204.159375,-50.325
-156.4078125,-207.01875,-50.6109375
-158.1234375,-208.4484375,-50.325
-158.6953125,-209.0203125,-50.325
-158.1234375,-208.4484375,-50.325
-156.69375,-206.446875,-49.753125
-154.40625,-203.8734375,-49.4671875
-151.2609375,-200.15625,-48.8953125
-148.115625,-196.153125,-48.0375
-144.3984375,-191.578125,-47.1796875
-140.9671875,-187.2890625,-46.321875
-137.821875,-183.571875,-45.75
-134.6765625,-180.140625,-45.4640625
-132.3890625,-177.5671875,-45.178125
-130.6734375,-175.8515625,-45.178125
-129.5296875,-174.99375,-45.4640625
-128.671875,-174.99375,-46.321875
-128.671875,-175.8515625,-47.1796875
-128.9578125,-177.28125,-48.3234375
-129.5296875,-178.996875,-49.4671875
-130.3875,-181.284375,-50.896875
-130.959375,-183.0,-52.040625
-131.2453125,-184.715625,-53.4703125
-131.2453125,-185.5734375,-54.328125
-130.959375,-185.859375,-54.9
-129.815625,-185.2875,-55.471875
-128.3859375,-183.8578125,-55.471875
-126.6703125,-181.85625,-55.1859375
-124.9546875,-179.56875,-54.6140625
-122.953125,-176.9953125,-54.0421875
-121.5234375,-174.7078125,-53.184375
-120.665625,-173.278125,-52.6125
-120.665625,-172.70625,-52.040625
-121.809375,-173.278125,-51.46875
-123.8109375,-175.2796875,-51.46875
-126.95625,-178.1390625,-51.1828125
-130.3875,-182.1421875,-51.7546875
-134.390625,-186.43125,-52.040625
-138.1078125,-190.7203125,-52.6125
-140.9671875,-194.4375,-53.4703125
-143.2546875,-197.0109375,-53.75625
-144.3984375,-198.7265625,-54.328125
-144.3984375,-199.0125,-54.6140625
-143.540625,-198.1546875,-54.6140625
-141.5390625,-196.4390625,-54.9
-139.5375,-194.4375,-54.9
-137.821875,-192.721875,-54.9
-136.9640625,-191.2921875,-54.328125
-136.678125,-191.2921875,-54.6140625
-138.1078125,-192.4359375,-54.328125
-140.3953125,-195.009375,-54.6140625
-143.540625,-198.440625,-54.9
-147.2578125,-202.7296875,-55.471875
-150.975,-206.7328125,-55.7578125
-153.834375,-210.1640625,-56.3296875
-155.2640625,-212.165625,-56.9015625
-155.2640625,-212.4515625,-57.1875
-153.5484375,-211.021875,-57.4734375
-150.1171875,-207.3046875,-57.1875
-145.5421875,-202.44375,-56.9015625
-140.109375,-196.4390625,-56.3296875
-134.9625,-190.1484375,-55.1859375
-130.6734375,-184.14375,-53.4703125
-127.528125,-179.2828125,-51.7546875
-125.8125,-176.1375,-50.325
-125.8125,-174.421875,-48.609375
-127.2421875,-174.421875,-47.1796875
-129.24375,-175.2796875,-46.0359375
-131.8171875,-176.9953125,-45.178125
-133.81875,-178.425,-44.60625
-134.9625,-179.2828125,-44.3203125
-134.6765625,-179.2828125,-44.60625
-132.9609375,-177.853125,-44.8921875
