LEFT,RIGHT,DIFF
-921.0046875,-963.3234375,-42.31875
-922.1484375,-963.8953125,-41.746875
-925.29375,-966.1828125,-40.8890625
-929.296875,-969.6140625,-40.3171875
-934.44375,-973.903125,-39.459375
-939.8765625,-978.1921875,-38.315625
-944.7375,-981.909375,-37.171875
-948.4546875,-985.0546875,-36.5999999999999
-950.7421875,-986.484375,-35.7421875
-950.7421875,-986.484375,-35.7421875
-948.740625,-984.76875,-36.028125
-945.309375,-981.909375,-36.6
-940.1625,-978.1921875,-38.0296875
-934.7296875,-973.903125,-39.1734375
-929.5828125,-969.9,-40.3171875
-925.29375,-966.7546875,-41.4609375
-922.7203125,-964.753125,-42.0328125
-922.1484375,-963.8953125,-41.746875
-923.8640625,-964.4671875,-40.603125
-927.009375,-966.1828125,-39.1734375
-931.8703125,-968.75625,-36.8859375
-937.0171875,-971.615625,-34.5984374999999
-942.45,-974.7609375,-32.3109375
-946.7390625,-977.90625,-31.1671875
-950.1703125,-980.19375,-30.0234375
-951.8859375,-982.48125,-30.5953125
-952.171875,-984.196875,-32.0250000000001
-951.028125,-986.1984375,-35.1703125
-949.3125,-987.9140625,-38.6015625
-947.596875,-989.915625,-42.31875
-946.1671875,-992.4890625,-46.321875
-945.0234375,-995.0625,-50.0390625
-945.0234375,-997.921875,-52.8984375
-945.5953125,-1000.209375,-54.6140624999999
-946.453125,-1001.6390625,-55.1859375
-947.025,-1001.925,-54.9
-947.025,-1000.4953125,-53.4703125
-946.1671875,-997.35,-51.1828125
-943.8796875,-992.4890625,-48.609375
-940.4484375,-986.7703125,-46.321875
-936.159375,-980.765625,-44.6062499999999
-931.584375,-975.3328125,-43.7484375
-927.58125,-971.04375,-43.4625
-925.0078125,-969.0421875,-44.0343750000001
-924.15,-969.9,-45.75
-925.865625,-973.33125,-47.465625
-929.86875,-979.3359375,-49.4671874999999
-936.159375,-987.05625,-50.896875
-943.59375,-995.9203125,-52.3265625
-951.8859375,-1004.784375,-52.8984375
-959.3203125,-1012.21875,-52.8984375
-965.325,-1017.365625,-52.040625
-969.0421875,-1019.653125,-50.6109375
-970.1859375,-1018.7953125,-48.609375
-968.75625,-1015.078125,-46.321875
-965.0390625,-1009.359375,-44.3203125
-959.60625,-1002.2109375,-42.6046875
-953.6015625,-995.0625,-41.4609375
-947.8828125,-988.771875,-40.8890625
-943.59375,-984.4828125,-40.8890625
-941.0203125,-982.1953125,-41.175
-940.4484375,-982.48125,-42.0328125
-942.1640625,-984.76875,-42.6046875000001
-945.309375,-988.771875,-43.4625
-949.3125,-993.6328125,-44.3203125
-953.8875,-998.2078125,-44.3203125
-957.6046875,-1002.2109375,-44.6062499999999
-960.178125,-1004.4984375,-44.3203125
-961.0359375,-1005.0703125,-44.034375
-960.4640625,-1003.9265625,-43.4625
-958.1765625,-1001.6390625,-43.4625
-954.7453125,-998.2078125,-43.4625
-950.45625,-994.490625,-44.034375
-946.1671875,-990.7734375,-44.6062499999999
-941.878125,-987.9140625,-46.0359374999999
-938.1609375,-985.6265625,-47.465625
-935.015625,-984.196875,-49.1812500000001
-933.0140625,-983.625,-50.6109375
-931.584375,-983.3390625,-51.7546875
-930.7265625,-983.053125,-52.3265625
-930.1546875,-982.48125,-52.3265625
-930.1546875,-981.909375,-51.7546875
-930.440625,-980.765625,-50.3249999999999
-931.2984375,-979.621875,-48.3234375
-932.4421875,-978.1921875,-45.75
-933.871875,-977.334375,-43.4625
-936.159375,-977.334375,-41.175
-938.7328125,-977.90625,-39.1734375
-941.878125,-979.3359375,-37.4578124999999
-945.0234375,-981.6234375,-36.6
-947.8828125,-984.76875,-36.8859375000001
-950.45625,-987.9140625,-37.4578124999999
-952.171875,-990.7734375,-38.6015625
-952.74375,-993.346875,-40.603125
-952.171875,-995.0625,-42.890625
-950.7421875,-995.9203125,-45.178125
-948.16875,-995.634375,-47.465625
-944.7375,-994.7765625,-50.0390625
-941.30625,-993.346875,-52.040625
-937.5890625,-991.3453125,-53.75625
-934.1578125,-989.6296875,-55.471875
-931.2984375,-987.9140625,-56.6156249999999
-929.296875,-986.1984375,-56.9015625000001
-927.58125,-985.0546875,-57.4734374999999
-926.7234375,-984.196875,-57.4734375
-926.4375,-983.3390625,-56.9015625000001
-926.7234375,-983.053125,-56.3296875
-927.2953125,-983.053125,-55.7578125
-928.4390625,-983.3390625,-54.9
-929.86875,-984.76875,-54.9
-932.15625,-987.3421875,-55.1859375
-935.015625,-991.059375,-56.04375
-939.01875,-996.778125,-57.759375
-944.165625,-1003.9265625,-59.7609375
-950.1703125,-1013.0765625,-62.90625
-957.0328125,-1023.3703125,-66.3375
-964.4671875,-1034.2359375,-69.7687500000001
-971.9015625,-1045.3875,-73.4859375
-979.05,-1055.9671875,-76.9171875000001
-985.0546875,-1064.83125,-79.7765625
-989.34375,-1071.4078125,-82.0640625000001
-991.9171875,-1075.125,-83.2078124999999
-992.4890625,-1075.696875,-83.2078125
-990.7734375,-1072.8375,-82.0640625000001
-987.05625,-1067.11875,-80.0625
-981.6234375,-1059.1125,-77.4890624999999
-975.046875,-1048.81875,-73.7718750000001
-967.6125,-1037.953125,-70.3406249999999
-960.178125,-1026.515625,-66.3375
-953.0296875,-1015.3640625,-62.334375
-946.453125,-1005.35625,-58.903125
-940.734375,-996.4921875,-55.7578125
-935.8734375,-989.0578125,-53.184375
-931.8703125,-983.053125,-51.1828125
-928.153125,-978.1921875,-50.0390625
-924.721875,-974.1890625,-49.4671875
-920.71875,-970.1859375,-49.4671875
-916.4296875,-966.1828125,-49.7531250000001
-910.996875,-962.1796875,-51.1828125
-904.70625,-957.31875,-52.6125
-897.5578125,-952.171875,-54.6140624999999
-890.1234375,-947.025,-56.9015625000001
-882.403125,-941.5921875,-59.1890625
-875.540625,-936.4453125,-60.9046875
-869.821875,-932.4421875,-62.6203125000001
-865.81875,-929.5828125,-63.7640625
-864.103125,-928.153125,-64.0500000000001
-864.675,-928.4390625,-63.7640625
-867.534375,-930.440625,-62.90625
-872.3953125,-933.871875,-61.4765625
-878.1140625,-938.446875,-60.3328125
-884.4046875,-943.8796875,-59.475
-890.1234375,-949.0265625,-58.903125
-894.4125,-953.8875,-59.475
-896.7,-957.31875,-60.61875
-896.4140625,-959.60625,-63.1921875
-893.840625,-960.178125,-66.3375
-888.9796875,-959.034375,-70.0546875
-882.6890625,-956.175,-73.4859375
-875.2546875,-952.4578125,-77.203125
-867.8203125,-947.596875,-79.7765625000001
-861.24375,-942.45,-81.2062500000001
-856.096875,-937.5890625,-81.4921875
-852.9515625,-933.0140625,-80.0625
