LEFT,RIGHT,DIFF
-337.978125,-425.1890625,-87.2109375
-345.1265625,-431.765625,-86.6390625
-351.703125,-438.628125,-86.925
-357.99375,-445.7765625,-87.7828125
-363.7125,-452.925,-89.2125
-368.5734375,-459.215625,-90.6421875
-373.1484375,-465.2203125,-92.071875
-377.4375,-470.3671875,-92.9296875
-380.86875,-474.9421875,-94.0734375
-384.0140625,-478.3734375,-94.359375
-386.8734375,-480.6609375,-93.7875
-388.875,-482.090625,-93.215625
-390.590625,-482.9484375,-92.3578125
-391.1625,-482.6625,-91.5
-391.4484375,-481.8046875,-90.35625
-391.1625,-480.0890625,-88.9265625
-390.3046875,-478.0875,-87.7828125
-389.1609375,-476.0859375,-86.925
-388.303125,-473.7984375,-85.4953125
-388.0171875,-471.796875,-83.7796875
-388.0171875,-470.3671875,-82.35
-389.1609375,-469.509375,-80.3484375
-390.8765625,-469.7953125,-78.91875
-393.45,-470.653125,-77.2031250000001
-396.88125,-472.940625,-76.059375
-400.5984375,-476.0859375,-75.4875
-404.315625,-480.0890625,-75.7734375
-408.31875,-485.2359375,-76.9171875
-411.4640625,-490.66875,-79.2046875
-414.0375,-496.3875,-82.35
-415.753125,-502.10625,-86.353125
-416.6109375,-507.253125,-90.6421875
-416.6109375,-511.828125,-95.2171875
-415.4671875,-514.9734375,-99.50625
-413.465625,-516.6890625,-103.2234375
-410.60625,-516.975,-106.36875
-407.4609375,-515.83125,-108.3703125
-403.74375,-513.2578125,-109.5140625
-400.0265625,-509.8265625,-109.8
-396.5953125,-505.8234375,-109.228125
-393.7359375,-501.8203125,-108.084375
-391.734375,-498.675,-106.940625
-390.590625,-496.3875,-105.796875
-390.8765625,-495.815625,-104.9390625
-392.30625,-496.959375,-104.653125
-394.59375,-499.81875,-105.225
-398.025,-503.821875,-105.796875
-402.028125,-509.2546875,-107.2265625
-405.7453125,-514.4015625,-108.65625
-409.1765625,-519.5484375,-110.371875
-411.178125,-523.265625,-112.0875
-412.321875,-525.553125,-113.23125
-411.4640625,-525.8390625,-114.375
-409.1765625,-524.409375,-115.2328125
-405.7453125,-521.55,-115.8046875
-401.7421875,-517.546875,-115.8046875
-397.453125,-513.8296875,-116.3765625
-393.7359375,-510.9703125,-117.234375
-391.734375,-509.540625,-117.80625
-391.4484375,-510.3984375,-118.95
-393.45,-513.54375,-120.09375
-397.7390625,-519.2625,-121.5234375
-403.74375,-526.4109375,-122.6671875
-410.8921875,-534.703125,-123.8109375
-418.8984375,-543.28125,-124.3828125
-426.3328125,-550.4296875,-124.096875
-432.6234375,-555.8625,-123.2390625
-436.9125,-558.4359375,-121.5234375
-439.2,-558.4359375,-119.2359375
-439.4859375,-555.5765625,-116.090625
-437.484375,-550.14375,-112.659375
-434.053125,-543.5671875,-109.5140625
-430.05,-536.41875,-106.36875
-426.046875,-529.55625,-103.509375
-422.615625,-524.409375,-101.79375
-420.6140625,-521.2640625,-100.65
-420.0421875,-520.6921875,-100.65
-421.1859375,-522.4078125,-101.221875
-423.759375,-526.125,-102.365625
-427.190625,-530.9859375,-103.7953125
-431.4796875,-536.7046875,-105.225
-435.4828125,-542.1375,-106.6546875
-438.9140625,-546.7125,-107.7984375
-441.7734375,-550.14375,-108.3703125
-443.4890625,-551.859375,-108.3703125
-444.6328125,-552.43125,-107.7984375
-445.2046875,-551.859375,-106.6546875
-445.490625,-550.4296875,-104.9390625
-445.7765625,-548.7140625,-102.9375
-446.3484375,-547.284375,-100.9359375
-446.9203125,-546.140625,-99.2203125
-447.778125,-545.2828125,-97.5046874999999
-448.921875,-544.7109375,-95.7890625
-449.2078125,-544.1390625,-94.93125
-448.921875,-542.9953125,-94.0734375000001
-447.4921875,-541.2796875,-93.7875
-444.91875,-538.4203125,-93.5015625
-440.915625,-534.4171875,-93.5015625
-435.76875,-529.55625,-93.7875
-430.3359375,-523.8375,-93.5015625
-424.903125,-518.11875,-93.215625
-420.0421875,-512.971875,-92.9296875000001
-416.896875,-508.96875,-92.071875
-415.753125,-506.68125,-90.928125
-417.1828125,-506.109375,-88.9265625
-420.6140625,-507.5390625,-86.925
-426.3328125,-510.684375,-84.3515625000001
-433.1953125,-515.259375,-82.0640625
-440.6296875,-519.834375,-79.2046875
-447.20625,-524.1234375,-76.9171875
-452.353125,-526.9828125,-74.6296875
-454.9265625,-527.840625,-72.9140625
-454.06875,-526.125,-72.05625
-450.065625,-521.2640625,-71.1984375
-442.9171875,-514.115625,-71.1984375
-432.909375,-505.2515625,-72.3421875
-421.471875,-494.9578125,-73.4859375
-409.7484375,-484.95,-75.2015625
-399.16875,-476.371875,-77.2031250000001
-390.8765625,-469.7953125,-78.91875
-386.015625,-466.65,-80.634375
-385.1578125,-467.5078125,-82.35
-388.5890625,-471.796875,-83.2078125
-396.0234375,-479.803125,-83.7796875
-406.603125,-490.66875,-84.065625
-419.4703125,-502.9640625,-83.49375
-433.1953125,-515.83125,-82.6359375000001
-446.3484375,-527.5546875,-81.20625
-458.071875,-537.5625,-79.490625
-466.65,-544.425,-77.775
-472.36875,-547.85625,-75.4875
-474.65625,-548.1421875,-73.4859375
-474.084375,-544.996875,-70.9125
-470.9390625,-539.85,-68.9109375
-466.3640625,-532.9875,-66.6234375
-460.93125,-525.8390625,-64.9078125
-456.35625,-519.2625,-62.90625
-452.353125,-514.115625,-61.7625
-450.3515625,-510.9703125,-60.61875
