LEFT,RIGHT,DIFF
-360.853125,-437.7703125,-76.9171875
-355.70625,-432.6234375,-76.9171875
-349.7015625,-427.4765625,-77.775
-343.4109375,-422.615625,-79.2046875
-337.6921875,-418.6125,-80.9203125
-333.1171875,-416.6109375,-83.49375
-330.54375,-416.6109375,-86.0671875
-330.2578125,-419.4703125,-89.2125
-332.259375,-424.6171875,-92.3578125
-337.1203125,-432.0515625,-94.93125
-343.9828125,-441.2015625,-97.21875
-352.5609375,-451.209375,-98.6484375
-361.7109375,-461.2171875,-99.50625
-371.146875,-470.08125,-98.934375
-379.4390625,-477.2296875,-97.790625
-386.015625,-482.090625,-96.075
-390.01875,-483.80625,-93.7875
-391.734375,-483.234375,-91.5
-390.3046875,-479.803125,-89.4984375
-386.5875,-474.65625,-88.06875
-380.86875,-468.365625,-87.496875
-373.434375,-461.2171875,-87.7828125
-365.1421875,-454.640625,-89.4984375
-356.85,-448.6359375,-91.7859375
-349.415625,-443.775,-94.359375
-342.8390625,-440.0578125,-97.21875
-337.6921875,-437.7703125,-100.078125
-333.975,-436.9125,-102.9375
-331.9734375,-436.9125,-104.9390625
-331.6875,-438.05625,-106.36875
-332.5453125,-439.771875,-107.2265625
-334.546875,-442.059375,-107.5125
-337.1203125,-444.91875,-107.7984375
-340.5515625,-448.35,-107.7984375
-344.5546875,-451.78125,-107.2265625
-348.271875,-455.4984375,-107.2265625
-352.275,-459.215625,-106.940625
-355.9921875,-462.9328125,-106.940625
-359.4234375,-465.7921875,-106.36875
-361.996875,-468.0796875,-106.0828125
-363.9984375,-469.509375,-105.5109375
-364.85625,-469.509375,-104.653125
-364.5703125,-468.6515625,-104.08125
-363.4265625,-466.65,-103.2234375
-361.425,-463.790625,-102.365625
-358.8515625,-460.6453125,-101.79375
-355.9921875,-457.7859375,-101.79375
-353.1328125,-454.9265625,-101.79375
-350.8453125,-452.925,-102.0796875
-349.415625,-451.78125,-102.365625
-348.84375,-451.4953125,-102.6515625
-349.1296875,-451.4953125,-102.365625
-350.2734375,-451.78125,-101.5078125
-351.9890625,-451.78125,-99.7921875
-353.41875,-451.209375,-97.790625
-354.5625,-449.49375,-94.93125
-354.8484375,-446.9203125,-92.071875
-354.2765625,-443.4890625,-89.2125
-352.275,-439.4859375,-87.2109375
-349.415625,-435.196875,-85.78125
-345.984375,-431.4796875,-85.4953125
-342.553125,-428.90625,-86.353125
-339.4078125,-427.7625,-88.3546875
-337.40625,-428.334375,-90.928125
-336.834375,-430.9078125,-94.0734375
-337.978125,-434.9109375,-96.9328125
-340.8375,-440.0578125,-99.2203125
-344.840625,-445.490625,-100.65
-349.415625,-451.209375,-101.79375
-354.2765625,-456.0703125,-101.79375
-358.8515625,-460.0734375,-101.221875
-362.2828125,-462.3609375,-100.078125
-363.9984375,-463.5046875,-99.50625
-364.5703125,-463.790625,-99.2203125
-363.4265625,-462.9328125,-99.50625
-361.1390625,-462.075,-100.9359375
-358.565625,-461.2171875,-102.6515625
-355.70625,-460.93125,-105.225
-353.41875,-461.2171875,-107.7984375
-351.9890625,-462.3609375,-110.371875
-351.4171875,-463.5046875,-112.0875
-351.9890625,-464.6484375,-112.659375
-353.1328125,-465.2203125,-112.0875
-354.2765625,-464.934375,-110.6578125
-355.134375,-463.5046875,-108.3703125
-354.8484375,-460.6453125,-105.796875
-353.41875,-456.928125,-103.509375
-350.2734375,-452.0671875,-101.79375
-345.6984375,-446.9203125,-101.221875
-340.265625,-442.059375,-101.79375
-334.2609375,-438.05625,-103.7953125
-328.25625,-435.4828125,-107.2265625
-323.109375,-434.3390625,-111.2296875
-319.678125,-435.196875,-115.51875
-317.9625,-437.1984375,-119.2359375
-317.9625,-440.6296875,-122.6671875
-319.9640625,-444.6328125,-124.66875
-323.3953125,-448.6359375,-125.240625
-327.684375,-452.353125,-124.66875
-331.9734375,-454.9265625,-122.953125
-335.9765625,-456.35625,-120.3796875
-339.121875,-456.928125,-117.80625
-340.5515625,-456.35625,-115.8046875
-340.8375,-455.2125,-114.375
-339.69375,-453.7828125,-114.0890625
-337.6921875,-452.6390625,-114.946875
-334.8328125,-452.353125,-117.5203125
-332.259375,-452.6390625,-120.3796875
-329.971875,-454.06875,-124.096875
-328.5421875,-456.35625,-127.8140625
-328.25625,-459.215625,-130.959375
-328.828125,-462.3609375,-133.5328125
-330.2578125,-465.2203125,-134.9625
-332.259375,-467.79375,-135.534375
-334.8328125,-469.2234375,-134.390625
-337.40625,-469.7953125,-132.3890625
-339.9796875,-469.2234375,-129.24375
-341.98125,-467.79375,-125.8125
-343.9828125,-465.50625,-121.5234375
-345.6984375,-463.21875,-117.5203125
-347.128125,-460.6453125,-113.5171875
-348.84375,-458.64375,-109.8
-350.8453125,-456.928125,-106.0828125
-353.1328125,-455.784375,-102.6515625
-355.4203125,-454.9265625,-99.50625
-357.421875,-454.640625,-97.21875
-359.4234375,-454.3546875,-94.93125
-360.853125,-454.06875,-93.215625
-361.425,-453.7828125,-92.3578125
-360.853125,-453.2109375,-92.3578125
-359.709375,-452.925,-93.215625
-357.7078125,-452.925,-95.2171875
-355.134375,-453.496875,-98.3625
-353.1328125,-455.2125,-102.0796875
-351.703125,-458.64375,-106.940625
-351.703125,-464.0765625,-112.3734375
-353.7046875,-471.796875,-118.0921875
-358.2796875,-481.8046875,-123.525
-365.1421875,-493.8140625,-128.671875
-374.2921875,-507.5390625,-133.246875
-385.44375,-522.4078125,-136.9640625
-398.3109375,-537.2765625,-138.965625
-411.4640625,-551.859375,-140.3953125
-424.33125,-564.7265625,-140.3953125
-436.340625,-575.30625,-138.965625
-446.3484375,-582.740625,-136.3921875
-453.7828125,-586.74375,-132.9609375
-458.64375,-587.0296875,-128.3859375
-460.6453125,-583.884375,-123.2390625
-460.0734375,-577.021875,-116.9484375
-456.6421875,-567.871875,-111.2296875
-451.4953125,-556.434375,-104.9390625
-444.6328125,-543.5671875,-98.934375
-436.6265625,-530.128125,-93.5015625
-427.7625,-516.975,-89.2125
-418.6125,-504.39375,-85.78125
-409.1765625,-492.95625,-83.7796875
-399.4546875,-482.9484375,-83.49375
-390.3046875,-474.3703125,-84.065625
-381.1546875,-467.221875,-86.0671875
-372.290625,-461.503125,-89.2125
-364.284375,-457.2140625,-92.9296875
-356.85,-453.496875,-96.646875
-350.8453125,-451.209375,-100.3640625
-345.984375,-449.49375,-103.509375
-342.8390625,-448.35,-105.5109375
-341.1234375,-447.778125,-106.6546875
-341.1234375,-448.0640625,-106.940625
-342.553125,-448.921875,-106.36875
-345.1265625,-450.065625,-104.9390625
-348.5578125,-451.4953125,-102.9375
-351.9890625,-453.2109375,-101.221875
-355.4203125,-455.2125,-99.7921875
-358.565625,-456.928125,-98.3625
-360.853125,-458.64375,-97.790625
-362.56875,-460.0734375,-97.5046875
-363.9984375,-460.93125,-96.9328125
-364.85625,-461.7890625,-96.9328125
-365.428125,-462.075,-96.646875
-366.571875,-462.075,-95.503125
-367.715625,-462.075,-94.3593750000001
-369.7171875,-462.075,-92.3578125
-372.290625,-462.075,-89.784375
-375.15,-462.075,-86.925
-378.2953125,-462.3609375,-84.065625
-381.440625,-462.9328125,-81.4921875
-384.5859375,-463.21875,-78.6328125
-387.159375,-463.5046875,-76.3453125
-389.1609375,-463.790625,-74.6296875
-390.8765625,-463.5046875,-72.628125
-392.30625,-463.21875,-70.9125
-393.45,-462.646875,-69.196875
-394.59375,-462.075,-67.48125
-396.309375,-461.503125,-65.19375
-398.025,-461.2171875,-63.1921875
-400.5984375,-461.2171875,-60.61875
-403.171875,-461.503125,-58.33125
-405.7453125,-462.3609375,-56.615625
-407.746875,-463.790625,-56.04375
-409.1765625,-465.2203125,-56.04375
-409.1765625,-466.65,-57.4734375
-408.0328125,-467.79375,-59.7609375
-405.1734375,-468.6515625,-63.478125
-400.884375,-468.6515625,-67.7671875
-395.7375,-468.365625,-72.628125
-390.3046875,-467.221875,-76.9171875
-384.871875,-465.7921875,-80.9203125
-380.296875,-464.0765625,-83.7796875
-376.865625,-462.9328125,-86.0671875
-375.15,-462.075,-86.925
-375.15,-462.075,-86.925
-376.865625,-463.21875,-86.353125
-379.4390625,-464.934375,-85.4953125
-382.8703125,-467.5078125,-84.6375
-385.7296875,-470.3671875,-84.6375
-387.73125,-473.2265625,-85.4953125
-388.303125,-475.228125,-86.925
-387.159375,-476.6578125,-89.4984375
-384.0140625,-476.6578125,-92.64375
-379.153125,-475.228125,-96.075
-373.1484375,-472.6546875,-99.50625
-366.8578125,-469.509375,-102.6515625
-360.853125,-465.7921875,-104.9390625
-355.9921875,-462.3609375,-106.36875
-352.846875,-459.7875,-106.940625
-351.703125,-458.3578125,-106.6546875
-353.1328125,-458.3578125,-105.225
-356.85,-460.0734375,-103.2234375
-361.996875,-463.5046875,-101.5078125
-368.2875,-467.5078125,-99.2203125
-374.8640625,-472.0828125,-97.2187500000001
-380.5828125,-476.6578125,-96.075
-385.44375,-480.0890625,-94.6453125
-388.5890625,-482.090625,-93.5015625
-390.01875,-482.6625,-92.64375
-389.446875,-481.51875,-92.071875
-387.4453125,-478.9453125,-91.5
-384.3,-475.228125,-90.928125
-380.86875,-471.225,-90.35625
-377.4375,-467.5078125,-90.0703125
-374.8640625,-464.6484375,-89.784375
-373.1484375,-462.9328125,-89.784375
-372.5765625,-462.646875,-90.0703125
-373.1484375,-463.5046875,-90.35625
-374.8640625,-465.2203125,-90.35625
-376.5796875,-467.79375,-91.2140625
-378.58125,-469.7953125,-91.2140625
-380.296875,-471.5109375,-91.2140625
-380.86875,-471.796875,-90.928125
-380.5828125,-470.3671875,-89.784375
-379.153125,-467.79375,-88.6406250000001
-376.865625,-463.790625,-86.925
-374.00625,-459.215625,-85.209375
-371.146875,-454.06875,-82.921875
-368.2875,-449.2078125,-80.9203125
-366.2859375,-445.490625,-79.2046875
-365.1421875,-443.203125,-78.0609375
-365.1421875,-442.059375,-76.9171875
-366.2859375,-442.63125,-76.3453125
-368.0015625,-444.6328125,-76.63125
-370.575,-447.20625,-76.63125
-372.8625,-450.065625,-77.203125
-375.15,-452.925,-77.775
-376.5796875,-454.9265625,-78.346875
-376.5796875,-456.35625,-79.7765625
-375.721875,-456.6421875,-80.9203125
-373.7203125,-455.784375,-82.0640625
-370.2890625,-454.640625,-84.3515625
-366.2859375,-453.2109375,-86.925
-361.996875,-451.78125,-89.784375
-357.7078125,-450.9234375,-93.215625
-353.7046875,-450.6375,-96.9328125
-350.559375,-451.4953125,-100.9359375
-347.9859375,-452.925,-104.9390625
-346.2703125,-454.640625,-108.3703125
-345.1265625,-456.6421875,-111.515625
-344.840625,-458.64375,-113.803125
-345.1265625,-460.0734375,-114.946875
-345.6984375,-460.359375,-114.6609375
-346.55625,-460.0734375,-113.5171875
-347.4140625,-458.9296875,-111.515625
-347.9859375,-456.928125,-108.9421875
-348.5578125,-454.3546875,-105.796875
-349.1296875,-451.78125,-102.6515625
-349.415625,-449.49375,-100.078125
-349.415625,-447.4921875,-98.0765625
-349.1296875,-446.0625,-96.9328125
-348.84375,-445.490625,-96.646875
-347.9859375,-445.490625,-97.5046875
-347.128125,-445.7765625,-98.6484375
-345.984375,-446.634375,-100.65
-344.840625,-447.20625,-102.365625
-343.696875,-447.778125,-104.08125
-342.8390625,-448.35,-105.5109375
-342.2671875,-448.35,-106.0828125
-342.553125,-448.35,-105.796875
-343.696875,-448.35,-104.653125
-345.6984375,-448.35,-102.6515625
-348.5578125,-448.6359375,-100.078125
-352.275,-449.49375,-97.21875
-356.278125,-450.6375,-94.3593750000001
-360.853125,-452.0671875,-91.2140625
-364.85625,-454.06875,-89.2125
-368.859375,-456.0703125,-87.2109375
-371.71875,-458.071875,-86.353125
-374.00625,-459.215625,-85.209375
-375.4359375,-460.0734375,-84.6375
-375.721875,-459.7875,-84.065625
-375.15,-458.3578125,-83.2078125
-373.434375,-456.0703125,-82.6359375
-371.4328125,-452.6390625,-81.20625
-368.5734375,-448.6359375,-80.0625
-365.428125,-444.0609375,-78.6328125
-361.996875,-439.4859375,-77.4890625
-358.2796875,-435.196875,-76.9171875
-354.8484375,-431.4796875,-76.63125
-351.4171875,-428.90625,-77.4890625
-348.5578125,-427.4765625,-78.91875
-346.2703125,-427.7625,-81.4921875
-345.1265625,-429.1921875,-84.065625
-345.1265625,-432.3375,-87.2109375
-345.984375,-436.340625,-90.35625
-348.271875,-440.915625,-92.64375
-351.4171875,-445.7765625,-94.359375
-355.134375,-450.065625,-94.93125
-358.8515625,-453.496875,-94.6453125
-361.996875,-455.4984375,-93.5015625
-363.9984375,-455.784375,-91.7859375
-364.5703125,-454.3546875,-89.784375
-363.4265625,-450.9234375,-87.496875
-359.9953125,-446.0625,-86.0671875
-354.8484375,-440.0578125,-85.209375
-348.271875,-433.48125,-85.209375
-341.1234375,-426.9046875,-85.78125
-334.2609375,-420.9,-86.6390625
-327.9703125,-416.0390625,-88.06875
-323.109375,-412.6078125,-89.4984375
-320.25,-411.178125,-90.928125
-319.678125,-410.8921875,-91.2140625
-320.821875,-412.321875,-91.5
-323.9671875,-414.8953125,-90.928125
-327.9703125,-418.040625,-90.0703125
-332.5453125,-421.7578125,-89.2125
-336.834375,-425.1890625,-88.3546875
-340.265625,-428.334375,-88.06875
-342.2671875,-430.621875,-88.3546875
-343.125,-432.6234375,-89.4984375
-342.553125,-434.053125,-91.5
-341.409375,-434.9109375,-93.5015625
-339.69375,-435.4828125,-95.7890625
-338.2640625,-435.76875,-97.5046875
-337.40625,-436.340625,-98.934375
-337.40625,-437.1984375,-99.7921875
-338.55,-438.3421875,-99.7921875
-340.5515625,-439.771875,-99.2203125
-343.4109375,-441.2015625,-97.790625
-346.8421875,-442.9171875,-96.075
-349.9875,-444.6328125,-94.6453125
-352.846875,-446.634375,-93.7875
-354.8484375,-448.0640625,-93.215625
-355.9921875,-449.2078125,-93.215625
-356.278125,-450.065625,-93.7875
-355.70625,-450.3515625,-94.6453125
-354.2765625,-449.7796875,-95.503125
-352.5609375,-448.6359375,-96.075
-350.559375,-447.20625,-96.646875
-348.5578125,-444.91875,-96.3609375
-346.8421875,-442.3453125,-95.503125
-345.1265625,-439.771875,-94.6453125
-343.9828125,-437.484375,-93.5015625
-342.8390625,-435.76875,-92.9296875
-342.2671875,-434.625,-92.3578125
-341.98125,-434.3390625,-92.3578125
-341.98125,-434.9109375,-92.9296875
-342.2671875,-436.6265625,-94.359375
-343.125,-438.628125,-95.503125
-344.26875,-440.6296875,-96.3609375
-345.4125,-442.63125,-97.21875
-346.8421875,-443.775,-96.9328125
-347.9859375,-444.0609375,-96.075
-348.5578125,-442.9171875,-94.359375
-348.5578125,-440.6296875,-92.071875
-347.4140625,-437.1984375,-89.784375
-345.4125,-432.909375,-87.496875
-342.2671875,-428.334375,-86.0671875
-338.55,-424.33125,-85.78125
-334.546875,-420.9,-86.353125
-330.54375,-418.8984375,-88.3546875
-326.8265625,-418.040625,-91.2140625
-323.9671875,-418.3265625,-94.359375
-322.2515625,-419.4703125,-97.21875
-321.6796875,-420.9,-99.2203125
-321.965625,-422.3296875,-100.3640625
-322.5375,-422.615625,-100.078125
-323.3953125,-422.04375,-98.6484375
-323.9671875,-419.75625,-95.7890625
-323.68125,-416.325,-92.64375
-322.2515625,-412.0359375,-89.784375
-319.678125,-407.4609375,-87.7828125
-315.9609375,-403.171875,-87.2109375
-311.671875,-400.3125,-88.640625
-307.3828125,-399.16875,-91.7859375
-303.665625,-400.3125,-96.646875
-301.0921875,-404.0296875,-102.9375
-300.234375,-409.7484375,-109.5140625
-301.378125,-416.896875,-115.51875
-304.5234375,-424.903125,-120.3796875
-309.0984375,-432.6234375,-123.525
-315.103125,-439.2,-124.096875
-321.1078125,-444.0609375,-122.953125
-326.540625,-446.634375,-120.09375
-330.8296875,-446.634375,-115.8046875
-333.6890625,-444.0609375,-110.371875
