LEFT,RIGHT,DIFF
364.284375,577.8796875,213.5953125
364.284375,582.740625,218.45625
363.9984375,587.0296875,223.03125
363.4265625,590.4609375,227.034375
362.56875,592.4625,229.89375
361.425,593.60625,232.18125
360.5671875,593.8921875,233.325
359.4234375,593.034375,233.6109375
358.8515625,591.31875,232.4671875
357.99375,589.3171875,231.3234375
357.421875,586.74375,229.321875
356.85,584.1703125,227.3203125
355.9921875,581.596875,225.6046875
355.4203125,579.0234375,223.603125
354.8484375,577.021875,222.1734375
354.5625,575.30625,220.74375
354.8484375,574.1625,219.3140625
355.9921875,573.8765625,217.884375
357.7078125,574.1625,216.4546875
360.28125,575.0203125,214.7390625
363.4265625,576.45,213.0234375
366.571875,577.8796875,211.3078125
369.7171875,579.0234375,209.30625
372.290625,579.88125,207.590625
373.7203125,579.88125,206.1609375
374.00625,579.0234375,205.0171875
372.8625,577.3078125,204.4453125
371.146875,574.734375,203.5875
368.5734375,571.875,203.3015625
366.2859375,568.7296875,202.44375
364.5703125,565.8703125,201.3
363.9984375,563.86875,199.8703125
365.1421875,562.725,197.5828125
368.0015625,563.0109375,195.009375
372.5765625,564.440625,191.8640625
378.009375,566.728125,188.71875
384.3,569.5875,185.2875
390.01875,572.1609375,182.1421875
394.3078125,574.4484375,180.140625
397.1671875,575.30625,178.1390625
397.453125,575.0203125,177.5671875
395.165625,573.01875,177.853125
390.8765625,569.3015625,178.425
384.5859375,564.7265625,180.140625
377.7234375,559.29375,181.5703125
370.575,554.146875,183.571875
364.284375,549.571875,185.2875
359.4234375,546.140625,186.7171875
356.278125,544.425,188.146875
355.4203125,544.425,189.0046875
356.278125,546.140625,189.8625
358.565625,549.2859375,190.7203125
361.7109375,553.575,191.8640625
365.1421875,558.15,193.0078125
368.0015625,562.725,194.7234375
370.2890625,566.4421875,196.153125
371.4328125,569.3015625,197.86875
371.146875,571.0171875,199.8703125
370.2890625,571.5890625,201.3
368.2875,571.0171875,202.7296875
366.2859375,569.5875,203.3015625
364.5703125,567.871875,203.3015625
362.8546875,566.15625,203.3015625
362.2828125,564.440625,202.1578125
362.2828125,563.5828125,201.3
363.140625,563.0109375,199.8703125
364.85625,563.296875,198.440625
366.8578125,564.1546875,197.296875
369.1453125,565.584375,196.4390625
371.4328125,567.3,195.8671875
373.7203125,569.5875,195.8671875
375.721875,571.875,196.153125
377.7234375,574.1625,196.4390625
379.153125,576.7359375,197.5828125
380.296875,579.5953125,199.2984375
381.1546875,582.16875,201.0140625
381.7265625,585.028125,203.3015625
381.7265625,587.8875,206.1609375
381.7265625,590.4609375,208.734375
381.1546875,592.4625,211.3078125
380.0109375,594.4640625,214.453125
378.8671875,595.6078125,216.740625
377.1515625,596.1796875,219.028125
375.4359375,595.89375,220.4578125
373.434375,594.75,221.315625
371.71875,593.034375,221.315625
370.2890625,591.0328125,220.74375
368.859375,588.1734375,219.3140625
367.4296875,585.3140625,217.884375
366.2859375,582.16875,215.8828125
365.428125,579.0234375,213.5953125
364.284375,576.1640625,211.8796875
363.140625,573.3046875,210.1640625
361.7109375,571.0171875,209.30625
360.5671875,568.7296875,208.1625
359.709375,567.0140625,207.3046875
359.1375,565.8703125,206.7328125
359.1375,565.0125,205.875
359.9953125,564.7265625,204.73125
361.996875,565.0125,203.015625
365.1421875,565.8703125,200.728125
369.43125,567.3,197.86875
374.578125,569.3015625,194.7234375
380.0109375,571.5890625,191.578125
385.7296875,573.8765625,188.146875
391.1625,576.45,185.2875
396.0234375,579.0234375,183.0
400.0265625,581.3109375,181.284375
402.8859375,583.0265625,180.140625
404.6015625,584.1703125,179.56875
405.459375,585.3140625,179.8546875
405.1734375,586.171875,180.9984375
404.8875,586.74375,181.85625
404.0296875,587.6015625,183.571875
403.4578125,588.7453125,185.2875
402.8859375,590.175,187.2890625
402.8859375,592.4625,189.5765625
403.4578125,595.321875,191.8640625
404.315625,598.753125,194.4375
405.1734375,602.4703125,197.296875
406.3171875,606.4734375,200.15625
407.4609375,610.4765625,203.015625
408.6046875,614.19375,205.5890625
409.7484375,617.9109375,208.1625
410.8921875,621.3421875,210.45
412.0359375,624.4875,212.4515625
413.465625,627.346875,213.88125
415.18125,630.20625,215.025
417.1828125,633.3515625,216.16875
418.8984375,636.496875,217.5984375
420.9,639.6421875,218.7421875
422.3296875,643.0734375,220.74375
423.4734375,646.21875,222.7453125
423.759375,649.078125,225.31875
423.4734375,651.0796875,227.60625
422.3296875,652.7953125,230.465625
420.6140625,653.3671875,232.753125
418.3265625,653.3671875,235.040625
416.0390625,652.509375,236.4703125
414.0375,651.0796875,237.0421875
412.321875,649.3640625,237.0421875
411.4640625,647.934375,236.4703125
411.4640625,646.790625,235.3265625
412.0359375,645.646875,233.6109375
413.465625,645.3609375,231.8953125
414.8953125,645.075,230.1796875
416.325,645.075,228.75
417.46875,644.7890625,227.3203125
417.7546875,644.2171875,226.4625
417.1828125,642.7875,225.6046875
415.753125,640.7859375,225.0328125
413.465625,638.2125,224.746875
410.60625,635.0671875,224.4609375
407.4609375,631.6359375,224.175
404.8875,628.490625,223.603125
402.6,626.203125,223.603125
401.1703125,624.7734375,223.603125
401.1703125,624.4875,223.3171875
402.3140625,625.63125,223.3171875
404.6015625,627.91875,223.3171875
407.746875,631.0640625,223.3171875
411.4640625,634.78125,223.3171875
415.4671875,637.9265625,222.459375
419.184375,640.5,221.315625
422.3296875,642.215625,219.8859375
424.903125,642.215625,217.3125
426.3328125,641.071875,214.7390625
426.9046875,638.784375,211.8796875
426.61875,635.6390625,209.0203125
425.1890625,631.921875,206.7328125
423.4734375,628.7765625,205.303125
421.1859375,626.203125,205.0171875
418.8984375,624.4875,205.5890625
416.896875,624.2015625,207.3046875
415.18125,625.059375,209.878125
413.7515625,627.0609375,213.309375
413.1796875,629.634375,216.4546875
413.465625,632.49375,219.028125
414.0375,635.0671875,221.0296875
415.4671875,637.640625,222.1734375
417.1828125,639.35625,222.1734375
418.8984375,640.2140625,221.315625
420.9,640.7859375,219.8859375
422.9015625,640.7859375,217.884375
424.33125,640.7859375,216.4546875
425.475,640.7859375,215.3109375
425.7609375,640.7859375,215.025
425.7609375,641.64375,215.8828125
425.1890625,642.7875,217.5984375
424.0453125,644.503125,220.4578125
422.3296875,646.5046875,224.175
420.9,648.50625,227.60625
419.184375,650.5078125,231.3234375
417.7546875,652.7953125,235.040625
416.6109375,654.796875,238.1859375
416.0390625,656.7984375,240.759375
416.0390625,659.0859375,243.046875
416.6109375,661.9453125,245.334375
417.7546875,665.3765625,247.621875
419.4703125,669.665625,250.1953125
421.7578125,674.8125,253.0546875
424.33125,680.53125,256.2
427.4765625,686.821875,259.3453125
430.3359375,692.8265625,262.490625
433.48125,698.5453125,265.0640625
436.0546875,702.834375,266.7796875
438.3421875,705.69375,267.3515625
439.771875,706.5515625,266.7796875
439.771875,705.121875,265.35
438.9140625,701.690625,262.7765625
436.6265625,696.2578125,259.63125
432.909375,689.68125,256.771875
428.334375,682.246875,253.9125
422.9015625,675.384375,252.4828125
417.46875,669.665625,252.196875
412.0359375,665.6625,253.6265625
407.4609375,663.946875,256.4859375
404.315625,664.8046875,260.4890625
402.6,668.2359375,265.6359375
403.171875,673.9546875,270.7828125
405.7453125,681.103125,275.3578125
410.034375,689.68125,279.646875
415.753125,698.259375,282.50625
422.615625,706.265625,283.65
430.05,713.7,283.65
437.1984375,719.7046875,282.50625
443.775,724.2796875,280.5046875
449.2078125,727.7109375,278.503125
453.7828125,729.9984375,276.215625
456.928125,732.0,275.071875
458.9296875,733.715625,274.7859375
459.7875,735.7171875,275.9296875
460.0734375,737.71875,277.6453125
460.0734375,740.00625,279.9328125
459.5015625,742.0078125,282.50625
458.9296875,743.4375,284.5078125
458.071875,744.009375,285.9375
456.928125,743.1515625,286.2234375
455.4984375,740.578125,285.0796875
453.496875,736.2890625,282.7921875
451.209375,730.284375,279.075
448.35,722.85,274.5
445.2046875,714.84375,269.6390625
441.7734375,706.8375,265.0640625
438.628125,699.975,261.346875
435.76875,694.25625,258.4875
433.7671875,690.825,257.0578125
432.3375,689.3953125,257.0578125
432.0515625,689.9671875,257.915625
432.909375,691.96875,259.059375
434.3390625,695.4,261.0609375
436.6265625,699.403125,262.7765625
439.771875,702.834375,263.0625
442.9171875,705.9796875,263.0625
446.634375,707.98125,261.346875
450.065625,708.8390625,258.7734375
453.496875,708.8390625,255.3421875
456.928125,708.553125,251.625
460.0734375,708.2671875,248.19375
463.21875,708.2671875,245.0484375
465.7921875,708.8390625,243.046875
468.0796875,710.26875,242.1890625
469.7953125,712.2703125,242.475
470.653125,714.5578125,243.9046875
470.653125,716.8453125,246.1921875
469.509375,717.9890625,248.4796875
