LEFT,RIGHT,DIFF
-202.7296875,-358.8515625,-156.121875
-201.0140625,-357.1359375,-156.121875
-199.2984375,-355.9921875,-156.69375
-197.296875,-355.134375,-157.8375
-195.8671875,-354.2765625,-158.409375
-194.4375,-353.990625,-159.553125
-193.29375,-353.7046875,-160.4109375
-192.721875,-353.7046875,-160.9828125
-192.721875,-353.7046875,-160.9828125
-193.29375,-354.2765625,-160.9828125
-194.7234375,-354.5625,-159.8390625
-196.725,-355.4203125,-158.6953125
-199.0125,-356.5640625,-157.5515625
-201.5859375,-357.7078125,-156.121875
-204.4453125,-359.1375,-154.6921875
-207.01875,-360.853125,-153.834375
-209.30625,-362.56875,-153.2625
-211.021875,-364.284375,-153.2625
-212.165625,-366.0,-153.834375
-212.7375,-367.4296875,-154.6921875
-212.7375,-368.5734375,-155.8359375
-212.4515625,-369.43125,-156.9796875
-212.165625,-370.2890625,-158.1234375
-212.165625,-371.146875,-158.98125
-212.165625,-371.71875,-159.553125
-212.7375,-372.5765625,-159.8390625
-213.88125,-373.7203125,-159.8390625
-215.025,-374.8640625,-159.8390625
-216.16875,-376.0078125,-159.8390625
-217.3125,-377.1515625,-159.8390625
-218.1703125,-377.7234375,-159.553125
-218.45625,-378.009375,-159.553125
-217.884375,-377.7234375,-159.8390625
-216.740625,-376.865625,-160.125
-214.7390625,-375.15,-160.4109375
-212.165625,-372.8625,-160.696875
-209.30625,-370.003125,-160.696875
-206.446875,-366.8578125,-160.4109375
-203.8734375,-363.9984375,-160.125
-201.871875,-361.1390625,-159.2671875
-200.15625,-358.565625,-158.409375
-199.2984375,-357.1359375,-157.8375
-199.0125,-355.9921875,-156.9796875
-199.2984375,-355.70625,-156.4078125
-200.15625,-356.278125,-156.121875
-201.0140625,-357.421875,-156.4078125
-201.871875,-358.565625,-156.69375
-202.7296875,-360.28125,-157.5515625
-203.5875,-361.996875,-158.409375
-204.159375,-363.4265625,-159.2671875
-204.73125,-364.85625,-160.125
-205.303125,-365.7140625,-160.4109375
-206.1609375,-366.2859375,-160.125
-206.7328125,-366.571875,-159.8390625
-207.3046875,-366.2859375,-158.98125
-207.8765625,-365.7140625,-157.8375
-207.8765625,-364.85625,-156.9796875
-207.8765625,-363.4265625,-155.55
-207.3046875,-361.7109375,-154.40625
-206.446875,-359.709375,-153.2625
-205.303125,-357.7078125,-152.4046875
-203.8734375,-355.70625,-151.8328125
-202.1578125,-353.7046875,-151.546875
-200.728125,-352.275,-151.546875
-199.584375,-351.13125,-151.546875
-199.0125,-350.2734375,-151.2609375
-199.0125,-350.2734375,-151.2609375
-199.584375,-350.8453125,-151.2609375
-200.4421875,-351.4171875,-150.975
-201.5859375,-352.5609375,-150.975
-202.7296875,-353.41875,-150.6890625
-203.5875,-354.2765625,-150.6890625
-204.159375,-354.8484375,-150.6890625
-203.8734375,-355.134375,-151.2609375
-203.3015625,-354.8484375,-151.546875
-202.44375,-354.5625,-152.11875
-201.3,-353.990625,-152.690625
-200.4421875,-353.7046875,-153.2625
-199.584375,-353.7046875,-154.1203125
-199.584375,-353.990625,-154.40625
-200.15625,-354.8484375,-154.6921875
-201.3,-356.278125,-154.978125
-203.015625,-357.7078125,-154.6921875
-205.0171875,-359.4234375,-154.40625
-206.7328125,-360.853125,-154.1203125
-208.1625,-361.996875,-153.834375
-209.0203125,-362.2828125,-153.2625
-209.0203125,-361.996875,-152.9765625
-208.1625,-361.1390625,-152.9765625
-207.01875,-359.709375,-152.690625
-205.303125,-358.2796875,-152.9765625
-203.5875,-356.85,-153.2625
-202.44375,-355.9921875,-153.5484375
-201.871875,-355.9921875,-154.1203125
-202.44375,-357.1359375,-154.6921875
-203.8734375,-358.8515625,-154.978125
-206.446875,-361.425,-154.978125
-209.30625,-364.5703125,-155.2640625
-212.4515625,-367.715625,-155.2640625
-215.596875,-370.575,-154.978125
-217.884375,-372.5765625,-154.6921875
-219.028125,-373.434375,-154.40625
-219.028125,-373.434375,-154.40625
-218.1703125,-372.0046875,-153.834375
-215.8828125,-369.7171875,-153.834375
-213.0234375,-366.8578125,-153.834375
-209.878125,-363.9984375,-154.1203125
-206.446875,-361.1390625,-154.6921875
-203.5875,-358.8515625,-155.2640625
-201.0140625,-357.1359375,-156.121875
-199.0125,-356.278125,-157.265625
-197.5828125,-356.278125,-158.6953125
-196.725,-356.5640625,-159.8390625
-196.153125,-357.421875,-161.26875
-195.58125,-357.99375,-162.4125
-195.2953125,-358.2796875,-162.984375
-195.009375,-358.2796875,-163.2703125
-194.7234375,-358.2796875,-163.55625
-194.7234375,-357.7078125,-162.984375
-195.58125,-357.421875,-161.840625
-197.0109375,-357.421875,-160.4109375
-199.584375,-357.7078125,-158.1234375
-202.7296875,-358.8515625,-156.121875
-206.7328125,-360.5671875,-153.834375
-211.3078125,-362.56875,-151.2609375
-215.596875,-364.85625,-149.259375
-219.3140625,-366.8578125,-147.54375
-221.8875,-368.0015625,-146.1140625
-222.7453125,-368.2875,-145.5421875
-222.1734375,-367.4296875,-145.25625
-219.6,-365.1421875,-145.5421875
-215.596875,-361.425,-145.828125
-210.45,-357.1359375,-146.6859375
-205.0171875,-352.275,-147.2578125
-199.584375,-347.7,-148.115625
-195.2953125,-343.9828125,-148.6875
-192.721875,-341.6953125,-148.9734375
-191.8640625,-341.409375,-149.5453125
-193.0078125,-342.8390625,-149.83125
-196.4390625,-345.984375,-149.5453125
-201.0140625,-350.8453125,-149.83125
-206.7328125,-356.85,-150.1171875
-212.4515625,-362.8546875,-150.403125
-218.1703125,-368.859375,-150.6890625
-222.459375,-373.7203125,-151.2609375
-225.6046875,-377.4375,-151.8328125
-226.7484375,-379.153125,-152.4046875
-226.4625,-379.153125,-152.690625
-224.175,-377.4375,-153.2625
-221.0296875,-374.2921875,-153.2625
-216.4546875,-370.2890625,-153.834375
-211.8796875,-365.428125,-153.5484375
-207.01875,-360.853125,-153.834375
-202.44375,-356.278125,-153.834375
-198.440625,-352.5609375,-154.1203125
-195.58125,-349.7015625,-154.1203125
-193.5796875,-347.9859375,-154.40625
-192.721875,-347.4140625,-154.6921875
-192.721875,-347.9859375,-155.2640625
-193.865625,-349.415625,-155.55
-195.8671875,-351.703125,-155.8359375
-198.7265625,-354.8484375,-156.121875
-202.1578125,-358.2796875,-156.121875
-205.5890625,-362.2828125,-156.69375
-209.0203125,-366.0,-156.9796875
-212.165625,-369.1453125,-156.9796875
-214.453125,-371.71875,-157.265625
-215.8828125,-373.434375,-157.5515625
-215.8828125,-374.00625,-158.1234375
-214.453125,-373.434375,-158.98125
-211.8796875,-371.4328125,-159.553125
-208.4484375,-368.859375,-160.4109375
-204.4453125,-365.428125,-160.9828125
-200.4421875,-361.996875,-161.5546875
-197.0109375,-358.8515625,-161.840625
-194.4375,-356.5640625,-162.1265625
-193.5796875,-355.4203125,-161.840625
-194.1515625,-355.4203125,-161.26875
-196.4390625,-357.1359375,-160.696875
-200.15625,-359.709375,-159.553125
-204.4453125,-363.140625,-158.6953125
-209.30625,-366.8578125,-157.5515625
-213.5953125,-370.2890625,-156.69375
-216.740625,-372.8625,-156.121875
-218.7421875,-374.2921875,-155.55
-219.3140625,-374.2921875,-154.978125
-218.45625,-372.8625,-154.40625
-216.4546875,-370.575,-154.1203125
