LEFT,RIGHT,DIFF
-127.2421875,-201.871875,-74.6296875
-125.8125,-200.15625,-74.34375
-124.3828125,-198.440625,-74.0578125
-122.953125,-197.0109375,-74.0578125
-121.809375,-196.4390625,-74.6296875
-121.5234375,-196.4390625,-74.915625
-121.5234375,-197.0109375,-75.4875
-122.0953125,-197.86875,-75.7734375
-122.6671875,-198.7265625,-76.059375
-122.953125,-199.2984375,-76.3453125
-122.953125,-199.2984375,-76.3453125
-122.0953125,-198.440625,-76.3453125
-120.3796875,-197.296875,-76.9171875
-118.0921875,-195.2953125,-77.203125
-115.2328125,-192.721875,-77.4890625
-112.0875,-190.434375,-78.346875
-109.228125,-188.4328125,-79.2046875
-106.940625,-186.7171875,-79.7765625
-105.5109375,-185.859375,-80.3484375
-104.653125,-185.859375,-81.20625
-104.9390625,-186.7171875,-81.778125
-106.0828125,-187.8609375,-81.778125
-107.7984375,-189.5765625,-81.778125
-109.8,-191.578125,-81.778125
-111.8015625,-193.5796875,-81.778125
-113.5171875,-195.2953125,-81.778125
-115.2328125,-196.725,-81.4921875
-116.3765625,-197.86875,-81.4921875
-117.5203125,-199.0125,-81.4921875
-118.378125,-200.15625,-81.778125
-119.2359375,-201.0140625,-81.778125
-120.3796875,-202.44375,-82.0640625
-121.2375,-203.5875,-82.35
-122.38125,-204.4453125,-82.0640625
-122.953125,-205.303125,-82.35
-123.525,-205.5890625,-82.0640625
-123.2390625,-205.303125,-82.0640625
-122.0953125,-203.8734375,-81.778125
-120.09375,-201.871875,-81.778125
-117.234375,-199.0125,-81.778125
-113.5171875,-195.58125,-82.0640625
-109.5140625,-191.578125,-82.0640625
-105.225,-187.8609375,-82.6359375
-101.221875,-184.715625,-83.49375
-98.0765625,-182.1421875,-84.065625
-95.7890625,-180.7125,-84.9234375
-94.93125,-180.4265625,-85.4953125
-95.503125,-181.5703125,-86.0671875
-97.21875,-183.8578125,-86.6390625
-100.078125,-187.003125,-86.925
-103.509375,-190.7203125,-87.2109375
-107.5125,-194.7234375,-87.2109375
-111.515625,-199.0125,-87.496875
-115.2328125,-202.7296875,-87.496875
-118.0921875,-206.1609375,-88.06875
-120.3796875,-209.0203125,-88.640625
-121.809375,-210.7359375,-88.9265625
-122.0953125,-211.8796875,-89.784375
-121.5234375,-211.8796875,-90.35625
-120.3796875,-211.3078125,-90.928125
-118.378125,-209.878125,-91.5
-116.090625,-207.590625,-91.5
-113.5171875,-205.0171875,-91.5
-110.94375,-201.871875,-90.928125
-108.3703125,-198.440625,-90.0703125
-106.36875,-195.2953125,-88.9265625
-104.3671875,-192.4359375,-88.06875
-103.2234375,-190.1484375,-86.925
-102.6515625,-188.4328125,-85.78125
-102.6515625,-187.8609375,-85.209375
-103.2234375,-187.8609375,-84.6375
-104.3671875,-189.0046875,-84.6375
-105.796875,-190.7203125,-84.9234375
-107.2265625,-192.721875,-85.4953125
-108.3703125,-194.7234375,-86.353125
-109.228125,-196.725,-87.496875
-109.8,-198.1546875,-88.3546875
-109.8,-199.2984375,-89.4984375
-109.5140625,-199.8703125,-90.35625
-109.228125,-200.4421875,-91.2140625
-109.8,-201.3,-91.5
-110.94375,-203.015625,-92.071875
-113.803125,-205.875,-92.071875
-118.378125,-210.7359375,-92.3578125
-124.9546875,-217.3125,-92.3578125
-133.5328125,-226.1765625,-92.64375
-143.8265625,-236.75625,-92.9296875
-154.978125,-248.4796875,-93.5015625
-166.7015625,-260.775,-94.0734375
-177.853125,-272.784375,-94.93125
-187.8609375,-283.3640625,-95.503125
-195.2953125,-291.3703125,-96.075
-200.15625,-296.803125,-96.646875
-201.871875,-298.51875,-96.646875
-200.728125,-296.803125,-96.075
-196.4390625,-291.65625,-95.2171875
-189.8625,-283.65,-93.7875
-181.85625,-273.928125,-92.071875
-172.9921875,-262.7765625,-89.784375
-164.4140625,-251.625,-87.2109375
-156.4078125,-241.33125,-84.9234375
-149.83125,-232.18125,-82.35
-144.9703125,-225.0328125,-80.0625
-141.825,-219.6,-77.775
-139.8234375,-216.16875,-76.3453125
-138.965625,-214.453125,-75.4875
-138.965625,-213.88125,-74.915625
-138.6796875,-213.5953125,-74.915625
-138.1078125,-213.5953125,-75.4875
-136.9640625,-213.5953125,-76.63125
-134.6765625,-212.7375,-78.0609375
-131.8171875,-211.021875,-79.2046875
-127.8140625,-209.0203125,-81.20625
-123.525,-206.1609375,-82.6359375
-118.95,-203.015625,-84.065625
-114.375,-199.8703125,-85.4953125
-110.0859375,-197.296875,-87.2109375
-106.940625,-195.009375,-88.06875
-104.9390625,-193.865625,-88.9265625
-104.08125,-193.865625,-89.784375
-104.9390625,-195.009375,-90.0703125
-107.2265625,-197.296875,-90.0703125
-110.94375,-200.728125,-89.784375
-115.8046875,-205.303125,-89.4984375
-121.5234375,-210.45,-88.9265625
-127.8140625,-215.596875,-87.7828125
-133.5328125,-220.74375,-87.2109375
-138.965625,-225.0328125,-86.0671875
-142.6828125,-228.178125,-85.4953125
-144.684375,-229.6078125,-84.9234375
-144.684375,-229.0359375,-84.3515625
-142.1109375,-226.4625,-84.3515625
-137.821875,-221.8875,-84.065625
-131.53125,-216.16875,-84.6375
-124.096875,-209.30625,-85.209375
-116.3765625,-202.44375,-86.0671875
-109.228125,-195.8671875,-86.6390625
-103.2234375,-190.7203125,-87.496875
-99.50625,-187.575,-88.06875
-98.3625,-186.7171875,-88.3546875
-99.50625,-188.146875,-88.640625
-103.2234375,-191.578125,-88.3546875
-108.65625,-196.725,-88.06875
-115.2328125,-202.7296875,-87.496875
-121.809375,-208.734375,-86.925
-127.8140625,-214.1671875,-86.353125
-132.103125,-218.1703125,-86.0671875
-134.6765625,-220.74375,-86.0671875
-134.9625,-221.315625,-86.353125
-133.5328125,-220.171875,-86.6390625
-130.3875,-218.1703125,-87.7828125
-126.95625,-215.596875,-88.640625
-123.2390625,-213.309375,-90.0703125
-120.665625,-211.59375,-90.928125
-119.2359375,-211.021875,-91.7859375
-119.2359375,-211.59375,-92.3578125
-120.665625,-213.309375,-92.64375
-123.2390625,-215.596875,-92.3578125
-126.384375,-218.1703125,-91.7859375
-129.5296875,-220.4578125,-90.928125
-131.8171875,-221.8875,-90.0703125
-132.675,-221.8875,-89.2125
-132.3890625,-220.74375,-88.3546875
-130.1015625,-218.45625,-88.3546875
-126.95625,-215.3109375,-88.3546875
-122.953125,-211.8796875,-88.9265625
-118.95,-208.734375,-89.784375
-115.2328125,-206.446875,-91.2140625
-112.9453125,-205.303125,-92.3578125
-111.8015625,-205.303125,-93.5015625
-112.0875,-206.446875,-94.359375
-113.5171875,-208.4484375,-94.93125
-115.51875,-210.7359375,-95.2171875
-117.80625,-213.0234375,-95.2171875
-120.09375,-214.453125,-94.359375
-121.2375,-214.7390625,-93.5015625
-121.5234375,-214.1671875,-92.64375
-120.9515625,-212.4515625,-91.5
-119.521875,-210.1640625,-90.6421875
-118.0921875,-208.1625,-90.0703125
-116.6625,-206.446875,-89.784375
-116.3765625,-206.1609375,-89.784375
-117.234375,-207.01875,-89.784375
-119.2359375,-209.5921875,-90.35625
-122.6671875,-213.309375,-90.6421875
-127.2421875,-217.884375,-90.6421875
-131.8171875,-223.03125,-91.2140625
-136.3921875,-227.60625,-91.2140625
-139.8234375,-231.0375,-91.2140625
-142.1109375,-233.325,-91.2140625
-142.396875,-233.325,-90.928125
-140.68125,-231.8953125,-91.2140625
-137.5359375,-228.75,-91.2140625
-133.246875,-224.746875,-91.5
-128.671875,-220.4578125,-91.7859375
-124.096875,-216.4546875,-92.3578125
-120.3796875,-213.309375,-92.9296875
