LEFT,RIGHT,DIFF
-97.790625,-147.54375,-49.753125
-95.503125,-145.5421875,-50.0390625
-92.071875,-142.6828125,-50.6109375
-88.06875,-138.965625,-50.896875
-83.7796875,-135.534375,-51.7546875
-79.490625,-132.103125,-52.6125
-76.3453125,-129.815625,-53.4703125
-73.771875,-128.3859375,-54.6140625
-72.3421875,-128.1,-55.7578125
-72.05625,-128.3859375,-56.3296875
-72.05625,-129.5296875,-57.4734375
-72.9140625,-130.6734375,-57.759375
-73.771875,-131.8171875,-58.0453125
-74.6296875,-132.675,-58.0453125
-75.2015625,-133.246875,-58.0453125
-75.7734375,-132.9609375,-57.1875
-75.7734375,-132.675,-56.9015625
-76.059375,-132.103125,-56.04375
-76.059375,-131.53125,-55.471875
-76.63125,-131.53125,-54.9
-77.203125,-132.103125,-54.9
-77.775,-132.9609375,-55.1859375
-78.6328125,-134.390625,-55.7578125
-79.2046875,-135.534375,-56.3296875
-79.490625,-136.678125,-57.1875
-78.6328125,-137.25,-58.6171875
-77.203125,-136.9640625,-59.7609375
-74.915625,-135.534375,-60.61875
-71.7703125,-133.246875,-61.4765625
-68.053125,-130.3875,-62.334375
-64.05,-126.6703125,-62.6203125
-60.3328125,-123.2390625,-62.90625
-57.4734375,-120.09375,-62.6203125
-55.471875,-117.5203125,-62.0484375
-54.9,-116.090625,-61.190625
-55.7578125,-115.8046875,-60.046875
-58.0453125,-116.6625,-58.6171875
-60.9046875,-118.378125,-57.4734375
-64.621875,-120.9515625,-56.3296875
-68.053125,-123.2390625,-55.1859375
-71.1984375,-125.5265625,-54.328125
-73.4859375,-126.95625,-53.4703125
-74.34375,-127.2421875,-52.8984375
-74.34375,-126.6703125,-52.3265625
-72.9140625,-124.9546875,-52.040625
-70.6265625,-122.38125,-51.7546875
-67.7671875,-119.2359375,-51.46875
-64.9078125,-116.3765625,-51.46875
-62.334375,-113.5171875,-51.1828125
-60.61875,-111.515625,-50.896875
-59.7609375,-110.371875,-50.6109375
-59.7609375,-110.371875,-50.6109375
-61.190625,-111.2296875,-50.0390625
-63.478125,-113.23125,-49.753125
-66.6234375,-116.090625,-49.4671875
-70.0546875,-118.95,-48.8953125
-73.4859375,-122.0953125,-48.609375
-76.63125,-124.9546875,-48.3234375
-79.7765625,-127.528125,-47.7515625
-82.0640625,-129.815625,-47.7515625
-83.49375,-131.2453125,-47.7515625
-84.6375,-132.103125,-47.465625
-84.9234375,-132.3890625,-47.465625
-84.6375,-132.103125,-47.465625
-84.065625,-131.8171875,-47.7515625
-82.921875,-130.959375,-48.0375
-81.778125,-130.1015625,-48.3234375
-80.3484375,-129.24375,-48.8953125
-78.91875,-128.3859375,-49.4671875
-77.4890625,-127.528125,-50.0390625
-76.3453125,-126.6703125,-50.325
-75.2015625,-126.0984375,-50.896875
-74.34375,-125.8125,-51.46875
-74.0578125,-125.8125,-51.7546875
-73.771875,-126.0984375,-52.3265625
-74.0578125,-126.384375,-52.3265625
-74.34375,-126.95625,-52.6125
-74.915625,-127.528125,-52.6125
-75.2015625,-127.528125,-52.3265625
-75.2015625,-127.2421875,-52.040625
