LEFT,RIGHT,DIFF
-1012.5046875,-411.4640625,601.040625
-1009.359375,-410.034375,599.325
-1006.7859375,-409.7484375,597.0375
-1005.6421875,-410.8921875,594.75
-1005.928125,-413.7515625,592.1765625
-1008.215625,-418.040625,590.175
-1011.9328125,-423.4734375,588.459375
-1017.365625,-428.90625,588.459375
-1023.084375,-434.053125,589.03125
-1028.5171875,-438.05625,590.4609375
-1032.80625,-440.0578125,592.7484375
-1035.09375,-439.4859375,595.6078125
-1035.09375,-436.340625,598.753125
-1032.5203125,-430.9078125,601.6125
-1027.9453125,-424.0453125,603.9
-1022.2265625,-416.6109375,605.615625
-1016.221875,-410.034375,606.1875
-1011.3609375,-404.8875,606.4734375
-1008.5015625,-402.6,605.9015625
-1008.7875,-404.0296875,604.7578125
-1012.5046875,-409.1765625,603.328125
-1020.225,-418.040625,602.184375
-1030.8046875,-429.7640625,601.040625
-1043.9578125,-443.775,600.1828125
-1058.2546875,-458.3578125,599.896875
-1072.265625,-472.36875,599.896875
-1084.846875,-484.6640625,600.1828125
-1094.8546875,-494.1,600.7546875
-1101.7171875,-500.390625,601.3265625
-1105.434375,-503.25,602.184375
-1106.2921875,-502.9640625,603.328125
-1104.5765625,-500.390625,604.1859375
-1102.003125,-496.6734375,605.3296875
-1099.4296875,-492.6703125,606.759375
-1097.7140625,-489.525,608.1890625
-1097.7140625,-487.809375,609.9046875
-1099.715625,-488.38125,611.334375
-1103.71875,-491.240625,612.478125
-1109.1515625,-495.815625,613.3359375
-1115.728125,-502.10625,613.621875
-1122.01875,-508.96875,613.05
-1128.0234375,-515.83125,612.1921875
-1132.3125,-521.8359375,610.4765625
-1134.6,-526.696875,607.903125
-1135.4578125,-529.8421875,605.615625
-1134.6,-531.5578125,603.0421875
-1132.884375,-531.5578125,601.3265625
-1131.16875,-530.9859375,600.1828125
-1130.3109375,-529.8421875,600.46875
-1130.596875,-528.6984375,601.8984375
-1133.1703125,-528.6984375,604.471875
-1137.7453125,-529.8421875,607.903125
-1144.321875,-532.415625,611.90625
-1152.6140625,-536.1328125,616.48125
-1161.7640625,-541.2796875,620.484375
-1170.9140625,-546.9984375,623.915625
-1179.20625,-553.003125,626.203125
-1186.06875,-558.721875,627.346875
-1190.64375,-563.5828125,627.0609375
-1192.93125,-567.0140625,625.9171875
-1192.6453125,-569.5875,623.0578125
-1190.64375,-570.4453125,620.1984375
-1187.2125,-570.4453125,616.7671875
-1183.209375,-569.5875,613.621875
-1179.4921875,-568.44375,611.0484375
-1176.6328125,-567.5859375,609.046875
-1175.203125,-567.3,607.903125
-1175.775,-568.44375,607.33125
