LEFT,RIGHT,DIFF
-1074.2671875,-1147.753125,-73.4859374999999
-1075.125,-1149.7546875,-74.6296875
-1076.840625,-1152.9,-76.059375
-1079.4140625,-1156.903125,-77.4890625
-1082.559375,-1161.478125,-78.91875
-1085.990625,-1165.48125,-79.4906249999999
-1088.85,-1169.1984375,-80.3484374999998
-1091.709375,-1171.4859375,-79.7765625
-1093.425,-1173.2015625,-79.7765625000002
-1094.8546875,-1173.4875,-78.6328125
-1095.140625,-1173.2015625,-78.0609375000001
-1095.140625,-1172.0578125,-76.9171875
-1094.2828125,-1170.628125,-76.3453124999999
-1093.425,-1168.9125,-75.4875000000002
-1092.28125,-1167.76875,-75.4875
-1090.8515625,-1166.625,-75.7734375
-1089.7078125,-1166.053125,-76.3453125000001
-1088.85,-1165.48125,-76.6312499999999
-1087.70625,-1165.7671875,-78.0609375000001
-1086.8484375,-1166.053125,-79.2046875000001
-1085.7046875,-1166.625,-80.9203124999999
-1084.846875,-1167.76875,-82.921875
-1083.9890625,-1169.1984375,-85.2093749999999
-1083.13125,-1170.9140625,-87.7828124999999
-1082.559375,-1172.915625,-90.35625
-1081.9875,-1175.4890625,-93.5015625000001
-1081.9875,-1177.7765625,-95.7890625
-1081.7015625,-1180.0640625,-98.3625
-1081.7015625,-1182.065625,-100.3640625
-1081.415625,-1182.9234375,-101.5078125
-1080.84375,-1182.9234375,-102.0796875
-1080.271875,-1181.7796875,-101.5078125
-1079.128125,-1179.778125,-100.65
-1077.6984375,-1176.6328125,-98.934375
-1075.9828125,-1172.915625,-96.9328125
-1074.553125,-1169.484375,-94.9312499999999
-1073.1234375,-1166.3390625,-93.2156249999998
-1072.5515625,-1164.6234375,-92.0718750000001
-1072.8375,-1164.3375,-91.5
-1074.2671875,-1166.053125,-91.7859375
-1076.840625,-1169.484375,-92.64375
-1079.9859375,-1174.059375,-94.0734375
-1083.703125,-1179.778125,-96.075
-1087.70625,-1185.496875,-97.7906250000001
-1091.1375,-1190.3578125,-99.2203125000001
-1093.7109375,-1194.3609375,-100.65
-1095.140625,-1196.0765625,-100.9359375
-1094.8546875,-1195.790625,-100.9359375
-1093.1390625,-1193.503125,-100.3640625
-1090.2796875,-1189.5,-99.2203124999999
-1086.2765625,-1184.353125,-98.0765625000001
-1082.2734375,-1178.9203125,-96.6468750000001
-1078.2703125,-1173.4875,-95.2171874999999
-1075.125,-1168.9125,-93.7875000000001
-1073.1234375,-1166.053125,-92.9296875
-1072.5515625,-1164.6234375,-92.0718750000001
-1073.409375,-1164.3375,-90.9281250000001
-1075.125,-1165.48125,-90.35625
-1077.6984375,-1167.4828125,-89.7843750000002
-1080.271875,-1169.1984375,-88.9265624999998
-1082.2734375,-1170.628125,-88.3546875
-1083.703125,-1171.2,-87.496875
-1083.703125,-1170.9140625,-87.2109375
-1082.8453125,-1169.484375,-86.6390624999999
-1081.1296875,-1167.4828125,-86.3531250000001
-1078.55625,-1165.1953125,-86.6390624999999
-1076.26875,-1163.19375,-86.9250000000002
-1073.98125,-1162.05,-88.0687499999999
-1072.8375,-1161.7640625,-88.9265625
-1072.5515625,-1163.19375,-90.6421875000001
-1073.6953125,-1165.48125,-91.7859375
-1075.4109375,-1168.9125,-93.5015625000001
-1077.984375,-1172.6296875,-94.6453125
-1080.84375,-1176.0609375,-95.2171875000001
-1083.4171875,-1178.9203125,-95.5031250000002
-1085.1328125,-1180.35,-95.2171875000001
-1085.7046875,-1180.35,-94.6453125
-1085.1328125,-1178.9203125,-93.7875000000001
-1083.4171875,-1176.0609375,-92.6437500000002
-1080.84375,-1172.34375,-91.5
-1078.2703125,-1168.6265625,-90.35625
-1075.696875,-1164.909375,-89.2124999999999
-1073.98125,-1162.621875,-88.640625
-1073.409375,-1161.7640625,-88.3546875000002
-1074.2671875,-1162.3359375,-88.0687499999999
-1076.5546875,-1164.909375,-88.3546875
-1079.9859375,-1168.6265625,-88.640625
-1084.275,-1173.2015625,-88.9265625
-1088.85,-1178.0625,-89.2124999999999
-1092.853125,-1182.3515625,-89.4984374999999
-1095.9984375,-1185.7828125,-89.784375
-1097.7140625,-1187.4984375,-89.7843750000002
-1098.0,-1187.784375,-89.784375
-1096.85625,-1186.06875,-89.2125000000001
-1094.2828125,-1183.209375,-88.9265625
-1090.565625,-1179.20625,-88.640625
-1086.5625,-1174.9171875,-88.3546875
