LEFT,RIGHT,DIFF
-394.3078125,-456.0703125,-61.7625
-393.45,-455.2125,-61.7625
-392.878125,-454.640625,-61.7625
-392.30625,-454.3546875,-62.0484375
-392.30625,-454.640625,-62.334375
-392.878125,-454.9265625,-62.0484375
-393.45,-455.784375,-62.334375
-394.59375,-456.6421875,-62.0484375
-395.7375,-457.2140625,-61.4765625
-396.88125,-458.071875,-61.190625
-397.7390625,-458.64375,-60.9046875
-398.8828125,-459.215625,-60.3328125
-399.740625,-460.0734375,-60.3328125
-400.5984375,-460.93125,-60.3328125
-401.7421875,-462.646875,-60.9046875
-402.8859375,-464.6484375,-61.7625
-404.0296875,-467.221875,-63.1921875
-405.7453125,-470.3671875,-64.621875
-407.4609375,-473.7984375,-66.3375
-409.4625,-477.515625,-68.053125
-411.178125,-480.6609375,-69.4828125
-412.89375,-483.5203125,-70.6265625
-413.7515625,-485.2359375,-71.484375
-414.0375,-486.09375,-72.05625
-413.7515625,-485.521875,-71.7703125
-412.6078125,-483.5203125,-70.9125
-410.60625,-480.6609375,-70.0546875000001
-408.0328125,-476.94375,-68.9109375
-405.1734375,-472.6546875,-67.48125
-402.3140625,-468.365625,-66.0515625
-399.740625,-464.3625,-64.621875
-397.453125,-460.93125,-63.478125
-396.0234375,-457.7859375,-61.7625
-395.4515625,-455.784375,-60.3328125
-395.165625,-454.3546875,-59.1890625
-395.7375,-453.496875,-57.759375
-396.309375,-452.925,-56.615625
-397.1671875,-452.925,-55.7578125
-397.7390625,-452.925,-55.1859375
-398.3109375,-453.2109375,-54.9
-390.3046875,-456.928125,-66.6234375
-390.01875,-454.9265625,-64.9078125
-390.01875,-452.353125,-62.334375
-389.7328125,-449.7796875,-60.046875
-389.1609375,-447.778125,-58.6171875000001
-388.875,-446.3484375,-57.4734375
-388.875,-446.0625,-57.1875
-389.1609375,-447.20625,-58.0453125
-390.590625,-449.49375,-58.903125
-392.5921875,-452.925,-60.3328125
-395.4515625,-457.2140625,-61.7625
-399.16875,-461.7890625,-62.6203125
-403.4578125,-466.078125,-62.6203125
-407.4609375,-469.509375,-62.0484375
-411.178125,-472.0828125,-60.9046875
-414.0375,-472.940625,-58.903125
-415.753125,-472.36875,-56.615625
-416.0390625,-470.3671875,-54.328125
-415.18125,-467.5078125,-52.3265625
-412.89375,-464.3625,-51.46875
-392.878125,-462.646875,-69.76875
-393.45,-463.5046875,-70.0546875000001
-395.4515625,-464.6484375,-69.196875
-398.3109375,-465.7921875,-67.48125
-401.1703125,-466.9359375,-65.765625
-404.0296875,-467.79375,-63.7640625
-405.7453125,-468.0796875,-62.334375
-406.3171875,-467.79375,-61.4765625000001
-405.7453125,-467.221875,-61.4765625
-403.74375,-465.7921875,-62.0484375
-400.5984375,-464.0765625,-63.478125
-396.5953125,-462.075,-65.4796875
-392.5921875,-460.0734375,-67.48125
-388.875,-458.071875,-69.196875
-385.7296875,-456.35625,-70.6265625
-383.4421875,-454.9265625,-71.4843750000001
-382.584375,-453.7828125,-71.1984375
-382.8703125,-452.925,-70.0546875
-383.728125,-452.353125,-68.625
-385.44375,-452.0671875,-66.6234375
-389.7328125,-459.215625,-69.4828125
-387.4453125,-456.0703125,-68.625
-386.3015625,-453.496875,-67.1953125000001
-386.5875,-452.353125,-65.765625
-388.303125,-452.925,-64.621875
-391.4484375,-454.640625,-63.1921875
-395.7375,-457.7859375,-62.0484375
-400.5984375,-462.075,-61.4765625000001
-405.459375,-466.3640625,-60.9046875
-409.7484375,-470.9390625,-61.190625
-413.1796875,-474.65625,-61.4765625
-415.4671875,-477.515625,-62.0484375
-416.325,-478.9453125,-62.6203125
-415.753125,-479.23125,-63.478125
-414.3234375,-478.0875,-63.7640625
-412.321875,-476.0859375,-63.7640625
-410.3203125,-473.5125,-63.1921875
-408.31875,-470.9390625,-62.6203125
-406.8890625,-468.6515625,-61.7625
-406.03125,-466.9359375,-60.9046875
-406.3171875,-466.078125,-59.7609375
-406.8890625,-466.078125,-59.1890625
-408.31875,-466.3640625,-58.0453125
-410.034375,-467.221875,-57.1875
-411.4640625,-468.0796875,-56.615625
-412.89375,-468.6515625,-55.7578125
-413.7515625,-468.365625,-54.6140625
-413.7515625,-467.5078125,-53.75625
