LEFT,RIGHT,DIFF
-299.3765625,-353.41875,-54.0421875
-299.6625,-351.703125,-52.040625
-298.51875,-349.415625,-50.896875
-296.23125,-346.2703125,-50.0390625
-292.8,-342.8390625,-50.0390625
-289.0828125,-339.69375,-50.6109375
-285.365625,-337.1203125,-51.7546875
-282.2203125,-335.11875,-52.8984375
-280.5046875,-333.975,-53.4703125
-279.9328125,-333.975,-54.0421875
-280.790625,-334.8328125,-54.0421875
-283.078125,-336.5484375,-53.4703125
-286.2234375,-338.8359375,-52.6125
-290.2265625,-341.1234375,-50.896875
-293.94375,-343.4109375,-49.4671875
-297.375,-345.4125,-48.0375
-299.9484375,-346.55625,-46.6078125
-301.0921875,-347.128125,-46.0359375
-301.0921875,-346.55625,-45.4640625
-299.6625,-345.4125,-45.75
-297.0890625,-343.9828125,-46.89375
-293.6578125,-341.98125,-48.3234375
-289.940625,-339.9796875,-50.0390625
-286.2234375,-338.2640625,-52.040625
-282.50625,-336.834375,-54.328125
-279.3609375,-335.9765625,-56.615625
-276.7875,-335.4046875,-58.6171875
-274.5,-335.11875,-60.61875
-272.4984375,-335.11875,-62.6203125
-270.496875,-335.11875,-64.621875
-268.209375,-334.546875,-66.3375
-265.6359375,-333.975,-68.3390625
-262.490625,-332.5453125,-70.0546875
-259.3453125,-330.8296875,-71.484375
-255.9140625,-328.828125,-72.9140625
-252.76875,-326.540625,-73.771875
-250.1953125,-324.5390625,-74.34375
-248.4796875,-322.8234375,-74.34375
-247.621875,-321.6796875,-74.0578125
-248.4796875,-321.1078125,-72.628125
-250.48125,-321.6796875,-71.1984375
-253.9125,-323.109375,-69.196875
-257.915625,-325.1109375,-67.1953125
-262.7765625,-327.3984375,-64.621875
-267.3515625,-329.971875,-62.6203125
-271.9265625,-332.5453125,-60.61875
-275.3578125,-334.546875,-59.1890625
-278.2171875,-335.690625,-57.4734375
-279.646875,-336.2625,-56.615625
-279.9328125,-335.690625,-55.7578125
-279.3609375,-334.546875,-55.1859375
-277.93125,-332.83125,-54.9
-276.215625,-330.8296875,-54.6140625
-274.2140625,-328.828125,-54.6140625
-272.4984375,-326.8265625,-54.328125
-271.3546875,-325.6828125,-54.328125
-270.496875,-324.825,-54.328125
-269.925,-324.825,-54.9
-269.925,-325.396875,-55.471875
-269.925,-326.2546875,-56.3296875
-269.925,-327.1125,-57.1875
-269.6390625,-327.9703125,-58.33125
-268.78125,-328.5421875,-59.7609375
-267.6375,-328.5421875,-60.9046875
-265.921875,-327.9703125,-62.0484375
-263.634375,-326.8265625,-63.1921875
-261.346875,-325.1109375,-63.7640625
-258.7734375,-323.109375,-64.3359375
-256.771875,-320.821875,-64.05
-254.7703125,-318.8203125,-64.05
-253.340625,-317.1046875,-63.7640625
-252.76875,-315.9609375,-63.1921875
-252.4828125,-315.3890625,-62.90625
-252.76875,-315.3890625,-62.6203125
-253.6265625,-315.9609375,-62.334375
-254.1984375,-317.1046875,-62.90625
-255.05625,-318.2484375,-63.1921875
-255.9140625,-319.678125,-63.7640625
-256.4859375,-321.1078125,-64.621875
-256.771875,-322.2515625,-65.4796875
-256.771875,-323.3953125,-66.6234375
-256.771875,-324.5390625,-67.7671875
-256.771875,-325.396875,-68.625
-256.771875,-326.540625,-69.76875
-257.0578125,-327.3984375,-70.340625
-257.34375,-328.25625,-70.9125
-257.6296875,-328.828125,-71.1984375
-257.915625,-329.4,-71.484375
-258.2015625,-329.6859375,-71.484375
-258.4875,-329.4,-70.9125
-258.4875,-328.5421875,-70.0546875
-258.2015625,-327.3984375,-69.196875
-257.915625,-325.96875,-68.053125
-257.6296875,-324.5390625,-66.909375
-257.915625,-322.8234375,-64.9078125
-258.2015625,-321.6796875,-63.478125
-259.3453125,-320.821875,-61.4765625
-261.0609375,-321.1078125,-60.046875
-263.0625,-321.965625,-58.903125
-265.6359375,-323.3953125,-57.759375
-268.4953125,-325.6828125,-57.1875
-271.06875,-328.25625,-57.1875
-273.6421875,-331.115625,-57.4734375
-275.3578125,-333.403125,-58.0453125
-276.5015625,-335.4046875,-58.903125
-276.7875,-336.5484375,-59.7609375
-276.215625,-337.1203125,-60.9046875
-275.3578125,-336.834375,-61.4765625
-274.2140625,-335.690625,-61.4765625
-273.35625,-334.2609375,-60.9046875
-272.784375,-332.83125,-60.046875
-272.4984375,-331.115625,-58.6171875
-272.784375,-329.6859375,-56.9015625
-273.6421875,-328.5421875,-54.9
-274.5,-327.3984375,-52.8984375
-275.071875,-326.2546875,-51.1828125
-275.071875,-324.825,-49.753125
-274.5,-323.109375,-48.609375
-272.784375,-321.1078125,-48.3234375
-269.925,-318.2484375,-48.3234375
-266.49375,-315.3890625,-48.8953125
-262.2046875,-312.24375,-50.0390625
-258.2015625,-309.384375,-51.1828125
-254.484375,-307.096875,-52.6125
-251.3390625,-305.6671875,-54.328125
