LEFT,RIGHT,DIFF
-1665.871875,-1405.9546875,259.9171875
-1668.159375,-1406.5265625,261.6328125
-1668.4453125,-1406.240625,262.2046875
-1666.7296875,-1404.2390625,262.490625
-1663.0125,-1400.8078125,262.2046875
-1657.5796875,-1396.2328125,261.346875
-1651.575,-1391.0859375,260.4890625
-1645.5703125,-1386.225,259.3453125
-1640.709375,-1382.5078125,258.2015625
-1637.85,-1380.2203125,257.6296875
-1637.85,-1380.2203125,257.6296875
-1640.9953125,-1383.0796875,257.915625
-1647.571875,-1388.7984375,258.7734375
-1656.4359375,-1396.51875,259.9171875
-1667.3015625,-1405.9546875,261.346875
-1678.453125,-1415.9625,262.490625
-1689.0328125,-1425.1125,263.9203125
-1697.325,-1432.8328125,264.4921875
-1702.471875,-1437.4078125,265.0640625
-1703.9015625,-1439.1234375,264.778125
-1701.328125,-1436.8359375,264.4921875
-1695.0375,-1431.403125,263.634375
-1686.1734375,-1423.396875,262.7765625
-1675.59375,-1413.9609375,261.6328125
-1665.0140625,-1404.525,260.4890625
-1655.578125,-1395.946875,259.63125
-1648.715625,-1389.9421875,258.7734375
-1645.284375,-1386.796875,258.4875
-1645.5703125,-1387.36875,258.2015625
-1649.2875,-1391.0859375,258.2015625
-1656.15,-1397.9484375,258.2015625
-1664.728125,-1406.240625,258.4875
-1673.878125,-1415.390625,258.4875
-1682.7421875,-1423.6828125,259.059375
-1689.6046875,-1430.259375,259.3453125
-1694.1796875,-1434.5484375,259.63125
-1696.18125,-1435.6921875,260.4890625
-1695.609375,-1434.5484375,261.0609375
-1693.0359375,-1430.83125,262.2046875
-1689.0328125,-1425.9703125,263.0625
-1685.0296875,-1420.8234375,264.20625
-1681.5984375,-1416.534375,265.0640625
-1679.3109375,-1413.3890625,265.921875
-1679.025,-1412.53125,266.49375
-1680.4546875,-1413.9609375,266.49375
-1683.6,-1417.10625,266.49375
-1687.603125,-1421.68125,265.921875
-1691.60625,-1426.5421875,265.0640625
-1695.3234375,-1431.1171875,264.20625
-1697.325,-1434.2625,263.0625
-1697.896875,-1435.40625,262.490625
-1696.18125,-1434.5484375,261.6328125
-1692.75,-1431.6890625,261.0609375
-1688.175,-1427.1140625,261.0609375
-1683.028125,-1421.68125,261.346875
-1677.88125,-1416.2484375,261.6328125
-1673.878125,-1411.959375,261.91875
-1671.8765625,-1409.1,262.7765625
-1672.1625,-1408.528125,263.634375
-1674.45,-1410.24375,264.20625
-1679.3109375,-1414.246875,265.0640625
-1685.6015625,-1419.965625,265.6359375
-1692.4640625,-1426.5421875,265.921875
-1699.6125,-1433.4046875,266.2078125
-1705.6171875,-1439.1234375,266.49375
-1709.90625,-1443.4125,266.49375
-1711.9078125,-1445.128125,266.7796875
-1711.3359375,-1444.55625,266.7796875
-1708.190625,-1441.4109375,266.7796875
-1703.04375,-1436.2640625,266.7796875
-1696.4671875,-1429.9734375,266.49375
-1689.0328125,-1422.825,266.2078125
-1681.884375,-1416.2484375,265.6359375
-1675.8796875,-1410.5296875,265.35
-1671.590625,-1407.0984375,264.4921875
-1669.5890625,-1405.66875,263.9203125
-1669.875,-1406.240625,263.634375
-1672.1625,-1409.3859375,262.7765625
-1675.8796875,-1413.675,262.2046875
-1681.0265625,-1419.1078125,261.91875
-1686.1734375,-1424.540625,261.6328125
-1691.034375,-1429.4015625,261.6328125
-1694.465625,-1432.8328125,261.6328125
-1696.753125,-1434.834375,261.91875
-1696.753125,-1434.5484375,262.2046875
-1695.3234375,-1432.546875,262.7765625
-1692.4640625,-1429.115625,263.3484375
-1688.746875,-1424.8265625,263.9203125
-1684.74375,-1419.965625,264.778125
-1681.0265625,-1415.6765625,265.35
-1678.1671875,-1412.2453125,265.921875
-1676.4515625,-1410.24375,266.2078125
-1676.4515625,-1409.671875,266.7796875
-1677.5953125,-1410.5296875,267.065625
-1679.596875,-1412.2453125,267.3515625
-1682.45625,-1414.81875,267.6375
-1685.315625,-1417.3921875,267.9234375
-1687.603125,-1419.965625,267.6375
-1689.6046875,-1421.68125,267.9234375
-1690.4625,-1422.253125,268.209375
-1690.1765625,-1422.253125,267.9234375
-1689.31875,-1421.3953125,267.9234375
-1688.175,-1420.2515625,267.9234375
-1686.7453125,-1418.821875,267.9234375
-1685.315625,-1417.3921875,267.9234375
-1684.74375,-1416.2484375,268.4953125
-1684.4578125,-1415.6765625,268.78125
-1684.4578125,-1415.390625,269.0671875
-1685.0296875,-1415.1046875,269.925
-1685.0296875,-1414.5328125,270.496875
-1684.74375,-1413.3890625,271.3546875
-1683.6,-1411.6734375,271.9265625
-1681.5984375,-1408.8140625,272.784375
-1678.7390625,-1405.3828125,273.35625
-1675.3078125,-1401.665625,273.6421875
-1671.590625,-1397.9484375,273.6421875
-1667.8734375,-1394.5171875,273.35625
-1665.3,-1392.2296875,273.0703125
-1663.584375,-1391.371875,272.2125
-1663.584375,-1391.6578125,271.9265625
-1664.728125,-1393.659375,271.06875
-1666.7296875,-1396.51875,270.2109375
-1669.5890625,-1399.6640625,269.925
