LEFT,RIGHT,DIFF
-1724.775,-1555.2140625,169.5609375
-1727.9203125,-1559.2171875,168.703125
-1732.209375,-1564.3640625,167.8453125
-1736.784375,-1569.5109375,167.2734375
-1740.7875,-1574.0859375,166.7015625
-1743.646875,-1577.803125,165.84375
-1745.3625,-1580.3765625,164.9859375
-1745.3625,-1581.5203125,163.8421875
-1744.21875,-1581.5203125,162.6984375
-1741.93125,-1580.3765625,161.5546875
-1739.3578125,-1578.946875,160.4109375
-1736.784375,-1577.5171875,159.2671875
-1735.06875,-1576.3734375,158.6953125
-1733.925,-1575.8015625,158.1234375
-1734.2109375,-1576.3734375,157.8375
-1735.3546875,-1577.803125,157.5515625
-1737.35625,-1579.8046875,157.5515625
-1739.9296875,-1582.0921875,157.8375
-1742.2171875,-1584.09375,158.1234375
-1743.646875,-1585.5234375,158.1234375
-1744.21875,-1585.809375,158.409375
-1743.075,-1584.9515625,158.1234375
-1740.7875,-1582.95,157.8375
-1737.35625,-1579.8046875,157.5515625
-1733.0671875,-1576.0875,156.9796875
-1728.778125,-1571.7984375,156.9796875
-1724.4890625,-1568.08125,156.4078125
-1721.0578125,-1564.65,156.4078125
-1719.05625,-1562.3625,156.69375
-1718.484375,-1561.21875,157.265625
-1719.3421875,-1561.21875,158.1234375
-1721.6296875,-1562.0765625,159.553125
-1724.4890625,-1563.7921875,160.696875
-1727.634375,-1565.79375,161.840625
-1730.7796875,-1567.509375,163.2703125
-1733.0671875,-1568.653125,164.4140625
-1734.2109375,-1568.653125,165.5578125
-1734.2109375,-1567.7953125,166.415625
-1733.0671875,-1566.0796875,166.9875
-1731.065625,-1563.7921875,167.2734375
-1728.4921875,-1560.9328125,167.559375
-1725.91875,-1558.359375,167.559375
-1723.9171875,-1556.071875,167.8453125
-1723.059375,-1554.6421875,168.4171875
-1723.059375,-1554.35625,168.703125
-1724.203125,-1554.928125,169.275
-1726.490625,-1556.64375,169.846875
-1729.0640625,-1558.6453125,170.41875
-1731.9234375,-1560.9328125,170.990625
-1734.496875,-1562.934375,171.5625
-1736.2125,-1564.078125,172.134375
-1736.4984375,-1564.65,171.8484375
-1735.9265625,-1564.078125,171.8484375
-1734.2109375,-1562.6484375,171.5625
-1731.3515625,-1560.646875,170.7046875
-1728.4921875,-1558.359375,170.1328125
-1725.91875,-1556.64375,169.275
-1723.9171875,-1555.5,168.4171875
-1723.3453125,-1555.5,167.8453125
-1724.4890625,-1556.64375,167.8453125
-1726.7765625,-1559.503125,167.2734375
-1730.49375,-1563.2203125,167.2734375
-1734.7828125,-1567.7953125,166.9875
-1739.3578125,-1572.3703125,166.9875
-1743.646875,-1576.9453125,166.7015625
-1746.50625,-1580.6625,165.84375
-1747.9359375,-1582.95,164.9859375
-1747.65,-1584.09375,163.55625
-1745.3625,-1583.521875,161.840625
-1741.6453125,-1581.5203125,160.125
-1737.0703125,-1578.6609375,158.409375
-1731.9234375,-1575.515625,156.4078125
-1727.0625,-1572.3703125,154.6921875
-1723.3453125,-1569.5109375,153.834375
-1721.0578125,-1568.08125,152.9765625
-1720.771875,-1567.509375,153.2625
-1722.4875,-1568.08125,154.40625
-1725.6328125,-1570.0828125,155.55
-1729.921875,-1572.65625,157.265625
