LEFT,RIGHT,DIFF
-347.4140625,-401.1703125,-53.75625
-343.696875,-398.025,-54.328125
-341.6953125,-396.5953125,-54.9
-341.6953125,-396.309375,-54.6140625
-343.696875,-397.7390625,-54.0421875
-347.4140625,-400.5984375,-53.184375
-352.5609375,-404.315625,-51.7546875
-358.2796875,-408.31875,-50.0390625
-363.7125,-412.0359375,-48.3234375
-368.5734375,-415.4671875,-46.89375
-372.290625,-417.7546875,-45.4640625
-374.00625,-418.6125,-44.60625
-373.7203125,-418.3265625,-44.60625
-372.0046875,-416.896875,-44.8921875
-368.859375,-414.8953125,-46.0359375
-365.1421875,-412.321875,-47.1796875
-361.1390625,-409.7484375,-48.609375
-357.7078125,-407.4609375,-49.753125
-355.134375,-406.03125,-50.896875
-354.2765625,-405.459375,-51.1828125
-354.5625,-405.7453125,-51.1828125
-356.278125,-406.8890625,-50.6109375
-358.8515625,-408.6046875,-49.753125
-361.7109375,-410.60625,-48.8953125
-364.284375,-412.6078125,-48.3234375
-366.2859375,-414.0375,-47.7515625
-366.8578125,-414.609375,-47.7515625
-366.0,-414.3234375,-48.3234375
-363.7125,-413.1796875,-49.4671875
-359.9953125,-411.178125,-51.1828125
-355.4203125,-408.890625,-53.4703125
-350.8453125,-406.3171875,-55.471875
-346.55625,-404.315625,-57.759375
-343.4109375,-403.171875,-59.7609375
-341.98125,-402.8859375,-60.9046875
-342.2671875,-404.0296875,-61.7625
-344.5546875,-406.3171875,-61.7625
-348.5578125,-409.7484375,-61.190625
-353.7046875,-413.7515625,-60.046875
-359.4234375,-418.3265625,-58.903125
-365.1421875,-422.615625,-57.4734375
-369.7171875,-426.046875,-56.3296875
-372.8625,-428.6203125,-55.7578125
-374.578125,-429.478125,-54.9
-374.2921875,-429.1921875,-54.9
-372.290625,-427.4765625,-55.1859375
-369.1453125,-424.6171875,-55.471875
-365.1421875,-421.1859375,-56.04375
-360.853125,-417.46875,-56.615625
-357.1359375,-414.0375,-56.9015625
-354.2765625,-411.178125,-56.9015625
-352.5609375,-409.1765625,-56.615625
-351.9890625,-408.31875,-56.3296875
-352.275,-408.6046875,-56.3296875
-353.7046875,-409.4625,-55.7578125
-355.70625,-411.178125,-55.471875
-357.7078125,-413.1796875,-55.471875
-359.9953125,-415.18125,-55.1859375
