LEFT,RIGHT,DIFF
-2236.03125,-2101.3546875,134.6765625
-2237.4609375,-2101.640625,135.8203125
-2238.6046875,-2101.640625,136.9640625
-2239.7484375,-2101.640625,138.1078125
-2240.8921875,-2101.3546875,139.5375
-2242.0359375,-2101.640625,140.3953125
-2243.465625,-2101.9265625,141.5390625
-2244.8953125,-2102.784375,142.1109375
-2246.896875,-2104.5,142.396875
-2249.184375,-2106.5015625,142.6828125
-2251.7578125,-2109.075,142.6828125
-2254.0453125,-2111.6484375,142.396875
-2256.3328125,-2114.5078125,141.825
-2258.0484375,-2116.7953125,141.253125
-2259.1921875,-2118.225,140.9671875
-2258.90625,-2118.796875,140.109375
-2258.0484375,-2118.5109375,139.5375
-2255.7609375,-2116.7953125,138.965625
-2252.615625,-2114.221875,138.39375
-2248.8984375,-2110.790625,138.1078125
-2243.465625,-2099.925,143.540625
-2243.465625,-2101.06875,142.396875
-2243.7515625,-2102.4984375,141.253125
-2244.0375,-2104.5,139.5375
-2244.3234375,-2106.5015625,137.821875
-2244.609375,-2108.503125,136.10625
-2244.3234375,-2109.646875,134.6765625
-2243.465625,-2110.21875,133.246875
-2242.321875,-2109.646875,132.675
-2240.8921875,-2108.503125,132.3890625
-2238.890625,-2106.5015625,132.3890625
-2236.8890625,-2104.2140625,132.675
-2234.8875,-2101.640625,133.246875
-2233.171875,-2099.353125,133.81875
-2232.028125,-2097.6375,134.390625
-2231.1703125,-2096.2078125,134.9625
-2231.1703125,-2095.35,135.8203125
-2231.45625,-2095.35,136.10625
-2232.3140625,-2095.6359375,136.678125
-2233.4578125,-2095.921875,137.5359375
-2234.6015625,-2096.49375,138.1078125
-2235.459375,-2097.065625,138.39375
-2236.03125,-2097.065625,138.965625
-2236.3171875,-2096.7796875,139.5375
-2236.03125,-2096.49375,139.5375
-2235.459375,-2095.921875,139.5375
-2234.6015625,-2095.35,139.2515625
-2233.74375,-2095.35,138.39375
-2233.171875,-2095.921875,137.25
-2232.8859375,-2097.065625,135.8203125
-2233.171875,-2098.78125,134.390625
-2234.0296875,-2101.3546875,132.675
-2235.459375,-2104.2140625,131.2453125
-2237.175,-2107.359375,129.815625
-2239.1765625,-2110.21875,128.9578125
-2241.178125,-2112.7921875,128.3859375
-2242.89375,-2114.5078125,128.3859375
-2244.0375,-2115.365625,128.671875
-2244.609375,-2115.365625,129.24375
-2244.3234375,-2114.221875,130.1015625
-2243.1796875,-2112.7921875,130.3875
-2241.4640625,-2110.5046875,130.959375
-2239.1765625,-2108.503125,130.6734375
-2236.8890625,-2106.5015625,130.3875
-2234.6015625,-2105.071875,129.5296875
-2232.8859375,-2104.5,128.3859375
-2231.45625,-2104.5,126.95625
-2230.5984375,-2105.071875,125.5265625
-2230.3125,-2106.5015625,123.8109375
-2230.884375,-2108.2171875,122.6671875
-2231.45625,-2110.21875,121.2375
-2232.3140625,-2112.50625,119.8078125
-2233.4578125,-2114.5078125,118.95
