LEFT,RIGHT,DIFF
-540.421875,-609.61875,-69.196875
-540.7078125,-609.9046875,-69.196875
-540.7078125,-609.9046875,-69.196875
-540.421875,-609.9046875,-69.4828125
-540.1359375,-609.61875,-69.4828124999999
-539.85,-609.046875,-69.196875
-539.5640625,-608.1890625,-68.625
-539.5640625,-606.4734375,-66.9093750000001
-539.278125,-604.7578125,-65.4796875
-538.9921875,-602.4703125,-63.478125
-538.70625,-599.896875,-61.190625
-538.4203125,-597.3234375,-58.903125
-537.8484375,-594.75,-56.9015625
-537.2765625,-592.4625,-55.1859374999999
-536.41875,-590.4609375,-54.0421875
-535.275,-589.03125,-53.75625
-534.13125,-587.8875,-53.75625
-532.7015625,-587.315625,-54.6140625
-531.271875,-587.315625,-56.04375
-529.8421875,-587.315625,-57.4734375
-528.6984375,-587.6015625,-58.9031249999999
-527.26875,-588.1734375,-60.9046874999999
-525.8390625,-588.1734375,-62.3343749999999
-524.409375,-588.1734375,-63.7640624999999
-523.265625,-587.8875,-64.621875
-521.8359375,-587.315625,-65.4796875000001
-520.6921875,-586.4578125,-65.765625
-519.5484375,-585.6,-66.0515625
-518.9765625,-584.7421875,-65.765625
-518.4046875,-584.45625,-66.0515625
-518.4046875,-584.45625,-66.0515625
-518.690625,-584.7421875,-66.0515624999999
-519.5484375,-585.6,-66.0515625
-520.978125,-587.0296875,-66.0515625
-522.4078125,-588.7453125,-66.3375000000001
-523.8375,-590.4609375,-66.6234375
-525.553125,-591.890625,-66.3375
-526.696875,-593.3203125,-66.6234375
-527.5546875,-593.8921875,-66.3375
-528.1265625,-594.4640625,-66.3375000000001
-527.840625,-594.178125,-66.3375
-526.9828125,-593.60625,-66.6234375
-525.553125,-592.7484375,-67.1953125
-524.1234375,-591.890625,-67.7671875
-522.4078125,-591.0328125,-68.625
-520.6921875,-590.746875,-70.0546875
-519.5484375,-590.746875,-71.1984375000001
-518.4046875,-591.6046875,-73.2
-518.11875,-592.7484375,-74.6296875
-518.11875,-594.75,-76.63125
-518.690625,-596.7515625,-78.0609374999999
-519.5484375,-598.753125,-79.2046875000001
-520.6921875,-600.7546875,-80.0625
-521.55,-602.4703125,-80.9203124999999
-522.69375,-603.6140625,-80.9203125
-523.5515625,-604.1859375,-80.634375
-524.1234375,-604.471875,-80.3484375
-524.1234375,-604.1859375,-80.0625
-524.1234375,-603.328125,-79.2046875
-523.8375,-602.4703125,-78.6328125
-522.9796875,-601.3265625,-78.346875
-522.121875,-600.1828125,-78.0609375
-520.6921875,-599.6109375,-78.9187499999999
-519.2625,-599.0390625,-79.7765625
-517.546875,-598.753125,-81.2062500000001
-515.83125,-599.0390625,-83.2078124999999
-513.8296875,-599.896875,-86.0671875
-511.5421875,-600.7546875,-89.2125
-508.96875,-602.184375,-93.215625
-506.3953125,-603.6140625,-97.21875
-504.1078125,-605.04375,-100.9359375
-501.534375,-606.4734375,-104.9390625
-499.246875,-607.903125,-108.65625
-496.959375,-608.7609375,-111.8015625
-495.24375,-609.3328125,-114.0890625
-493.528125,-609.3328125,-115.8046875
-492.0984375,-609.046875,-116.9484375
-490.9546875,-608.475,-117.5203125
-489.8109375,-607.33125,-117.5203125
-488.953125,-606.1875,-117.234375
-487.809375,-604.7578125,-116.9484375
-486.9515625,-603.6140625,-116.6625
-485.8078125,-602.4703125,-116.6625
-484.378125,-601.6125,-117.234375
-483.234375,-601.3265625,-118.0921875
-482.090625,-601.040625,-118.95
-480.946875,-600.7546875,-119.8078125
-480.0890625,-600.7546875,-120.665625
-479.23125,-600.46875,-121.2375
-478.659375,-599.6109375,-120.9515625
-478.659375,-598.753125,-120.09375
-478.659375,-597.3234375,-118.6640625
-478.9453125,-595.321875,-116.3765625
-479.5171875,-593.034375,-113.5171875
-480.0890625,-590.746875,-110.6578125
-481.2328125,-588.459375,-107.2265625
-482.3765625,-586.4578125,-104.08125
-483.5203125,-584.7421875,-101.221875
-484.95,-583.3125,-98.3625
-486.3796875,-582.4546875,-96.0749999999999
-487.809375,-582.16875,-94.359375
-489.2390625,-582.16875,-92.9296875
-490.66875,-582.16875,-91.5
-491.8125,-582.16875,-90.35625
-492.6703125,-581.8828125,-89.2125
-493.2421875,-581.596875,-88.3546875000001
-493.2421875,-581.025,-87.7828125
-492.95625,-579.88125,-86.925
-492.0984375,-578.7375,-86.6390625
-490.66875,-577.59375,-86.925
-488.953125,-576.1640625,-87.2109375
-486.9515625,-575.0203125,-88.06875
-484.95,-574.1625,-89.2125
-482.9484375,-573.3046875,-90.35625
-480.946875,-572.7328125,-91.7859375
-479.5171875,-572.7328125,-93.215625
-478.3734375,-572.446875,-94.0734375
-477.8015625,-572.7328125,-94.93125
-477.8015625,-572.7328125,-94.93125
-478.3734375,-573.3046875,-94.93125
-479.23125,-573.8765625,-94.6453124999999
-480.6609375,-575.0203125,-94.359375
-482.090625,-576.1640625,-94.0734375
-483.5203125,-577.59375,-94.0734375
-484.6640625,-579.309375,-94.6453125
-485.8078125,-581.3109375,-95.503125
-486.3796875,-583.0265625,-96.646875
-486.09375,-584.45625,-98.3625000000001
-485.521875,-585.6,-100.078125
-484.0921875,-585.8859375,-101.79375
-482.3765625,-585.6,-103.2234375
-479.803125,-584.45625,-104.653125
-477.2296875,-582.740625,-105.5109375
-474.084375,-580.1671875,-106.0828125
-471.5109375,-577.59375,-106.0828125
-468.9375,-575.30625,-106.36875
-466.65,-573.01875,-106.36875
-465.2203125,-571.5890625,-106.36875
-464.6484375,-571.0171875,-106.36875
-464.6484375,-571.5890625,-106.940625
-465.50625,-573.01875,-107.5125
-467.221875,-575.30625,-108.084375
-469.2234375,-578.165625,-108.9421875
-471.796875,-581.025,-109.228125
-474.65625,-584.1703125,-109.5140625
-477.2296875,-586.4578125,-109.228125
-479.5171875,-588.1734375,-108.65625
-481.2328125,-589.03125,-107.7984375
-482.090625,-589.03125,-106.940625
-482.3765625,-587.8875,-105.5109375
-481.8046875,-585.8859375,-104.08125
-480.375,-583.3125,-102.9375
-478.3734375,-580.453125,-102.0796875
-475.8,-577.3078125,-101.5078125
-473.2265625,-574.4484375,-101.221875
-470.653125,-571.5890625,-100.9359375
-468.365625,-569.5875,-101.221875
-466.65,-568.1578125,-101.5078125
-465.50625,-567.3,-101.79375
-465.50625,-567.3,-101.79375
-467.79375,-566.728125,-98.9343749999999
-466.65,-566.728125,-100.078125
-465.7921875,-566.4421875,-100.65
-465.2203125,-565.8703125,-100.65
-464.6484375,-565.0125,-100.3640625
-464.0765625,-563.86875,-99.7921875
-463.5046875,-562.725,-99.2203125
-462.9328125,-562.153125,-99.2203125
-462.075,-561.8671875,-99.7921875
-461.503125,-562.725,-101.221875
-460.93125,-564.1546875,-103.2234375
-460.359375,-566.728125,-106.36875
-460.0734375,-569.5875,-109.5140625
-460.359375,-573.01875,-112.659375
-460.6453125,-576.45,-115.8046875
-461.503125,-579.5953125,-118.0921875
-462.3609375,-581.8828125,-119.521875
-463.21875,-583.5984375,-120.3796875
-464.0765625,-583.884375,-119.8078125
-464.934375,-583.3125,-118.378125
-465.2203125,-581.8828125,-116.6625
-465.50625,-579.88125,-114.375
-464.934375,-577.3078125,-112.3734375
-464.0765625,-574.734375,-110.6578125
-462.9328125,-572.1609375,-109.228125
-461.7890625,-570.159375,-108.3703125
-460.0734375,-568.7296875,-108.65625
-458.64375,-568.1578125,-109.5140625
-457.2140625,-567.871875,-110.6578125
-456.0703125,-568.1578125,-112.0875
-455.2125,-569.015625,-113.803125
-454.9265625,-570.159375,-115.2328125
-454.9265625,-571.5890625,-116.6625
-455.2125,-573.01875,-117.80625
-456.0703125,-574.4484375,-118.378125
-457.2140625,-575.878125,-118.6640625
-458.3578125,-577.3078125,-118.95
-459.7875,-578.7375,-118.95
-461.2171875,-580.1671875,-118.95
-462.646875,-581.596875,-118.95
-463.5046875,-583.0265625,-119.521875
-464.6484375,-584.45625,-119.8078125
-464.934375,-585.6,-120.665625
-465.2203125,-586.74375,-121.5234375
-465.2203125,-587.6015625,-122.38125
-464.934375,-588.459375,-123.525
-464.3625,-589.3171875,-124.9546875
-463.790625,-590.175,-126.384375
-463.21875,-591.0328125,-127.8140625
-462.646875,-591.890625,-129.24375
-462.646875,-592.7484375,-130.1015625
-462.9328125,-593.60625,-130.6734375
-463.5046875,-594.4640625,-130.959375
-464.3625,-595.0359375,-130.6734375
-465.50625,-595.321875,-129.815625
-466.9359375,-595.321875,-128.3859375
-468.0796875,-594.75,-126.6703125
-469.2234375,-593.60625,-124.3828125
-469.7953125,-591.890625,-122.0953125
-470.08125,-590.175,-120.09375
-452.0671875,-591.6046875,-139.5375
-451.4953125,-593.3203125,-141.825
-451.209375,-595.0359375,-143.8265625
-451.209375,-596.465625,-145.25625
-450.6375,-597.3234375,-146.6859375
-450.065625,-597.3234375,-147.2578125
-449.2078125,-596.7515625,-147.54375
-447.778125,-595.6078125,-147.8296875
-445.490625,-593.8921875,-148.4015625
-443.203125,-591.890625,-148.6875
-440.6296875,-589.603125,-148.9734375
-438.05625,-587.8875,-149.83125
-436.0546875,-586.171875,-150.1171875
-434.3390625,-585.3140625,-150.975
-433.48125,-584.45625,-150.975
-433.7671875,-584.1703125,-150.403125
-434.3390625,-584.1703125,-149.83125
-435.76875,-584.1703125,-148.4015625
-437.1984375,-583.884375,-146.6859375
-438.9140625,-583.5984375,-144.684375
-440.0578125,-583.0265625,-142.96875
-440.34375,-582.16875,-141.825
-440.0578125,-581.025,-140.9671875
-439.2,-579.88125,-140.68125
-437.7703125,-579.0234375,-141.253125
-436.0546875,-578.165625,-142.1109375
-434.625,-577.8796875,-143.2546875
-433.7671875,-577.59375,-143.8265625
-433.7671875,-577.59375,-143.8265625
-434.625,-577.8796875,-143.2546875
-436.6265625,-578.165625,-141.5390625
-439.4859375,-578.165625,-138.6796875
-442.9171875,-578.165625,-135.2484375
-446.3484375,-577.8796875,-131.53125
-449.49375,-577.59375,-128.1
-451.78125,-577.3078125,-125.5265625
-453.2109375,-576.7359375,-123.525
-453.2109375,-576.7359375,-123.525
-452.0671875,-577.021875,-124.9546875
-450.3515625,-577.8796875,-127.528125
-447.778125,-579.0234375,-131.2453125
-445.2046875,-580.7390625,-135.534375
-442.9171875,-582.4546875,-139.5375
-441.2015625,-584.45625,-143.2546875
-440.6296875,-586.171875,-145.5421875
-440.915625,-587.6015625,-146.6859375
-442.059375,-588.459375,-146.4
-444.0609375,-588.7453125,-144.684375
-445.7765625,-588.7453125,-142.96875
-447.778125,-587.8875,-140.109375
-448.921875,-587.315625,-138.39375
-449.49375,-586.4578125,-136.9640625
-449.49375,-586.171875,-136.678125
-448.6359375,-586.171875,-137.5359375
-447.20625,-587.315625,-140.109375
-445.7765625,-589.03125,-143.2546875
