LEFT,RIGHT,DIFF
-281.3625,-239.3296875,42.0328125
-283.65,-242.1890625,41.4609375
-283.9359375,-243.046875,40.8890625
-282.50625,-241.903125,40.603125
-279.3609375,-239.3296875,40.03125
-275.071875,-236.184375,38.8875
-271.06875,-233.0390625,38.0296875
-267.6375,-231.0375,36.6
-265.6359375,-230.465625,35.1703125
-265.0640625,-231.609375,33.4546875
-266.7796875,-234.46875,32.3109375
-269.925,-238.471875,31.453125
-274.2140625,-243.61875,30.5953125
-279.3609375,-248.4796875,30.88125
-284.221875,-253.0546875,31.1671875
-288.796875,-256.4859375,32.3109375
-291.9421875,-258.2015625,33.740625
-293.94375,-258.2015625,35.7421875
-294.2296875,-256.4859375,37.74375
-293.371875,-253.9125,39.459375
-291.3703125,-250.7671875,40.603125
-289.0828125,-247.3359375,41.746875
-286.7953125,-244.7625,42.0328125
-285.0796875,-242.7609375,42.31875
-284.221875,-242.1890625,42.0328125
-284.221875,-243.046875,41.175
-285.0796875,-244.7625,40.3171875
-286.7953125,-247.3359375,39.459375
-289.0828125,-250.48125,38.6015625
-291.65625,-253.6265625,38.0296875
-294.2296875,-256.4859375,37.74375
-296.803125,-259.059375,37.74375
-298.8046875,-260.775,38.0296875
-300.234375,-262.2046875,38.0296875
-301.378125,-263.0625,38.315625
-302.521875,-263.9203125,38.6015625
-303.665625,-264.778125,38.8875
-305.0953125,-265.921875,39.1734375
-306.525,-267.3515625,39.1734375
-308.5265625,-268.78125,39.7453125
-310.528125,-270.496875,40.03125
-312.815625,-272.2125,40.603125
-315.103125,-273.6421875,41.4609375
-317.1046875,-274.5,42.6046875
-318.534375,-274.7859375,43.7484375
-319.10625,-274.2140625,44.8921875
-319.10625,-272.784375,46.321875
-318.534375,-270.7828125,47.7515625
-317.1046875,-268.209375,48.8953125
-315.103125,-265.35,49.753125
-313.3875,-263.0625,50.325
-311.3859375,-260.775,50.6109375
-310.2421875,-259.63125,50.6109375
-309.384375,-259.059375,50.325
-309.6703125,-259.63125,50.0390625
-310.528125,-261.0609375,49.4671875
-312.5296875,-263.3484375,49.18125
-315.3890625,-266.49375,48.8953125
-318.534375,-269.925,48.609375
-322.2515625,-273.6421875,48.609375
-325.96875,-277.359375,48.609375
-329.1140625,-280.790625,48.3234375
-332.259375,-283.65,48.609375
-334.546875,-286.2234375,48.3234375
-335.9765625,-288.225,47.7515625
-336.834375,-289.36875,47.465625
-337.1203125,-290.2265625,46.89375
-336.5484375,-290.2265625,46.321875
-335.690625,-289.940625,45.75
-334.546875,-289.0828125,45.4640625
-333.403125,-288.225,45.178125
-331.9734375,-286.7953125,45.178125
-330.54375,-285.365625,45.178125
-329.1140625,-283.65,45.4640625
-327.3984375,-281.6484375,45.75
-325.96875,-279.3609375,46.6078125
-323.9671875,-277.0734375,46.89375
-321.6796875,-274.5,47.1796875
-319.10625,-271.640625,47.465625
-316.246875,-268.78125,47.465625
-312.815625,-265.6359375,47.1796875
-309.6703125,-262.7765625,46.89375
-306.2390625,-260.203125,46.0359375
-303.09375,-257.915625,45.178125
-300.234375,-256.4859375,43.7484375
-298.2328125,-255.628125,42.6046875
-297.0890625,-255.9140625,41.175
-297.0890625,-257.34375,39.7453125
-297.946875,-259.63125,38.315625
-299.9484375,-262.7765625,37.171875
-303.09375,-266.7796875,36.3140625
-306.8109375,-271.06875,35.7421875
-310.8140625,-275.64375,35.1703125
-315.103125,-279.646875,35.45625
-318.8203125,-283.3640625,35.45625
-322.2515625,-286.2234375,36.028125
-324.5390625,-287.9390625,36.6
-325.96875,-288.5109375,37.4578125
-326.2546875,-288.225,38.0296875
-325.6828125,-287.3671875,38.315625
-324.5390625,-285.9375,38.6015625
-322.8234375,-284.79375,38.0296875
-321.39375,-283.9359375,37.4578125
-320.25,-283.9359375,36.3140625
-319.9640625,-284.79375,35.1703125
-320.821875,-287.08125,33.740625
-322.8234375,-290.2265625,32.596875
-325.6828125,-293.94375,31.7390625
-329.4,-297.946875,31.453125
-333.403125,-301.6640625,31.7390625
-337.1203125,-304.809375,32.3109375
