LEFT,RIGHT,DIFF
-1575.8015625,-1723.3453125,-147.54375
-1570.36875,-1720.4859375,-150.1171875
-1568.08125,-1720.4859375,-152.4046875
-1568.9390625,-1723.059375,-154.1203125
-1572.3703125,-1727.634375,-155.2640625
-1577.803125,-1733.353125,-155.55
-1583.8078125,-1739.071875,-155.2640625
-1589.8125,-1744.21875,-154.40625
-1594.3875,-1747.65,-153.2625
-1597.246875,-1749.0796875,-151.8328125
-1597.5328125,-1747.9359375,-150.403125
-1595.2453125,-1744.790625,-149.5453125
-1590.95625,-1739.64375,-148.6875
-1585.2375,-1733.6390625,-148.4015625
-1578.6609375,-1727.3484375,-148.6875
-1572.65625,-1721.915625,-149.259375
-1567.509375,-1717.6265625,-150.1171875
-1564.3640625,-1715.3390625,-150.975
-1563.50625,-1715.3390625,-151.8328125
-1564.9359375,-1717.9125,-152.9765625
-1568.9390625,-1722.2015625,-153.2625
-1574.6578125,-1727.9203125,-153.2625
-1581.5203125,-1734.7828125,-153.2625
-1588.66875,-1741.359375,-152.690625
-1595.53125,-1747.65,-152.11875
-1601.25,-1752.5109375,-151.2609375
-1605.5390625,-1755.65625,-150.1171875
-1607.540625,-1756.8,-149.259375
-1607.2546875,-1756.228125,-148.9734375
-1604.9671875,-1753.6546875,-148.6875
-1600.9640625,-1749.9375,-148.9734375
-1595.8171875,-1745.3625,-149.5453125
-1590.0984375,-1740.7875,-150.6890625
-1584.09375,-1736.4984375,-152.4046875
-1578.946875,-1733.353125,-154.40625
-1574.94375,-1731.3515625,-156.4078125
-1572.65625,-1731.065625,-158.409375
-1571.7984375,-1732.209375,-160.4109375
-1572.9421875,-1734.496875,-161.5546875
-1575.515625,-1737.928125,-162.4125
-1579.2328125,-1741.93125,-162.6984375
-1583.8078125,-1746.2203125,-162.4125
-1588.66875,-1750.509375,-161.840625
-1593.24375,-1753.940625,-160.696875
-1596.9609375,-1756.5140625,-159.553125
-1599.8203125,-1758.515625,-158.6953125
-1601.821875,-1759.3734375,-157.5515625
-1602.1078125,-1759.3734375,-157.265625
-1601.5359375,-1758.8015625,-157.265625
-1599.8203125,-1757.371875,-157.5515625
-1597.246875,-1755.65625,-158.409375
-1594.1015625,-1753.6546875,-159.553125
-1590.95625,-1751.653125,-160.696875
-1587.8109375,-1749.6515625,-161.840625
-1584.9515625,-1747.9359375,-162.984375
-1582.6640625,-1746.7921875,-164.128125
-1581.5203125,-1746.2203125,-164.7
-1581.234375,-1746.50625,-165.271875
-1582.0921875,-1747.65,-165.5578125
