LEFT,RIGHT,DIFF
-1663.0125,-1827.7125,-164.7
-1661.86875,-1827.4265625,-165.5578125
-1660.4390625,-1826.8546875,-166.415625
-1658.7234375,-1825.996875,-167.2734375
-1656.4359375,-1824.853125,-168.4171875
-1653.8625,-1823.4234375,-169.5609375
-1651.8609375,-1821.7078125,-169.846875
-1649.859375,-1820.278125,-170.41875
-1648.715625,-1818.8484375,-170.1328125
-1648.14375,-1817.7046875,-169.5609375
-1648.715625,-1816.846875,-168.13125
-1650.1453125,-1816.5609375,-166.415625
-1652.146875,-1816.275,-164.128125
-1654.1484375,-1816.275,-162.1265625
-1656.4359375,-1815.9890625,-159.553125
-1658.1515625,-1815.4171875,-157.265625
-1659.009375,-1813.9875,-154.978125
-1658.7234375,-1811.9859375,-153.2625
-1657.29375,-1808.840625,-151.546875
-1655.00625,-1805.409375,-150.403125
-1652.146875,-1801.6921875,-149.5453125
-1649.0015625,-1797.975,-148.9734375
-1646.1421875,-1795.115625,-148.9734375
-1644.7125,-1793.6859375,-148.9734375
-1644.9984375,-1793.971875,-148.9734375
-1647.0,-1796.259375,-149.259375
-1651.2890625,-1800.5484375,-149.259375
-1657.29375,-1806.8390625,-149.5453125
-1664.4421875,-1813.9875,-149.5453125
-1672.1625,-1821.7078125,-149.5453125
-1679.3109375,-1828.5703125,-149.259375
-1685.315625,-1834.003125,-148.6875
-1689.0328125,-1837.434375,-148.4015625
-1689.890625,-1838.00625,-148.115625
-1688.175,-1836.0046875,-147.8296875
-1684.171875,-1831.4296875,-147.2578125
-1677.88125,-1825.1390625,-147.2578125
-1671.01875,-1818.2765625,-147.2578125
-1663.8703125,-1811.7,-147.8296875
-1658.1515625,-1806.2671875,-148.115625
-1654.7203125,-1803.4078125,-148.6875
-1653.5765625,-1803.4078125,-149.83125
-1655.2921875,-1806.2671875,-150.975
-1659.58125,-1811.4140625,-151.8328125
-1665.5859375,-1817.990625,-152.4046875
-1672.1625,-1825.425,-153.2625
-1678.453125,-1832.2875,-153.834375
-1683.028125,-1837.1484375,-154.1203125
-1685.315625,-1839.721875,-154.40625
-1684.74375,-1839.15,-154.40625
-1681.3125,-1835.71875,-154.40625
-1675.021875,-1829.7140625,-154.6921875
-1667.015625,-1821.99375,-154.978125
-1658.4375,-1813.7015625,-155.2640625
-1650.43125,-1805.98125,-155.55
-1643.8546875,-1799.9765625,-156.121875
-1639.565625,-1796.5453125,-156.9796875
-1638.1359375,-1795.6875,-157.5515625
-1639.2796875,-1797.6890625,-158.409375
-1642.996875,-1801.978125,-158.98125
-1648.14375,-1807.9828125,-159.8390625
-1654.1484375,-1814.2734375,-160.125
-1659.58125,-1820.278125,-160.696875
-1663.8703125,-1825.1390625,-161.26875
-1666.44375,-1828.284375,-161.840625
-1667.015625,-1829.428125,-162.4125
-1665.5859375,-1828.85625,-163.2703125
-1663.0125,-1827.140625,-164.128125
-1659.58125,-1824.853125,-165.271875
-1656.4359375,-1822.565625,-166.1296875
-1653.8625,-1821.421875,-167.559375
-1653.0046875,-1821.1359375,-168.13125
-1653.8625,-1822.565625,-168.703125
-1656.15,-1825.1390625,-168.9890625
-1659.58125,-1828.5703125,-168.9890625
-1663.8703125,-1832.2875,-168.4171875
-1667.5875,-1835.4328125,-167.8453125
-1670.7328125,-1837.434375,-166.7015625
-1672.1625,-1837.7203125,-165.5578125
-1671.590625,-1836.0046875,-164.4140625
-1669.0171875,-1832.5734375,-163.55625
-1664.4421875,-1827.140625,-162.6984375
-1658.7234375,-1821.1359375,-162.4125
-1652.71875,-1814.559375,-161.840625
-1646.7140625,-1808.840625,-162.1265625
-1642.425,-1804.265625,-161.840625
-1639.565625,-1801.6921875,-162.1265625
-1639.565625,-1801.40625,-161.840625
-1641.5671875,-1803.4078125,-161.840625
-1646.1421875,-1807.4109375,-161.26875
-1652.146875,-1812.84375,-160.696875
-1659.009375,-1819.4203125,-160.4109375
-1665.871875,-1825.7109375,-159.8390625
-1671.8765625,-1830.8578125,-158.98125
-1676.165625,-1834.8609375,-158.6953125
-1678.1671875,-1836.5765625,-158.409375
-1677.5953125,-1836.0046875,-158.409375
-1674.7359375,-1833.43125,-158.6953125
-1670.1609375,-1828.85625,-158.6953125
-1664.15625,-1823.4234375,-159.2671875
-1657.5796875,-1817.1328125,-159.553125
-1651.575,-1811.7,-160.125
-1646.7140625,-1807.125,-160.4109375
-1643.56875,-1804.265625,-160.696875
-1642.7109375,-1803.4078125,-160.696875
-1644.140625,-1804.8375,-160.696875
-1647.8578125,-1807.9828125,-160.125
-1653.290625,-1813.1296875,-159.8390625
-1659.58125,-1818.8484375,-159.2671875
-1666.1578125,-1825.425,-159.2671875
-1672.1625,-1831.4296875,-159.2671875
-1677.0234375,-1836.5765625,-159.553125
-1680.4546875,-1840.29375,-159.8390625
-1681.884375,-1842.2953125,-160.4109375
-1681.3125,-1842.2953125,-160.9828125
-1678.7390625,-1840.865625,-162.1265625
-1675.021875,-1838.00625,-162.984375
-1670.1609375,-1834.2890625,-164.128125
-1664.728125,-1829.7140625,-164.9859375
-1659.58125,-1825.1390625,-165.5578125
-1654.7203125,-1820.5640625,-165.84375
-1650.7171875,-1817.1328125,-166.415625
-1648.14375,-1814.2734375,-166.1296875
-1646.428125,-1812.5578125,-166.1296875
