LEFT,RIGHT,DIFF
-1548.3515625,-2158.25625,-609.9046875
-1549.78125,-2160.2578125,-610.4765625
-1551.496875,-2162.83125,-611.334375
-1553.4984375,-2166.2625,-612.7640625
-1556.64375,-2170.8375,-614.19375
-1560.075,-2176.2703125,-616.1953125
-1564.078125,-2182.5609375,-618.4828125
-1568.3671875,-2188.8515625,-620.484375
-1572.3703125,-2194.5703125,-622.2
-1575.8015625,-2199.1453125,-623.34375
-1578.0890625,-2202.290625,-624.2015625
-1578.6609375,-2202.8625,-624.2015625
-1577.803125,-2201.146875,-623.34375
-1575.2296875,-2197.4296875,-622.2
-1571.5125,-2191.7109375,-620.1984375
-1566.9375,-2185.134375,-618.196875
-1562.3625,-2178.5578125,-616.1953125
-1558.6453125,-2172.8390625,-614.19375
-1555.7859375,-2168.55,-612.7640625
-1554.928125,-2166.2625,-611.334375
-1556.071875,-2166.2625,-610.190625
-1558.93125,-2168.55,-609.61875
-1562.934375,-2172.2671875,-609.3328125
-1568.08125,-2177.128125,-609.046875
-1572.9421875,-2181.703125,-608.7609375
-1576.9453125,-2185.70625,-608.7609375
-1579.8046875,-2188.2796875,-608.475
-1580.6625,-2189.1375,-608.475
-1580.090625,-2188.8515625,-608.7609375
-1578.0890625,-2187.421875,-609.3328125
-1575.515625,-2185.70625,-610.190625
-1572.9421875,-2184.8484375,-611.90625
-1571.7984375,-2185.4203125,-613.621875
-1572.3703125,-2188.565625,-616.1953125
-1575.8015625,-2194.284375,-618.4828125
-1581.80625,-2203.1484375,-621.3421875
-1590.6703125,-2214.3,-623.6296875
-1601.821875,-2227.453125,-625.63125
-1614.1171875,-2241.178125,-627.0609375
-1626.6984375,-2254.33125,-627.6328125
-1638.421875,-2265.76875,-627.346875
-1648.14375,-2274.6328125,-626.4890625
-1654.7203125,-2280.065625,-625.3453125
-1658.1515625,-2281.4953125,-623.34375
-1657.865625,-2279.49375,-621.628125
-1654.434375,-2274.0609375,-619.6265625
-1648.14375,-2266.340625,-618.196875
-1640.1375,-2256.61875,-616.48125
-1630.9875,-2246.325,-615.3375
-1621.5515625,-2236.03125,-614.4796875
-1612.6875,-2226.5953125,-613.9078125
-1604.3953125,-2218.0171875,-613.621875
-1597.246875,-2210.86875,-613.621875
-1591.2421875,-2204.578125,-613.3359375
-1585.809375,-2199.43125,-613.621875
-1580.9484375,-2195.1421875,-614.19375
-1576.3734375,-2191.1390625,-614.765625
-1572.084375,-2187.421875,-615.3375
-1568.08125,-2184.2765625,-616.1953125
-1564.3640625,-2181.4171875,-617.053125
-1560.9328125,-2179.1296875,-618.196875
-1558.6453125,-2177.7,-619.0546875
-1557.215625,-2177.4140625,-620.1984375
-1557.5015625,-2177.9859375,-620.484375
-1558.6453125,-2179.9875,-621.3421875
-1561.21875,-2182.5609375,-621.3421875
-1564.65,-2185.9921875,-621.3421875
-1568.3671875,-2189.709375,-621.3421875
-1572.084375,-2193.140625,-621.05625
-1575.2296875,-2196.2859375,-621.05625
-1577.5171875,-2198.2875,-620.7703125
-1578.375,-2199.43125,-621.05625
-1578.0890625,-2199.43125,-621.3421875
-1576.659375,-2198.859375,-622.2
-1574.94375,-2197.4296875,-622.4859375
-1572.65625,-2196.0,-623.34375
-1570.940625,-2194.5703125,-623.6296875
-1570.0828125,-2193.9984375,-623.915625
-1570.36875,-2193.7125,-623.34375
-1571.7984375,-2194.5703125,-622.771875
-1574.0859375,-2196.2859375,-622.2
-1577.803125,-2198.5734375,-620.7703125
-1581.80625,-2201.4328125,-619.6265625
-1586.0953125,-2204.578125,-618.4828125
-1590.384375,-2208.009375,-617.625
-1594.1015625,-2211.1546875,-617.053125
-1597.246875,-2214.3,-617.053125
-1599.8203125,-2216.8734375,-617.053125
-1601.821875,-2219.446875,-617.625
-1603.2515625,-2221.734375,-618.4828125
-1604.3953125,-2223.45,-619.0546875
-1605.5390625,-2224.8796875,-619.340625
-1606.1109375,-2225.7375,-619.6265625
-1606.6828125,-2226.309375,-619.6265625
-1606.6828125,-2225.7375,-619.0546875
-1606.1109375,-2224.59375,-618.4828125
-1604.9671875,-2222.5921875,-617.625
-1603.2515625,-2219.7328125,-616.48125
-1600.9640625,-2216.5875,-615.6234375
-1598.1046875,-2213.15625,-615.0515625
-1595.2453125,-2210.0109375,-614.765625
-1592.671875,-2207.1515625,-614.4796875
-1590.6703125,-2205.4359375,-614.765625
-1590.0984375,-2205.15,-615.0515625
-1590.6703125,-2206.0078125,-615.3375
-1592.671875,-2208.009375,-615.3375
-1595.8171875,-2211.1546875,-615.3375
-1600.10625,-2215.1578125,-615.0515625
-1604.68125,-2219.1609375,-614.4796875
-1608.9703125,-2222.878125,-613.9078125
-1612.6875,-2226.0234375,-613.3359375
-1615.2609375,-2227.7390625,-612.478125
-1616.4046875,-2228.596875,-612.1921875
-1616.4046875,-2228.025,-611.6203125
-1615.2609375,-2226.5953125,-611.334375
-1613.5453125,-2224.8796875,-611.334375
-1611.54375,-2223.45,-611.90625
-1610.1140625,-2222.30625,-612.1921875
-1609.828125,-2222.30625,-612.478125
-1610.6859375,-2223.45,-612.7640625
-1613.259375,-2226.0234375,-612.7640625
-1616.9765625,-2229.4546875,-612.478125
-1621.265625,-2233.74375,-612.478125
-1625.840625,-2238.0328125,-612.1921875
-1629.84375,-2241.75,-611.90625
-1632.703125,-2244.3234375,-611.6203125
-1634.1328125,-2245.753125,-611.6203125
-1633.275,-2245.4671875,-612.1921875
-1630.7015625,-2243.465625,-612.7640625
-1626.1265625,-2240.034375,-613.9078125
-1620.4078125,-2235.459375,-615.0515625
-1614.1171875,-2230.3125,-616.1953125
-1608.1125,-2225.4515625,-617.3390625
-1602.39375,-2220.590625,-618.196875
-1598.1046875,-2216.5875,-618.4828125
-1594.959375,-2213.728125,-618.76875
-1593.5296875,-2212.0125,-618.4828125
-1593.5296875,-2210.86875,-617.3390625
-1594.6734375,-2210.86875,-616.1953125
-1596.675,-2211.1546875,-614.4796875
-1598.9625,-2212.0125,-613.05
-1601.25,-2212.8703125,-611.6203125
-1603.2515625,-2213.728125,-610.4765625
-1604.9671875,-2214.5859375,-609.61875
-1606.396875,-2215.44375,-609.046875
-1607.2546875,-2216.3015625,-609.046875
-1608.1125,-2217.4453125,-609.3328125
-1608.684375,-2218.5890625,-609.9046875
-1609.25625,-2219.7328125,-610.4765625
-1609.828125,-2220.8765625,-611.0484375
-1610.1140625,-2222.0203125,-611.90625
-1610.1140625,-2222.5921875,-612.478125
-1609.828125,-2222.5921875,-612.7640625
-1608.684375,-2222.0203125,-613.3359375
-1607.2546875,-2220.590625,-613.3359375
-1605.253125,-2218.5890625,-613.3359375
-1602.39375,-2216.3015625,-613.9078125
-1599.534375,-2214.0140625,-614.4796875
-1596.9609375,-2211.440625,-614.4796875
-1594.3875,-2209.4390625,-615.0515625
-1592.3859375,-2208.009375,-615.6234375
-1590.95625,-2207.4375,-616.48125
-1590.6703125,-2207.4375,-616.7671875
-1591.2421875,-2208.009375,-616.7671875
-1592.3859375,-2209.153125,-616.7671875
-1594.1015625,-2210.5828125,-616.48125
-1596.103125,-2212.0125,-615.909375
-1598.390625,-2213.4421875,-615.0515625
-1600.678125,-2214.871875,-614.19375
-1602.39375,-2215.7296875,-613.3359375
-1604.109375,-2216.8734375,-612.7640625
-1605.253125,-2217.73125,-612.478125
-1606.1109375,-2218.5890625,-612.478125
-1606.96875,-2219.446875,-612.478125
-1606.96875,-2220.3046875,-613.3359375
-1606.96875,-2221.1625,-614.19375
-1606.396875,-2221.734375,-615.3375
-1604.9671875,-2221.734375,-616.7671875
-1603.2515625,-2220.590625,-617.3390625
-1600.3921875,-2218.5890625,-618.196875
-1596.9609375,-2215.44375,-618.4828125
-1592.671875,-2211.1546875,-618.4828125
-1588.3828125,-2206.29375,-617.9109375
-1583.8078125,-2200.8609375,-617.053125
-1580.090625,-2196.0,-615.909375
-1576.9453125,-2191.7109375,-614.765625
-1575.515625,-2188.8515625,-613.3359375
-1575.515625,-2187.7078125,-612.1921875
-1577.803125,-2188.8515625,-611.0484375
-1581.80625,-2191.996875,-610.190625
-1587.2390625,-2196.571875,-609.3328125
-1594.1015625,-2202.8625,-608.7609375
-1601.25,-2209.725,-608.475
-1608.684375,-2216.5875,-607.903125
-1615.2609375,-2222.878125,-607.6171875
-1620.69375,-2228.3109375,-607.6171875
-1624.9828125,-2232.3140625,-607.33125
-1627.2703125,-2234.6015625,-607.33125
-1628.128125,-2235.7453125,-607.6171875
-1627.55625,-2235.459375,-607.903125
-1626.1265625,-2234.6015625,-608.475
-1623.8390625,-2233.171875,-609.3328125
-1621.265625,-2231.45625,-610.190625
-1618.6921875,-2230.0265625,-611.334375
-1616.11875,-2228.596875,-612.478125
-1613.83125,-2227.453125,-613.621875
-1612.115625,-2226.309375,-614.19375
-1610.6859375,-2225.165625,-614.4796875
-1609.828125,-2223.7359375,-613.9078125
-1609.25625,-2222.30625,-613.05
-1608.9703125,-2220.8765625,-611.90625
-1609.25625,-2219.7328125,-610.4765625
-1610.1140625,-2218.875,-608.7609375
-1611.54375,-2218.303125,-606.759375
-1613.5453125,-2218.5890625,-605.04375
-1616.11875,-2219.7328125,-603.6140625
-1618.6921875,-2221.1625,-602.4703125
-1621.5515625,-2222.878125,-601.3265625
-1623.8390625,-2224.59375,-600.7546875
-1624.9828125,-2225.4515625,-600.46875
-1625.26875,-2225.4515625,-600.1828125
-1623.8390625,-2224.021875,-600.1828125
-1620.69375,-2220.8765625,-600.1828125
-1616.4046875,-2216.8734375,-600.46875
-1611.2578125,-2211.7265625,-600.46875
-1605.825,-2206.29375,-600.46875
-1600.9640625,-2201.146875,-600.1828125
-1596.9609375,-2197.14375,-600.1828125
-1594.3875,-2194.85625,-600.46875
-1594.1015625,-2194.85625,-600.7546875
-1595.53125,-2196.8578125,-601.3265625
-1598.9625,-2201.146875,-602.184375
-1603.5375,-2206.5796875,-603.0421875
-1608.684375,-2212.584375,-603.9
-1613.5453125,-2218.303125,-604.7578125
-1617.2625,-2223.1640625,-605.9015625
-1619.2640625,-2226.0234375,-606.759375
-1619.2640625,-2226.5953125,-607.33125
-1617.5484375,-2225.165625,-607.6171875
-1613.83125,-2221.734375,-607.903125
-1609.25625,-2216.8734375,-607.6171875
-1604.109375,-2211.7265625,-607.6171875
-1599.534375,-2206.5796875,-607.0453125
-1595.8171875,-2202.5765625,-606.759375
-1593.815625,-2200.003125,-606.1875
-1593.5296875,-2199.1453125,-605.615625
-1594.959375,-2200.003125,-605.04375
-1597.81875,-2202.290625,-604.471875
-1601.5359375,-2205.15,-603.6140625
-1605.253125,-2208.2953125,-603.0421875
-1608.9703125,-2211.1546875,-602.184375
-1611.54375,-2212.8703125,-601.3265625
-1612.9734375,-2213.15625,-600.1828125
-1613.5453125,-2212.584375,-599.0390625
-1612.9734375,-2211.1546875,-598.18125
-1611.54375,-2208.8671875,-597.3234375
-1610.1140625,-2206.5796875,-596.465625
-1608.684375,-2204.8640625,-596.1796875
-1607.8265625,-2204.00625,-596.1796875
-1607.8265625,-2204.00625,-596.1796875
-1608.3984375,-2205.15,-596.7515625
-1609.5421875,-2206.865625,-597.3234375
-1610.971875,-2209.153125,-598.18125
-1612.4015625,-2211.440625,-599.0390625
-1613.259375,-2213.4421875,-600.1828125
-1613.5453125,-2214.871875,-601.3265625
-1613.259375,-2215.44375,-602.184375
-1611.8296875,-2214.871875,-603.0421875
-1609.828125,-2213.728125,-603.9
-1607.540625,-2212.0125,-604.471875
-1604.9671875,-2210.296875,-605.3296875
-1602.6796875,-2208.2953125,-605.615625
-1600.9640625,-2206.865625,-605.9015625
-1599.8203125,-2205.721875,-605.9015625
-1599.8203125,-2205.4359375,-605.615625
-1600.3921875,-2205.4359375,-605.04375
-1602.1078125,-2206.29375,-604.1859375
-1604.3953125,-2207.4375,-603.0421875
-1607.2546875,-2209.153125,-601.8984375
-1610.4,-2210.86875,-600.46875
-1613.259375,-2212.8703125,-599.6109375
-1616.11875,-2214.871875,-598.753125
-1618.6921875,-2216.8734375,-598.18125
-1620.4078125,-2218.303125,-597.8953125
-1621.265625,-2219.446875,-598.18125
-1620.9796875,-2220.3046875,-599.325
-1619.8359375,-2220.01875,-600.1828125
-1617.5484375,-2219.1609375,-601.6125
-1614.6890625,-2217.4453125,-602.75625
-1610.971875,-2214.871875,-603.9
-1606.96875,-2212.0125,-605.04375
-1603.5375,-2208.8671875,-605.3296875
-1600.9640625,-2206.29375,-605.3296875
-1599.2484375,-2204.2921875,-605.04375
-1598.9625,-2203.434375,-604.471875
-1600.3921875,-2204.2921875,-603.9
-1603.2515625,-2206.29375,-603.0421875
-1606.96875,-2209.4390625,-602.4703125
-1611.2578125,-2213.728125,-602.4703125
-1614.975,-2217.73125,-602.75625
-1617.834375,-2221.734375,-603.9
-1619.2640625,-2224.021875,-604.7578125
-1618.6921875,-2224.8796875,-606.1875
-1615.8328125,-2223.7359375,-607.903125
-1611.54375,-2220.8765625,-609.3328125
-1606.1109375,-2216.3015625,-610.190625
-1600.3921875,-2211.1546875,-610.7625
-1595.53125,-2206.29375,-610.7625
-1592.1,-2202.5765625,-610.4765625
-1590.95625,-2200.575,-609.61875
-1592.671875,-2201.146875,-608.475
-1596.9609375,-2204.2921875,-607.33125
-1603.8234375,-2210.0109375,-606.1875
-1612.4015625,-2217.4453125,-605.04375
-1621.265625,-2225.7375,-604.471875
-1629.84375,-2234.0296875,-604.1859375
-1636.70625,-2240.8921875,-604.1859375
-1640.9953125,-2245.4671875,-604.471875
-1642.7109375,-2247.7546875,-605.04375
-1641.853125,-2247.1828125,-605.3296875
-1638.421875,-2244.3234375,-605.9015625
-1633.5609375,-2239.7484375,-606.1875
-1628.128125,-2234.6015625,-606.4734375
-1623.2671875,-2229.4546875,-606.1875
-1619.8359375,-2225.4515625,-605.615625
-1618.40625,-2223.1640625,-604.7578125
-1619.2640625,-2223.1640625,-603.9
-1622.1234375,-2224.8796875,-602.75625
-1626.6984375,-2228.3109375,-601.6125
-1632.4171875,-2232.8859375,-600.46875
-1637.85,-2237.175,-599.325
-1642.7109375,-2241.178125,-598.4671875
-1645.85625,-2244.0375,-598.18125
-1647.571875,-2245.4671875,-597.8953125
-1647.2859375,-2245.18125,-597.8953125
-1645.5703125,-2244.0375,-598.4671875
-1642.996875,-2242.0359375,-599.0390625
-1639.8515625,-2240.034375,-600.1828125
-1636.9921875,-2238.6046875,-601.6125
-1634.990625,-2237.746875,-602.75625
-1634.1328125,-2238.0328125,-603.9
-1634.1328125,-2239.1765625,-605.04375
-1634.990625,-2240.8921875,-605.9015625
-1636.134375,-2242.89375,-606.759375
-1637.278125,-2244.609375,-607.33125
-1637.85,-2245.18125,-607.33125
-1637.278125,-2244.8953125,-607.6171875
-1635.5625,-2243.465625,-607.903125
-1632.9890625,-2240.8921875,-607.903125
-1629.5578125,-2237.746875,-608.1890625
-1626.4125,-2234.6015625,-608.1890625
-1623.2671875,-2232.028125,-608.7609375
-1621.5515625,-2230.3125,-608.7609375
-1620.9796875,-2230.3125,-609.3328125
-1622.1234375,-2231.45625,-609.3328125
-1624.696875,-2234.315625,-609.61875
-1628.4140625,-2238.0328125,-609.61875
-1632.4171875,-2241.75,-609.3328125
-1636.134375,-2245.4671875,-609.3328125
-1638.99375,-2248.040625,-609.046875
-1640.1375,-2249.184375,-609.046875
-1639.565625,-2248.6125,-609.046875
-1636.9921875,-2246.6109375,-609.61875
-1632.9890625,-2243.1796875,-610.190625
-1627.8421875,-2239.1765625,-611.334375
-1622.6953125,-2234.8875,-612.1921875
-1617.834375,-2231.1703125,-613.3359375
-1614.6890625,-2228.8828125,-614.19375
-1612.9734375,-2228.025,-615.0515625
-1613.5453125,-2228.8828125,-615.3375
-1616.4046875,-2231.1703125,-614.765625
-1620.69375,-2234.8875,-614.19375
-1626.4125,-2239.1765625,-612.7640625
-1632.703125,-2243.7515625,-611.0484375
-1638.7078125,-2247.7546875,-609.046875
-1643.8546875,-2251.1859375,-607.33125
-1647.8578125,-2253.759375,-605.9015625
-1650.43125,-2255.1890625,-604.7578125
-1651.575,-2256.046875,-604.471875
-1651.575,-2256.046875,-604.471875
-1650.7171875,-2256.046875,-605.3296875
-1649.2875,-2256.046875,-606.759375
-1647.571875,-2256.3328125,-608.7609375
-1646.1421875,-2256.9046875,-610.7625
-1644.7125,-2257.7625,-613.05
-1643.8546875,-2258.6203125,-614.765625
-1642.996875,-2259.1921875,-616.1953125
-1642.1390625,-2259.478125,-617.3390625
-1641.28125,-2258.90625,-617.625
-1640.1375,-2257.4765625,-617.3390625
-1638.7078125,-2255.7609375,-617.053125
-1637.278125,-2253.4734375,-616.1953125
-1636.134375,-2251.471875,-615.3375
-1635.5625,-2249.75625,-614.19375
-1635.8484375,-2249.184375,-613.3359375
-1636.70625,-2250.0421875,-613.3359375
-1638.99375,-2252.04375,-613.05
-1642.1390625,-2255.1890625,-613.05
-1645.5703125,-2259.1921875,-613.621875
-1649.2875,-2263.7671875,-614.4796875
-1652.71875,-2267.7703125,-615.0515625
-1655.00625,-2271.2015625,-616.1953125
-1656.15,-2273.203125,-617.053125
-1655.578125,-2273.4890625,-617.9109375
-1653.5765625,-2272.059375,-618.4828125
-1649.859375,-2269.2,-619.340625
-1645.284375,-2265.196875,-619.9125
-1640.1375,-2260.9078125,-620.7703125
-1635.2765625,-2256.61875,-621.3421875
-1631.2734375,-2252.9015625,-621.628125
-1628.7,-2250.328125,-621.628125
